division,title,abstract,subjects,publication,date,keywords
FK1,"Identifikasi Kontaminasi Bakteri 
Coliform
Pada Daging Sapi Segar Yang Dijual 
Di Pasar Sekitar Kota Bandar Lampung","Abstrak
Coliform
merupakan  bakteri  yang  memiki  habitat  normal  di  usus  manusia  dan  juga  hewan.  Oleh 
karena  itu  bakteri 
Coliform
,  terutama 
Escherichia  coli,
menjadi  indikasi  d
ari  kontaminasi  fekal 
pada air minum maupun makanan. Penyebaran 
Coliform
dari manusia ke manusia yang lain dapat 
terjadi melalui jalur fekal oral yaitu dengan cara  manusia memakan makanan atau minuman yang 
telah  terkontaminasi  feses  manusia.  Infeksi 
Colifo
rm
pada  manusia  seringkali  disebabkan  oleh 
konsumsi  makanan  produk  hewan  yang  tercemar,  misalnya  daging  dan  susu.  Penelitian  ini 
dilakukan  untuk  untuk  mengetahui  kontaminasi 
Coliform
pada  daging  sapi  segar  yang  dijual  di 
pasar  di  sekitar  kota  Bandar  Lampun
g.
Penelitian  deteksi  bakteri 
Coliform
dilakukan  melalui 
penanaman pada  media 
MacConkey
(
MC
) dan kemudian  dilakukan uji identifikasi dengan TSIA, 
uji SIM, uji sitrat,  uji urea, dan gula
-
gula. Dari hasil pertumbuhan pada  media didapatkan hasil 1 
sampel   terb
ebas   dari   kontaminasi   sedangkan   13   sampel   lainnya   terkontaminasi 
Coliform
.
S
impulan,  s
etelah  dilakukan  penelitian  terhadap  daging  sapi  yang  dijual  di  pasar  di  sekitar  kota 
Bandar  Lampung  didapatkan  hasil  dari  14  sampel,  8  sampel  terkontaminasi 
Escherichia 
coli
,  2 
sampel  terkontaminasi  bakteri 
Proteus  sp, 
2  sampel  terkontaminasi 
Klebsiella  sp
,
1  sampel 
terkontaminasi 
Citrobacter sp
dan 1 sampel bebas dari kontaminasi bakteri.    
Kata kunci
: 
Coliform
, daging sapi segar",AC,Jurnal Kedokteran,2013-07,
FMIPA4,"CHEMICAL STABILITY AND ADSORPTION SELECTIVITY ON Cd2+ IONIC IMPRINTED
Nannochloropsis sp MATERIAL WITH SILICA MATRIX
FROM TETRAETHYL ORTHOSILICATE","Chemical stability, reusability, and adsorption selectivity of Cd2+ ionic imprinted Nannochloropsis sp with silica
matrix (Cd(II)-IIP) from precursor tetraethyl orthosilicate (TEOS) have been studied through adsorption experiment
series with batch method. Nannochloropsis sp (Cd(II)-IIP) material was characterized with an infrared
spectrophotometer (IR) to identify the functional groups in this material and identification of metal ion concentration
was analyzed with an atomic absorption spectrophotometer (AAS). Chemical stability was determined in solution
media of acid, neutral, and base. Adsorption selectivity was obtained with determination of selectivity coefficient (α)
of Cd2+ ion toward its ionic pair such as Ag+, Zn2+, Cu2+, and Ni2+ ions. Nannochloropsis sp Cd(II)-IIP material is very
stable in acid media and lack stable in base media as well as it can be reused for extraction 4 cycles with adsorption
capacity value > 95% using eluent of 0.1 M Na2EDTA. Selectivity of Cd(II)-IIP material upon Cd2+ ion is higher than
non imprinted polymer (NIP) and it increases with these orders; Cd2+/Ag+ < Cd2+/Zn2+ < Cd2+/Cu2+ < Cd2+/Ni2+ for
each α at metal ionic ratio of 1:1; 0.887; 20.180; 28.053; 33.417, respectively.
Keywords: ionic imprinted; Nannochloropsis sp; adsorption selectivity",AC,Indo. J. Chem,2012,ionic imprinted; Nannochloropsis sp; adsorption selectivity
,"AKTIVITAS IN VITRO DAN STUDI PERBANDINGAN BEBERAPA SENYAWA
ORGANOTIMAH(IV) 4-HIDROKSIBENZOAT TERHADAP SEL KANKER
LEUKEMIA, L-1210","ABSTRAK
Telah dibuat senyawa turunan dibutil-, difenil- dan trifeniltimah(IV) dengan asam 4-hidroksibenzoat.
Senyawa hasil diperoleh dengan mereaksikan berturut-turut dibutiltimahIV) diklorida, difeniltimah(IV) diklorida
dan trifeniltimah(IV) klorida melalui senyawa antara dibutiltimah(IV) oksida, difeniltimah(IV) dihidroksida dan
trifeniltimah(IV) hidroksida dengan asam 4-hidroksibenzoat. Senyawa-senyawa yang dihasilkan kemudian
diuji aktifitas antikankernya terhadap sel kanker leukemia L-1210. Senyawa-senyawa hasil sintesis
dikarakterisasi dengan spektroskopi IR dan UV sinar tampak dan juga berdasarkan data mikroanalisis. Hasil
penelitian menunjukkan bahwa senyawa trifeniltimah(IV) 4-hidroksibenzoat memberikan hambatan tertinggi
pada uji antikanker dibandingkan senyawa sejenis dari dibutiltimah(IV) dan difeniltimah(IV).
Katakunci: uji aktivitas antikanker, IC50, sel kanker leukemia, organotimah(IV) 4-hidroksibenzoat","AC, AI",J. Sains MIPA,2013,
FMIPA2,"Analisis Kualitas Limbah Cair Pada Kolam Anaerob IV di Instalasi Pengolahan
Air Limbah (IPAL) PT. Perkebunan Nusantara VII (Persero) Unit Usaha Bekri","Among the industries in Lampung, PT. Perkebunan Nusantara VII (Persero) Bekri Business Unit
is one of the Palm Oil Processing Plant (POPP) industry who spend a lot of waste water in the form
of residual organic liquid materials. The rest of the liquid material can cause problems such as
pollution so it needed special treatment before the waste water is discharged into the environment.
This study was conducted to determine the quality of liquid waste in an anaerobic pool IV on
Wastewater Treatment Plant (WWTP) PT. Plantation Nusantara VII (Persero) Business Unit Bekri
so it can be determined whether the waste water treatment process can improve the quality of waste
water for the better. Waste water quality measurement is done using the parameters of physics,
chemistry, and heavy metals, namely pH, COD, BOD5, TSS, Cd, Cu, Pb, and Zn. The results showed
that the quality of the wastewater in an anaerobic pool IV was good and meets the quality standards
of palm oil mill effluent by the State Minister of Environment Resolution No. 03 / MENKLH /
11/1991 and the Indonesian Government Regulation No. 20 of 1990 on Water Pollution Control. It
also indicates that the effluent treatment system at the Wastewater Treatment Plant (WWTP) PT.
Perkebunan Nusantara VII (Persero) Bekri Business Unit is very effective.
Keywords: anaerobic pool, liquid waste, PTPN VII",AC,BIOGENESIS,2013,"anaerobic pool, liquid waste, PTPN VII"
FT8,"EA-MDA MODEL TO RESOLVE IS
CHARACTERISTIC PROBLEMS IN EDUCATIONAL
INSTITUTIONS","alignment between business strategy and existing information technologies. Developing the required model
is a complex task. A combination of the EA, MDA and SOA concepts can be one of the solutions to
overcome the complexity of building a specific information technology architecture for higher education
institutions. EA allows for a comprehensive understanding of the institution’s main business process while
defining the information system that will assist in optimizing the business process. EA essentially focuses on
strategy and integration. MDA relies on models as its main element and places focuses on efficiency and
quality. SOA on the other hand uses services as its principal element and focuses on flexibility and reuse.
This paper seeks to formulate an information technology architecture that can provide clear guidelines on
inputs and outputs for EA development activities within a given higher education institution. This proposed
model specifically emphasises on WIS development in order to ensure that WIS in higher education
institutions has a coherent planning, implementation and control process in place consistent with the
enterprise’s business strategy. The model will then be applied to support WIS development and
implementation at University of Lampung (Unila) as the case study.
KEYWORDS
Enterprise Architecture, Web Information system, Higher Education, MDA, SOA",AC,International Journal of Software Engineering & Applications (IJSEA),2013-05,
FK1,The Protective Effect of Honey on Ethanol-Induced Liver Injury in Rats,"Abstract
Honey is one of the honeybee’s’ products which are often used as medicine since a long time ago. Honey has
a high antioxidant activity, but studies to investigate its protective effect on ethanol-induced liver injury have
not been carried out in Indonesia. The aim of this study was to investigate the protective effect of honey on
ethanol-induced rat liver injury. This study done conducted in the Pharmacology and Pathology laboratory in
November 2011. This experimental laboratory study used randomized complete design on 25 rats divided into
five groups. Group 1: control; group 2: ethanol; group 3, 4 and 5: honey + ethanol. Ethanol 0.01 mL/g body
weight was given orally to group 2, 3, 4 and 5 for 14 days. Honey + ethanol groups were given honey at a
dose of 0.0018 mL/g body weight, 0.0054 mL/g body weight, and 0.016 mL/g body weight orally at 1.5 hours
prior to ethanol administration. Liver samples were taken for histopathological examination. The parameter of
liver injury was fatty degeneration. The results showed that ethanol induced fatty degeneration compared to
control group. Group 3, 4 and 5 showed significantly decreased fatty degeneration (p<0.050, p <0.001, p <0.001).
The improvement was prominent in group 5. In conclusion, honey has a protective effect on rat liver injury.
[MKB. 2013;45(1):16–22]
Key words: Ethanol, fatty degeneration, honey","AC, AI",MKB,2013,
FP3,KAJIAN TINGKAT KECERNAAN PAKAN BUATAN YANG BERBASIS TEPUNG IKAN RUCAH PADA IKAN NILA MERAH (Oreochromis niloticus),"ABSTRAK
Penelitian
dilakukan  untuk  mengetahui  tingkat  kecernaan  pakan  ikan
nila 
merah  (
Oreochromis  niloticus
)
yang  berbasis  tepung  ikan
rucah
.
Penelitian  ini 
menggunakan  Rancangan  Acak  Lengkap  dengan  4  perlakuan
dan  3  ulangan.
Perlakuan yang digunakan adalah proporsi tepun
g ikan rucah 405 gram, 450 gram, 
495  gram  dan  540  gram.
Ikan  nila  merah 
sebanyak  12  ekor 
dengan 
berat
8  gram 
dimasukkan  ke
dalam  12  akuarium  berukuran 
60
x40x40
cm
. 
Pakan  uji  diberikan 
selama  60  hari  dengan  feeding  rate  5%  dan  frekuensi  dua  kali  sehari
.  Has
il 
penelitian    menunjukkan    bahwa    penambahan    tepung    ikan    rucah    mampu 
meningkatkan  kecernaan  pakan
ikan  nila  merah
. 
Kecernaan  adalah  bagian  pakan 
yang  dikonsumsi  dan  tidak  dikeluarkan  menjadi  feses.  Tingkat  kecernaan  pakan 
terdiri  dari  kecernaan  total  dan  pro
tein. 
Kecernaan  total 
pakan  tertinggi  terletak 
pada  perlakuan  D 
(70,51%±0,32)
.  Kecernaan  protein  juga  meningkat  seiring 
dengan penambahan tepung ikan rucah.
Kecernaan
protein 
tertinggi terletak pada 
perlakuan D 
(80,64%±0,17)
dengan proporsi tepung ikan rucah 540 gram
.
Kata kunci:
ikan nila, kecernaan
total
,
kecernaan protein,
tepung ikan rucah",AC,Jurnal Rekayasa dan Teknologi Budidaya Perairan,2013-02,
FMIPA4,Influence of Calix[4]arene Derived Compound on Calcium Sulphate Scale Formation,"Influence of C-methyl-4,10,16,22-tetramethoxy calix[4]arene compound as inhibitor of calcium sulphate scale formation has been studied
using seeded experiment method. The results show that C-methyl-4,10,16,22-tetramethoxy calix[4]arene as calix[4]arene derived compound
inhibits a formation of calcium sulphate crystals at a concentration of growth solution of 0.1 M and at various inhibitor concentrations of
0-150 ppm. The ability of C-methyl-4,10,16,22-tetramethoxy calix[4]arene as inhibitor of the formation of calcium sulphate scale is
optimum in inhibiting growth rate of CaSO
4
Keywords: Tetramethoxycalixarene, CaSO
4
 scale formation is 50 ppm at 80 ºC.
, Inhibitor, Scaling.",AC,Asian Journal of Chemistry,2014-02-01,"Tetramethoxycalixarene, CaSO
4
 scale formation is 50 ppm at 80 ºC.
, Inhibitor, Scaling."
,"In Vitro Propagation of Sansevieria trifasciata ‘Lorentii’: Shoot
Regeneration, Rooting, and Plantlet Acclimatization","ABSTRACT
This research aimed to study effects of benzyladenine (BA) on in vitro shoot formation and effects of indolebutyric acid
(IBA) and acclimatization media on ex vitro rooting and acclimatization of Sansevieria trifasciata ‘Lorentii’. Leaf segments
were taken from young fully-expanded leaves, surface sterilized and cultured on Murashige and Skoog (MS) basal medium
containing 0.25 mg L-1 2,4-dichlorophenoxyacetic acid (2,4-D) for 2 weeks, transferred to medium without growth regulator
for 2 weeks, and then subcultured on MS medium containing BA (0, 0.5, 1 and 2 and 5 mg L-1). The results showed that
adventitious shoot regeneration occured after callus formation. The best BA concentration was 2 mg L-1, producing 4.5 shoots
per explants in 3 months and 11.1 shoots per explant in 4 months. Application of 2000 ppm IBA and the use of acclimatization
medium consisting rice husk charcoal and compost (1:1) produced the highest number of primary roots, length of roots and
root fresh weight. However, the ex vitro rooting did not influence the success of plantlet acclimatization, the survival rate
being 96% and there were no significant difference in plant growth.
Keywords: benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata","AC, AI",J. Agron. Indonesia 41,2013,"benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata"
FP6,"In Vitro Propagation of Sansevieria trifasciata ‘Lorentii’: Shoot
Regeneration, Rooting, and Plantlet Acclimatization","ABSTRACT
This research aimed to study effects of benzyladenine (BA) on in vitro shoot formation and effects of indolebutyric acid
(IBA) and acclimatization media on ex vitro rooting and acclimatization of Sansevieria trifasciata ‘Lorentii’. Leaf segments
were taken from young fully-expanded leaves, surface sterilized and cultured on Murashige and Skoog (MS) basal medium
containing 0.25 mg L-1 2,4-dichlorophenoxyacetic acid (2,4-D) for 2 weeks, transferred to medium without growth regulator
for 2 weeks, and then subcultured on MS medium containing BA (0, 0.5, 1 and 2 and 5 mg L-1). The results showed that
adventitious shoot regeneration occured after callus formation. The best BA concentration was 2 mg L-1, producing 4.5 shoots
per explants in 3 months and 11.1 shoots per explant in 4 months. Application of 2000 ppm IBA and the use of acclimatization
medium consisting rice husk charcoal and compost (1:1) produced the highest number of primary roots, length of roots and
root fresh weight. However, the ex vitro rooting did not influence the success of plantlet acclimatization, the survival rate
being 96% and there were no significant difference in plant growth.
Keywords: benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata","AC, AI",J. Agron,2013,"benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata"
