division,title,abstract,subjects,publication,date,keywords
FKIP18,Esensi faktor sosial ekonomi keluarga pada anak putus sekolah tingkat sekolah dasar,"sejak tahun 1994 pemerintah telah mencanangkan program wajib belajar sembilan tahun, bahwa setiap warga negara yang berusia tujuh sampai dengan lima belas tahun wajib mengikuti pendidikan dasar dan orang tua berkewajiban memberikan pendidikan dasar dan orang tua berkewajiban memberikan pendidikan dasar kepada anaknya.",AI,jurnal pendidikan dasar,2011,
FKIP18,sistem informasi administrasi akademik online suatu studi kasus,"pengembangan pendidikan si Indonesia saat ini lebih diarahkan pada peningkatan mutu, agar mampu mengikuti perkembangan ilmu pengetahuan dan teknologi, serta mampu meghadapi persaingan global. begitu pada manajemen perguruan tinggi dituntut untuk lebih aktif dan efesien.",AI,,2009-03-12,
,"AKTIVITAS IN VITRO DAN STUDI PERBANDINGAN BEBERAPA SENYAWA
ORGANOTIMAH(IV) 4-HIDROKSIBENZOAT TERHADAP SEL KANKER
LEUKEMIA, L-1210","ABSTRAK
Telah dibuat senyawa turunan dibutil-, difenil- dan trifeniltimah(IV) dengan asam 4-hidroksibenzoat.
Senyawa hasil diperoleh dengan mereaksikan berturut-turut dibutiltimahIV) diklorida, difeniltimah(IV) diklorida
dan trifeniltimah(IV) klorida melalui senyawa antara dibutiltimah(IV) oksida, difeniltimah(IV) dihidroksida dan
trifeniltimah(IV) hidroksida dengan asam 4-hidroksibenzoat. Senyawa-senyawa yang dihasilkan kemudian
diuji aktifitas antikankernya terhadap sel kanker leukemia L-1210. Senyawa-senyawa hasil sintesis
dikarakterisasi dengan spektroskopi IR dan UV sinar tampak dan juga berdasarkan data mikroanalisis. Hasil
penelitian menunjukkan bahwa senyawa trifeniltimah(IV) 4-hidroksibenzoat memberikan hambatan tertinggi
pada uji antikanker dibandingkan senyawa sejenis dari dibutiltimah(IV) dan difeniltimah(IV).
Katakunci: uji aktivitas antikanker, IC50, sel kanker leukemia, organotimah(IV) 4-hidroksibenzoat","AC, AI",J. Sains MIPA,2013,
FK1,The Protective Effect of Honey on Ethanol-Induced Liver Injury in Rats,"Abstract
Honey is one of the honeybee’s’ products which are often used as medicine since a long time ago. Honey has
a high antioxidant activity, but studies to investigate its protective effect on ethanol-induced liver injury have
not been carried out in Indonesia. The aim of this study was to investigate the protective effect of honey on
ethanol-induced rat liver injury. This study done conducted in the Pharmacology and Pathology laboratory in
November 2011. This experimental laboratory study used randomized complete design on 25 rats divided into
five groups. Group 1: control; group 2: ethanol; group 3, 4 and 5: honey + ethanol. Ethanol 0.01 mL/g body
weight was given orally to group 2, 3, 4 and 5 for 14 days. Honey + ethanol groups were given honey at a
dose of 0.0018 mL/g body weight, 0.0054 mL/g body weight, and 0.016 mL/g body weight orally at 1.5 hours
prior to ethanol administration. Liver samples were taken for histopathological examination. The parameter of
liver injury was fatty degeneration. The results showed that ethanol induced fatty degeneration compared to
control group. Group 3, 4 and 5 showed significantly decreased fatty degeneration (p<0.050, p <0.001, p <0.001).
The improvement was prominent in group 5. In conclusion, honey has a protective effect on rat liver injury.
[MKB. 2013;45(1):16–22]
Key words: Ethanol, fatty degeneration, honey","AC, AI",MKB,2013,
,"In Vitro Propagation of Sansevieria trifasciata ‘Lorentii’: Shoot
Regeneration, Rooting, and Plantlet Acclimatization","ABSTRACT
This research aimed to study effects of benzyladenine (BA) on in vitro shoot formation and effects of indolebutyric acid
(IBA) and acclimatization media on ex vitro rooting and acclimatization of Sansevieria trifasciata ‘Lorentii’. Leaf segments
were taken from young fully-expanded leaves, surface sterilized and cultured on Murashige and Skoog (MS) basal medium
containing 0.25 mg L-1 2,4-dichlorophenoxyacetic acid (2,4-D) for 2 weeks, transferred to medium without growth regulator
for 2 weeks, and then subcultured on MS medium containing BA (0, 0.5, 1 and 2 and 5 mg L-1). The results showed that
adventitious shoot regeneration occured after callus formation. The best BA concentration was 2 mg L-1, producing 4.5 shoots
per explants in 3 months and 11.1 shoots per explant in 4 months. Application of 2000 ppm IBA and the use of acclimatization
medium consisting rice husk charcoal and compost (1:1) produced the highest number of primary roots, length of roots and
root fresh weight. However, the ex vitro rooting did not influence the success of plantlet acclimatization, the survival rate
being 96% and there were no significant difference in plant growth.
Keywords: benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata","AC, AI",J. Agron. Indonesia 41,2013,"benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata"
FP6,"In Vitro Propagation of Sansevieria trifasciata ‘Lorentii’: Shoot
Regeneration, Rooting, and Plantlet Acclimatization","ABSTRACT
This research aimed to study effects of benzyladenine (BA) on in vitro shoot formation and effects of indolebutyric acid
(IBA) and acclimatization media on ex vitro rooting and acclimatization of Sansevieria trifasciata ‘Lorentii’. Leaf segments
were taken from young fully-expanded leaves, surface sterilized and cultured on Murashige and Skoog (MS) basal medium
containing 0.25 mg L-1 2,4-dichlorophenoxyacetic acid (2,4-D) for 2 weeks, transferred to medium without growth regulator
for 2 weeks, and then subcultured on MS medium containing BA (0, 0.5, 1 and 2 and 5 mg L-1). The results showed that
adventitious shoot regeneration occured after callus formation. The best BA concentration was 2 mg L-1, producing 4.5 shoots
per explants in 3 months and 11.1 shoots per explant in 4 months. Application of 2000 ppm IBA and the use of acclimatization
medium consisting rice husk charcoal and compost (1:1) produced the highest number of primary roots, length of roots and
root fresh weight. However, the ex vitro rooting did not influence the success of plantlet acclimatization, the survival rate
being 96% and there were no significant difference in plant growth.
Keywords: benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata","AC, AI",J. Agron,2013,"benzyladenine, ex vitro, indolebutyric acid, 2,4-dichlorophenoxyacetic acid, micropropagation, Sansevieria
trifasciata"
FKIP16,The Leadership and Motivation on Inpatient Compliance in Preventing the Risk of Patients Falling,"The purpose of this study was to analyze the relationship between leadership and motivation in compliance with inpatient nurses in preventing the risk of falling in patients at X1 Hospital Bandar Lampung in 2020. Pre-survey data on nurses in receiving newly hospitalized patients at a hospital in Bandar Lampung Indonesia in December 2019 found several cases concerning nurses’ tasks: did not lower the patients' beds, did not label the patients with the triangles, did not carry out Morse Fall Scale score (MFS) assessments, did not give patients' wristbands the risk of falling, did not install fences of the bed. So far, there has been no incidence of falling patients, however, if there is no effort of preventing, there is a risk of falling patients. This study was a quantitative design and used an analytical cross-sectional approach. The population was of all inpatient nurses at a hospital in Bandar Lampung. The samples in this study were all inpatient nurses totaling 97 nurses. This study used a total sampling technique.The author concludes that 1) the leadership given is not good, 2) motivation is on a moderate scale, 3) the nurse is in the non-obedient category, 4) there is a leadership relationship with inpatient nurse compliance in preventing the risk of falling in patients, and 5) there is a relationship motivation with inpatient nurse compliance in preventing the risk of falling in patients.This article provides new insights regarding the management of fall patients in the context of healthcare practice in Indonesia",AI,Psychology and Education Journal,2021,
FEB4,PENGARUH FINANCIAL DISTRESS TERHADAP NILAI PERUSAHAAN SEBELUM DAN SAAT PANDEMI COVID-19 (Studi Pada Perusahaan Property dan Real Estate),"Indonesia is one of the countries affected by the Covid 19 pandemic. This has resulted in some sectors experiencing a decline in revenue. One of the affected sectors was the property and real estate sector. The study aims to analyze the impact of  financial distress on firm value before and during the Covid-19  pandemic. The population in this study was a property and real estate company listed on the Indonesia Stock Exchange in 2019 and 2020 with a sample of 58 companies. Data analysis in this study was conducted using multiple linear regressions. The results of the multiple linear regression tests in this study shows that financial distress have a significant negative effect on the firm value during Covid-19.  Meanwhile, financial distress had no significant effect on firm value before Covid-19. Keywords : Covid-19, Firm value, Financial distress",AI,Jurnal Akuntansi Bisnis dan Ekonomi,2022-03-14,
FEB4,Factors affecting the number of banking loans during the covid-19 pandemic (empire study on Indonesian conventional commercial banks in 2020-2021),"This article discusses the factors that affect the amount of bank credit during the covid-19 pandemic. The decline in the number of loans disbursed in early 2020 led to overall economic instability. This phenomenon has sparked interest in researching factors affecting the amount of credit to provide solutions to the problems faced. Unlike previous research, this research focused on the amount of credit disbursed during the Covid-19 pandemic. In addition, this study also used all samples of conventional commercial banks registered with financial services authorities in Indonesia. The data used are banking financial reports in 2020 and 2021. This study analyzes banking performance as measured by the ratio of CAR, OEOI, LDR, NIM, and ROA whether or not it affects the amount of credit disbursed during the Covid-19 pandemic. The research method used is a test of classic assumptions and multiple linear regression analysis. The analysis results show that CAR, NIM, and ROA significantly positively affect the amount of credit distributed. Meanwhile, the LDR significantly negatively affects the amount of credit disbursed. These four variables affect the amount of credit disbursed by the bank. Bank management must pay attention to banking performance, especially the ratio of CAR, NIM, ROA and LDR so that the role of banks in disbursing loans remains optimal during the Covid-19 pandemic. The limitation in this study is that the number of variables studied is only 5 that have not shown a major influence in influencing the amount of credit disbursed. Further research is expected to examine many variables that show a large influence on the amount of credit disbursed to provide solutions for banks in increasing the amount of credit. 
Keywords: Banking credit; Capital Adequacy Ratio (CAR); Operating Expenses Operating Income (OEOI); Loan to Deposit Ratio (LDR); Net Interest Margin (NIM); Return On Assets (ROA)",AI,"Asian Journal of Economics, Business, and Management",2022-08-27,Banking credit; Capital Adequacy Ratio (CAR); Operating Expenses Operating Income (OEOI); Loan to Deposit Ratio (LDR); Net Interest Margin (NIM); Return On Assets (ROA)
FISIP2,"KINERJA PEGAWAI UNIVERSITAS LAMPUNG DITINJAU DARI GAYA
KEPEMIMPINAN DAN MOTIVASI KERJA","The purpose of this study was to determine the performance of
Lampung University employees, through leadership style and work motivation.
This study used a correlational quantitative approach. The population of this
study was all employees of education staff at the General and Financial
Devision at Lampung University of 110 people. Samples were taken
purposively, as many as 53 employees. Data was collected using survey
methods. The data were analyzed by simple and multiple linear regression with
the help of SPSS 17.0 statistical software. Based on the results of testing the
hypothesis of the influence of leadership style on employee performance, the
results of t-count of 2.374 and t-table of 1.67655 were obtained. Furthermore,
the motivation variables on employee performance, the results of t-count were
7.283 and t-table was 1.67655. Simultaneous testing or jointly obtained results
of F-count statistics of 40,288 and F-table 3.18. The results of the analysis can
be concluded that employee performance at the General and Financial Bureau
of Lampung University is influenced by motivation.",AI,CENDEKIA,2019-04,
