division,title,abstract,subjects,publication,date,keywords
FMIPA3,50 Tokoh Inspiratif Unila,,AS,,2015,
FMIPA3,Algoritma Genetika: teori dan aplikasi,,AS,,2014,
FMIPA3,Kamus Lengkap Indonesia-Lampung Lampung-Indonesia,,AS,,2015,
FMIPA3,50 Tahun Universitas Lampung Membangun Negeri,,AS,,2015,
FMIPA4,PELATIHAN DAN PENDAMPINGAN HOME INDUSTRI KELOMPOK PKK DESA FAJAR BARU: PEMBUATAN DETERGEN CAIR,"Desa Fajar Baru Kecamatan Jati Agung walaupun bukan sebagai daerah pusat industri, tetapi Desa ini mempunyai akses yang strategis dengan lembaga pendidikan dan pusat bisnis. Kedekatan dengan lembaga pendidikan SLTA, PTN maupun PTS serta dengan pusat bisnis, yakni pasar tradisional, minimarket dan kuliner malam memberikan peluang kepada masyarakat untuk meningkatkan wirusaha, yakni menjadi produsen, penyalur, pedagang, ataupun grosir. Salah satu kegiatan yang dapat diusahakan adalah grosir bahan baku Loundry seperti detergen. Walaupun produk ini mudah didapat, tetapi bagi konsumen akan merasa sulit untuk mendapatkan produk tersebut dengan harga yang lebih murah. Pembuatan detergen merupakan salah satu produk yang berpotensi dijadikan sebagai kegiatan Home Industry. Bahan detergen adalah produk yang mudah dibuat dengan modal yang murah. Tujuan dari kegiatan pengabdian kepada masyarakat ini adalah, selain pendampingan dalam pembuatan detergen, juga pendampingan kepada kelompok mitra dalam bentuk pelatihan, workshop dan praktek serta pengenalan mesin pembuat detergen, sehingga dihasilkan produk dengan harga terjangkau oleh masyarakat (murah) dan pada akhirnya dapat mengantisipasi keinginan segementasi pasar. Hasil pengabdian didaptkan bahwa peningkatan pengetahun peserta berkaitan dengan pembuatan detergen sebesar 66,8% (15,7% menjadi 82,5%). Selain itu bahwa kelompok mitra juga sudah bisa membuat produk detergen dengan kemasan isi ulang 1000 mL, 2 L dan 5 L.
 
Kata kunci — Detergen, Fajar Baru, Home industri",AS,,2019-10-09,
,"PEMBUATAN SABUN CUCI PIRING BERSAMA WARGA PENERIMA PKH, KELURAHAN KARANGREJO, KECAMATAN METRO UTARA, KOTA METRO","Sabun adalah salah satu bahan esensial yang digunakan untuk mencuci peralatan dapur, pakaian, perabot, badan, dan lain-lain yang terbuat dari campuran alkali, dan trigliserida dari lemak. Artikel ini memuat informasi dan pemaparan mengenai program kerja pembuatan Sabun Cuci Piring (Sacupi). Deskripsi lengkap artikel ini meliputi penyediaan bahan, proses/ langkah-langkah pembuatan hingga hasil dan implemantsi hasil kepada masyarakat. Pendekatan yang dibunakan adalah kualitatif-deskriptif. Output dari dilaksanakannya kegiatan ini adalah bertambahnya kapabilitas kaum ibu penerima PKH di Kelurahan Karangrejo dalam membuat sabun cuci piring yang bernilai ekonomis. Artikel ini dihasilkan dari realisasi kegiatan Kuliah Kernya Nyata (KKN) Mandiri Putra Daerah Periode 1 Tahun 2022",AS,,2022-02-11,
FEB4,PEMBUATAN APLIKASI PELAPORAN DATABASE ORGANISASI NIRLABA,"Abstract: Lembaga Amil Zakat Yatim Mandiri Lampung salah satu organisasi nirlaba yang konsen dalam memandirikan anak yatim dan dhuafa di Lampung. Lembaga ini memerlukan sebuah aplikasi yang dapat membantu meningkatkan akuntabilitasnya. Oleh sebab itu diperlukan penyusunan aplikasi pelaporan Database. Laporan Database suatu entitas diperlukan sebagai bentuk akuntabilitas bagi organisasi. Pada organisasi nirlaba yang mulai berkembang dan transaksi yang terjadi mulai banyak, diperlukan penerapan tekhnologi aplikasi atau software yang dapat membantu kelancaran prosesnya banyak software komputer yang dapat digunakan mulai dari yang sederhana sampai dengan yang kompleks. Aplikasi yang akan dibuat merupakan software yang dapat digunakan untuk membantu pembuatan laporan Database dalam perusahaan nirlaba  secara sederhana dan dapat digunakan untuk monitoring kinerjanya. Setelah melakukan wawancara pendahuluan pada lembaga amil zakat yatim mandiri, maka ditemukanlah permasalahan lembaga amil zakat dalam menyusun laporan database, sehingga mulailah dirancang desain aplikasi laporan, pada tahap perancangan awal masih ditemukan ketidaksesuaian pada aplikasi sehingga diperpanjang waktu untuk penyempurnaan aplikasi, lalu setelah disempurnakan aplikasi siap untuk diinstalkan di computer yang akan digunakan untuk penyusunan database. Selanjutnya pada tahap pengimplementasian system dilakukanlah pelatihan untuk staf administrasi di lembaga amil zakat yatim mandiri sampai aplikasi tersebut dapat digunakan secara efektif dan dapat membantu penyelesaian masalah pelaporan database yang selama ini menjadi kendala. Penerapan Aplikasi pelaporan dapat diterima dengan baik oleh lembaga amil zakat dan membantu dalam proses pembuatan laporan database yang mereka butuhkan secara cepat dan akurat dengan cara yang efektif dan efisien.",AS,,2017-12-11,
FKIP8,Multicultural Indonesian Learning in Primary School,"The development of Indonesian language learning, especially in SD/MI high grade can basically
be developed by the teacher in order to attract the students. The concerns of parents on the
information technology development can be minimized since the beginning of its utilization it was socialized through the learning process. Activities are implemented through three stages, namely preparation, implementation, and evaluation. Implementation and evaluation are grouped into 4 rounds. Each round involves two elementary school consisting of SD Negeri 1 and 1 MI. At the end of each round there are an evaluation models, the evaluation revised the model for the second round and so on until the fourth round. Model development was conducted over a 10-month study , involving 8 schools (4 elementary public and private faith-based 4th ), 16 teachers and 409 students. The minimum requirement of the involved school are: the principal is supporting, the teachers are innovative, and the schools have the computer / laptop and LCD equipments, VCD and TV monitor, or mobile phone. The results of the students’ pretest showed that the majority of students (89%) did not know the cultural diversity of the children in Lampung Province; and the small percentage of students who knew are allegedly known by seeing the television broadcast. The posttest results indicated that the children’s knowledge increased in accordance with what is expected in the model. Multicultural values developed, such as: tolerance, solidarity, empathy, courage to express themselves, to be honest, and fair are clearly expressed on the posttest students. One of the Indonesian SD / MI Instructional Materials Package were developed using the Dimension Series: Success Steps to Get the Achievement easily understood and can be integrated with all areas of study that could be a theme in the thematic learning model.

Keywords: language learning, elementary school, multicultural",AS,Proceedings: The 1st Sriwijaya University Learning and Education International Conference (SULE-IC) 2014 held by FKIP Unsri in Collaboration with Communication Forum for Indonesian State FKIP Deans,2014-05-16,"language learning, elementary school, multicultural"
FEB6,DIMENSI PERSEPSI RESIKO PADA PERILAKU BELANJA ONLINE KONSUMEN,"Perkembangan teknologi informasi dan komunikasi berdampak pada perubahan perilaku konsumen, yang sebelumnya berbelanja secara konvensional dengan melakukan pembelian melalui transaksi tatap muka, kini berbelanja secara virtual melalui perangkat elektronik yang terhubung dengan media internet. Belanja online menawarkan beberapa kelebihan yang menjadi faktor positif mendukung konsumen untuk melakukan berbelanja online. Namun belanja online juga memiliki kelemahan potensi terjadinya risiko kerugian yang berdampak negatif pada perilaku konsumen dalam memutuskan pembelian onlinenya.
Tujuan penelitian ini untuk mengetahui pengaruh dimensi persepsi risiko yang terdiri dari risiko keuangan, risiko produk, risiko waktu, risiko pengiriman, risiko sosial, dan risiko keamanan informasi terhadap perilaku konsumen dalam belanja online, dengan responden para konsumen di Bandar Lampung yang pernah melakukan belanja online sebanyak 100 orang. pengambilan sampel dilakukan dengan metode non probability sampling menggunakan teknik
purposive sampling.
Hasil penelitian ini menyatakan bahwa tiga dimensi risiko yakni risiko produk, risiko pengiriman, dan risiko keamanan informasi terbukti berpengaruh terhadap perilaku konsumen dalam memutuskan belanja online. Sementara tiga dimensi risiko lainnya, yakni risiko keuangan, risiko waktu, dan risiko sosial tidak terbukti berpengaruh terhadap perilaku konsumen dalam memutuskan berbelanja online.","AS, H1",,2017-11-08,
FEB6,PENGARUH KUALITAS LAYANAN ELEKTRONIK SIAKAD ONLINE TERHADAP KEPUASAN MAHASISWA DI FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS LAMPUNG,"Sistem Layanan Elektronik atau Electronic Services yang disingkat E-Services merupakan suatu aplikasi yang memanfaatkan Teknologi Informasi dan Komunikasi. Layanan elektronik merupakan layanan melalui internet yang mengacu kepada perdagangan melalui internet, dukungan pelanggan, termasuk layanan non-komersial yang biasanya disediakan oleh lembaga pemerintah. Industri perbankan dengan e-banking, industri penerbangan dengan e-ticketing, pemerintah dengan e-government dan industri pendidikan dengan e-learningnya.
Salah satu layanan elektronik yang disuguhkan oleh Perguruan Tinggi adalah SIAKAD Online, merupakan Sistem Informasi Akademik yang dibangun untuk memberikan kemudahan kepada sivitas akademika dalam kegiatan administrasi akademik kampus secara online. Siakad Online menggunakan sistem basis data terpusat     mengelola seluruh data secara terintegrasi sehingga data akan selalu up-to-date, realtime dan selalu siap untuk digunakan, serta mengurangi kemungkinan duplikasi data karena Siakad Online. Dengan menggunakan Siakad Online, maka kualitas pelayanan akademik yang diterima mahasiswa akan meningkat, terutama dalam hal keakuratan informasi, transfer informasi, efisiensi dan ketepatan waktu.
Tujuan penelitian ini adalah untuk mengetahui pengaruh kualitas layanan elektronik Siakad Online terhadap kepuasan mahasiswa di Fakultas Ekonomi dan Bisnis Universitas Lampung. Hipotesis pada penelitian ini adalah 1) Kualitas layanan elektronik Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis Universitas Lampung, 2) Kualitas layanan purna elektronik Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis.
Populasi penelitian ini adalah mahasiswa Fakultas Ekonomi dan Bisnis Universitas Lampung, dengan sampel sebanyak 100 responden, melalui metode non probability sampling dengan teknik random sampling. Analisis dilakukan  secara kualitatif menggunakan regregresi berganda dan analisis data secara kuantitatif dilakukan dengan menggunakan uji beda (uji t).
Hasil analisis data menunjukkan bahwa hipotesi yang menyatakan kualitas interaksi layanan elektronik (e-core service quality) Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis (β 0,480; t 5.640;  sig  0,00). Selanjutnya hipotesis yang menyatakan bahwa kualitas layanan purna elektronik (e-recovery service quality) Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis terjawab dan dapat didukung oleh hasil penelitian ini (β 0,346; t 4,066;  sig  0,00).","AS, H1, HN",Jurnal Bisnis dan Manajemen,2015-09-01,
FEB6,"PENGARUH PROMOSI DAN ELECTRONIC WORD-OF-MOUTH 
DI MEDIA SOSIAL TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN
DI BANDAR LAMPUNG","Media sosial menjadi sarana komunikasi penting yang digunakan orang untuk terhubung dengan orang atau organisasi lain. Orang-orang menggunakan media sosial untuk berbagi pengalaman mereka, ulasan (review), informasi, saran, peringatan, tips mengenai masalah apapun yang menarik untuk orang-orang yang terhubung dengan mereka. Informasi tersebut merupakan sumber yang membantu, yang dapat mempengaruhi pengambilan keputusan konsumen. 
Melalui hubungan personal (personal relevance),interaksi secara online (online interactivity), pesan yang diterima (message), serta kedekatan terhadap merek (brand familiarity), konsumen akan memiliki persepsi dan penilaiannya terhadap suatu produk atau merek atas kegiatan promosi yang dilakukan produk atau merek tersebut secara online pada media sosial. Serta dengan memperhatikan konsumen lain (Concern for Others consumer), memperhatikan kesan-kesan positif (Expressing positive feelings), keluhan-keluhan dan kekecewaan (Venting negative Feelings), manfaat yang diberikan (Social benefits), loyalitas konsumen lain terhadap suatu merek (Helping the company), dan referensi-referensi (Advice seeking) konsumen akan memiliki penilaian serta dapat mengevaluasi suatu produk atau merek melalui eWOM yang diterimanya secara online melalui situs sosial media, dan hal ini akan mempengaruhi konsumen dalam proses pengambilan keputusan pembelian suatu produk atau jasa.   
Tujuan dari penelitian ini adalah untuk mengetahui pengaruh promosi dan electronic word of mouth di media sosial terhadap keputusan pembelian konsumen di Bandar Lampung. Hipotesis pada penelitian ini adalah 1) Promosi di Media sosial berpengaruh terhadap Electronic Word of Mouth (E-WoM) konsumen di Bandar Lampung, 2) Promosi dan Electronic Word of Mouth (E-WoM)) di Media sosial berpengaruh terhadap keputusan pembelian konsumen di Bandar Lampung
Populasi penelitian ini adalah mahasiswa di Bandar Lampung, dengan sampel sebanyak 100 responden, melalui metode non probability sampling dengan teknik random sampling. Analisis dilakukan  secara kualitatif menggunakan regregresi berganda dan analisis data secara kuantitatif dilakukan dengan menggunakan uji beda (uji t).
Hasil analisis data menunjukkan bahwa hipotesi yang menyatakan promosi berpengaruh positif dan signifikan terhadap electronic word of mouth di situs media social didukung oleh hasil penelitian ini, dengan R2 sebesar 0.295, koefisien sebesar 0.544, dan nilai signifikansi sebesar 0.000 Sebaliknya hipotesis yang menyatakan bahwa promosi dan electronic word of mouth berpengaruh positif dan signifikan terhadap keputusan pembelian konsumen di Bandar Lampung tidak sepenuhnya di dukung oleh penelitian ini, dimana hanya electronic word of mouth saja yang terbukti berpengaruh positif dan signifikan dengan R2 sebesar 0.149, koefisien sebesar 0.269, dan nilai signifikansi sebesar 0.018. Sementara promosi tidak terbukti berpengaruh terhadap keputusan pembelian konsumen dengan nilai signifikansi melebihi 0.05 yakni 0.137.","AS, H1, HM, HN",Jurnal Bisnis dan Manajemen,2015-01-02,
FEB6,DIMENSI PERSEPSI RESIKO PADA PERILAKU BELANJA ONLINE KONSUMEN,"Perkembangan teknologi informasi dan komunikasi berdampak pada perubahan perilaku konsumen, yang sebelumnya berbelanja secara konvensional dengan melakukan pembelian melalui transaksi tatap muka, kini berbelanja secara virtual melalui perangkat elektronik yang terhubung dengan media internet. Belanja online menawarkan beberapa kelebihan yang menjadi faktor positif mendukung konsumen untuk melakukan berbelanja online. Namun belanja online juga memiliki kelemahan potensi terjadinya risiko kerugian yang berdampak negatif pada perilaku konsumen dalam memutuskan pembelian onlinenya.
 Tujuan penelitian ini untuk mengetahui pengaruh dimensi persepsi risiko yang terdiri dari risiko keuangan, risiko produk, risiko waktu, risiko pengiriman, risiko sosial, dan risiko keamanan informasi terhadap perilaku konsumen dalam belanja online, dengan responden para konsumen di Bandar Lampung yang pernah melakukan belanja online sebanyak 100 orang. pengambilan sampel dilakukan dengan metode non probability sampling menggunakan teknik purposive sampling.
Hasil penelitian ini menyatakan bahwa tiga dimensi risiko yakni risiko produk, risiko pengiriman, dan risiko keamanan informasi terbukti berpengaruh terhadap perilaku konsumen dalam memutuskan belanja online. Sementara tiga dimensi risiko lainnya, yakni risiko keuangan, risiko waktu, dan risiko sosial tidak terbukti berpengaruh terhadap perilaku konsumen dalam memutuskan berbelanja online.","AS, H1",Prosiding Seminar Nasional  & Konferensi Forum Manajemen Indonesia (FMI) Ke-9,2017-11-08,
FT9,"peer review dengan judul The Role of Internet of Things to Support Cultural Heritage Inventory in Urban Resiliency Approach: Tradisional House in Bandar Lampung Case,",,AS,,2019-04-25,
FP24,Pathogenicity of Entomopathogenic Fungi To Soybean Aphids Aphis glycines (Hemiptera: Aphididae),"The soybean aphid, Aphis glycines Matsumura (Hemiptera: Aphididae), is a major pest of soybean, Glycine max (L.). Merr., that significantly reduces yield throughout soybean-growing areas of  all over the country.  One of the potential control strategies of this pest is to use entomopathogenic fungi.  Beauveria bassiana (Balsamo) VuelleminVuill  and Metarrhizium anisopliae (Metschnikoff) Sorokin are the entomopathogenic fungi (EPF) that occur naturally in the environment and have a potential as biological control agents against many insect pests including the soybean aphid. Three fungal isolates of B. bassiana  (Tegineneng, Sumberjaya, and Tanggamus) and isolates of M. anisopliae  (Gading Rejo, Tegineneng, and UGM)  were tested to measure spore production and germination and also their  pathogenicity   against the soybean aphids under laboratory conditions.  The results showed  that spore production ranged from 9.9 x 106 to 13.28 x106 conidia ml-1 and 1.27 x 107  to 2.27 x 107 conidia ml-1 for the three B. bassiana and M. anisopliae  isolates, respectively. Spore viability after incubation for 24 h at 20 °C ranged from 64.76 to 82.25% for the three isolates of B. bassiana and  from 58.12 to 67.40% for M. anisopliae isolates tested.  Moreover, the pathogenicity bioassays  showed  that both  B. bassiana and M. anisopliae  fungi were capable to cause infection and developed mycosis on soybean aphids.  Mortality ranged from 82.91 to 93.7% and  74.44 to 85.55% among the three  isolates of B. Bassiana and M. anisopliae,  respectively. Highly mortality values  indicate that some isolates of B. bassiana and M. anisopliae are highly pathogenic to the soybean  aphid. In addition,  the  lethal concentration for 50% mortality (LC50 ) value for the most pathogenic isolate of B. bassiana was 4.5 × 104 conidia ml-1, whereas the LC50 value for M. Anisoplia was  8.9 × 105 conidia ml-1. The lethal time for 50% mortality (LT50) values were  obtained   in the highest spore concentration  of 108 conidia ml-1 of B. bassiana  and M. Anisopliae as 3.64 and 5.54 days, respectively. The lower LC50 and LT50 values of B. bassiana indicate its higher virulence compared to M. anisopliae. This study demonstrates the prospects of the two entomopathogenic  fungi for the management of the soybean  aphid.",AS,,2016,
FEB4,Penerapan Standar Akuntansi Keuangan Dalam Pencatatan Transaksi Bisnis UMKM Barbershop,"Standar Akuntansi merupakan format baku dalam penyajian laporan keuangan. Laporan keuangan merupakan alat pelaporan bisnis yang digunakan manajemen dalam memberikan informasi keadaan keuangan suatu entitas bisnis/ perusahaan. Usaha Mikro, Kecil dan Menengah (UMKM) adalah skala usaha yang paling banyak digeluti oleh masyarakat pada umumnya, salah satunya Barbershop. Menjamurnya kegiatan usaha ini dalam rangka memenuhi kebutuhan masyarakat khususnya kaum pria. Dalam praktiknya, usaha ini masih kesulitan dalam penyajian laporan operasional usaha, para pelaku UMKM Barbershop masih belum memisahkan transaksi pribadi dan transaksi usaha. Untuk itu, pelatihan ini dilakukan dalam rangka memberikan informasi serta ketrampilan dalam pembuatan catatan keuangan yang sesuai dengan standar akuntansi yang berlaku secara umum. Pelatihan telah dilaksanakan pada tanggal 10 September 2018 di Kelurahan Perumnas Way Kandis Kecamatan Tanjung Senang, Bandar Lampung. 
Kata kunci: Standar Akuntansi, Transaksi Bisnis, UMKM Barbershop.",AS,Prosiding Pengabdian Kepada Masyarakat Pengabdian Kepada MAsyarakat melalui diseminasi hasil penelitian terapan.,2018,
