division,title,abstract,subjects,publication,date,keywords
,Pemikiran Ekologis Friedrich Engels: Tawaran Menuju Ekologi Manusia Marxian,,"B1, H1, HX",,2020,
FISIP7,Pemikiran Ekologis Friedrich Engels: Tawaran menuju Ekologi Manusia Marxian,Sejak dua dasawarsa terakhir anggapan bahwa Marxisme yang 'Promethean' telah dipatahkan oleh serangkaian pembacaan baru yang mengemukakan pentingnya dimensi ekologis dalam pemikiran Marx dan Engels. Urgensi ini diartikulasikan dalam konsepsi metabolisme yang Marx gunakan untuk memahami relasi manusia dan alam. Perhatian atas dimensi ekologis serta ilmu pengetahuan alam juga kentara dalam karya‐karya Friedrich Engels. Esai ini ditujukan untuk memperkenalkan pemikiran ekologi Friedrich Engels. Pandangan Engels tentang ekologi sesungguhnya memiliki relevansi yang kuat dengan perkembangan pemikiran dalam bidang kajian antropologi lingkungan atau ekologi manusia.,"B1, HX",,2020,
FISIP7,Perhimpunan Muda Collected Notes from Marxism Studies in 2014,,"B1, HX",,2020-04,
FP1,Community Diversion Behavior in Pringsewu District,"This type of research uses qualitative phenomenology. The 
term phenomenology has been used so widely that there are 
different interpretations among experts. According to 
Polkinghorne (Creswell 1998), phenomenological studies 
describe the meaning of a life experience for some people 
about a concept or phenomenon. People who are involved in 
dealing with a phenomenon explore the structure of awareness 
of human life experience. The focus of phenomenological 
research is on essence (essence or basic things), invariant 
structure (structures that remain essential of live experience 
(things that are important from life experience) a group of 
people (community).",B1,International Journal of Research and Innovation in Social Science (IJRISS),2020-09,
FP1,Community Diversion Behavior in Pringsewu District,"This type of research uses qualitative phenomenology. The term phenomenology has been used so widely that there are different interpretations among experts. According to Polkinghorne (Creswell 1998), phenomenological studies describe the meaning of a life experience for some people about a concept or phenomenon. People who are involved in dealing with a phenomenon explore the structure of awareness of human life experience. The focus of phenomenological research is on essence (essence or basic things), invariant structure (structures that remain essential of live experience (things that are important from life experience) a group of people (community).",B1,,2020,
FKIP12,BUKU AJAR FILSAFAT ILMU,,"B1, L1",,2021-10,
FP1,The Effectiveness of Multicultural- Based Social Sciences Teaching Materials for Optimizing Nationality Character of Students in Junior High School One Natar South Lampung Regency,"This research is motivated by the lack of nationality 
and multicultural values, the limited number of textbooks in 
schools that are only received from the government and the lack 
of interesting books. Then, the need for multicultural-based 
learning modules that have nationality character values. The 
research aims to produce IPS multicultural based teaching 
material products and to analyze the effectiveness of the use of 
multicultural based IPS teaching materials. This research is a 
development research (R&D) of Borg and Gall. The module 
products are validated by learning material experts, learning 
media or design experts, linguists, social studies teachers and 
students. The effectiveness of the product is obtained by using a 
pre-test and post-test (control group design) experimental test. 
The pre test and post test results of IPS tests were analyzed using 
t test and normalized gain comparison. Based on the results of 
data analysis and discussion, the following conclusions are 
obtained: 1) Learning that uses multicultural-based teaching 
materials in social studies subjects as learning resources in social 
studies learning can improve student character values. 2) 
Learning social studies using multicultural-based social studies 
teaching materials for eighth grade junior high school students is 
more effective than using non-development modules in schools. 
The module's teaching materials are effective by being proven 1) 
Learning that uses multicultural-based teaching materials in 
social studies subjects as learning resources in social studies 
learning can improve student character values. 2) Learning 
social studies using multicultural-based social studies teaching 
materials for eighth grade junior high school students is more 
effective than using non-development modules in schools. The 
module's teaching materials are effective by being proven 1) 
Learning that uses multicultural-based teaching materials in 
social studies subjects as learning resources in social studies 
learning can improve student character values. 2) Learning 
social studies using multicultural-based social studies teaching 
materials for eighth grade junior high school students is more 
effective than using non-development modules in schools. The 
module's teaching materials are effective by being provent-test 
analysis of pre-test and post-test data on the learning outcomes 
of the control class and the experimental class, it is known that 
the average learning outcomes of the experimental class are 
better than the control class. From these results there is clearly a 
difference between the experimental class and the control class. 
Thus thatmulticultural-based IPS teaching materialswhich 
proved to be more effectively used in learning. The results of the 
test indicate that there is a significant difference and increase in 
student character outcomes from the experimental and control 
class","B1, BL, GF",International Journal of Research and Innovation in Social Science (IJRISS),2020-07,
FP1,"Preservation of Meaning and Value of Local Wisdom
Traditional House of Lampung Kepaksian Pernong
West Lampung","Qualitative research according to Bodgan and Taylor (1992) 
in Sujarweni (2014: 19) is a research procedure that produces 
descriptive data in the form of speech or writing and the 
behavior of the people being observed.
This approach strategy was chosen on the basis of the 
consideration that (1) a qualitative approach, even though it 
only covers a small / limited scale of the research location, is 
able to develop a broader conceptual framework, (2) this 
approach model is not only concerned with results, but also 
aspects of the process is something more important, even (3) 
this ethnographic qualitative approach is very good if a study 
wants to explain a phenomenon in depth and thoroughly so 
that the results of the research are detailed descriptions that 
are not rigid but also in-depth (Bogdan & Tylor, 1982: 35-
37).
Further considerations regarding this research approach are 
based on the diversity of carvings and spatial layouts in the 
Pernong testimonials, compared to the other four testimonies, 
so that the focus of this research is based on the meaning of 
spatial values and the value of carvings at the Pernong Palace. TThe data collection technique used to obtain data in the 
study was triangulation, which is a data collection technique 
that combines various data collection techniques and existing 
data sources. Researchers used different data collection 
techniques to obtain data from the same source. Researchers 
used observation, in-depth interviews and documentation.","B1, BL",International Journal of Research and Innovation in Social Science (IJRISS),2020-09,
,Friedrich Engels: Pemikiran dan Kritik,,"B1, H1, HX",,2020,
FKIP2,"Well-Being on Lecturer: Reviewed from Gratitude and
Religiosity","Lecturers are a noble and more promising job. Many young people want to become lecturers. Nevertheless, more and more demands in developing a lecturers career will have an impact on well-being of lecturers. The purpose of this research is to know the role of gratitude and religiosity towards well-being of lecturers. The sample for this research is 123 lecturers from several universities in Jakarta. Data collection tools used in this study is the psychological scale of the scale of gratitude, the scale of religiosity and scale well-being. Result in this research is there is relationship of gratitude and religiosity to well-being.",B1,International Journal of Engineering & Technology,2018,
