division,title,abstract,subjects,publication,date,keywords
FKIP2,The Learning Community Based Model In The Context Of Teacher-Parent Partnership For Preparing Post-Disaster Recovery And Resilience Of Elementary Student At Risk Area In Indonesia.,"The frequent disaster events in Indonesia have been a major challenge for concerning more consideration on integrating disaster education curricula'. Models of Learning Community to enhance the students' disaster recovery and resilience have been criticized for not being embedded in the context of partnership between school and society. This paper highlighted an adapted Learning Community model, which the qualitative investigations indicated that it was potentially effective in facilitating students' disaster literacy, attitudes and skills for preparing post-disaster recovery and resilience in the context of learning community approach. The role shift needed to embed and extend the optimalization of teacher-parents involved in the school program that was achieved through the positive support and commitment of them in the engaging of schools program development.","BF, LB",,,
FKIP2,Mapping and Developing Students Resilence in A Risk-disaster Area,,BF,International Journal of Education and Research,2017-09,
FKIP2,"POLA ASUH ORANG TUA, KONSEP DIRI DAN KAITANNYA DENGAN KEMATANGAN ARAH PILIHAN KARIR MAHASISWA","Abstract; The contribution of parental involvement, self concept in increasing the maturity of the students ' career choices. The purpose of this study was to describe the contribution of parental involvement and self concept of students career choices towards maturity. The population of this research is the final level students majoring in science education FKIP Unila with number of samples as much as 88 people with simple random sampling techniques.The research consists of three Data questionnaire; parental involvement, self concept and the maturity of the students career choices.  The data analysis done in a descriptive and for testing the hypotheses used simple regression analysis techniques and multiple regression. The results showed that 1) parental involvement contribute to the maturity of the students career choices, 2) concept of themselves contribute to the maturity of the students career choices, 3) parental involvement and self Concept together also contribute to the maturity of the students career choices. This research it can be concluded that parental involvement and good self concept separate and jointly contribute to the maturity of the students ' career choices.

Keywords: Parental Involvement, Self-Concept, Career Choices Maturity",BF,repository unila,,"Parental Involvement, Self-Concept, Career Choices Maturity"
FEB6,Antecedent of Organizational Citizenship Behavior:  Positive and Negative Affectivity,"This set of tests sought to examine the influence of affectivity on OCB. The use of Affective
Event Theory could have deﬁnitively influenced the results of this study. There have been limited studies
on the impact of positive and negative affectivity on OCB simultaneously. Overall, the study of the effect
of negative affectivity on OCB is inconclusive. The novelty of this study is the finding of the effect of
negative affectivity on OCB. This study identifies the area of Sharia Banks as an area requiring further
investigation. The sample is 115 employees from four Sharia banks in Lampung. The findings show that
positive affectivity influence OCB positively. But also, negative affectivity influence OCB negatively.
This study suggests that employees who experience positive feelings will behave in sportsmanship,
altruism, politeness, awareness, and civic virtue. In contrast, employees with negative feelings tend to
impact behavior negatively.","BF, H1",,2020,
FKIP25,KREATIVITAS DALAM PENDIDIKAN MUSIK: BERPIKIR DIVERGEN DAN KONVERGEN,"Musik merupakan hasil dari pemikiran dan proses kreatif. Karya musik diciptakan melalui ide-ide baru kepada penikmatnya. Dalam konteks pendidikan musik, kreativitas merupakan alat untuk mencapai tujuan pembelajaran musik. Strategi pembelajaran didasaran pada pemikiran untuk memancing peserta didik menumbuhkan ide-ide (divergen) dan mencari solusi (konvergen). Artikel ini mempersepsikan kreativitas sebagai sebuah alat berpikir dalam konteks pendidikan musik. Literature review digunakan sebagai metode untuk melakukan identifikasi mendalam dan kritis terhadap penelitian sebelumnya (Aveyard, 2014). Kreativitas memberikan nilai pada kualitas pembelajaran musik melalui aktivitas berpikir yang dinamis. Mengaransemen, berimprovisasi dalam materi musik tertentu (seperti jazz), dan secara teratur mempraktikkan sight-reading adalah pola belajar yang berlandaskan kreativitas. Musik dapat dilibatkan dalam proses pembelajaran untuk membangkitkan gairah dalam belajar musik (lihat: Ritter & Ferguson, 2017).

Kata kunci: Kreativitas, pendidikan musik, berpikir divergen dan konvergen","BF, M1, ML, MT",Musikolastika,2020-06-20,
FKIP2,COUNSELOR CHARACTERISTIC AMONG CANDIDATED COUNSELOR BASED ON GENDER GROUP DIFFERENCES,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",BF,Jurnal Psikologi Malahayati,2020,
FKIP2,PEMBUATAN APLIKASI PENDETEKSI KESEJAHTERAAN PSIKOLOGI BERBASIS APPS (DELIT-DETEKSI MENTAL DAN INTERVENSI TERPADU),"PEMBUATAN APLIKASI PENDETEKSI 
KESEJAHTERAAN PSIKOLOGI BERBASIS APPS
(DELIT-DETEKSI MENTAL DAN INTERVENSI TERPADU)

Shinta Mayasari*, Moch Johan Pratama
1Bimbingan dan Konseling, Fakultas Keguruan dan Ilmu Pendidikan, Universitas Lampung, 
Jl. Prof. Dr. Soemantri Brojonegoro No. 1 Bandar Lampung, Indonesia
*e-mail: shinta.mayasari@fkip.unila.ac.id

Abstrak


Kesejahteraan psikologi merupakan suatu kondisi tertinggi yang dapat dicapai oleh individu, mencakup evaluasi dan penerimaan diri pada berbagai aspek kehidupan, serta ditandai dengan rasa bahagia dan adanya kepuasan dalam hidup. Meskipun demikian, kesejahteraan psikologi masih jarang menjadi fokus perhatian masyarakat Indonesia karena adanya sikap tabu untuk terbuka membicarakan isu permasalahan mental yang erat kaitannya dengan ketidaksejahteraan psikologi. Padahal, riset kesehatan dasar Kementerian Kesehatan Republik Indonesia menunjukkan bahwa pada tahun 2018 sedikitnya terdapat sejumlah 11.315.500 masyarakat Indonesia yang terkategori mengalami depresi. Fakta tersebut dapat diibaratkan sebagai fenomena gunung es, sebab angka kasus yang terjadi dapat jauh lebih tinggi dari angka temuan. Bahkan, upaya penanggulangan permasalahan psikologi melalui bantuan tenaga psikolog pun masih dianggap sebagai pilihan alternatif semata oleh masyarakat. Oleh karena itu, peneliti melakukan upaya riset yang bertujuan membangun aplikasi prastart-up pendeteksi kesejahteraan psikologi berbasis aplikasi. Aplikasi prastart-up tersebut telah berhasil dibangun dengan merk dagang MAHAN. Pembentukan aplikasi menggunakan desain bisnis B2C yang bertujuan membentuk pangsa pasar terhadap perguruan tinggi dan masyarakat umum lainnya. Metode yang digunakan adalah product validation dan a/b testing yang kemudian dikembangkan dengan scrum sprint. Pengembangan content dilakukan bekerjasama dengan HIMPSI wilayah Lampung, Formabika FKIP Unila, dan Sthala.Talk Sehat Mental Unila. Sehingga, aplikasi ini mampu memberikan informasi mengenai tingkat kesejahteraan psikologi individu, serta menyediakan layanan terpadu untuk meningkatkan kesejahteraan psikologi sesuai dengan kebutuhan masing-masing individu pengguna aplikasi MAHAN.

Kata kunci: kesejahteraan psikologi, layanan psikologi, aplikasi MAHAN.",BF,,2021-10-21,
FKIP2,"Sosialisasi Implementasi Media Layanan Informasi dengan Tema 
Kesejahteraan Psikologis",": Health is a basic need for every individual. Health is not only related 
to physical health, but also mental health. Psychological wellbeing is a 
manifestation of an individual's mental health. Psychological wellbeing is 
positively correlated with social support, internal locus of control, optimism, job 
satisfaction, self-efficacy, contextual performance, gratitude, resilience, and job 
involvement. Individual processes to achieve psychological wellbeing need to 
be pursued through the provision of systematic guidance services. Information 
service is one of the important services to be implemented because every 
individual is basically thirsty for information. Information can be used by 
individuals to increase their knowledge and understanding of the concept of 
psychological wellbeing. This community service is designed to implement 
psychological wellbeing information services with educational comic media. 
Educational comics media are considered to be more effective in delivering 
information, more varied so that they do not become saturated, and can be 
accessed wherever they are.
Keywords: information services; mental health; psychological wellbeing
Abstrak: Kesehatan merupakan kebutuhan dasar bagi setiap individu. 
Kesehatan tidak hanya terkait dengan kesehatan fisik semata, melainkan juga 
kesehatan mental. Kesejahteraan psikologis merupakan manifestasi dari 
kesehatan mental seorang individu. Kesejahteraan psikologis berkorelasi 
positif dengan dukungan sosial, lokus pengendalian internal, optimisme, 
kepuasan kerja, efikasi diri, kinerja kontekstual, rasa syukur, resiliensi, dan 
keterlibatan kerja. Proses individu untuk mencapai kesejahteraan psikologis 
perlu diupayakan melalui pemberian layanan bimbingan secara sistematik. 
Layanan informasi merupakan salah satu layanan yang penting untuk 
dilaksanakan karena setiap individu pada dasarnya haus informasi. Informasi 
dapat digunakan oleh individu untuk menambah pengetahuan dan 
pemahaman terhadap konsep kesejahteraan psikologis. Pengabdian kepada 
masyarakat ini dirancang untuk mengimplementasikan layanan informasi 
kesejahteraan psikologis dengan media komik edukasi. Media komik edukasi 
dirasa lebih efektif dalam penyampaian informasi, lebih bervariasi sehingga 
tidak membuat jenuh, dan bisa diakses dimanapun berada.
Kata Kunci: layanan informasi; kesehatan mental; kesejahteraan psikologis",BF,Nuwo-Abdimas,2022-11-22,"information services; mental health; psychological wellbeing
Abstrak: Kesehatan merupakan kebutuhan dasar bagi setiap individu. 
Kesehatan tidak hanya terkait dengan kesehatan fisik semata, melainkan juga 
kesehatan mental. Kesejahteraan psikologis merupakan manifestasi dari 
kesehatan mental seorang individu. Kesejahteraan psikologis berkorelasi 
positif dengan dukungan sosial, lokus pengendalian internal, optimisme, 
kepuasan kerja, efikasi diri, kinerja kontekstual, rasa syukur, resiliensi, dan 
keterlibatan kerja. Proses individu untuk mencapai kesejahteraan psikologis 
perlu diupayakan melalui pemberian layanan bimbingan secara sistematik. 
Layanan informasi merupakan salah satu layanan yang penting untuk 
dilaksanakan karena setiap individu pada dasarnya haus informasi. Informasi 
dapat digunakan oleh individu untuk menambah pengetahuan dan 
pemahaman terhadap konsep kesejahteraan psikologis. Pengabdian kepada 
masyarakat ini dirancang untuk mengimplementasikan layanan informasi 
kesejahteraan psikologis dengan media komik edukasi. Media komik edukasi 
dirasa lebih efektif dalam penyampaian informasi, lebih bervariasi sehingga 
tidak membuat jenuh, dan bisa diakses dimanapun berada.
Kata Kunci: layanan informasi; kesehatan mental; kesejahteraan psikologis"
FKIP2,"KONFORMITAS TEMAN SEBAYA DALAM PERSPEKTIF 
MULTIKULTURAL",": The aim of this study was to determine the conformity profile peers based on 
multiculture perspective. Participants in this study weres 76 students senior hig school consist 
of 32 boys student and 44 girls students. This research approach using quantitative approach, 
types of research using a cross sectional survey. The instruments used was a scale conformity 
peers. Data were analyzed using analysis Mann-Whitney U with a score of 702,5 and a 
significance probability value of 0.414. Because the probability of significance 0.987 > 0.05, 
the results showed that there was no difference conformity peers in the boys student and girls 
student. 
Keywords: Adolesence, Conformity, Multiculture.","BF, L1",JOMSIGN: Journal of Multicultural Studies in Guidance and Counseling (JOMSIGN),2017-03,"Adolesence, Conformity, Multiculture."
FKIP23,Relationship Between Parenting Self Efficacy and Parenting Stress on Parents to Support Early Children Playing at Home,"This research was motivated by the challenges of parents in taking care of their children when facing the coronavirus pandemic happening globally.  This makes conditions change in various sectors.  The implementation of “Work from Home” and “School from Home” is a government policy to break the chain of the coronavirus. The purpose of this research was to determine the relationship between parenting self-efficacy and parenting stress on parents to support early children playing at home. The research design was quantitative simple correlation. The population in this research were parents having young children in Bandar Lampung City. The sample of this research was selected by simple random sampling technique. The results showed that there was a significant negative relationship between parenting self-efficacy and parenting stress on parents in accompanying early childhood playing at home.  So, if the parenting self-efficacy of parents is high, it can reduce the parenting stress when accompanying children to play at home. Based on these findings, this study suggests (1) further research should be done on a larger subject, (2) further research can compare between parents inservice and preservice training parenting, (3) Researchers can look for other factors as stressors for parents in parenting early childhood at home.","BF, L1",Indonesian Journal of Early Childhood Education Studies,2020-11,
