division,title,abstract,subjects,publication,date,keywords
FKIP24,Pola Permukiman Etnis Tionghoa di Bandar Lampung: Suatu Tinjauan Historis,"“The Settlement Patterns of Chinese Community in Bandar Lampung: A Historical Review”. The research aims to find the history and the distribution of Chinese ethnic settlements in Bandar Lampung City, Lampung, Indonesia. The research method used is the historical research method, that is method which includes heuristic, critics, interpretation, and historiography. Interview techniques were also conducted with respondents, who were from Chinese-Indonesian ethnicity. Historical research methods try to reconstruction the past event objectively and systematically by collecting, evaluating, verifying, and analyzing the evidence to establish the facts and obtain strong conclusions. The results of the study can be concluded that in Bandar Lampung, Chinese in general there are three tribes, namely the Khe tribe, the Hok Kian tribe, and the Kong Hu tribe, who have different types of work and affect existing settlement patterns. Distribution of ethnic Chinese community settlements in Bandar Lampung follows the liner pattern or centralized, clustering, and spreading. In the linear pattern, it can be seen that the ethnic Chinese people, majority and ideally, live linearly; and because they are traders, they use the straight line of the streets. In addition, they also have to live in groups to look after each other and help each other in various life aspects. While the majority of ethnic Chinese people who live spread are those who are economically inadequate; and, finally, they blended with ordinary people in Lampung, Indonesia.",D1,SOSIOHUMANIKA: Jurnal Pendidikan Sains Sosial dan Kemanusiaan,2020-05,
FKIP24,Pola Permukiman Etnis Tionghoa di Bandar Lampung: Suatu Tinjauan Historis,"The Settlement Patterns of Chinese Community in Bandar Lampung: A Historical Review”. The research aims to find the history and the distribution of Chinese ethnic settlements in Bandar Lampung City, Lampung, Indonesia. The research method used is the historical research method, that is method which includes heuristic, critics, interpretation, and historiography. Interview techniques were also conducted with respondents, who were from Chinese-Indonesian ethnicity. Historical research methods try to reconstruction the past event objectively and systematically by collecting, evaluating, verifying, and analyzing the evidence to establish the facts and obtain strong conclusions. The results of the study can be concluded that in Bandar Lampung, Chinese in general there are three tribes, namely the Khe tribe, the Hok Kian tribe, and the Kong Hu tribe, who have different types of work and affect existing settlement patterns. Distribution of ethnic Chinese community settlements in Bandar Lampung follows the liner pattern or centralized, clustering, and spreading. In the linear pattern, it can be seen that the ethnic Chinese people, majority and ideally, live linearly; and because they are traders, they use the straight line of the streets. In addition, they also have to live in groups to look after each other and help each other in various life aspects. While the majority of ethnic Chinese people who live spread are those who are economically inadequate; and, finally, they blended with ordinary people in Lampung, Indonesia.","C1, D1",SOSIOHUMANIKA: Jurnal Pendidikan Sains Sosial dan Kemanusiaan,2020,
FKIP24,Pertempuran 5 Jam di Kalianda: Mempertahanan Republik Indonesia di Pintu Gerbang Sumatera,"Tanggal 1 Januari 1949, bertetapan dengan 12 hari setelah meruntuhkan Ibukota Yogyakarta, Belanda mengarahkan pasukannya menuju sai bumi ruwa jurai, Karesidenan Lampung dan melumpuhkan Teluk Betung-Tanjung Karang, Ibukota karesidenan. Lampung yang sebelumnya jauh dari hingar bingar bunyi tembakan mendadak panas dengan kobaran semangat rakyat untuk mempertahankan wilayahnya demi mempertahankan kemerdekaan Republik Indonesia dari Agresi Militer Belanda II. Salah satu wilayah yang bergejolak di Lampung adalah Kalianda, kota yang berada di ujung selatan Pulau Sumatera. Apa artinya Indonesia tanpa wilayahnya, inilah kesadaran nasionalisme yang dimiliki rakyat Lampung untuk berjuang mempertahankan wilayahnya. Ada peristiwa heroic yang dikenang masyarakat Kalianda yaitu pertempuran 5 jam yang berhasil memukul mundur tentara Belanda tanggal 21 Maret 1949 oleh segenap kekuatan perlawanan rakyat semesta pimpinan Kolonel Makmum Rasyid. Pertempuran 5 jam terjadi pukul 01.00 sampai pukul 05.00. Pertempuran mengakibatkan 10 korban jiwa, 2 korban luka-luka dari pasukan Kolonel Makmun Rasyid 9 orang tewas dari pihak Belanda.","D1, D731, D839",,2016,
FKIP12,"The Improvement of Student Intelectual and Participatory Skill Through Project
Citizen Model in Civic Education Classroom","Abstract. The use of learning models in classroom civic education becomes substantive. Improving student
learning outcomes and motivation in the classroom is the main goal of the project citizen model. The learning
steps in this model invite students to be active, think critically, be able to work together, be creative, and get
an effective learning experience. The control class and the experimental class are subject to quasi experiment.
The results show that there is a significant increase in students' intellectual and participatory skills in students
who use project citizen models. The creativity and ability of the teacher to use the learning model project
citizen has implications for student motivation and open classroom climate. The implication of this research is
that building a democratic society requires education so that its citizens can criticize and understand existing
problems. Thus the civic education will produce a democratic education by giving birth to a smart, open,
independent and democratic future generation.
Keywords: civic education, classroom, model project citizen, intellectual skill, participatory skill","D1, H1, K1, L1, Q1",INTERNATIONAL JOURNAL PEDAGOGY OF SOCIAL STUDIES,2018-06,"civic education, classroom, model project citizen, intellectual skill, participatory skill"
FP5,Perbandingan Metode Maximum Likelihood Clasification (MLC) dan Object Oriented Clasification (OOC) dalam Pemetaan Tutupan Mangrove di Kabupaten Lampung Selatan,"Hutan mangrove berperan penting dalam menjaga ekosistem daerah pesisir.
Ekosistem ini telah banyak mengalami konversi dan alih fungsi lahan menjadi tambak,
pemukiman, perkebunan, dan sawah. Informasi mengenai tutupan hutan mangrove secara
periodik dan akurat sangat diperlukan untuk memastikan ekosistem ini terjaga dengan baik,
akan tetapi saat ini informasi tersebut masih sangat terbatas ditinjau dari aspek kuatitas data
maupun metodologi pemetaannya. Penelitian ini bertujuan untuk menganalisis teknik deteksi
hutan mangrove yang paling tepat dengan menggunakan citra satelit penginderaan jauh secara
digital. Lokasi penelitian adalah Kabupaten Lampung Selatan. Tutupan lahan mangrove
dihasilkan dari proses klasifikasi citra satelit menggunakan algoritma maximum likelihood
classification dan object oriented classification. Hasil penelitian menunjukkan  bahwa algoritma
object oriented classification merupakan metode klasifikasi yang lebih baik dan akurat dalam
memetakan hutan mangrove dengan nilai akurasi sebesar 95%. Total tutupan hutan mangrove
di Kabupaten Lampung Selatan yang dihasilkan dari hasil klasifikasi ini pada tahun 2017
adalah seluas 458 ha.","D1, S1, SD",Jurnal Hutan Tropis,2019-11,
FKIP24,"PEMBUATAN VIDEO PEMBELAJARAN SEJARAH UNTUK MENDUKUNG
E-LEARNING DI MASA PANDEMI BAGI MGMP SEJARAH PROVINSI
LAMPUNG","Pelatihan pembuatan video pembelajaran bagi MGMP Sejarah di Provinsi
Lampung ini dilakukan melalui dua tahap yaitu kegiatan pelatihan dan tindak
lanjut berupa kewajiban peserta pelatihan untuk membuat video pembelajaran
sesuai topik yang telah ditentukan. Kegiatan ini bertujuan untuk memberikan
pelatihan kepada guru sejarah agar mampu merancang media pembelajaran
berbasis video pembelajaran yang dapat mendukung e-larning. Metode yang
digunakan dalam pelatihan ini terdiri dari dua yaitu penyuluhan dan pelatihan.
Penyuluhan berupa penyampaian materi yang bersifat teoretis tentang
pengembangan bahan ajar berbasis video. Sedangkan, pelatihan bertujuan untuk
menanamkan keterampilan praktis kepada guru untuk merancang video
pembelajaran. Kegiatan pelatihan pembuatan video pembelajaran berjalan dengan
baik hal ini terlihat dari tingginya antusiasme peserta selama mengikuti pelatihan.
Keberhasilan kegiatan pelatihan ini juga ditunjukkan dengan adanya peningkatan
skor posttest peserta yang lebih tinggi dibandingkan dengan hasil pretest. Di masa
yang akan datang pelatihan pembuatan video pembelajaran ini perlu dilakukan
pada semua jenjang pendidikan mengingat pentingnya penggunaan media audio
visual pada proses pembelajaran.",D1,RESONA: Jurnal Ilmiah Pengabdian Masyarakat,,
FKIP24,"DWIFUNGSI ABRI DALAM SOSIAL POLITIK SEBAGAI GERAKAN AKAR
RUMPUT PADA MASA ORDE BARU","This research aims to determine the implementation of ABRI in the village in building community credibility
and to find out ABRI's contribution to Golkar as a political machine. The method uses historical research
methods or historical research, while the stages of historical research are Heuristics, Criticism, Interpretation
and Historiography. The data that has been collected from the regional libraries and university libraries have
been evaluated, verified and synthesized evidence to establish facts and draw conclusions. The results showed
that: 1. The implementation of ABRI entering the village is very useful in accelerating development, both
physical development and non-physical development for improving the economy and welfare of the
community and serves as a means of strengthening national unity, overcoming difficulties that occur in the
region and accelerating village development in an effort to maintain the integrity of the Unitary Republic of
Indonesia. 2. ABRI's contribution to Golkar is seen in the political structure of ABRI and Golkar can be
likened to a machine to perpetuate the New Order's power. Golkar is a political machine through general
elections. The success achieved by Golkar in the election is the success achieved by ABRI in maintaining
power.",D1,"KRAKATOA: Journal of History, History Education, and Cultural Studies",2022-04-14,
FKIP24,"EKSPLORASI ASPEK HISTORIS MASJID JAMI’ AL-ANWAR DALAM PROSES ISLAMISASI DI TELUK BETUNG SELATAN, LAMPUNG","Tujuan penelitian ini adalah untuk mengetahui sejarah serta perkembangan Masjid Jami’ Al-Anwar dalam proses Islamisasi di Lampung. Metode yang digunakan dalam penelitian adalah metode historis yang meliputi heuristik, kritik/verifikasi, interpretasi, dan historiografi. Hasil penelitian menyatakan bahwa Masjid Jami’ Al-Anwar merupakan masjid tertua di Provinsi Lampung yang pada zaman dahulu digunakan sebagai proses Islamisasi di Lampung. Masjid Jami’ Al-Anwar sangat berpengaruh dalam kehidupan masyarakat dari waktu ke waktu. Masjid Jami’ Al-Anwar memiliki banyak benda bersejarah yang tersimpan dalam komplek Masjid Jami’ Al-Anwar seperti Al-Qur’an tertua di Lampung yang berasal dari Arab Saudi tahun 1934, meriam peninggalan Portugis pada tahun 1111 M, gentong air bercorak Chinese, sebuah sumur tua buku-buku dan arsip peninggalan Belanda dan Portugis.",D1,Artefak,2022-04,
FKIP24,Urgensi Arsip Digital Sebagai Bahan Rujukan Penelitian Sejarah di Era Pandemi Covid-19,"Tujuan penulisan artikel ini yaitu untuk memberikan gambaran tentang pentingnya digitalisasi arsip yang dilakukan oleh lembaga kearsipan untuk menunjang kepentingan penelitian sejarah yang memberikan dampak bagi kualitas penelitian sejarah. Pandemi Covid-19 yang menyebar ke seluruh Indonesia menyebabkan peneliti mengalami suatu kendala dalam melakukan penelitian sejarah dimana sulit mendapatkan berbagai macam sumber untuk mendukung penelitian. Sehingga penggunaan arsip digital diharapkan menjadi solusi untuk mempermudah melakukan penelitian sejarah di era pandemi Covid-19. Metode yang dipergunakan dalam penulisan artikel ini adalah metode kualitatif. Layanan Arsip digital telah banyak disediakan oleh berbagai lembaga kearsipan. Salah satunya yakni layanan arsip digital yang dibuat oleh Arsip Nasional Republik Indonesia berupa Laman Sejarah Nusantara. Ketersediaan layanan arsip digital sangat membantu dalam menunjang penelitian sejarah yang sedang dilakukan, kesulitan mencari sumber secara langsung dilapangan pada masa pandemi Covid-19 dan kesulitan mencari sumber buku maupun arsip statis secara langsung dapat diatasi dengan memanfaatkan sejumlah layanan digital yang tersedia.","D1, HN","KRAKATOA: Journal of History, History Education, and Cultural Studies",2022-04,
FKIP24,Orientasi Bernegara Republik Indonesia Periode 1959-1965,"Kegagalan demokrasi parlementer atau demokrasi liberal menjadikan pemerintahan Indonesia tidak stabil. Sistem demokrasi liberal dengan multipartai yang dijalankan diinspirasi salah satunya dari  sistem yang berlaku di Belanda. Hal ini menunjukkan bahwa Indonesia belum lepas dari pengaruh kolonialisme dan imperialisme menjadikan Sukarno sang Presiden kala itu mencari solusi atas masalah dalam demokrasi liberal dan mencari alternatif lain dalam menjalankan kehidupan bernegara Indonesia yang jauh dari pengaruh kolonialisme dan imperialisme. Demokrasi terpimpin menjadi solusi dari gagalnya demokrasi liberal di Indonesia saat itu. Sejak saat itu fenomena sejarah bernegara Republik Indonesia mulai berkiblat ke negara Cina. Model pembangunan negeri Cina diyakini oleh Sukarno sebagai jalan alternatif modernisasi Indonesia yang berada di tengah pusaran Perang Dingin antara Uni Soviet dan Amerika Serikat. Penelitian ini merupakan penelitian yang menggunakan pendekatan kualitatif dengan metode historis. Peneliti menggunakan teknik kepustakaan dan teknik dokumentasi dalam pengumpulan data. Berdasarkan hasil penelitian dan pembahasan, penulis mengambil kesimpulan bahwa faktor penyebab diterapkan demokrasi terpimpin adalah Sukarno sebagai presiden memiliki perkembangan anti imperialisme dan kolonialisme. Hal ini dapat dilihat dari perilaku politiknya   yang tumbuh dari faktor eksternal dan berkenaan dengan hal itu Cina memberikan inspirasi saat kunjugan Sukarno ke Cina ditengah kegagalan yang sedang dialami saat pelaksanaan demokrasi liberal, terlebih dengan kenyataan bahwa demokrasi liberal masih mendapatkan pengaruh dari Belanda. Sukarno kemudian menerapkan Demokrasi terpimpin dan Nasakom sebagai alternatif dalam kegagalan demokrasi liberal, hal tersebut justru menimbulkan risiko yang merugikan bagi bangsa Indonesia itu sendiri seperti keterasingan dari dunia Internasional dan terpuruknya ekonomi Indonesia serta peristiwa G30S yang menjadi bibit penggembosan Sukarno.",D1,Journal of Social Science Education,2021,
