division,title,abstract,subjects,publication,date,keywords
FT11,"Analysis of Land Use Changes and Land Value Zones Due to Phase 1 Mass Rapid Transit (MRT) Development in Menteng District, Central Jakarta","The high demand for land in the area around the MRT station causes changes in land prices that tend to increase. These conditions can be the cause of changes in land use. This study used high-resolution images in 2021 and land use maps in 2014 and 2021. The data is used to analyze landuse changes. Meanwhile, the analysis of land value changes uses the 2014 land value zone map and the 2021 land value zone map obtained from the results of a field survey using the mass land valuation method. From these results, an analysis of the effect of changes in land use was carried out on
changes in land value in Menteng District as a result of the construction of mass rapid transit phase 1. The results showed that there was a change in land use. The total area of land change was 18.604 hectares or 2.879%. The
details of the changes are trade increased by 1.362%, settlements decreased by 1.938%, hotels increased by 0.071%, lakes increased by 0.114%, vacant land decreased by 0.006%, parks increased by 0.368%, PT regularly increased by 0.485%, sports facilities decreased by 0.368% and government
offices decreased by 0.088%. The highest price increase was
Rp110,218,903/m2 because there was a change in land use from regular housing to trading areas. The largest increase in land value seen from the dominant land use characteristics was in commercial or trade areas, which was 187%, with an average increase in value of Rp. 76,170,137/m2.",G1,NATURAL SCIENCES ENGINEERING AND TECHNOLOGY JOURNAL,2022-06,
FP23,Soil erosion at pineapple plantations in Indonesia under the climate change issue,"Global climate change triggered the heavy and extreme rainfall in forms of intensity, pattern, duration, amount, and frequency. This condition strongly influences the occurrence of soil erosion, especially in the humid tropic region. The purpose of this research is to analyse the soil erosion rate under pineapple cultivation in Central Lampung, Indonesia. The results show rainfall erosivity using Bols equation is around 2109-3211 metric ton/h/ha. Soil erodibility is ranging 0.007-0.080 was categorized low to very low due to the amount of sand and silt is too low. The Slope also categorized low around 1-4%. The crop factor value is around 0.01-1. The rate of erosion in pineapple was 2016 is 1.51 ton/ha/year until 15 ton/ha/year; that value is under standard permissible erosion (18.5-25 ton/ha/year).","G1, GE, S1",IOP Conference Series: Earth and Environmental Science,2020-01,
FT11,"Analisis Potensi Batu Kapur Menggunakan Penginderaan Jauh Di Kecamatan Muaradua, Oku Selatan","Kecamatan Muaradua, Kabupaten OKU Selatan termasuk dalam Formasi Baturaja yang salah satu batuan pembentuknya yaitu batu kapur. Wilayah ini dijadikan sebagai salah satu rencana lokasi tambang batu kapur oleh PT. Semen Baturaja (Persero) Tbk guna memenuhi kebutuhan bahan baku untuk proses produksi semen. Dalam penentuan rencana lokasi tambang, perlu dilakukan kajian awal untuk menentukan daerah yang memiliki potensi batu kapur. Penelitian ini memanfaatkan data citra Landsat 8 yang diolah dengan menggunakan algoritma NDVI dan LST untuk mendapatkan indeks vegetasi dan suhu permukaan tanah, serta dilakukan interpretasi dan klasifikasi citra untuk mendapatkan tutupan lahan pada wilayah penelitian. Seluruh parameter dilakukan overlay, kemudian skoring dan pembobotan melalui dua tahapan. Uji akurasi untuk hasil klasifikasi citra menggunakan matriks konfusi. Hasil dari penelitian ini menunjukkan bahwa potensi batu kapur di Kecamatan Muaradua didominasi oleh kelas potensi sedang, namun terdapat pula daerah- daerah yang memiliki kelas potensi tinggi dan sangat tinggi. Daerah- daerah ini berada sebagian besar terletak di Desa Gunung Tiga, serta tersebar di sekitar Desa Pendagan, Datar, dan Gunung Terang. Dari hasil penelitian ini, daerah-daerah yang memiliki kelas potensi tinggi dan sangat tinggi dapat dijadikan sebagai lokasi untuk melakukan kajian awal penentuan rencana lokasi tambang baru bagi perusahaan.","G1, QC, QE, TR",Jurnal Geofisika Eksplorasi,2022-03-31,
FT11,"SEBERAPA CEPAT LAHAN PADI SAWAH BERTAHAN DARI
KEKERINGAN PADA DI MUSIM KEMARAU?","Kekeringan dalam aktifitas pertanian merupakan faktor utama yang mampu menghambat produksi bahan pangan terganggu. Terutama pada budidaya tanaman musiman seperti padi, faktor cuaca berupa curah hujan, tingginya radiasi matahari dan laju evapotranspirasi dipercaya dapat memberikan kontribusi pada berubahnya kelembaban tanah dan juga kemampuan tumbuhan menyerap air. Observasi yang dilakukan di dua lokasi dan luas lahan yang berbeda menggunakan data satelit Landsat 8 selama musim kemarau di tahun 2019. Dua indeks vegetasi, yakni normalized difference vegetation index (NDVI), dan normalized difference water index (NDWI) digunakan untuk menjelaskan kondisi tersebut. Selain dari pada estimasi suhu permukaan dengan land surface temperature (LST) diharapkan mampu memberikan penjelasan terhadap adanya kontrol kondisi cuaca. Sehingga, mampu untuk menunjukkan karakteristik temporal daya tahan padi terhadap musim kemarau.Hasil yang diperoleh dari kajian yang dilakukan, dihasilkan adanya relasi tidak linear dari faktor tanaman padi (NDVI), kandungan air (NDWI) dan suhu permukaan (LST). Hal ini menyebabkan adanya perbedaan daya tahan padi yang tumbuh terhadap musim kemarau. Di sebagian tempat, lahan sawah sudah mengalami kekeringan pada awal musim kemarau yaitu bulan April. Sementara sebagian lainnya dapat bertahan sampai bulan Juni dan tanaman padi bisa dipanen dengan baik.","G1, GE, S1",Jurnal Meteorologi Klimatologi dan Geofisika,,
FKIP18,"Effectiveness of Blended Learning Model on Students Motivation and
Competency Level In Meteorology Climatology Subject","This study aims to see at student motivation arising from the application
of the blended learning model, student competencies formed due to the
application of the blended learning model, the effectiveness of the
application of the blended learning model in increasing student
motivation and competence in the meteorology climatology course, also
providing references for the use of the model blended learning to other
courses so that lectures can run effectively and efficiently. The method is a
quasi-experiment method. The sample was student on their first semester
in 2019 of the Geography Education Study Program in the Class of
Meteorology Climatology. The results of the study are as follows: 1) The
application of the blended learning model in the Climatology Meteorology
Course in Geography Education Study Program students influences
student motivation in learning. 2) The application of the blended learning
model in the Climatology Meteorology Course for Geography Education
Study Program students increases the level of student competency. 3) The
blended learning model is one of the effective learning models for
increasing student motivation and competence. This can be seen from the
formed student motivation and increased student competence. 4) The use
of the blended learning model can be applied to other subjects as an
alternative so that lectures can run effectively and efficiently.",G1,Jurnal Spatial Wahana Komunikasi dan Informasi Geografi,2020-03-31,
FKIP18,Effectiveness of Blended Learning Model on Students Motivation and Competency Level In Meteorology Climatology Subject,"This study aims to see at student motivation arising from the application of the blended learning model, student competencies formed due to the application  of  the  blended  learning  model,  the  effectiveness  ofthe application   of   the   blended   learning   model   in   increasing   student motivation and competence in the meteorology climatology course, also providing references for the  use of the model blended  learning to other courses so that lectures can run effectively and efficiently. The method is a quasi-experiment method. The sample was student on their first semester in  2019  of  the  Geography  Education  Study  Program  in  the  Class  of Meteorology  Climatology.The  results  of  the  study  are  as  follows:  1)  The application of the blended learning model in the Climatology Meteorology Course   in   Geography   Education   Study   Program   students   influences student motivation in learning. 2) The application of the blended learning model  in  the  Climatology  Meteorology  Course  for  GeographyEducation Study Program students increases the level of student competency. 3) The blended  learning  model  is  one  of  the  effective  learning  models  for increasing student motivation and competence. This can be seen from the formed student motivation and increased student competence. 4) The use of  the  blended  learning  model  can  be  applied  to  other  subjects  as  an alternative so that lectures can run effectively and efficiently.","G1, L1",Jurnal Spasial Wahana Komunikasi dan Informasi Geografi,2020-03-31,
FKIP18,TECHNICAL DIFFICULTIES OF E-LEARNING FOR GEOGRAPHY EDUCATION STUDENTS OF LAMPUNGUNIVERSITYIN GEOGRAPHY PRACTICUM,"This research was carried out with the aim of knowing the technical difficulties of e-learning  for Geography  Education  students  at  the  University  of  Lampung  in geography practicum.  The research objects contained in this study were students of the 2019 and 2018 of Geography Education.  In this study, half the population of 2019 and  2018  Geography  Education  students  at  the  University  of  Lampung  was  used, consisting  of  60  students.    Data  collection  techniques  used  are  observation  and questionnaires.    Meanwhile,  data  analysis  techniques  in  this  study  used  descriptive quantitative.  The results of the study obtained data indicating that the most technical difficulties that trigger e-learning technical difficulties for students during geography practicums  are  indicators  of  hardware  technical  difficulties  of  150%  with  the description: a) Laptop RAM ≤ 4GB problem  experienced  by  43%  or  26  people  students because the laptops used during the geography practicum are laptops or tools provided  and  prepared  by  students  independently,  b)  The  problem  of  old  laptops responding  to  commands  experienced  by  62%  or  37  studentsis  caused  by  a  large amount of trash or cache which causes the memory to fill up and causes the laptop to become slow  in responding to an order, and c) The problem of difficulty digitizing during  practicum  without  a  mouse  experienced  by  45%  or  27  students  because  the digitization  process  is  a  complicated  process  and  requires  a  tool  in  the  form  of  a mouse.",G1,,2022,
FKIP18,Turnityn: Analysis of Social Economy of Sustainable Agriculture in North Pringsewu Regency,"The purpose of this study was to find out social economic characteristic of sustainable agriculture farmer at north Pringsewu Regency. The research uses descriptive method. Population of research was 360 farmers and the sample of the research 36 farmer. The collection of data in this research use observation, documentation, and interview.The analysis of the data used frequency tables as the basis for the interpretation and description of the data research report. The results showed of the research characteristic socio economic farmer at north Pringsewu Regency showed. (1) 63,88% farmer have low education level. (2) 63,88% farmer have income below average.(.3) 66,66% farmer have more than 3 children.(4) 63,88% farmer have a currently lan area.(5) 63,88% farmer already already have your own house and (6).63,88% farmer have a production age.",G1,,2022-05-05,
FKIP18,Peer Reviewer: Analysis of Social Economy of Sustainable Agriculture in North Pringsewu Regency,"The purpose of this study was to find out social economic characteristic of sustainable agriculture farmer at north Pringsewu Regency. The research uses descriptive method. Population of research was 360 farmers and the sample of the research 36 farmer. The collection of data in this research use observation, documentation, and interview.The analysis of the data used frequency tables as the basis for the interpretation and description of the data research report. The results showed of the research characteristic socio economic farmer at north Pringsewu Regency showed. (1) 63,88% farmer have low education level. (2) 63,88% farmer have income below average.(.3) 66,66% farmer have more than 3 children.(4) 63,88% farmer have a currently lan area.(5) 63,88% farmer already already have your own house and (6).63,88% farmer have a production age.",G1,,2022-05-05,
FKIP18,RANCANG BANGUN SISTEM INFORMASI PELAYANAN KELURAHAN KOTA KARANG BERBASIS WEB,"Pada era pandemi COVID-19 saat ini, pelayanan masyarakat menjadi suatu hal yang tidak dapat dihentikan. Kegiatan pelayanan yang dilakukan oleh kantor-kantor pelayanan masyarakat harus mendatangi tempat secara langsung. Salah satunya yaitu kantor Kelurahan Kota Karang yang terletak di Kecamatan Teluk Betung Timur, Bandar Lampung. Dalam pelayanan pada kantor-kantor di Provinsi Lampung belum menggunakan sistem sehingga proses pelayanan tersebut masih dilakukan secara manual dan dilakukan secara langsung.  Pelayanan yang dilakukan secara manual dalam bentuk arsip-arsip, seringkali terjadi kesalahan bahkan ada arsip data yang hilang atau rusak karena terlalu banyaknya arsip yang ada. Jika ada arsip yang diperlukan, pencarian arsip membutuhkan waktu yang cukup lama sehingga dapat menghambat pekerjaan lain. Pelayanan yang dilakukan secara langsung juga dapat menimbulkan kemungkinan terbentuknya cluster COVID-19 yang baru. Belum adanya sistem informasi pelayanan pada Kantor Kelurahan Kota Karang, menjadikan pencatatan dan penyimpanan data pelayanan menjadi kurang efisien. Berdasarkan pemaparan diatas, maka permasalahan tersebut dapat diselesaikan dengan melakukan rancang bangun sistem informasi pelayanan Kelurahan Kota Karang berbasis Website.",G1,Jurnal Buguh,2023-03-04,
