division,title,abstract,subjects,publication,date,keywords
FT11,"Estimation the oil palm age based on optical remote sensing image in Landak Regency, West Kalimantan Indonesia.","Abstract.  Oil  palm  plantations  are  the  largest  oil-producing  plant  and  are  included  in  the multipurpose plant category as a contributing economy and reducing the poverty. Oil palm age is  one  of  the  factors  that  support  the  growth  and  production  process  of  oil  palm.  We  used Landsat 8 Operational Land Imager (OLI) to estimate the oil palm age. The aims in this study are to analyse the relationship between NDVI (Normalized Difference Vegetation Index) and oil palm age in variation of age by using logarithmic regression and to estimate the distribution of oil palm age. Methodology in this study are collecting of Landsat 8, preprocessing, making of Regions of Interest for each of oil palm age, making of relationship analysis between NDVI and oil palm age, and estimating the oil palm age. The study shows that NDVI have positive correlation  which  R2  =  0,66  and  equation  y  =  0.0425  ln(x)  +  0.723  means  the  higher  NDVI value the  higher the age.   The result of this  study  show that the  majority of  age in the  study area is 0-5 year.","GA, S1, TR",IOP Conf. Series: Earth and Environmental Science 169 (2018) 012063,2018-08-01,
FT11,ANALISIS RESIKO BENCANA KABUPATEN PRINGSEWU,"Kajian risiko bencana merupakan perangkat untuk menilai kemungkinan dan
besaran kerugian akibat ancaman yang ada. Dengan mengetahui kemungkinan dan
besaran kerugian, fokus perencanaan dan keterpaduan penyelenggaraan penanggulangan
bencana menjadi lebih efektif. Amanah RTRW Kabupaten pringsewu menyebutkan
terdapat lima bahaya bencana di Kabupaten Pringsewu yaitu bencana banjir, cuaca
ekstrim, gempa bumi, tanah longsor, serta kebakaran hutan terutama pada kawasan
hutan lindung. Untuk itu diperlukan pengkajian/analisis Risiko bencana sebagai langkah
mitigasi kebencanaan. Metodologi pengkajian risiko didasarkan pada Peraturan Kepala
Badan Nasional Penanggulangan Bencana Nomor 02 Tahun 2012 tentang Pedoman
Umum Pengkajian Resiko Bencana sehingga akan dihasilkan Dokumen Kajian Risiko
Bencana Kabupaten Pringsewu. Hasilkan kajian memuat tinjauan ulang dan
penyempurnaan pengkajian bahaya, kerentanan, kapasitas, dan risiko bencana di
Kabupaten Pringsewu yang akhirnya menghasilkan rekomendasi/kebijakan untuk
perencanaan penanggulangan bencana. Beberapa arahan atau sasaran tersebut
dikelompokkan berdasarkan Indikator Ketahanan Daerah (IKD). Indikator tersebut
berpedoman pada Rencana Nasional Penanggulangan Bencana (RENAS PB), Perka
BNPB, dan peraturan terkait lainnya. Hasil analisis memperlihatkan potensi-potensi
bencana tersebut memiliki tingkat risiko kelas Sedang untuk semua jenis bencana. 
Menyikapi potensi risiko bencana tersebut, perlu diambil langkah-langkah sistematis
yang terencana, terpadu dan menyeluruh dalam upaya mengurangi risiko yang ada.
Yang dapat diawali dengan penerbitan kebijakan-kebijakan penanggulangan bencana
yang melingkupi fase sebelum, saat dan sesudah bencana.","GA, Q1, TA",,2022-10-26,
FT13,Analisis Ketelitian Koreksi Geometrik Data Quickbird Pesisir Teluk Lampung Menggunakan GPS Receiver Tipe Navigasi,"Tahapan yang paling penting dalam pengolahan awal citra satelit adalah melakukan koreksi geometrik, sehingga citra tersebut sesuai dengan proyeksi peta dasar yang diinginkan. Koreksi geometrik bertujuan untuk mengoreksi kesalahan yang diakibatkan pergerakan satelit ketika diorbit dan sensor pada saat merekam object. Untuk menentukan ketelitian (accuracy) dari citra yang telah dikoreksi dapat diperoleh dengan cara membandingkan titik dari citra hasil proses dengan titik-titik kontrol (GCP) kemudian dihitung simpangan setiap titik pada arah X dan Y untuk menentukan Root Mean Square-nya (RMS). Citra Quickbird beresolusi spasial paling tinggi dibanding citra satelit komersial lainnya saat ini. Citra ini mudah sekali diinterpretasi secara visual. Meski demikian, para pakar inderaja saat ini masih bergulat dengan pengembangan metode ekstraksi informasi digital berbasis citra resolusi tinggi Quickbird. Resolusi spasial yang sangat tinggi telah melahirkan masalah baru dalam pengolahan data inderaja, di mana respons spektral obyek tidak berhubungan langsung dengan karakter obyek secara utuh, tetapi melalui bagian-bagian keseluruhan secara kompleks. Penelitian ini dilakukan untuk mengetahui akurasi geometrik citra Quickbird melalui Ketelitian hasil koreksi goometrik citra dikoreksi dengan beragam jumlah GCP yang ditempatkan secara merata sampai dengan 150 GCP menggunakan alat ukur sederhana GPS Type navigasi yang sangat mudah ditemukan dimana saja. Pengolahan data mengunakan kombinasi jumlah GCP yang berbeda-beda namun menghasilkan perbedaan yang tidak signifikan karena pergeseran terhadap jarak rata-rata terdapat hasil olah citra menghasilkan kesalahan yang bersifat acak (random). Semakin banyak GCP belum tentu menghasilkan ketelitian citra yang lebih baik, karena semakin hanyak data memungkinkan sebaran kesalahan akan semakin banyak. Proses koreksi menghasilkan pergeseran jarak lebihkecit atau sama dengan 2,11 meter. Hal ini masih dalam batas toleransi dari ketelitiaan ukuran GPS receiver tipe navigasi yang mencapai 3 meter.","GA, T1",,2012-11-12,
FKIP18,KARTOGRAFI DASAR,"Kartografi adalah ilmu yang mempelajari tentang proses pembuatan peta, dimulai dari pengumpulan data, seleksi data, produksi dan analisis.
pengetahuan kartografi yang pekerjaannya lebih mengutamakan mulai dari pembahasan tentang judul peta, skala peta, legenda, koordinat, sumber peta, inset dan sebagainya dibahasi di buku ini.","G1, GA",,2017,
FKIP18,ANALISIS SPASIAL POTENSI DESA HARAPAN JAYA KECAMATAN WAY RATAI KABUPATEN PESAWARAN PROVINSI LAMPUNG,"Penelitian ini bertujuan untuk mengetahui potensi Sosial dan fisik yang terdapat di Desa Harapan Jaya Kecamatan Way Ratai. Metode yang digunakan dalam penelitian adalah survei dengan teknik analisis secara digital dan deskriptif dengan pendekatan spasial. Data yang diambil dalam penelitian adalah potensi fisik dan sosial wilayah. Hasil penelitian menunjukkan bahwa Desa Harapan Jaya mempunyai potensi sosial yang besar untuk dikembangkan terutama jumlah penduduk, kepadatan, dan jenis pekerjaan, dengan potensi fisik berupa ketinggian wilayah, penggunaan lahan, bentuklahan, jenis tanah, kemiringan lereng, pola aliran dan curah hujan yang dapat dimanfaatkan dalam bidang pertanian, pariwisata, perkebunan, dan perikanan air tawar. Simpulan dalam penelitian ini adalah secara sosial dan fisik Desa Harapan Jaya dapat dikembangkan dan diharapkan dapat menjadi desa yang mandiri.

Kata Kunci: Analisis spasial, potensi sosial, potensi fisik.","G1, GA, GB",Jurnal Geografi,2018-04-02,
FKIP18,Penghantar Penginderaan Jauh,"Penginderaan jauh ialah ilmu dan seni untuk memperoleh informasi tentang objek, daerah atau gejala dengan jalan menganalisis data yang diperoleh dengan menggunakan alat tanpa kontak langsung dengan objek, daerah atau gejala yang sedang dikaji. Alat yang dimaksud dalam batasan ini adalah alat pengindera atau sendir. Pada umumnya sensor dipasang pada wahana (media) yang berupa pesawat terbang, satelit, atau wahana lainnya. hasil gambaran yang terekam oleh alat pengindera yang daoat berupa kamera atau sensor lainnya disebut citra.
Peninderaan jauh memerlukan tenaga untuk merekam objek, gejala, atau fenomena yang akan dikaji. SUmber utama tenaga elektromagnetik yang digunakan dalam penginderaan jauh adalah matahari. Berdasarkan cara pengumpulan datanya, sistem penginderaan jauh dapat dibedakan atas tenaga dan wahana yang digunakan dalam proses perekaman data. Sistem penginderaan jauh terdiri dari beberapa komponen utama, yaitu sumber tenaga, atmosfer, interaksi tenaga dalam obyek, sensor dan wahama, perolehan data, serta pengguna data.","G1, GA",,2016,
FKIP18,PENERAPAN METODE RESITASI UNTUK MENINGKATKAN AKTIVITAS DAN PRESTASI BELAJAR GEOGRAFI SISWA KELAS XI IPS  DI SMA MUHAMMADIYAH MARTAPURA KABUPATEN OKU TIMUR,"Penelitian ini bertujuan untuk menganalisis penggunaan metode resitasi dalam meningkatkan aktivitas dan prestasi belajar geografi siswa kelas XI IPS SMA Muhammadiyah Martapura. Penelitian yang dilakukan adalah penelitian tindakan kelas yang dilakukan dalam 3 siklus. Lokasi penelitian di SMA Muhammadiyah Martapura dengan subjek penelitian adalah 41 siswa yang terdiri dari 19 putra dan 22 putri, peneliti (guru), dan seorang guru geografi (observer). Hasil penelitian menunjukkan bahwa aktivitas siswa siklus I, 3 kelompok memperoleh kriteria aktif dan 4 kelompok lainnya sangat aktif sedangkan pada siklus II menunjukkan bahwa seluruh kelompok memperoleh kriteria sangat aktif. Hasil yang diperoleh pada siklus I adalah 80,5% siswa memperoleh nilai 65 atau lebih dan pada siklus II 85,4% siswa memperoleh nilai 65 atau lebih. Kesimpulan dalam penelitian ini bahwa melalui penggunaan metode resitasi dapat meningkatkan aktivitas dan prestasi belajar geografi siswa kelas kelas XI IPS SMA Muhammadiyah Martapura","G1, GA, GB, GE, GF, L1",Proceeding of international seminar,2012-11-03,
FT11,KAJIAN AKURASI GEOMETRI ORTHOPHOTO DARI AKUISISI DATA PESAWAT TANPA AWAK,"Jalan merupakan infrastruktur yang penting dalam menunjang kemajuan suatu wilayah. Survey kondisi jalan merupakan salah satu aspek kegiatan dalam pemeliharaan jalan tujuannya agar jalan dapat terpelihara dan terawasi. Kegiatan survey kondisi jalan dapat memanfaatkan teknologi fotogrametri menggunakan wahana tanpa awak dengan kamera non metrik karena dapat menyediakan data detail/situasi jalan dan cukup efektif dalam menunjang pekerjaan survey kondisi jalan. Detail/situasi jalan dapat diidentifikasi berdasarkan orthophoto yang dihasilkan melalui pengolahan data foto dari kegiatan pemotretan udara. Penelitian ini bertujuan untuk mengetahui ketelitian geometri orthophoto. Data yang digunakan dalam pengujian menggunakan hasil pengolahan foto udara berupa orthophoto. Metode yang digunakan dalam menguji akurasi geometrik orthophoto merujuk pada Peraturan Kepala Badan Informasi Geospasial No 8 tahun 2018. Hasil uji akurasi geometri horizontal (CE90) sebesar 0,018 (RMSE 0,012) dan vertikal (LE90) sebesar 0,026m (RMSE 0,016). Sehingga dinyatakan orthophoto ini memiliki ketelitian horizontal sebesar 0,018meter dan ketelitian vertikal sebesar 0,026m. Kelas ketelitian horizontal orthophoto adalah kelas 1 dan kelas ketelitian vertikal orthophoto ini adalah kelas 1. 

Kata Kunci: uji ketelitian; horizontal; vertikal; orthophoto","GA, Q1, TA",Syntax Literate,2022-03-03,
FT13,Analisis Pembuatan Peta Zona Rawan Bencana Tsunami Pada Daerah Pesisir (studi kasus pesisir kota Bandar Lampung),"Berdasarkan  Undang-undang  No.  24  tahun  2007  tentang  penanggulangan  bencana dikatakan  bahwa  Bencana  alam  adalah  bencana  yang  diakibatkan  oleh  peristiwa  atau serangkaian  peristiwa  yang  disebabkan  oleh  alam  antara  lain  berupa  gempa  bumi, tsunami,  gunung  meletus,  banjir,  kekeringan,  angin  topan,  dan  tanah  longsor.  Pada penelitian ini akan dilakukan analisis pembuatan peta zona rawan tsunami pada daerah pesisir  yang  bertujuan  untuk  memberikan  arahan  penanggulangan  terjadinya  bencan tsunami. Penelitian ini menggunakan data dasar peta citra yang kemudian menghasilkan lokasi mana saja yang termasuk dalam zona rawan tsunami serta jalur evakuasi sehingga dapat  digunakan  sebagai  bentuk  peringatan  dini  untuk  menghindari  besarnya  korban jiwa. Dari peta zonasi rawan bencana tsunami di pesisir kota Bandar Lampung terlihat pada  tinggi  gelombang  tsunami  mencapai  5m  daerah  yang  terkena  dampaknya  adalah daerah yang terletak sekitaran  154m  dari garis  pantai,  pada  tinggi  gelombang  tsunami mencapai  15m  daerah  yang  terkena  dampaknya  adalah  daerah  yang  terletak  sekitaran 488m  dari  garis  pantai,  pada  tinggi  gelombang  tsunami  mencapai  25m  daerah  yang terkena dampaknya adalah daerah yang terletak sekitaran 843m dari garis pantai, pada tinggi gelombang tsunami mencapai 40m daerah yang terkena dampaknya adalah daerah yang terletak sekitaran 955m dari garis pantai.","GA, GC, T1",,2014-11-17,
FT11,MODEL NILAI TANAH DI KELURAHAN WAY HUI KECAMATAN JATI AGUNG,"Kelurahan Way Hui memiliki lokasi strategis karena berbatasan langsung dengan kota Bandarlampung juga salah satu jalan utama yang di akses menuju gerbang Tol Trans Sumatera. keberadaan Institut Teknologi Sumatera berdampak langsung pada bidang properti, seiring dengan harga tanah yang terus meningkat diperlukan Analisa terhadap model nilai tanah di Kelurahan Way Hui untuk memperoleh model yang sesuai terhadap nilai tanah juga mengetahui nilai tanah tertinggi di kelurahan Way Hui. Penelitian ini menggunakan data penawaran dan transaksi tanah tahun 2021 dengan besarnya penyesuaian merujuk pada SE-55/PJ.6/1999. Penggunaan variabel terikat nilai tanah dan variabel bebas yaitu faktor fisik dan aksesbilitas. Pembentukan model nilai tanah menggunakan bentuk fungsional dipilih berdasarkan nilai koesifien determinasi tertinggi, selanjutnya model terpilih dilakukan beberapa tahapan uji asumsi klasik.
Model nilai tanah yang sesuai untuk kelurahan Way Hui yaitu model linier dengan persamaan NT = β0 1232537,985 + 192,270 LT + (-850,653) UNV + 248,391 JPT + 4355,899 JU + 227142,963 LJ + 345199,6 kemampuan model menjelaskan pengaruh variabel bebas sebesar 63,2%. Luas tanah (LT), jarak ke ITERA (UNV), jarak ke pintu tol (JPT), jarak ke jalan umum (JU) dan lebar jalan (LJ) berpengaruh secara signifikan. Nilai tanah tertinggi berpusat pada Jl. Airan Raya sebesar Rp3.124.178","GA, GE, T1",Journal of Geodesy and Geomatics,2022-12,
