division,title,abstract,subjects,publication,date,keywords
FT11,Identification of Degraded Land for Determination of Conservation Areas Based on GIS in Region-1 Lampung Selatan District,"Based on a field survey at the beginning of 2019, it shows that the growth and development of land use in the South Lampung Regency area leads to uncontrolled conditions, causing disruption of land function both in the area itself and the area below. This condition can be overcome by making efforts to determine land conservation areas. One of the study documents to determine conservation areas in an area is the distribution of degraded land, so a study of degraded land is absolutely necessary. GIS technology can be used to answer the challenge of determining critical land through the superimpose method using several map layers with weighting techniques. The superimpose study requires data on thematic maps and the distribution of existing land cover. Remote sensing technology is utilized to produce existing land cover maps through classification and image interpretation techniques. Thematic map data supporting other analyzes utilize spatial data from the RTRW of the research area. The largest distribution of degraded land is in Merbau Mataram and Katibung districts which require immediate action to be implemented by the Conservation program. Conservation areas that have been defined in RTRW must be maintained, it is necessary to establish additional protected areas on the Sutet border area. As a disaster mitigation effort, all disaster areas need to be designated as conservation areas.","GB, T1, TA",Jurnal Geofisika Eksplorasi,2020-11-24,
FT11,MODELING OF COLD LAVA FLOW SPATIAL ANALYSIS FOR MITIGATION OF VOLCANO DISASTER MERAPI,"The last ten years of the Merapi volcano has erupted almost routinely on a small or medium scale. The eruption on November 26, 2010, resulted in 334 people died and 7,129 houses were damaged. As a result of the eruption, the volume of cold lava at the summit of the Merapi volcano is getting bigger and reaching 150 million cubic meters (May 2018). To help the emergency response and mitigate cold lava disaster, it is necessary to do a mapping of Merapi cold lava disaster mitigation. If a cold lava flood occurs in Merapi what kind of cold lava is hit by it? Will it affect settlements that have the potential to cause fatalities? What is the volume of lava and how long does it take to get to the settlement? how to plan an evacuation route during the early warning of the Merapi cold lava flag?. The mitigation of the Merapi cold lava flood mitigation can be answered with a spatial analysis model simulation approach by applying several scenarios to find out how many areas are affected by the lava flow, the extent of the land use affected by the lava flow, and calculating the volume and time required by the lava to reach the settlement. The results of this study are the dangers of hazard zone maps and cold lava flood evacuation path maps of the Merapi volcano (identification of the impact of cold lava on potential casualties and cold lava disaster mitigation maps).","GB, QE, TA",,2019-11-12,
FT11,Kajian Kerentanan Terhadap Risiko Tsunami Pesisir Way Muli Pasca Bencana Gunung Anak Krakatau 2018,"Tsunami Selat Sunda akibat longsoran Gunung Anak Krakatau 22 Desember 2018 menyisakan luka mendalam bagi seluruh rakyat indonesia. Pada Pesisir Way Muli di kabupaten Lampung Selatan yang terdapat desa Way Muli, desa Way Muli Timur dan desa Kunjir, tercatat menjadi korban dengan 118 meninggal dunia, 8 orang hilang, 389 luka berat, dan 3.621 luka ringan. Secara nasional usaha mitigasi bencana telah dilakukan sejak bencana tsunami aceh, beberapa dokumen mitigasi telah tersususun dengan baik namun tidak demikian dengan wilayah pesisir Way Muli belum dilakukannya kajian mitigasi bencana dengan baik ini terbukti dengan banyaknya korban yang jatuh. Untuk itu perlu dilakukan kajian kerentanan terhadap risiko tsunami di Pesisir Way Muli Sebagai Upaya mitigasi bencana dalam menekan korban jiwa jika terjadi perulangan bencana tsunami di Selat Sunda.
Penelitian diawali dengan melakukan kajian sumber tsunami, tinggi gelombang, dan waktu datang berdasarkan histori dan paleo tsunami kemudian dilanjutkan dengan pembuatan peta tutupan lahan, kekasaran permukaan, kemiringan lereng untuk menghasilkan peta rendman tsunami. Wilayah rendaman ini akan dianalisis dengan bentuan teknologi GIS dengan memanfaatkan data UAV, RBI 2017, Demnas, Batnas, serta Peta-peta tematik yang bersumber dari RTRW Lampung Selatan. Dalam menentukan Risk (Risiko) Bencana Tsunami di kaji berdasarkan Hazard (bahaya) yang berbanding lurus dengan Vulenerability (Kerentanan) tetapi berbanding terbalik dengan Capacity (Kapasitas). Data bahaya, kerentanan dan kapasitas dikaji dengan melakukan survey langsung kelapangan dan dilengkapi dengan analisis photogrametry dan GIS.
Risiko Pesisir Way Muli masuk dalam klasifikasi tingkat risiko tinggi yang disajikan dalam Peta Resiko Bencana Tsunami. Melalui simulasi tinggi gelombang 2 meter menghasilkan tingkat kerentanan terhadap Risiko Bencana Tsunami sebesar 44,4% tingkat ancaman dengan kerentanan fisik 29,3%. Sebaran tingkat kerentanan 19% tinggi, 65% sedang dan 16% rendah. Struktur bangunan terlihat dominan permanen walaupun ada 37% semi permanen dan non permanen namun sebagian besar masih berada pada zona aman dari jangkauan rendaman. Belum ada bangunan yang layak/aman dapat direkomendasikan menjadi TES. Titik evakuasi cukup banyak tersedia di dataran tinggi dengan akses (jalur evakuasi) sangat memadai. Semoga hasil penelitian ini dapat berkontribusi membantu masyarakat dan pemerintah dalam memperbaharui data pendukung mitigasi bencana tsunami khususnya di Pesisir Way Muli.","GB, T1, TC",,2020-09-17,
FT11,"Bantuan Teknis Pemetaan Skala Besar Dusun Lima, 
Desa Purwotani, Kec. Jati Agung, Kab. Lampung Selatan","Kegiatan pengabdian ini terinspirasi dari warga desa Purwotani yang mengajukan usulan ke jurusan Teknik Geodesi dan Geomatika agar desa Purwotani dapat dipetakan dengan peta skala besar. Usulan tersebut terkait dengan rencana desa Purwotani yang akan merancang Produk Unggulan Kawasan Perdesaan serta Rancangan usulan perbaikan jalan desa melalui usulan Bantuan Dana Desa, sehingga keperluan akan data peta teknis dirasakan sangat mendesak sehingga usulan tersebut melahirkan kegiatan ini. Luas desa Purwotani yang cukup besar menjadi kendala kegiatan dalam hal efisiensi anggaran kegitan pemetaan sehingga disusun rencana pembagian blok pemetaan dimana prioritas pertama pada dusun Lima yang berbatasan langsung dengan lahan Universitas Lampung dilokasi rencana Pusat Pemerintahan Provinsi lampung di Kota Baru.
Dalam kegiatan pengabdian kepada masyarakat ini dilakukan proses pengukuran dan akuisis data foto udara, pengolahan data dari hasil pengukuran dilapangan, sampai dihasilkannya Peta Foto maupun Peta Garis dalam bentuk digital melalui tahap pekerjaan; pengambilan data, pengolahan data, dan penyajian data dalam bentuk peta. Data Peta diperoleh dari data ukur dilapangan yang meliputi pengukuran Ground Control Point (GCP), Independent Control Point (ICP) menggunakan GNSS Geodetik, Akuisis Data Foto Udara Tanpa Awak menggunakan Drone Quadcopter, Pengolahan Data Foto Udara, Pendigitasian data Situasi (detail), Survey Data Atribut, serta Kartografi dan Penyajian Hasil. Hasil akhir peta diuji ketelitian skalanya berdasarkan ketelitian Horizontal dan vertikal, selain itu dilakukan juga uji ketelitian atribur menggunakan matrik confusi.
Kegiatan ini menghasilkan dua Bench Mark (BM) dengan ketelitian yang cukup tinggi yang diletakkan diatas lahan milik Unila yang berbatasan dengan Dusun Lima sehingga dapat dipergunakan untuk melakukan kegiatan lain yang memerlukan koordinat sebagai titik ikat. Selain itu dihasilkan juga: DSM, DEM, Peta Foto, Peta Garis dusun Lima dengan skala 1:2000. Hasil evaluasi ketelian skala peta memperlihatkan bahwa untuk peta Peta yang dihasilkan telah memenuhi syarat ketelitian jika digunakan sebagai peta dasar skala 1:2000 dengan indikasi CE90 = 0,3289 dan LE90 = 0,5986. Ketelitian atribut menghasilkan nilai Overall Accuracy sebesar 88% mengindikasikan bahwa ketelitian atribut untuk peta telah memenuhi syarat ketelitain. Hasil evaluasi menyeluruh egiatan ini telah menghasilkan nilai proyek sebesar Rp Rp.40.000.000,00 atas kerjasama tim pengabdian yang didukung dana DIPA FT unila 2020 serta Masyarakat Dusun Lima.","GB, T1",,2020-11-27,
FP5,"7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""","ONLY 7% SIMILARITY OF PAPER ENTITLE ""SIMPLE MODEL...""","GB, GE, SD",,2023,
FT1,"Studi Awal Prospek Bahan Tambang Berdasarkan Sebaran Alterasi Hidrotermal Menggunakan Komposit dan Density Slicing Citra Landsat 8 di Kabupaten Ulubongka, Sulawesi Tengah","Sulitnya akses ke lapangan di Sulawesi Tengah menyebabkan proses identifikasi prospek mineral tambang membutuhkan waktu dan biaya yang relatif besar. Oleh karena itu, pendekatan penginderaan jauh dapat dilakukan sebagai studi awal untuk mengetahui sebaran alterasi hidrotermal penciri kehadiran mineral tambang. Penelitian ini memanfaatkan citra Landsat 8 untuk mendapatkan sebaran mineral alterasi khususnya kelompok mineral oksida dan hidroksida besi (Ferrugination), mineral lempung dan karbonat serta mineral Ferromagnesian. Metode yang digunakan adalah komposit (RGB) 4/2,6/7,5 dan 4/2,6/7,10 untuk mendeteksi sebaran mineral alterasi. Sedangkan metode Density Slicing menggunakan citra rasio 4/2, 5/6 dan 6/7 untuk mendeteksi mineral Ferrugination, Ferromagnesian, lempung dan karbonat. Hasil analisis menunjukkan sebaran mineral oksida dan hidroksida besi (Ferrugination) mendominasi area di batuan aluvium dan ofiolit. Sebaran alterasi ini diinterpretasikan sebagai prospek studi lanjut keberadaan mineral tambang seperti nikel dan besi. Sedangkan mineral ferromagnesian, lempung dan karbonat mendominasi di batuan konglomerat dan batugamping","GB, QE",PROMINE,,
FT1,APLIKASI CITRA SAR UNTUK PEMETAAN DEFORMASI AKIBAT GEMPA BUMI DENGAN METODE DINSAR,"Deretan kejadian gempa Ambon yang terjadi sejak gempa utama tanggal 26 September 2019 telah menimbulkan banyak korban jiwa dan harta benda. Peristiwa ini menyebabkan kerusakan bangunan dan longsoran akibat deformasi batuan permukaan. Deformasi batuan ini mencerminkan sebaran energi gempa bumi dan kerusakan yang diakibatkannnya. Kegiatan pemetaan deformasi akibat gempa bumi penting dilakukan untuk mengetahui karakteristik sebaran energi gempa bumi serta dampak yang diakibatkannya. Kesulitan akses di lokasi bencana menimbulkan hambatan dalam kegiatan pemetaan deformasi di lapangan, sehingga diperlukan solusi pemetaan dengan penginderaan jauh. Dengan mengaplikasikan metode DInSAR pada citra SAR khususnya Sentinel-1 (A & B) dapat diperoleh sebaran deformasi batuan permukaan. Metode ini memanfaatkan perbedaan fase antara dua citra SAR yang diakuisisi sebelum dan setelah peristiwa gempa bumi. Hasil pengolahan data SAR menunjukkan sebaran deformasi yang terdeteksi berada di Pulau Ambon antara (-0,54) – (+0,55) m terhadap Line of Sight (LOS). Sementara di Pulau Haruku, Seram dan Saparua nilai deformasi cenderung negatif antara (-0,88) – (+0,18) m. Kondisi ini mengindikasikan adanya pola deformasi positif/naik di Pulau Ambon yang secara gradasional menurun menjadi deformasi negatif ke arah Timur sampai di Pulau Saparua. Meskipun demikian, fringes (perbedaan fase) yang jelas hanya muncul di beberapa area dengan nilai koherensi yang rendah, sedangkan yang ditumbuhi oleh vegetasi menyebabkan nilai koherensi area tersebut sangat rendah, sehingga tidak dapat digunakan dalam analisis deformasi. Hasil pemetaan deformasi ini dapat digunakan untuk penyusunan peta kawasan siaga bencana untuk memitigasi bencana gempa bumi di kemudian hari.","GB, QE",,2019,
FKIP18,ANALISIS SPASIAL POTENSI DESA HARAPAN JAYA KECAMATAN WAY RATAI KABUPATEN PESAWARAN PROVINSI LAMPUNG,"Penelitian ini bertujuan untuk mengetahui potensi Sosial dan fisik yang terdapat di Desa Harapan Jaya Kecamatan Way Ratai. Metode yang digunakan dalam penelitian adalah survei dengan teknik analisis secara digital dan deskriptif dengan pendekatan spasial. Data yang diambil dalam penelitian adalah potensi fisik dan sosial wilayah. Hasil penelitian menunjukkan bahwa Desa Harapan Jaya mempunyai potensi sosial yang besar untuk dikembangkan terutama jumlah penduduk, kepadatan, dan jenis pekerjaan, dengan potensi fisik berupa ketinggian wilayah, penggunaan lahan, bentuklahan, jenis tanah, kemiringan lereng, pola aliran dan curah hujan yang dapat dimanfaatkan dalam bidang pertanian, pariwisata, perkebunan, dan perikanan air tawar. Simpulan dalam penelitian ini adalah secara sosial dan fisik Desa Harapan Jaya dapat dikembangkan dan diharapkan dapat menjadi desa yang mandiri.

Kata Kunci: Analisis spasial, potensi sosial, potensi fisik.","G1, GA, GB",Jurnal Geografi,2018-04-02,
FKIP18,PENERAPAN METODE RESITASI UNTUK MENINGKATKAN AKTIVITAS DAN PRESTASI BELAJAR GEOGRAFI SISWA KELAS XI IPS  DI SMA MUHAMMADIYAH MARTAPURA KABUPATEN OKU TIMUR,"Penelitian ini bertujuan untuk menganalisis penggunaan metode resitasi dalam meningkatkan aktivitas dan prestasi belajar geografi siswa kelas XI IPS SMA Muhammadiyah Martapura. Penelitian yang dilakukan adalah penelitian tindakan kelas yang dilakukan dalam 3 siklus. Lokasi penelitian di SMA Muhammadiyah Martapura dengan subjek penelitian adalah 41 siswa yang terdiri dari 19 putra dan 22 putri, peneliti (guru), dan seorang guru geografi (observer). Hasil penelitian menunjukkan bahwa aktivitas siswa siklus I, 3 kelompok memperoleh kriteria aktif dan 4 kelompok lainnya sangat aktif sedangkan pada siklus II menunjukkan bahwa seluruh kelompok memperoleh kriteria sangat aktif. Hasil yang diperoleh pada siklus I adalah 80,5% siswa memperoleh nilai 65 atau lebih dan pada siklus II 85,4% siswa memperoleh nilai 65 atau lebih. Kesimpulan dalam penelitian ini bahwa melalui penggunaan metode resitasi dapat meningkatkan aktivitas dan prestasi belajar geografi siswa kelas kelas XI IPS SMA Muhammadiyah Martapura","G1, GA, GB, GE, GF, L1",Proceeding of international seminar,2012-11-03,
FKIP18,Pop Up Book ''Dinamika Planet Bumi Sebagai Ruang Kehidupan'',"Pop up Book ini bertujuan untuk membantu siswa dalam memahami materi dinamika planet bumi sebagai ruang kehidupan, bentuk pop up book ini tiga dimensi, sehingga siswa dapat melihat proses pembentukan dinamika planet bumi.",GB,,2020-01-16,
