division,title,abstract,subjects,publication,date,keywords
FP21,KONSENTRASI EFEKTIF (EC50-1JAM) EKSTRAK AKAR TUBA (DERRIS ELLIPTICA) SEBAGAI BAHAN ANESTESI BENIH IKAN MAS (CYPRINUS CARPIO),"Tuba (Derris elliptica) root was used traditionally as a poison to fish catching. This research looks for beneficial of tuba root extract as an anesthetic for the transport of fish seed. This research aims was to explore the value of effective concentration (EC50 - 1 hr) of tuba root extracts by ethanol and hexane, as well as determine the effect of the effective concentration value and the period of transportation time on the survival and growth of common carp seed. Probit analysis used to determine the effective concentration , whereas to determine the effect of differences of periods of transportation (2 , 4 and 6 hours) and the value of the effective concentration of each solvent on the survival and growth of the research design uses factorial analisis. The results of probit analysis for ethanol and hexane solvent are 6.166 and 3.72 ppm. Transportation showed the highest survival rate at treatment of transportation period 2 hour with values ​​reaching an average of 100%, while the highest growth occurres in hexane treatment on the period of transportation of 6 hours. This results also found that the period of transportation differences significantly affect the survival of common carp seeds but has no significant effect on the growth of common carp other results showed that the difference in the solvent not significantly affect the survival and growth of common carp seed.","GC, SH",Jurnal ilmu perikanan dan sumberdaya budidaya perairan,,
FP5,7% Similarity,"Paper entitel ""Measuring the Sustainability of Ecotourism...""","G1, GC, SD",,2023-05,
FP21,EFEKTIFITAS SISTEM AKUAPONIK DALAM MEREDUKSI KONSENTRASI AMONIA PADA SISTEM BUDIDAYA IKAN,"Kualitas air memegang peranan penting dalam bidang perikanan terutama untuk kegiatan budidaya serta produktifitas hewan akuatik. Limbah yang dihasilkan dari proses budidaya memiliki dampak negatif bagi hewan akuatik. Amonia merupakan salah satu limbah yang berasal dari sisa metabolisme ikan yang terlarut dalam air berupa feses dan sisa makanan ikan yang tidak termakan dan mengendap di dasar kolam budidaya. Penelitian ini bertujuan untuk mengetahui efektifitas sistem akuaponik dalam mereduksi kadar amonia serta mengetahui jumlah kepadatan optimal tanaman pada sistem akuaponik dalam menyerap kadar amonia. Penelitian dilaksanakan selama 60 hari pada Juli-September 2013 bertempat di Laboratorium Budidaya Perikanan Universitas Lampung. Perlakuan penelitian menggunakan kangkung (Ipomoea aquatica) 10 batang, 20 batang, 30 batang per rumpun dan tidak menggunakan tanaman. Pengurangan amonia oleh tanaman air digunakan untuk pertumbuhan yang diserap melalui jaringan akar. Semakin banyak tanaman air makin efektif dalam mereduksi amonia. Penggunaan 30 batang per rumpun kangkung dapat mengurangi amonia hingga 58,57mg/l","GC, SH",Jurnal Rekayasa Teknologi dan Budidaya Perairan,2014,
FT13,Analisis Pembuatan Peta Zona Rawan Bencana Tsunami Pada Daerah Pesisir (studi kasus pesisir kota Bandar Lampung),"Berdasarkan  Undang-undang  No.  24  tahun  2007  tentang  penanggulangan  bencana dikatakan  bahwa  Bencana  alam  adalah  bencana  yang  diakibatkan  oleh  peristiwa  atau serangkaian  peristiwa  yang  disebabkan  oleh  alam  antara  lain  berupa  gempa  bumi, tsunami,  gunung  meletus,  banjir,  kekeringan,  angin  topan,  dan  tanah  longsor.  Pada penelitian ini akan dilakukan analisis pembuatan peta zona rawan tsunami pada daerah pesisir  yang  bertujuan  untuk  memberikan  arahan  penanggulangan  terjadinya  bencan tsunami. Penelitian ini menggunakan data dasar peta citra yang kemudian menghasilkan lokasi mana saja yang termasuk dalam zona rawan tsunami serta jalur evakuasi sehingga dapat  digunakan  sebagai  bentuk  peringatan  dini  untuk  menghindari  besarnya  korban jiwa. Dari peta zonasi rawan bencana tsunami di pesisir kota Bandar Lampung terlihat pada  tinggi  gelombang  tsunami  mencapai  5m  daerah  yang  terkena  dampaknya  adalah daerah yang terletak sekitaran  154m  dari garis  pantai,  pada  tinggi  gelombang  tsunami mencapai  15m  daerah  yang  terkena  dampaknya  adalah  daerah  yang  terletak  sekitaran 488m  dari  garis  pantai,  pada  tinggi  gelombang  tsunami  mencapai  25m  daerah  yang terkena dampaknya adalah daerah yang terletak sekitaran 843m dari garis pantai, pada tinggi gelombang tsunami mencapai 40m daerah yang terkena dampaknya adalah daerah yang terletak sekitaran 955m dari garis pantai.","GA, GC, T1",,2014-11-17,
FKIP18,Geografi Pesisir dan Kelautan,"Buku ini Membahas tentang pengantar geografi pesisir dan kelautan, batasan dan pengelolaan wilayah pesisir dan kelautan, kebijakan pengelolaan wilayah pesisir dan keluatan, kekayaan sumber daya pesisir dan keluatan, serta membahas tentang isu dan masalah pengelolaan wilayah pesisir dan keluatan",GC,,,
FP21,2_Simulasi numerik model hidrodinamika 3 dimensi di perairan teluk lampung,"Hydrodynamic model is very important for simulate global oceanic circulation. Hydrodynamic model can be used to predict the distribution pattern of waste, sedimentation, etc. The aim of this research is to study the pattern circulation of current in the Lampung Bay, using a numerical model. A hydrodynamic model (Estuarine Lake Coastal Model (ELCOM) is applied to simulate the pattern of circulation. The results show that the pattern of currents in the bay head area tend swirling around the head of the bay, while for the area at the mouth of the bay flow patterns are influenced by tides.",GC,Jurnal Ilmiah Matematika dan Terapan,2011-11,
FP21,"AKUMULASI LOGAM CU, CD DAN PB PADA MEIOFAUNA INTERTITIAL DAN EPIFIT DI EKOSISTEM LAMUN MONOTIPIC (ENHALUS ACOROIDES)","Enhalus acoroides is water plant intertidal that might be interaction between ecosystem eachother so it have ability to adsorb heavy metal that came from sea water and sediment that can accumulated in roots, leaf and bar ponder. Variation methods used to know distribution of meiofauna as intertitial fauna or epiphytic fauna on seagrass. The concentration of heavy metal of water, sediment and meiofana will be analyzed. The purpose of this research to determined correlation between concentration in seagrass, sediment, water and organism which associated whitin. The result of this research shown that  concentration of heavy metal Cu, Cd and Pb have a significant correlation between water, sediment, part of seagrass and meiofauna. The value of R2 shown that correlation between water and sediment have bigest value, otherwise the  R2 value of heavy metal shown that Pb is the biggest than Cd and Cu. Concentration heavy metal in seagrass shown that Cu>Cd>Pb and the same condition is also due in meiofauna. Its mean that the heavy metal is bioavailble for accumulation by meiofauna. Meifauna and segrass can be a good bioindicator for environmenta change especially heavy metal.","GC, SH",Jurnal ilmu perikanan dan sumberdaya budidaya perairan,2015-02,
FP21,"PEMODELAN PERAN ZOOPLANKTON DALAM SIKLUS NITROGEN 
DI TELUK LAMPUNG","The aim of this research is to quantify the role of zooplankton in nitrogen cycle in the Lampung Bay, using field data and a numerical model.A coupled hydrodynamic and ecological model (Estuarine Lake Coastal Model (ELCOM)– Computational Aquatic Ecosystem Dynamics Model (CAEDYM)) is applied to simulate the seasonal nutrient dynamic using an extensive field data set as initial 
condition. Two phytoplankton groups consist of dinoflagellate group and diatome  group, and one zooplankton group (copepode group) is used to representative collectivelly another group of plankton. Parameterization of the model was conducted based onliterature studies. The results predict that excretion of dissolved organic nutrients by zooplankton that assumed as regenerate nutrient accounts for 7.1 - 30.53% of phytoplankton uptake of nitrogen.",GC,,2011-11,
FP21,"KORELASI ASIAN MONSOON, EL NINO SOUTH OSCILATION DAN INDIAN OCEAN DIPOLE TERHADAP VARIABILITAS CURAH HUJAN DI PROPINSI LAMPUNG","Perairan Asia Tenggara dan sekitarnya memiliki variabilitas laut-atmosfer yang besar akibat dari fluktuasi parameter oseanografi yang berasal dari perairan Samudera Pasifik dan Samudera Hindia pada arah zonal dan pada arah meridional berasal dari Laut Cina Selatan, perairan utara dan selatan Jawa dan perairan barat Australia. Fenomena yang dominan mempengaruhi variabilitas laut-atmosfer di wilayah Asia Tenggara dan sekitarnya adalah Muson, Dipole Mode (DM) dan El Nino Southern Oscillation (ENSO) dengan siklus waktu dari musiman sampai antar tahunan. Penelitian sebelumnya yang dilakukan lebih banyak mengkaji Muson, DM dan ENSO secara individu dari fenomenanya itu sendiri, tidak secara komprehensif mengarah kepada kemungkinan adanya interaksi satu sama lain. Tujuan dari penelitian ini adalah mengkaji variabilitas lautatmosfer dan proses dinamika interaksi antara Muson, DM dan ENSO secara simultan terhadap curah hujan di Propinsi Lampung. Analisis data yang digunakan pada penelitian ini dengan pendekatan metode yang dapat mendekomposisi sinyal tersebut baik pada skala ruang maupun waktu dari hasil interaksi antara Muson, DM dan ENSO. Analisis yang digunakan meliputi transformasi wavelet kontinyu dan korelasi silang transformasi wavelet. Dari analisis transformasi wavelet kontinu, koherensi maupun transformasi silang diperoleh kesimpulan bahwa pola curah hujan di wilayah lampung sangat dipengaruhi oleh pengaruh musiman atau adanya pengaruh WNPMI dibandingkan dengan pengaruh DMI dan SOI, akan tetapi arah fase yang berlawanan menunjukkan adanya pola pergantian pengaruh yang terjadi. DMI berpengaruh pada periode 6 bulanan, sedangakan SOI berpengaruh pada fase 12 bulanan",GC,Jurnal ilmu perikanan dan sumberdaya budidaya perairan,2013-02,
FT11,Kajian Daerah Rendaman Tsunami di Pesisir Teluk Lampung Akibat Perubahan Topografi Gunung Anak Krakatau di Tahun 2018,"Akibat erupsi Gunung Anak Krakatau (GAK) pada bulan Desember 2018 menyebabkan sebagian tubuh GAK longsor ke dalam laut dan mengakibatkan tsunami. Longsoran ini juga menyebabkan perubahan topografi  GAK.  Jika  terjadi  pengulangan  bencana  dengan  kondisi  topografi  GAK  saat  ini,  tentunya  akan menyebabkan  perubahan  tinggi  gelombang  tsunami  di  bibir  pantai  yang  akan  mempengaruhi  perubahan daerah  rendaman  tsunami.  Karena  letak  wilayah  pesisir  Teluk  Lampung  yang  cukup  dekat  dengan  GAK menyebabkan wilayah pesisir Teluk Lampung rentan terkena bencana tsunami. Sehingga perlu dikaji daerah rendaman tsunami akibat perubahan topografi GAK saat ini di wilayah pesisir Teluk Lampung. Kajian ini dilakukan dengan menggunakan metode non numerik untuk mendapatkan tinggi gelombang di bibir pantai dan  metode  Berryman  untuk  mendapatkan  daerah  rendaman  tsunami  di  wilayah  pesisir  Teluk  Lampung dengan membuat tiga skenario. Berdasarkan hasil kajian, diketahui tinggi gelombang tsunami, yaitu 13 meter, 26 meter, dan 39 meter dengan rata-rata waktu tiba gelombang tsunami di bibir pantai mencapai 57 menit. Di mana  terdapat  tujuh  kecamatan  yang  terendam  tsunami  dengan  jarak  rendaman  berkisar  160  meter-1,6 kilometer","GC, GE, T1",Jurnal Geofisika Eksplorasi,2020-03-20,
