division,title,abstract,subjects,publication,date,keywords
FISIP1,Augmented Reality Pelacak Lokasi Pustaka dengan Ar Marker,"Teknologi Augmented Reality (AR) saat ini banyak digunakan untuk penyebaran informasi dan bahkan untuk transaksi pada pelayanan yang bersifat publik.Teknologi ini sudah cukup dikenal oleh masyarakat luas, bersamaan dengan dikenalnya teknologi Virtual Reality (VR) yang banyak digunakan pada permainan (game).Pengunjung Perpustakaan terutama di Universitas, sebagian besar merupakan masyarakat dengan kategori generasi digital native. Untuk menemukan lokasi buku, waktu yang dibutuhkan oleh pengunjung perpustakaan biasanya relatif lama dan sangat tergantung dari pengalaman kunjungan atau frekuensi pencarian yang dilakukan. Untuk itu, pengunjung perpustakaan memerlukan aplikasi yang memudahkan mereka melacak dan menemukan lokasi koleksi pustaka yang dicari, dengan menggunakan ponsel cerdas mereka.Penelitian ini bertujuan untuk mengembangkan perangkat lunak layanan perpustakaan dengan memanfaatkan teknologi AR dan berbasis AR marker. Ruang lingkup pengembangan aplikasi ini menggunakan metoda rekayasa perangkat lunak RAD. Aplikasi dikembangkan menggunakan metoda template matching dan algoritma A* untuk pathfinding. Skema layanan data pada alikasi terdiri dari empat bagian, yaitu OPAC (Online Public Access Catalog), deteksi lokasi, pathfinding dan navigasi. Lokasi yang dipetakan adalah gedung Perpustakaan Universitas Lampung yang terdiri dari 3 lantai. Hasil dari penelitian ini berupa realisasi perangkat lunak menggunakan teknologi AR yang dapat memvisualisasikan arah menuju lokasi pustaka. Pengujian aplikasi dilakukan dengan skenario (a) pencarian Pustaka dengan OPAC, (b) mendeteksi lokasi (AR), (c) komputasi Pathfinding, (d) menampilkan marker, dan seluruhnya memperoleh hasil yang sesuai dengan requirement.",GE,Jurnal Teknologi Informasi dan Ilmu Komputer (JTIIK),,
FP23,Soil erosion at pineapple plantations in Indonesia under the climate change issue,"Global climate change triggered the heavy and extreme rainfall in forms of intensity, pattern, duration, amount, and frequency. This condition strongly influences the occurrence of soil erosion, especially in the humid tropic region. The purpose of this research is to analyse the soil erosion rate under pineapple cultivation in Central Lampung, Indonesia. The results show rainfall erosivity using Bols equation is around 2109-3211 metric ton/h/ha. Soil erodibility is ranging 0.007-0.080 was categorized low to very low due to the amount of sand and silt is too low. The Slope also categorized low around 1-4%. The crop factor value is around 0.01-1. The rate of erosion in pineapple was 2016 is 1.51 ton/ha/year until 15 ton/ha/year; that value is under standard permissible erosion (18.5-25 ton/ha/year).","G1, GE, S1",IOP Conference Series: Earth and Environmental Science,2020-01,
FT1,Land Subsidence Analysis in Bandar Lampung City      based on InSAR,"Abstract.  Bandar Lampung is one of the cities in Indonesia, which has the potential to land subsidence due to human activity or natural phenomena. However it is still lack of information and the study of land subsidence that ever made. This research used 15 SARs data in the intervening years from 2006 to 2011 were combined to produce the interferogram and then inverted by using SBAS algorithm. Based on data analysis, SBAS technique reliable enough to determine the deformation symptoms quick and accurately. However, some locations have indications of subsidence more than 5 mm/year, even the highest reaches more than 30 mm/year which is identified in the Campang Raya, Camang, Kangkung, Sukaraja, Bakung, and Beringin Raya. Subsidence that occurred is suspected caused by tectonic and human activity and is more likely to occur in the new area suffered by land conversion. Subsidence that occurred implications on damage to the building structure, the occurrence of tidal flooding in coastal areas, and landslides in hilly areas.
Keywords: DInSAR, SBAS, subsidence, Bandar Lampung",GE,The 3rd Padjadjaran International Physics Symposium (PIPS 2017),2017-11-14,"DInSAR, SBAS, subsidence, Bandar Lampung"
,"Jalur Interpretasi ""Bird Watching"" di Rawa Bento Taman nasional Kerinci Seblat","Jalur Interpretasi ""Bird Watching"" di Rawa Bento Taman nasional Kerinci Seblat","GE, GV",Jurnal Hutan Tropis,,
FT11,"SEBERAPA CEPAT LAHAN PADI SAWAH BERTAHAN DARI
KEKERINGAN PADA DI MUSIM KEMARAU?","Kekeringan dalam aktifitas pertanian merupakan faktor utama yang mampu menghambat produksi bahan pangan terganggu. Terutama pada budidaya tanaman musiman seperti padi, faktor cuaca berupa curah hujan, tingginya radiasi matahari dan laju evapotranspirasi dipercaya dapat memberikan kontribusi pada berubahnya kelembaban tanah dan juga kemampuan tumbuhan menyerap air. Observasi yang dilakukan di dua lokasi dan luas lahan yang berbeda menggunakan data satelit Landsat 8 selama musim kemarau di tahun 2019. Dua indeks vegetasi, yakni normalized difference vegetation index (NDVI), dan normalized difference water index (NDWI) digunakan untuk menjelaskan kondisi tersebut. Selain dari pada estimasi suhu permukaan dengan land surface temperature (LST) diharapkan mampu memberikan penjelasan terhadap adanya kontrol kondisi cuaca. Sehingga, mampu untuk menunjukkan karakteristik temporal daya tahan padi terhadap musim kemarau.Hasil yang diperoleh dari kajian yang dilakukan, dihasilkan adanya relasi tidak linear dari faktor tanaman padi (NDVI), kandungan air (NDWI) dan suhu permukaan (LST). Hal ini menyebabkan adanya perbedaan daya tahan padi yang tumbuh terhadap musim kemarau. Di sebagian tempat, lahan sawah sudah mengalami kekeringan pada awal musim kemarau yaitu bulan April. Sementara sebagian lainnya dapat bertahan sampai bulan Juni dan tanaman padi bisa dipanen dengan baik.","G1, GE, S1",Jurnal Meteorologi Klimatologi dan Geofisika,,
FP5,Budaya dan Kearifan Lokal dalam Pengelolaan Lahan dengan Pola Agroforestri di Kesatuan Pengelolaan Hutan Lindung Batutego Provinsi Lampung,"Pola tanam agroforestri merupakan sistem pengelolaan lahan yang banyak diterapkan dalam pemanfaatan lahan hutan melalui penggabungan antara tanaman kehutanan dan tanaman pertanian. Dalam pengelolaanya, petani memiliki cara tersendiri yang dipengaruhi oleh budaya dan kearifan lokal yang diwarisi orang tuanya. Untuk itu penelitian ini bertujuan untuk mengidentifikasi budaya dan kearifan lokal petani dalam pengelolaan lahan dengan pola agroforestri.  Pengambilan data telah dilaksanakan pada bulan Februari-Maret 2021 dengan studi kasus di 3 Gabungan kelompok tani (Gapoktan) yaitu Gapoktan Hijau Makmur, Gapoktan Mahardika, dan Gapoktan Cempaka yang berada dalam wilayah Kesatuan Pengelolaan Hutan Lindung(KPHL) Batutegi, Provinsi Lampung. Penentuan besarnya responden menggunakan teknik purposive sampling yang difokuskan pada petani agroforestri. Pengumpulan data dilakukan dengan wawancara terstruktur menggunakan kuisioner dan wawancara mendalam. Pada penelitian ini teridentifikasi bahwa cara pengelolaan lahan petani dipengaruhi oleh budaya berupa kegiatan ngoret, angin-anginan, nunas, perantingan dan setek pada pemeliharaan tanaman, mutil dan ngunduh pada kegiatan pemanenan dan pembibitan. Selain itu budaya ini juga mengandung kearifan dalam kegiatan babat belukar pada penyiapan lahan dan nandur pada penanaman. Kearifan lokal ini masih diterapkan secara terbatas sehingga perlu dikembangkan agar dapat diterapkan secara luas untuk mendukung kelestarian hutan di KPHL Batutegi.","GE, GF",Ulin Jurnal Hutan Tropis,,
FMIPA3,PELATIHAN MITIGASI BENCANA BAGI SISWA SMA SURYA DHARMA KOTA BANDAR LAMPUNG,"Kota Bandar Lampung merupakan gerbang pintu Pulau Sumatera dimana sering terjadi bencana alam, yaitu berupa gempa bumi, banjir, tanah longsor, kebakaran, angin puting beliung dan bencana yan lain. Namun tidak semua warga Kota Bandar Lampung mengerti dan memahami bagaimana mengelola mitigasi bencana, terutama siswa sekolah di Kota Bandar Lampung. Tujuan kegiatan pengabdian ini adalah untuk pengetahuan literasi mitigasi bencana bagi siswa SMA Surya Dharma dengan manfaat yang diberikan adalah bekal ilmu pengetahuan, keterampilan dan motivasi.

Keywords: literasi, mitigasi, bencana",GE,Jurnal Buguh,2021-09-30,"literasi, mitigasi, bencana"
FT11,"Laporan Penelitian: 
KAJIAN NERACA PENATAGUNAAN LAHAN 
KABUPATEN PRINGSEWU","Terpisahnya Pringsewu dari Kabupaten Tanggamus tentu memberikan dampak yang positif, terutama bagi pembangunan fisik dan sosial masyarakatnya. Posisi Kabupaten Pringsewu sangat potensial untuk pengembangan sektor perdagangan dan jasa dan memiliki posisi strategis dalam konteks pembangunan wilayah diprovinsi Lampung. Perkembangan tersebut secara langsung maupun tidak langsung juga mempengaruhi pemanfaatan ruang diwilayah kabupaten. Selain itu beberapa kawasan yang memiliki fungsi lindung terindikasi secara perlahan telah mengalami peralihan fungsi dan dimanfaatkan untuk kegiatan bukan lindung, akan berdampak pada pelestarian lingkungn hidup. Penyusunan neraca lahan kabupaten pringsewu diperlukan untuk memberikan data ketersediaan lahan bagi berbagai kebutuhan kegiatan pembangunan sesuai dengan RTRW dan tetap menjamin kepastian hukum bagi masyarakat yang mempunyai hubungan hukum dengan lahan.
Analisis Neraca Penggunaan Lahan Kabupaten Pringsewu meliputi kegiatan-kegiatan inventarisasi dan pembaharuan data penggunaan lahan, yang terdiri dari data-data perubahan pengunaan lahan serta gambaran umum penguasaan lahan berdasarkan tinjuan dokumen RTRW serta pustaka-pustaka pendukung lainnya serta hasil survei lapangan. Selain itu dilakukan analisis Penanggunaan Lahan, memanfaatkan  teknologi Sistem Informasi Geografis dan teknologi Penginderaan Jauh untuk menghasilkan Analisis Kesesuaian Penggunaan Lahan, Analisis Perubahan penggunaan Lahan, dan Analisis Ketersediaan Lahan.
Hasil akhir dari penelitian ini berupa analisis neraca penggunaan lahan yang menginformasikan ketersediaan lahan berdasarkan kondisi penggunaan dan penguasaan lahan.","GE, TA, TR",,2017-11-18,
FP5,"Similarioty checker of paper entitled: ""The effect of land cover forest on fluctuations in availability of water in the Batutegi Dam, Lampung,Indonesia""",Abstract,"GE, SD",,,
FP12,"Similiratity checker of paper entitle :""ANALYSIS OF THE INFLUENCE OF NUTRITIONAL STATUS VARIABLES AND 
ENVIRONMENTAL SANITATION ON THE EVENT OF DIARRHOUS TO CHILDREN""",Abstract,"GE, RA",,,
