division,title,abstract,subjects,publication,date,keywords
FP5,Budaya dan Kearifan Lokal dalam Pengelolaan Lahan dengan Pola Agroforestri di Kesatuan Pengelolaan Hutan Lindung Batutego Provinsi Lampung,"Pola tanam agroforestri merupakan sistem pengelolaan lahan yang banyak diterapkan dalam pemanfaatan lahan hutan melalui penggabungan antara tanaman kehutanan dan tanaman pertanian. Dalam pengelolaanya, petani memiliki cara tersendiri yang dipengaruhi oleh budaya dan kearifan lokal yang diwarisi orang tuanya. Untuk itu penelitian ini bertujuan untuk mengidentifikasi budaya dan kearifan lokal petani dalam pengelolaan lahan dengan pola agroforestri.  Pengambilan data telah dilaksanakan pada bulan Februari-Maret 2021 dengan studi kasus di 3 Gabungan kelompok tani (Gapoktan) yaitu Gapoktan Hijau Makmur, Gapoktan Mahardika, dan Gapoktan Cempaka yang berada dalam wilayah Kesatuan Pengelolaan Hutan Lindung(KPHL) Batutegi, Provinsi Lampung. Penentuan besarnya responden menggunakan teknik purposive sampling yang difokuskan pada petani agroforestri. Pengumpulan data dilakukan dengan wawancara terstruktur menggunakan kuisioner dan wawancara mendalam. Pada penelitian ini teridentifikasi bahwa cara pengelolaan lahan petani dipengaruhi oleh budaya berupa kegiatan ngoret, angin-anginan, nunas, perantingan dan setek pada pemeliharaan tanaman, mutil dan ngunduh pada kegiatan pemanenan dan pembibitan. Selain itu budaya ini juga mengandung kearifan dalam kegiatan babat belukar pada penyiapan lahan dan nandur pada penanaman. Kearifan lokal ini masih diterapkan secara terbatas sehingga perlu dikembangkan agar dapat diterapkan secara luas untuk mendukung kelestarian hutan di KPHL Batutegi.","GE, GF",Ulin Jurnal Hutan Tropis,,
FP5,Pemanfaatan platform Google Earth Engine dalam Pemantauan Perubahan Tutupan Lahan di Taman Hutan Raya Wan Abdul Rachman,"Tahura Wan Abdul Rachman (Tahura WAR) terbagi menjadi beberapa blok pengelolaan, yaitu blok perlindungan, blok pemanfaatan, blok koleksi, dan blok lainnya. Blok pada Tahura WAR telah mengalami degradasi akibat aktivitas manusia, perubahan status kawasan, dan kebijakan. Penelitian ini bertujuan mengetahui dinamika serta menghasilkan informasi terbaru terkait dengan perubahan tutupan lahan di Tahura WAR. Metode yang digunakan, yaitu klasifikasi terbimbing dengan algoritma random forest yang tersedia pada platform Google Earth Engine (GEE). Uji akurasi dilakukan dengan menggunakan tabel confusion matrix. Hasil penelitian meliputi uji akurasi, tren perubahan tutupan lahan, dan perubahan tutupan lahan pada setiap blok. Akurasi kappa yang dihasilkan pada tahun 2015, 2018 dan 2021 berturut-turut adalah sebesar 87.88%, 94%, dan 92%. Tren perubahan tahun 2015-2018 tutupan hutan meningkat 1334.47 ha, kebun campuran menurun 5068.36 ha, dan tegakan kopi meningkat 3398.43 ha. Tutupan hutan pada semua blok terjadi peningkatan pada tahun 2015-2018 dan penurunan tahun 2018-2021, tegakan kopi mengalami perubahan terbesar pada tahun 2015-2018 yang berada pada blok lainnya. Tutupan hutan, kebun campuran dan tegakan kopi merupakan tutupan yang mendominasi serta mengalami perubahan yang fluktuatif dibanding dengan tutupan lainnya. Tutupan hutan harus terus dipertahankan status dan fungsinya, selain itu perlunya pembinaan yang intensif dan pengelolaan yang kolaboratif bersama masyarakat yang sudah mengelola di kawasan Tahura WAR.","GF, S1, SB, SD",Journal of Forest Science Avicennia,2022-02-01,
FKIP18,PENERAPAN METODE RESITASI UNTUK MENINGKATKAN AKTIVITAS DAN PRESTASI BELAJAR GEOGRAFI SISWA KELAS XI IPS  DI SMA MUHAMMADIYAH MARTAPURA KABUPATEN OKU TIMUR,"Penelitian ini bertujuan untuk menganalisis penggunaan metode resitasi dalam meningkatkan aktivitas dan prestasi belajar geografi siswa kelas XI IPS SMA Muhammadiyah Martapura. Penelitian yang dilakukan adalah penelitian tindakan kelas yang dilakukan dalam 3 siklus. Lokasi penelitian di SMA Muhammadiyah Martapura dengan subjek penelitian adalah 41 siswa yang terdiri dari 19 putra dan 22 putri, peneliti (guru), dan seorang guru geografi (observer). Hasil penelitian menunjukkan bahwa aktivitas siswa siklus I, 3 kelompok memperoleh kriteria aktif dan 4 kelompok lainnya sangat aktif sedangkan pada siklus II menunjukkan bahwa seluruh kelompok memperoleh kriteria sangat aktif. Hasil yang diperoleh pada siklus I adalah 80,5% siswa memperoleh nilai 65 atau lebih dan pada siklus II 85,4% siswa memperoleh nilai 65 atau lebih. Kesimpulan dalam penelitian ini bahwa melalui penggunaan metode resitasi dapat meningkatkan aktivitas dan prestasi belajar geografi siswa kelas kelas XI IPS SMA Muhammadiyah Martapura","G1, GA, GB, GE, GF, L1",Proceeding of international seminar,2012-11-03,
FT11,PENENTUAN DAERAH RAWAN PENYALAHGUNAAN NARKOBA DI KOTA BANDAR LAMPUNG MENGGUNAKAN SISTEM INFORMASI GEOGRAFIS (SIG),"Kota Bandar Lampung menurut data dari Direktorat Reserse Narkoba Polda Lampung, kota ini merupakan daerah yang memiliki jumlah penyalahgunaan narkoba yang paling banyak dari 15 Kabupaten/Kota di Provinsi Lampung. Penelitian ini bertujuan untuk penentuan daerah rawan penyalahgunaan narkoba di Bandar Lampung menggunakan sistem informasi geografis. Metode yang digunakan yaitu scoring, pembobotan parameter menggunakan Analytical Hierarchy Process (AHP) dan overlay seluruh parameter yang mempengaruhi suatu wilayah rawan terjadinya penyalahgunaan narkoba. Penerapan teknik overlay menggunakan sistem informasi geografis. Parameter yang digunakan yaitu kepadatan penduduk, tingkat kemiskinan, daerah kumuh, tingkat kriminalitas, tingkat pendidikan (tamatan), jenis pekerjaan, tingkat perceraian dan jarak ke terminal. Hasil perhitungan parameter menunjukkan tingkat kriminalitas adalah parameter yang paling dominan dengan bobot 25%, tingkat kemiskinan 17%, jenis pekerjaan 14%, kepadatan penduduk 12%, tingkat pendidikan 12%, jarak ke terminal 8% serta daerah kumuh dan tingkat perceraian memberi kontribusi terkecil dengan bobot 6%. Berdasarkan hasil analisa menunjukkan bahwa daerah yang termasuk kategori sangat tinggi menjadi lokasi penyalahgunaan narkoba terdapat pada 32 kelurahan, kategori rawan terdapat 36 kelurahan dan cukup rawan terdapat 58 kelurahan. Dengan luas wilayah untuk tingkat sangat rawan 4032,207963 Ha (21,94%), rawan yaitu 5471,04702 Ha (29,78%) dan cukup rawan 8872,430536 Ha (48,28%).","G1, GA, GE, GF, T1",JURNAL PENELITIAN GEOGRAFI,2022,
FISIP1,NEGARA DAN KEANEKARAGAMAN HAYATI: MENGHADAPI TANTANGAN GLOBALISASI EKONOMI,"Globalization poses ambiguous challenges through increasing trade transactions, technological advances, abundant natural resources that urge the double edge knives for the society. The state as the main actor has the authority to regulate their assets. A state with big forest area, push to protect its interest. By using the analysis discourse research technique, the description of the national's interests and carrying capacity of biodiversity on the strength of the state is the focus of this research. In the agrarian aspect, in food security, biodiversity plays a role as provider of genetic diversity, protects the worst scenario of the harvest season, and the most important is to balance the ecosystem. It also contributes in maintaining the global climate and providing oxygen supply (the lungs of the world).","GF, H1, JZ",PROSIDING SEMINAR NASIONAL FISIPUNIVERSITAS LAMPUNG (SEFILA) 3TAHUN 2019,,
FP11,"ANALISIS KESESUAIAN KAWASAN WISATA ALAM PULAU KELAGIAN BESAR KECAMATAN PADANG CERMIN, KABUPATEN PESAWARAN, PROVINSI LAMPUNG","Indeks kesesuaian kawasan merupakan suatu parameter untuk menentukan sesuai tidaknya suatu kawasan untuk dijadikan suatu objek wisata.  Pulau Kelagian Besar merupakan salah satu pulau di Provinsi Lampung yang menjadi objek wisata rekreasi berenang dan juga snorkeling. Tujuan penelitian untuk mengetahui nilai indeks kesesuian untuk wisata pantai kategori rekreasi dan berenang.  Penelitian ini menggunakan pendekatan kualitatif dengan metode purposive sampling pada enam zona titik lokasi sampling dengan mempertimbangkan lokasi yang sering digunakan wisatawan untuk berenang. Pengambilan data dilakukan dengan pengukuran dan pengamatan secara visual dilapangan. Hasil penelitian menunjukkan bahwa kesesuaian wisata Pulau Kelagian Besar untuk kegiatan wisata rekreasi pantai yang termasuk dalam kategori sangat sesuai (S3) terdapat pada zona 1, 2, 3, 4 dan 5, sedangkan zona 6 termasuk dalam kategori tidak sesuai (TS).  Adapun untuk kegiatan wisata snorkeling yang termasuk dalam kategori sesuai (S2) terdapat pada zona 6, sedangkan kategori tidak sesuai (TS) terdapat pada zona 1, 2, 3, 4 dan zona 5. Hasil penelitian ini menunjukkan bahwa sebagian besar titik zona yang diamati dapat dikategorikan sangat sesuai untuk dijadikan lokasi kegiatan rekreasi pantai. Hanya satu titik pengamatan yang hanya sesuai untuk kegiatan snorkeling. Perlu penelitian lebih lanjut tentang daya dukung fisik Pulau Kelagian Besar guna mengetahui kapasitas pulau tersebut dalam menampung wisatawan perharinya.","GE, GF",,,
FT11,Spatial Analysis to Mitigate the Spread of Covid-19 Based on Regional Demographic Characteristics,"COVID-19 is currently the hot topic of conversation because of its ability to spread relatively quickly, in line with everyday human activities. It is unknown exactly the dominant environmental factors and their influence on the spread of COVID-19 in the last four months. Its distribution ability is no longer locally but has succeeded in making several countries stop its important activities globally. Non-spatial data such as positive confirmed population data, population-based on age, and Landsat 7 satellite imagery data were used to determine the spatial characteristics of the COVID-19 distribution until October September 2020. Inverse distance weighted (IDW), Moran's I and Local Indicator Spatial Association (LISA), as well as the ratio of the old population to the population, confirmed positive (+) were used as an approach to determine the characteristics of its distribution. Besides information on residential areas, surface temperature, and surface humidity based on supervised classification, land surface temperature (LST), and the normalized difference water index (NDWI) of Landsat 7 satellite imagery is used to enrich the spatial analysis carried out. The study results show a population concentration of COVID-19 towards the city of Bandung, with Moran's I result in not showing a good correlation. Meanwhile, the LISA results show that areas with a large or small number of elderly residents do not always have high positive COVID-19 numbers. The relation between the positive population (+) COVID-19 population and the built-up area (settlement), the surface temperature in the built-up area, surface humidity, and old age population based on the coefficient of determination (R2) is 0.03, 0.28, 0.25, and 0.019. This shows the level of vulnerability of the area is low. So, in the end, a recommendation for handling can be produced by taking into account the demographic characteristics of the area appropriately","G1, GF",Forum Geografi,2021-07-03,
FKIP18,The Resilience of Coastal Megacities to Weather-Related Hazards,"Weather-induced hazards are one potential reason for such decline. While the new coastal megacities can command large resources and significant political influence, they are also concentrating increasing populations in potentially hazardous locations, particularly in the new emerging megacities in the developing world. Thus, the development of these cities requires successful mitigation of these hazards. System resilience is seen as a desirable property in the face of a range of potential stresses, including weatherinduced hazards and disaster reduction. Most of the near-coastal zone is sparsely inhabited, with the human population being concentrated in a few specific areas of the world’s coast. These areas correspond mainly to near-coastal plains in Europe and parts of Asia, and to a lesser extent to densely populated urban areas. Urban populations tend to have higher consumption levels than their rural counterparts, as well as different consumption patterns. The increasing demand for food requires increasing productivity in fisheries and agriculture. However, this is often impeded by the loss of agricultural land to urban expansion and the reduction of fisheries potential because of habitat loss and pollution of rivers and coastal waters from urban and industrial waste. It should be noted that the aforementioned weather related hazards are usually directly modified by other human activities in and around urban areas, including changing sediment supply due to changing land use, land claim of intertidal areas and deepening of channels for navigation, enhanced subsidence due to groundwater withdrawal. Over time, technology is increasing the options that are available for hazard reduction, particularly those strategies that reduce losses Given the large populations and economic values in cities, there is usually a bias toward loss reduction, and it can be argued that large coastal cities would not have evolved without the availability of these hazard reduction strategies.

Keywords: weather,coastal megacities, urban, hazard reduction",GF,SPASIAL,2017-01-01,"weather,coastal megacities, urban, hazard reduction"
FKIP18,"Keterkaitan Jarak Geografis Terhadap Eksistensi Tradisi Pantauan Bunting (Konstruksi Sosial Suku Besemah, Lahat, Indonesia)","This study aims to look at the backwardness of the region and the socio-cultural construction of the Besemah Pantauan Bunting tradition by revealing: 1) the process of the birth of the tradition, 2) the factors causing differences in the distribution of traditions in each region, and 3) existence in the tracking era of the Besemah Tribe. The research was conducted in Lahat District, South Sumatra using an interpretive paradigm, qualitative research types and ethnographic methods. Data obtained from primary and secondary sources. Data collection techniques were carried out through non-participant observation, interviews, and documentation, as well as purposive sampling techniques. Data analysis was carried out through open coding, axial coding, and selective coding, while data analysis was carried out through continuous observation, triangulation, member checks and peer reviews and reference adequacy checks. Based on the results of the analysis with Berger's social construction theory, social construction is formed through 3 (three) dialectical processes namely, the first externalization of the existence of Pantauan Bunting as part of the Besemah Tribe marriage which is intended to introduce the bride and groom to relatives and family so that a harmonious relationship is established in period after marriage. Second, the process of objectivation through the implementing regulations for the Pantauan Bunting tradition succeeded in legitimizing the existence of this tradition in society. Third, the process of internalization through primary socialization by using customary institutions to move the community to be aware of their ancestral heritage so that they continue the tradition. The distribution of the Pantauan Bunting tradition varies in each region due to geographical and social factors. Even though it has entered the modern era, the existence of this tradition is still maintained by the Besemah people and we can still find it in various areas in Lahat Regency.","G1, GF, GN, H1, L1",JAMBURA GEO EDUCATION JOURNAL,2023-03-31,
FP1,The Effectiveness of Multicultural- Based Social Sciences Teaching Materials for Optimizing Nationality Character of Students in Junior High School One Natar South Lampung Regency,"This research is motivated by the lack of nationality 
and multicultural values, the limited number of textbooks in 
schools that are only received from the government and the lack 
of interesting books. Then, the need for multicultural-based 
learning modules that have nationality character values. The 
research aims to produce IPS multicultural based teaching 
material products and to analyze the effectiveness of the use of 
multicultural based IPS teaching materials. This research is a 
development research (R&D) of Borg and Gall. The module 
products are validated by learning material experts, learning 
media or design experts, linguists, social studies teachers and 
students. The effectiveness of the product is obtained by using a 
pre-test and post-test (control group design) experimental test. 
The pre test and post test results of IPS tests were analyzed using 
t test and normalized gain comparison. Based on the results of 
data analysis and discussion, the following conclusions are 
obtained: 1) Learning that uses multicultural-based teaching 
materials in social studies subjects as learning resources in social 
studies learning can improve student character values. 2) 
Learning social studies using multicultural-based social studies 
teaching materials for eighth grade junior high school students is 
more effective than using non-development modules in schools. 
The module's teaching materials are effective by being proven 1) 
Learning that uses multicultural-based teaching materials in 
social studies subjects as learning resources in social studies 
learning can improve student character values. 2) Learning 
social studies using multicultural-based social studies teaching 
materials for eighth grade junior high school students is more 
effective than using non-development modules in schools. The 
module's teaching materials are effective by being proven 1) 
Learning that uses multicultural-based teaching materials in 
social studies subjects as learning resources in social studies 
learning can improve student character values. 2) Learning 
social studies using multicultural-based social studies teaching 
materials for eighth grade junior high school students is more 
effective than using non-development modules in schools. The 
module's teaching materials are effective by being provent-test 
analysis of pre-test and post-test data on the learning outcomes 
of the control class and the experimental class, it is known that 
the average learning outcomes of the experimental class are 
better than the control class. From these results there is clearly a 
difference between the experimental class and the control class. 
Thus thatmulticultural-based IPS teaching materialswhich 
proved to be more effectively used in learning. The results of the 
test indicate that there is a significant difference and increase in 
student character outcomes from the experimental and control 
class","B1, BL, GF",International Journal of Research and Innovation in Social Science (IJRISS),2020-07,
