division,title,abstract,subjects,publication,date,keywords
FISIP7,Isu Perubahan Agraria dalam Lirik Lagu Populer Indonesia 1950-1980,"Indonesia is an agricultural country where the majority of the population lives from cultivating land, both in rather sophisticated and simple ways, and making a living from the produce of the earth. The picture can be said to be correct for, at least, until the last decade before entering the millennium era. If you look at Indonesia's macroeconomic statistics from 1961 to 2011, it will be seen a decrease in the presentation of the population working in the agricultural sector. Along with that, the number of people working in the industrial (manufacturing) sector is increasing. Significant improvement is most clearly seen in the service sector. So that in 2011 the number beat the population of Indonesia who worked in the agricultural sector. If the change in agrarian society is seen as a popular change for Indonesians - in the sense that the change is experienced by many people, occurs in a broad spatial scope and with a significant impact - the question is, how will the change in an agrarian society be captured and interpreted in the mind by artists and especially musicians who, I think, have a role as recorders of the age? To answer that question, the writer selected a number of popular Indonesian songs from the 1950s to the 1980s with poems containing pieces of agrarian change.","D880, GN, HN","Journal of Music, Technology, and Industry",2019-10-10,
FISIP7,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,"Tulisan ini menganalisis bagaimana orang Kais, salah satu komunitas pemburu-peramu di wilayah hutan sagu alami Papua Barat, menghadapi dan melibatkan diri dalam proses industrialisasi pertanian. Pengorganisiran tenaga kerja orang Kais ke dalam proses produksi kapitalis dimungkinkan oleh eksistensi dominasi politik laki-laki terhadap akses dan penguasaan sumberdaya kolektif (klan), sehingga menempatkan mereka sebagai kelompok yang menentukan dalam merespons kepentingan industri atas kebutuhan bahan baku mentah (pohon sagu) serta tenaga kerja sebagai prasyarat bekerjanya operasi industrial. Meluasnya peran pasar sebagai sarana dalam memenuhi kebutuhan hidup telah membawa orang Kais ke dalam proses komodifikasi subsistensi yang pada gilirannya mendesak mereka untuk lebih intensif terlibat di dalam relasi kerja upahan pada aktivitas produksi kapitalis (komodifikasi tenaga kerja), terutama bagi golongan laki-laki muda, sekalipun secara de facto orang Kais tidak terlebih dahulu mengalami proses akumulasi primitif. Proses interaksi antar-dua moda produksi, yakni moda kapitalis dan moda produksi berlandaskan kekerabatan, serta konsekuensinya terhadap lingkungan dan ikatan-ikatan sosial penduduk setempat yang ditemukan, pada gilirannya meragukan pendekatan industrial dalam pelaksanaan pembangunan ekonomi di Papua; semenjak komunitas-komunitas pemburu-peramu yang sara diri ditransformasi menjadi tenaga kerja murah tanpa memiliki kendali dalam proses dan hasil dari pembangunan itu sendiri.","GN, H1, HT",Wacana: Jurnal Transformasi Sosial,2020,
,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,,"GN, H1, HN",,,
,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,,"GN, H1, HN",,,
,"Food Insecurity and Agribusiness Expansion in Papua, Indonesia: A Developmental Paradox",,"GN, H1, HN",,,
FISIP7,"Food Insecurity and Agribusiness Expansion in Papua, Indonesia: A Developmental Paradox","Indonesia's Papua region has experienced rapid economic development in the last decade through massive investment in the agricultural sector and infrastructure development. Although the industrial agri-food has expanded in the region, Papua has the highest rank of food insecurity at the national level. This paper intends to describe a paradox in an agribusiness frontier where (food) commodity production creates food insecurity at the local level. The agribusiness development has rearranged the natural resources governance and labour relations, which, in turn, limits local communities' access to food sources and compels them to enter commodity relations in providing food. Penetration of market relations does not resolve existing food insecurity. On the contrary, it creates a new kind of food vulnerability. The analysis presented here is based on a literature review on agricultural development and primary data gathered from ethnographic fieldwork in West Papua Province in 2017.","GN, H1",Proceedings of the 2nd International Indonesia Conference on Interdisciplinary Studies (IICIS 2021),,
FISIP7,"Agrarian Conflict and the Persistence of Peasant Resistance: Case Study from Lampung, Indonesia","The Agrarian Reform under Joko Widodo's presidency was designated as one of the national prioritized programs. Paradoxically, the recorded numbers of agrarian conflict under his governance increased, including the prolonged and unsolved land dispute inherited from previous regimes. This article describes the underlying processes that conditioned the persistence of agrarian conflict, mainly referring to a case study conducted in Tulang Bawang Regency, Lampung, Indonesia. The research employs a qualitative approach where first-hand data was gathered in 2018 and 2019 combined with analyses of archival sources collected in 2021. The research confirmed that understanding the processes of agrarian transformation in a specific context is necessary to comprehend the root of the agrarian conflict. It also highlights the importance of identity, the relationship between ""internal"" and ""external"" activists, and political opportunity structure to explain the persistence of peasant resistance as a form of political reaction from below. The research suggested exploring the generational aspect associated with the inheritance of conflict memory and resolution.","GN, HM, HN",Proceedings of the Universitas Lampung International Conference on Social Sciences (ULICoSS 2021),2022-01-06,
FKIP24,Perubahan Pola-Pola Perkawinan pada Masyarakat Lampung Saibatin,"This article discusses the marriage system that occurred in the Lampung Saibatin community. This study examines how the marriage system change based on their own needed. This study was an ethnography research that would be described qualitatively, this is intended because the concern of the research is the way of life of the Lampung Saibatin community. The results showed that the Lampung Saibatin marriage in the 1970s underwent a change from a very strong Bujujogh with patrilineal to a Semanda marriage system. Lampung Saibatin community develops a new marriage system using Semanda which is an influence of the Minangkabau people, this is done by Lampung Saibatin people because they are reluctant to be called a failed family or ”mupus”. This study sees that the changes that occur due to two vital elements are that emerge from within the Saibatin community itself which includes privilege and economy. Meanwhile, external factors are new cultures that come from other people, get a better education and government policy.",GN,Jurnal Antropologi: Isu-Isu Sosial Budaya,2020-06,
FKIP18,"Keterkaitan Jarak Geografis Terhadap Eksistensi Tradisi Pantauan Bunting (Konstruksi Sosial Suku Besemah, Lahat, Indonesia)","This study aims to look at the backwardness of the region and the socio-cultural construction of the Besemah Pantauan Bunting tradition by revealing: 1) the process of the birth of the tradition, 2) the factors causing differences in the distribution of traditions in each region, and 3) existence in the tracking era of the Besemah Tribe. The research was conducted in Lahat District, South Sumatra using an interpretive paradigm, qualitative research types and ethnographic methods. Data obtained from primary and secondary sources. Data collection techniques were carried out through non-participant observation, interviews, and documentation, as well as purposive sampling techniques. Data analysis was carried out through open coding, axial coding, and selective coding, while data analysis was carried out through continuous observation, triangulation, member checks and peer reviews and reference adequacy checks. Based on the results of the analysis with Berger's social construction theory, social construction is formed through 3 (three) dialectical processes namely, the first externalization of the existence of Pantauan Bunting as part of the Besemah Tribe marriage which is intended to introduce the bride and groom to relatives and family so that a harmonious relationship is established in period after marriage. Second, the process of objectivation through the implementing regulations for the Pantauan Bunting tradition succeeded in legitimizing the existence of this tradition in society. Third, the process of internalization through primary socialization by using customary institutions to move the community to be aware of their ancestral heritage so that they continue the tradition. The distribution of the Pantauan Bunting tradition varies in each region due to geographical and social factors. Even though it has entered the modern era, the existence of this tradition is still maintained by the Besemah people and we can still find it in various areas in Lahat Regency.","G1, GF, GN, H1, L1",JAMBURA GEO EDUCATION JOURNAL,2023-03-31,
FT9,Identifikasi Dan Analisa Tipologi Bangunan Taman Kanak-kanak,"Pendidikan anak usia dini pada akhir dasawarsa ini mendapat perhatian yang cukup serius, baik dari pakar maupun praktisi pendidikan, psikolog, bahkan masyarakat awam sekalipun cukup antusias meyerahkan buah hatinya kepada lembaga tersebut. Namun bukankah suatu institusi termasuk lembaga pendidikan memerlukan sebuah tempat dimana tempat proses pembelajaran berlangsung sangat dibutuhkan sekali keberadaannya. Sementara itu keberadaan ruang atau bangunan ini harus memiliki karakteristik yang memenuhi kriteria program pembelajaran bagi anak -anak dengan baik dan benar, seperti halnya kelayakan fisik bangunan yang mengakomodir kegiatan tumbuh kembang anak yang tidak lepas dari perhatian arsitektur sebagai disiplin ilmu yang berkolerasi. Pada isu permasalahan kali ini seorang arsitek tidak hanya berkutat pada persoalan-persoalan primordial anak semata, namun harus mempertimbangkan aspek lain yang sejatinya masih berhubungan dengan keperluan serta kebutuhan belajar anak usia belia termasuk lingkungan sosial disekitarnya, untuk itu diperlukan adanya kajian tipologi bangunan taman kanak-kanak dari beberapa studi kasus yang representatif, guna menjamin adanya ketentuan baru pada upaya perancangan bangunan taman kanak-kanak ke depan yang ideal untuk diimplementasikan pada setiap klasifikasi masyarakat, budaya, topografi kawasan, dan lain sebagainya.
Kata kunci: institusi, karakteristik, klasifikasi, topografi, pendidikan","GN, NA",ARTEKS Jurnal Teknik Arsitektur,,
