division,title,abstract,subjects,publication,date,keywords
,"Jalur Interpretasi ""Bird Watching"" di Rawa Bento Taman nasional Kerinci Seblat","Jalur Interpretasi ""Bird Watching"" di Rawa Bento Taman nasional Kerinci Seblat","GE, GV",Jurnal Hutan Tropis,,
,Pelatihan Pembuatan Flos-Insecta Embedding sebagai Cinderamata Masyarakat Sekitar Kebun Raya Liwa Kabupaten Lampung Barat,,"GV, HT, NK, Q1, SB",Tabikpun,,
FP5,"Keanekaragaman Jenis Amfibi untuk Mendukung Kegiatan Ekowisata 
di Desa Braja Harjosari Kabupaten Lampung Timur","Amphibian life in nature is an interesting case which can be an ecotourism interest. The life cycle as well as the uniqe behaviours of the amphibi, is an interesting case to support the ecotourism activities. This research intends to determine the richness of amphibian minds, the diversity of amphibian kinds, and the amphibian distribution in order to support the ecotourism activities and to determine the society perception in utilizing the amphibi for the ecotourism activities. A combination of line transect method and Visual Encounter Survey method were used to know the species richness diversity and the distribution. One score one indicator quisioner was used to know the society perception against the amphibi to support ecotourism. The research was conducted in Braja Harjasari Village, East Lampung
Regency during March to April 2017. Data analyzing was used a Shannon-wiener and Margalef index. The sosciety
perception was analyzed descriptively and showed in a chart. The result showed that the amphibian richness was 0,6 which mean low, the diversity was 1,0 which meant medium, the shannon-wiener and margalef index was 0,9 which mean low community was stable and each kind of the amphibi was distributed equally. The society perception
against the amphibi to support the ecotourism activities was mostly positive.","GV, S1, SB, SD, SF",BIOSFERA,2017-09-31,
FISIP1,STRATEGI PARIWISATA EKOLOGIS DALAM TANTANGAN MASA PANDEMI COVID-19,"Sektor pariwisata terkena dampak di masa pandemik covid-19. Hal ini disebabkan oleh minimnya mobilitas masyarakat untuk menghindari penyebaran virus. Pengelolaan destinasi pariwisata ekologis patut memperhatikan kebutuhan pengunjung namun juga pengelolaan sumber daya alam dan kelestarian lingkungan. Pengelolaan sumber daya alam merupakan hal utama bagi destinasi pariwisata ekologis. Kondisi pandemik ini, memunculkan dua isu strategis yang menjadi pertimbangan; pengembangan produk turunan hasil konservasi dan penggunaan fitur daring untuk pariwisata.

Kata kunci: ekowisata, pariwisata ekologis, strategi pengembangan pariwisata",GV,Jurnal Perspektif Bisnis,2020-05-31,
FISIP1,Visitors Experience on Sumatran Butterfly Ecotourism in Sustainable Environmental Awareness,"Sustainable development can be realized by contributing to environmental sustainability. Objectives on this were stressing on sustainable environmental awareness in butterfly conservation. Taking sample of 100 visitor respondents who had visited Gita Persada Butterfly Park, an ecotourism based on Sumatran butterfly conservation in Bandar Lampung City, Lampung Province, Indonesia. There were 16 question on respondent’s background and knowledge on butterfly conservation knowledge. The responses show that visitors had ecological knowledge about butterfly life. Referring to 15 items on tourist activities and 14 items on knowledge of butterfly’s life cycle, the results showing that visitors had specific interest on having experiences in butterfly ecotourism. Transfer knowledge on conservating butterfly giving possibility on participatory of people for supporting and conservating the butterfly ecosystem. Furthermore, it gave contribution on achieving sustainable development goals.","GE, GV",,2021-09-18,
"FT11, FT1","Pemanfaatan Drone Untuk Pemetaan Potensi Ekowisata di Kecamatan Panca Jaya, Mesuji","Perlunya kegiatan pemetaan potensi ekowisata di Kecamatan Panca Jaya berkaitan dengan upaya pemberdayaan masyarakat desa. Kecamatan ini merupakan wilayah berupa dataran rendah dengan mayoritas penduduknya bekerja di bidang pertanian dan perkebunan. Penurunan harga komoditas perkebunan menyebabkan banyak petani mengalihfungsikan lahan perkebunan menjadi tanaman singkong. Namun secara geologi, wilayah ini didominasi oleh batuan endapan rawa yang memiliki potensi kandungan batubara muda. Kurangnya data potensi lokasi wisata di daerah ini menyebabkan sedikitnya perhatian masyarakat terhadap potensi ekowisata di wilayah mereka. Pengabdian ini bertujuan untuk mengatasi permasalahan tersebut dengan memetakan potensi ekowisata baru yang dapat dikembangkan dan dikelola oleh masyarakat, mengedukasi masyarakat dalam peningkatan kualitas dan keunggulan/ kearifan lokal yang berimbas pada peningkatan nilai ekonomi kawasan ekowisata dengan pemanfaatan teknologi informasi seperti drone. Manfaat dari pengabdian ini adalah terpetakannya potensi ekowisata yang dapat dikembangkan dan dikelola oleh masyarakat serta terbentuknya media promosi video profil kawasan wisata yang dapat disebarkan melalui media internet sehingga wisatawan dapat dengan mudah mengenal dan tertarik untuk berkunjung ke Panca Jaya.","GE, GV",SAKAI SAMBAYAN,2020-03-27,
FP5,"SWOT ANALYSIS TO DETERMINE DEVELOPMENT STRATEGIES 
OF KEBUN RAYA LIWA KABUPATEN LAMPUNG BARAT","West Lampung Regency has beautiful landscape conditions and its very potential for natural tourism development. Kebun Raya Liwa (KRL) or Liwa Botanical Garden is one of the main tourist attractions with the aim of ecotourism destination and plant species collection. Although it has already known, the management still requires a lot of attention so an efficient and targeted strategy is needed. The SWOT method was used to analyze internal (IFAS) and external (EFAS) KRL conditions and determine the chosen strategy. A total of 50 questionnaires involving various stakeholders: Managers, Communities and Researchers were used as the basis for the analysis. The results shown that IFAS scores for Strength 1.59 and Weaknesses 1.81. While EFAS for Opportunity 1.72 and Threat reached 1.43. Strength-Opportunities Strategy Score 3.31; Weaknessess-Opportunities Strategy 3.53; The Strength-Threats Strategy 3.02 and the Weaknessess-Threats Strategy 3.24. So that the Weaknessess-Opportunities strategy determined by minimizing the weaknesses of KRL while continuing to take advantage of existing opportunities. The final selected choice of strategy is: 1) Development of types of tourism activities based on the wishes of tourists and the community; 2) The condition of mountainous landscapes can be used optimally; 3) Adding road signs to the KRL 4) Optimizing the promotion of tourism potential on KRL so that distance is not a problem for potential tourists.

Keyword: SWOT, Kebun Raya Liwa, Development, Strategy","GV, H1, SD",,2019,
FP5,"Penilaian Wisatawan Terhadap Komponen Destinasi Wisata: Atraction, Amenities, Accessibility, dan Ancillary Service Pada Objek Wisata Kebun Raya Liwa","Abstak: Pengembangan suatu destinasi wisata harus memperhatikan kebutuhan wisatawan. Untuk memenuhi kebutuhan tersebut terdapat 4 komponen utama yang harus terpenuhi. Penelitian ini bertujuan untuk mengetahui penilaian wisatawan terhadap 4 komponen utama tersebut (atraksi, fasilitas, aksesibilitas, dan pelayanan tambahan) pada objek wisata alam di Kebun Raya Liwa. Penelitian ini dilakukan di Kebun Raya Liwa yang terletak di Desa Pekon Kubu Perahu, Kecamatan Balik Bukit, Kota Liwa, Kabupaten Lampung Barat. Populasi  yang  dijadikan  obyek  penelitian  ini  diambil langsung  dari  wisatawan  yang  berkunjung  di  KRL sejumlah 100 wisatawan. Sumber data adalah dari hasil wawancara mendalam dengan pihak pengelola dan kuesioner wisatawan. Analisis data penelitian menggunakan skala likert. Variabel penelitian dijabarkan menjadi indikator penelitian berupa pernyataan yang dinilai oleh wisatawan berdasarkan lima alternative jawaban. Setelah diperoleh data penilaian indikator penelitian, kemudian data akan diolah untuk menghasilkan skor sesuai dengan gradasi skala likert yang digunakan. Berdasarkan hasil penelitian dapat disimpulkan bahwa atraksi utama objek wisata Kebun Raya Liwa adalah keindahan alamnya dilihat dari skor tertinggi yang bernilai 393 dengan kategori memuaskan, diikuti dengan spot foto, koleksi tanaman dan kebersihan. Adapun dalam segi aksesibilitas akses jalan menuju KRL sudah memadai dengan skor tertingi 349. Sedangkan yang masih perlu diperhatikan lagi adalah angkutan umum yang memiliki skor terendah sebesar 295 dengan kategori cukup. Selanjutnya, variable amenitas memiliki 7 indikator dengan skor tertinggi pada indikator mushola dengan nilai 341 pada kategori memuaskan. Indikator yang perlu lebih diperhatikan adalah indikator dengan skor terendah yaitu penginapan. Komponen 4A terakhir adalah fasilitas tambahan yang memiliki 5 indikator dimana semua indikator memperoleh penilaian dalam kategori cukup. Indikator tempat sampah mendapatkan skor tertinggi dan listrik mendapatkan skor terendah.
Key words: Penilaian wisatawan, atraksi, aksesibilitas, amenitias, fasilitas tambahan","GV, S1, SD",,2019,
,"STUDI WISATA PENGAMATAN BURUNG (BIRDWATCHING)
DI LAHAN BASAH DESA KIBANG PACING KECAMATAN MENGGALA TIMUR
KABUPATEN TULANG BAWANG
PROVINSI LAMPUNG","Indonesia have a wide wetland area, 21% of its lands area is a wetland comprising more
than 38 million hectare. Kibang pacing village at east menggala district is one of the
wetlands in the lampung province that have a plenty species of bird comprising 40 species of
21 families (Triyanah, 2014). Further research was needed to determine the potential bird
species that will be used as attraction bird (birdwatching) in terms of its conservation status
and ecological status. This research was aimed to determine the potential bird that will be
used as birdwatching object, compare the result with the former research result that has been
done by Triyanah at 2014, determine the effect of habitat conditions and vegetation type to
the existence and activity of the bird, and knowing society perception about birdwatching. Tis
research was using point count method, rapid assessment, and semistructured interview. The
research found 27 endemic species of birds and 13 species of birds categorized as protected.
Habitat condition and vegetation type was affecting the presence and birds activity. Most of
the birds was found in gelam vegetation because there was a plenty source of food. Society
was fully support the development of birdwatching tourism in the kibang pacing village.
Keywords: Birdwatching, Kibang pacing, wetland",GV,Sylva Lestari,,"Birdwatching, Kibang pacing, wetland"
FT8,Hak Cipta Program Komputer Aplikasi Android PahawangTravel,"Aplikasi Android PahawangTravel adalah aplikasi yang menampilkan informasi mengenai pariwisata Pulau Pahawang mengenai rekreasi yang ada, berita tentang pariwisata pulau Pahawang, informasi paket wisata, dan kontak ke pengelola pariwisata Pulau Pahawang.","GV, T1, T201",,2017-09-17,
