division,title,abstract,subjects,publication,date,keywords
,"Ability and Willingness to Pay for Waste Water Management Services: A Case Study in Lampung Province, Indonesia*","24This study aims to estimate  and calculate  the ability to pay (ATP) and the willingness to pay (WTP) of households for wastewater management services (IPAL), the relationship between ATP and WTP,  and factors that affect WTP.  The location of IPAL construction is in the area of Lampung Province, Indonesia. There are 158 selected households for this study. The study employs a purposive sampling method in which the characteristics of households are classified into 3 categories - former households, newcomer households who had come to this area and have no experience of using water supply services, and newcomer households who have experience of using water supply services such as PDAM. The results of this study are, ATP and WTP values were not always in the same direction. The highest ATP was fornewcomer  households with experience of water supply services  but the WTP was the lowest, on the contrary, the lowest ATP was for formerhouseholds, but the WTP was the highest. Furthermore,  experience and cognitive reference are positively correlated with WTP. Service quality perception, education/knowledge of respondents about environmental conservation,  and level of income  correlate with WTP.",H1,,2021-07-04,
FEB6,"The Customer Awareness and Intention of Syariah Bank:
The Role of Marketing Communications","A small number of Muslims who use Syariah banks, indicating that there are still many Muslim communities in Indonesia who do not understand the nature of Syariah banks. The purpose of this research is to examine the effect of marketing communication on the awareness and intention of customers of Syariah banks. This study used a survey method with college student respondents in Bandar Lampung. The sample was taken using non-probability sampling. Data analysis was performed using SEM. The results showed that marketing communications able to provide information to students were advertising (advertisements, brochures, signboards, and banners) and direct marketing (websites Syariah bank). Marketing communication affects customer intention to use Syariah bank products and awareness partially mediating the effect of marketing communication on customer intention to use Syariah bank products. This research is important for policymakers at Syariah banks to determine marketing communication strategies, especially for millennials.",H1,,2020-08-15,
FEB6,The Customer Awareness and Intention of Syariah Bank:The Role of Marketing Communications,"A small number of Muslims who use Syariah banks, indicating that there are still many Muslim communities in Indonesia who do not understand the nature of Syariah banks. The purpose of this research is to examine the effect of marketing communication on the awareness and intention of customers of Syariah banks. This study used a survey method with college student respondents in Bandar Lampung. The sample was taken using non-probability sampling. Data analysis was performed using SEM. The results showed that marketing communications able to provide information to students were advertising (advertisements, brochures, signboards, and banners) and direct marketing (websites Syariah bank). Marketing communication affects customer intention to use Syariah bank products and awareness partially mediating the effect of marketing communication on customer intention to use Syariah bank products. This research is important for policymakers at Syariah banks to determine marketing communication strategies, especially for millennials",H1,,2020-08-15,
FKIP12,"Character Building Since Early Childhood Through
Story Telling About Folklore","The Indonesian nation must be built by prioritizing character development because this character building
will make Indonesia a great, advanced, and glorious, dignified nation. Today the rapid progress and
sophistication of technology makes habits begin to be abandoned. Children now prefer to play gadgets and
play stations rather than traditional children's games, whereas traditional children's games are not just games
but also teaches about many lessons such as practicing patience, cooperation, responsibility, tolerance, and
caring among others. Therefore, it is necessary to plant good character traits early on in early childhood, with
the hope that good character can be well embedded early on. Character is not formed by learning in class, but
it requires habituation. Through storytelling it is hoped that children will recognize, understand and be able to
feel the values contained in the story, so good character values will be embedded in the child. The habit of
telling stories or storytelling about folklore needs to be done at school, especially at home, so that
communication between teachers, parents, and children can be established in instilling the children’s
character.
Keywords: Early childhood, character building, story telling, floklore","H1, HN, L1, Q1",Proceedings of the International Conference on Early Childhood Education and Parenting 2019 (ECEP 2019),2020,"Early childhood, character building, story telling, floklore"
FKIP12,"Global Citizen Preparation: Enhancing Early Childhood
Education through Indonesian Local Wisdom","In a globalized world, young people are
expected to have critical thinking and communication
abilities, such as collaboration and technological skills.
Both skills are imperative to equip them to participate in an
international environment. However, due to a lack of early
childhood education, youths in Indonesia also have less
innovativeness and competency. This study aims to
discover an ethical culture that enhances early childhood
education by using the concept of local wisdom. This
research was conducted in one of the Indigenous
communities in Indonesia which were the Sundanese
Community in Cireundeu, West Java. The qualitative
approach used the descriptive method and revealed the
consciousness of the Indigenous people in Cireundeu to
engage in traditional Sundanese cultural practices by
preparing their children to become ethical human beings,
as well as being productive and informed global citizens.
The results show that the community has implemented
decent early childhood education, which is designed to
prepare youths who actively engage as global citizens. The
implementation of this study can be applied not only to
children in Cireundeu but also to children all over the
world.
Keywords Early Childhood Education, Global
Citizens, Indonesian Local Wisdom, Globalization","H1, HN, HQ, L1, Q1",Universal Journal of Educational Research,,
FISIP1,Penilaian Rekan Sejawat: Kajian Tentang Keputusan Pembelian Produk Ramah Lingkungan Dalam Perspektif Theory Of Planned Behavior.,,H1,,2020,
,ANALISIS EKSTERNALITAS PADA PTPN VII (PERSERO) UNIT USAHA PG BUNGA MAYANG TERHADAP KONDISI SOSIAL EKONOMI MASYARAKAT SEKITAR,,H1,PROSIDING SEMINAR NASIONAL SAINS DAN TEKNOLOGI UNILA,2007-08-27,
FEB5,IMPLICATION OF COMMUNITY BASED TOURISM (CBT) TOWARDS COMMUNITY WELFARE AT AROUND TELUK KILUAN BEACH TANGGAMUS REGENCY LAMPUNG,,H1,SCITEPRESS-SCIENCE AND TEKNOLOGY PUBLICATIONS,,
FEB5,THE INFLUENCE OF HOUSEHOLD CHARACTERISTICS ON POVERTY ALLEVATION THROUH TOURISM DEVELOPMENT,,H1,"THE 2ND INTERNATIONAL CONFERENCE ECONOMICS, BUSINESS AND ENTEPRENEURSHIP",2020,
FEB5,NILAI EKONOMIS DIBALIK PENGELOLAAN SAMPAH KOTA,,H1,,2005,
