division,title,abstract,subjects,publication,date,keywords
FMIPA9,"Convergence Rates of Maxima of Non-identical
Sums",,HA,Pakistan Journal of Statistics and Operation Research (PJSOR),2022-03-06,
FMIPA9,Inference for Noisy Samples,"Abstract In the current work, some well-known inference procedures including testing and estimation are adjusted to accommodate noisy data that lead to nonidentically distributed sample.  The main two cases addressed are the Poisson and the normal distributions. Both one and two sample cases are addressed.  Other cases including the exponential and the Pareto distributions are briefly mentioned.  In the Poisson case, the situation when the sample size is random is mentioned.

Keywords: Noisy samples, Hypothesis testing and estimation, Poisson, Normal, Exponential, and Pareto.",HA,Pakistan Journal of Statistics and Operation Research,2012-06-04,"Noisy samples, Hypothesis testing and estimation, Poisson, Normal, Exponential, and Pareto."
FEB4,Pelatihan dan Pendampingan Perhitungan Biaya dan Pemanfaatan Potensi Limbah Industri Rumahan Penyulingan Minyak Atsiri,"Tujuan kegiatan pengabdian kepada masyarakat ini adalah untuk meningkatkan pengetahuankelompok home industri penyulingan minyak atsiri dalam pengolahan limbah hasil perebusan
minyak atsiri. Meningkatkan keterlibatan kelompok home industri pengolahan minyak atsirdalam berbagai kegiatan pelatihan terkait pengolahan limbah. Meningkatkan wawasan danpengetahuan dalam perhitungan biaya dan potensi penghasilandari home industri minyakatsiri. Meningkatkan pengetahuan tentang pengoptimalan manfaat dari limbah hasilpenyulingan minyak atsiri. Metode yang digunakan adalah Pelatihan dan Pendampingan. Mitra bersedia bekerjasama dengan mengikuti pelatihan yang akan diberikan oleh tim pengabdiandan melaksanakan hasil rekomendasi dari tim pengabdian untuk dapat mengatasi masalahlimbah hasil olahan minyak atsiri menjadi produk yang berpotensi ekonomi. Luaran dari hasipengabdian ini adalah meningkatya potensi ekonomi dan kesejahteraan masyarakat denganmengetahui tekhnologi pengolahan limbah dan dapat dipublikasikan pada jurnal atauprosiding pengabdian pada masyarakat serta diberitakan dalam media cetak. Hasil pengabdianmenunjukkan terjadi peningkatan pengetahuan dan pemahaman sebesar rata-rata 24,10
persen untuk .Pengetahuan kelompok home industri penyulingan minyak atsiri dalam pengolahan limbah hasil perebusan minyak atsiri meningkat 34,51%, Keterlibatan kelompok home industri pengolahan minyak atsiri dalam berbagai kegiatan pelatihan terkait pengolahan
limbah meningkat 15,55%. Wawasan dan pengetahuan dalam perhitungan biaya dan potensi penghasilan dari home industri minyak atsiri juga terdapat peningkatan pemahaman walaupun masih kecil meningkat 12,1%. Pengetahuan tentang pengoptimalan manfaat dari
limbah hasil penyulingan minyak atsiri meningkat 13,45%. Masukan dan saran yang dapat disampaikan untuk kegiatan pengabdian di masa mendatang adalah perlunya pendampingan
untuk mengolah langsung limbahnya agar produksi bersih dapat diterapkan oleh pemilik dan pekerja penyulingan minyak atsiri juga diberikan pelatihan untuk pemasarannya secara digital. 

Kata kunci: Biaya, Limbah Industri, Penyulingan Minyak Atsiri","H1, HA",Prosiding Seminar Nasional Fakultas Ekonomi dan Bisnis Unila,2019,
FEB4,Future Conditions of the Mining Sector Seen from The Viewpoint of Stock Price,"The daily share price of the mining sector is part of the financial data that is included in the determining
criteria that describe the condition of the company. More broadly, the daily share price of the mining sector,
especially in Indonesia, impacts the national economy. In these conditions, low-risk decision-making is needed.
Methods in economics explaining forecasting of future economic conditions can reduce risk by preparing a
treatment plan. Time series financial data, including daily stock prices, can be predicted using the ARIMA model.
This study aims to design a time series financial data forecasting model with a low error rate so that the quality of
the prepared decisions is of high quality.","HA, HJ",European Union Digital Library,2022-04-20,
,"APPLICATION OF SHORT-TERM FORECASTING MODELS FOR ENERGY ENTITY STOCK PRICE (STUDY ON INDIKA ENERGI TBK, JII)","Share price as one kind of financial data is the time series data that indicates the level of fluctuations and heterogeneous variances called heteroscedasticity. The method that can be used to overcome the effect of autoregressive conditional heteroscedasticity effect is the generalised form of ARCH (GARCH) model. This study aims to design the best model that can estimate the parameters, predict share price based on the best model and show its volatility. In addition, this paper discusses the prediction-based investment decision model. The findings indicate that the best model corresponding to the data is AR(4)-GARCH(1,1). The model is implemented to forecast the stock prices of Indika Energy Tbk, Indonesia, for 40 days and significantly presented good findings with an error percentage below the mean absolute.",HA,International Journal of Energy Economics and Policy,2020,
FEB4,MODEL-MODEL PERAMALAN JANGKA PENDEK PADA DATA KEUANGAN SEKTOR PERTAMBANGAN,"Harga saham harian sektor pertambangan merupakan bagian dari data-data keuangan yang masuk kedalam kriteria penentu yang menggambarkan kondisi perusahaan. Lebih luas, harga saham harian sektor pertambangan khususnya di Indonesia memiliki dampak pada perekonomian nasional. Pada kondisi tersebut pengambilan keputusan dengan risiko rendah sangat dibutuhkan. Metode dalam ilmu ekonomi menjelaskan peramalan atas kondisi ekonomi di masa depan dapat mengurangi risiko dengan mempersiapkan rencana penanganan. Data-data keuangan deret waktu termasuk didalamnya harga saham harian memiliki sifat heteroskesdasitas. ARIMA dan GARCH merupakan model peramalan data keuangan yang dapat mengeliminasi asumsi-asumsi data dengan heteroskesdasitas. Tujuan dari penelitian ini adalah merancang dan memilih model peramalan data keuangan deret waktu (timeseries) dengan tingkat kesalahan rendah, sehingga kualitas keputusan menjadi berkualitas. Target khusus dari penelitian ini adalah menemukan model terbaik dengan cara membandingkan sehingga diketahui model yang paling akurat dalam melakukan peramalan data keuangan sektor pertambangan.","HA, HF5601, HG",,,
FEB4,IMPLEMENTATION OF SHORT-TERM FORECASTING MODELS IN THE NATURAL GAS INDUSTRY FINANCIAL DATA,"Abstract. Describe Financial data especially the natural gas industry that will be projected must have high accuracy.  Background Problems: These data are time-series data and contain heteroscedasticity so that they require forecasting models with low error rates. Novelty: The data used in the study are daily financial data from natural gas from 2014 to 2019 Research Methods: Short-term forecasting model (GARCH) which has the advantage of modeling data with heteroscedasticity. Findings / Results: AR1, GARCH 1.1 short-term forecasting model is stated as a model that has the advantage of modeling data with a high degree of accuracy.  Conclusion: The forecasting model can be used by various parties in finding the accuracy of information to come so that planning decisions have been prepared and prepared.","H1, HA, HJ",,,
FEB5,UNDERSTANDING THE DETERMINANTS OF FDI IN INDONESIA THROUGH EXTENSIVE DUNNING AND GRAVITY APPROACH,"The potential impulse (s) and response (s) of Foreign Direct Investment (FDI) in the economic system have been always bringing great interest to researchers and practitioners. This paper considers movements of Foreign Direct Investment (FDI) in Indonesia, and therefore, to investigate and understand the determinants of FDI as the primary capital flows among other capitals sources. FDI flow is very important to help encourage the growth of sustainable investment, creates new job opportunities, deteriorate the balance payments and lower the ability of national competitiveness, and may crowd out domestic capital. This paper has several specific objectives, such as 1) to study about the determinants of capital inflows of FDI in Indonesia, and 2) to examine the impacts to investments of ASEAN countries towards FDI in Indonesia. This paper eventually follows maximum likelihood methodology of Dunning and Gravity Model with the panel estimation and OLS (Ordinary Least Square). The analysis also carried out through an extensive review of the relevant literature, microeconomic, and macroeconomic topics related to FDI. In conclusion, this paper assumes that economic growth, labour costs, infrastructures, exchange rates, and political stability have significant structural changes in level, respectively, within the time interval from 1992 to 2012.","HA, HB",DINAMIKA: Jurnal Ekonomi Pembangunan,2016,
FEB5,Unleashing the Potential of Globalization to Bring Sustainable Prosperity in the Selected Asian and African Countries: Panel Least-Squares Analysis,"Given the globalization wave started in the early 1990s, many countries around the world, including countries in Asia and Africa, became more open to Foreign Direct Investment (FDI) flows. This main objective of this research is to empirically investigate the theoretical relationship of FDI and trade (export and import) on economic growth which can deliver direct impact to reducing the poverty rate and narrowing unemployment gap as well as generate income per capita across the countries, primarily in Asian and African countries. The availability of data for all explanatory variables determines a unified sample period that goes from 2003 to 2018 (15 years). Additionally, our sample covers seven countries such as Egypt, Jordan, Indonesia, Malaysia, Nigeria, Pakistan, and Turkey, which chosen based on data availability and good representative sampling of the countries by its population and size of the economy. Thus, the study estimated FDI and trade model using panel least-squares analysis.The study provides evidence of the large and significant impact of FDI on trade, economic growth, and poverty in the major of Asian and African countries when it has taken as one pooled group. Furthermore, as expected, trade affected income per capita and poverty reduction in this group's countries favourably. FDI and trade as variables of globalization can bring positive impact to prosperity and wealth for the countries. A further explain that the selected countries urgently need to strengthen the investment policy and create a business-friendly environment to support trade openness, massive investment, and non-barrier trade agreement.","H1, HA","TEST, ENGINEERING & MANAGEMEN",2020-02-29,
FEB4,"IT in the Public Sector: A Road for Development
Services, A Bibliographical Study","Aims: This research was conducted to find out the development of IT research articles in the public sector published in international journals from 2011 to 2020, to find out the collaboration map between researchers, to be input and direction for further researchers in determining the research study topic.
Study Design: This research is a literature study using the bibliometrics analysis method.
Place and Duration of Study: The Google Schoolar Database, period 2011 to 2020.
Methodology: In the initial search, 976 journals were found. The following selection searched for
journal articles that specifically discuss IT in the public sector; as many as 140 journals were found. Results: In the initial search, 976 journals were found. The following selection searched for journal articles that specifically discuss IT in the public sector; as many as 140 journals were found. Based on research on the growth of IT research articles in the public sector in 2011-2020, an average of
14% or a total of 14 articles per year. The trend of research tends to decrease, and the authors of these articles come from developed countries, while from developing countries such as Indonesia, there are still few.
Conclusion: Based on research on the growth of IT research articles in the public sector in 2011-
2020, an average of 14% or a total of 14 articles per year. The trend of research tends to decrease, and the authors of these articles come from developed countries, while from developing countries such as Indonesia, there are still few. The topic of further research development can be focused on improving public services for developing countries, such as agriculture, e-health, e-democracy, government initiatives and etcetra.","H1, HA",,2021,
