division,title,abstract,subjects,publication,date,keywords
FISIP1,Penilaian Rekan Sejawat: Kajian Tentang Keputusan Pembelian Produk Ramah Lingkungan Dalam Perspektif Theory Of Planned Behavior,,HB,,2020,
FEB5,"The 4th International Conference of
desiminasi_The Effect Of Grdp, Foreign Invesment And Population Density On Environmental Quality In Java Island  (2010-2019_Economics, Business and
Entrepreneurship
(ICEBE) 2021 Conference","This study aims to analyze and determine the effect of GRDP, Foreign investment and population density on the quality of the environment in Java Island from 2010 - 2019.. The method used in this study is Panel Least Square (PLS) with Common Effects Model (CEM). The results of the analysis conducted show that the three independent variables have effects on the dependent variable EQI. With a confidence level of 95% and a significant result, With a confidence level of 95% and significant results, the GRDP variable has a positive and significant effect, while the foreign investment variable and population density have a negative effect on the quality of the environment on the island of Java in 2010 - 2019. From the result of this study, the right steps can be taken for policy makers to achieve sustainable economic development and issue programs or policies that can support environmental quality improvement",HB,,2021-10-07,
FEB3,THE INFLUENCE OF JOB SATISFACTION AND PSYCHOLOGICAL WELL-BEING ON TURNOVER ON HOSPITAL EMPLOYEES,"ABSTRAK
Desentralisasi kesehatan memungkinkan Dinas Kesehatan Kota Bandar Lampung untuk merancang program-program dan kegiatan-kegiatan pelayanan yang sesuai dengan kondisi lokal. Berdasarkan data yang diperoleh dari bagian SDM Rumah Sakit swasta di Kota Bandar Lampung, jumlah pegawai di RS Swasta adalah 326 orang dan angka turnover mencapai lebih dari 10% pertahunnya. Tujuan dari penelitian ini untuk mengetahui hubungan antara psychological well-being dan kepuasan kerja dengan angka turnover di Rumah Sakit Swasta Kota Bandar Lampung. Hasil penelitian menemukan bahwa Kepuasan Kerja dan Psychological Wellbeing berpengaruh secara simultan terhadap Turnover karyawan. Hal ini dibuktikan dengan hasil statistik F hitung 18,539 > nilai F tabel yaitu 3,07, dengan signifikansi sebesar 0,00; Kepuasan kerja berpengaruh signifikan terhadap Turnover karyawan dengan nilai t tabel 1,657 dan nilai t hitung sebesar3,437; Psychological Wellbeing berpengaruh signifikan terhadap Turnover karyawan yaitu dengan t hitung sebesar 6,051 yang berarti nilai t hitung > t tabel (6,051>1,657) dan sig 0.00< 0,05.
Keywords : Psychological Wellbeing, Job Satisfaction, Turnover
ABSTRACT
Health decentralization allows the Bandar Lampung City Health Office to design programs and service activities that are appropriate to local conditions. Based on data obtained from the HR department of private hospitals in Bandar Lampung City, the number of employees in private hospitals is 326 people and therate turnover reaches more than 10% per year. The purpose of this study was to determine the relationship between psychological well-being and job satisfaction with therate turnover at the Bandar Lampung City Private Hospital. The results of the study found that Job Satisfaction and Psychological Wellbeing had a simultaneous effect on employee turnover. This is evidenced by the statistical results of F count 18,539 > F table value of 3.07, with a significance of 0.00; Job satisfaction has a significant effect on employee turnover with a t-table value of 1.657 and a t-count value of 3.437; Psychological Wellbeing has a significant effect on employee turnover, with t count of 6.051 which means t count > t table (6.051> 1.657) and sig 0.00 < 0.05.","HB, HC",,,
FP1,Analisis Penentuan Biaya Pokok Produksi Olahan Kopi Robusta di Koperasi Tirto Kencono Kabupaten Tanggamus',"This study aims to analyze the basic cost production of processed coffee in Tirto Kencono Cooperative. The method used in this research was the case study. The respondent in this study was the chairman of the cooperative. This research was conducted at Tirto Kencono Cooperative located in Talang 20 Village, Air Naningan District, Tanggamus Regency. The collection data was conducted in March 2019 and analyzed in qualitative and quantitative descriptive.Â  The result showed that the basic cost production used full-costing determination method by using assistance equipment and non-assistance equipment, the result was the cost production of four products using assistance equipment was lower than non-assistance equipment in order to gain higher profit than current selling price.Â  Government assistance had different impacts in terms of the production cost structure particularly the depreciated cost of using assistance equipment which had a percentage of 0,80% and non-assistance equipment of 1,20%.",HB,JoFSA,2019-10,
FP1,VALUASI EKONOMI KAWASAN WISATA PULAU PISANG KABUPATEN PESISIR BARAT,"The objectives of this research are to analyze the travel cost of tourists of Pulau Pisang tourism area,  factors that affecting the frequency of Pulau Pisang tourism area, and the economic value of Pulau Pisang tourism area.  The research method used in this study is survey method involving 77 respondents.  The study employs travel cost method.  The research location is chosen purposively in Pulau Pisang of Pesisir Barat Regency.  The data collection was carried out on February 2019.  The travel expenses of visitors to Pulau Pisang tourism area was Rp341,563.39 per person in which the highest allocation of travel costs for transportation was Rp149,150.28 or 42% of the total cost of the trip.  The factors affecting the frequency of visiting Pulau Pisang tourist areas were distance, age and travel cost.  The economic value of Pulau Pisang travel cost in Pulau Pisang tourist areaswas Rp80,503,202,900,000.00 per year.

 

Key words : economic value, tourist, travel cos","H1, HB",Jurnal Ilmu-Ilmu Agribisnis,2019-08,
,VALUASI EKONOMI KAWASAN WISATA PULAU PISANG KABUPATEN PESISIR BARAT',"The objectives of this research are to analyze the travel cost of tourists of Pulau Pisang tourism area,  factors that affecting the frequency of Pulau Pisang tourism area, and the economic value of Pulau Pisang tourism area.  The research method used in this study is survey method involving 77 respondents.  The study employs travel cost method.  The research location is chosen purposively in Pulau Pisang of Pesisir Barat Regency.  The data collection was carried out on February 2019.  The travel expenses of visitors to Pulau Pisang tourism area was Rp341,563.39 per person in which the highest allocation of travel costs for transportation was Rp149,150.28 or 42% of the total cost of the trip.  The factors affecting the frequency of visiting Pulau Pisang tourist areas were distance, age and travel cost.  The economic value of Pulau Pisang travel cost in Pulau Pisang tourist areaswas Rp80,503,202,900,000.00 per year.
 
Key words : economic value, tourist, travel cost","H1, HB, HC",Jurnal Ilmu-Ilmu Agribisnis,2019-11,
FP1,"PENGARUH KUALITAS PELAYANAN, KUALITAS PRODUK, PROMOSI TERHADAP LOYALITAS PELANGGAN MELALUI KEPUASAN PELANGGAN","Penelitian ini bertujuan untuk mengetahui pengaruh antara kualitas pelayanan, kualitas produk dan promosi terhadap loyalitas pelanggan melalui kepuasan pelanggan di Mister Geprek Bandar Lampung. Metode yang digunakan dalam penelitian ini yaitu deskriftif verifikatif dengan pendekatan ex post facto dan survey. Data penelitian ini diperoleh dari populasi yang berjumlah 500 pelanggan dan sampel berjumlah 83 pelanggan. Teknik pengambilan sampel menggunakan teknik accidental sampling. Pengumpulan data dilakukan dengan menggunakan kuesioner dan pengujian hipotesis dalam penelitian ini dianalisis dengan menggunakan analisis jalur (path analysis). Hasil penelitian menunjukkan bahwa ada pengaruh antara kualitas pelayanan, kualitas produk dan promosi terhadap loyalitas pelanggan melalui kepuasan pelanggan di Mister Geprek Bandar Lampung tahun 2017/2018.",HB,Jurnal Edukasi Ekobis,2018,
FP1,ANALISIS PENDAPATAN DAN TINGKAT KESEJAHTERAAN RUMAH TANGGA PETERNAK SAPI PERAH ANGGOTA KOPERASI PETERNAKAN BANDUNG SELATAN (KPBS) PANGALENGAN,"The objectives of this research were to find out: (1) dairy farming business income of animal husbandry farming cooperation’s member in South Bandung (KPBS); (2) contributions of economic benefits of cooperation (MEK) to the family income of KPBS’s members; (3) welfare level of KPBS’members. This research was conducted in KPBS working area of cooperation activity center in Pangalengan sub district; the TPK Mekar Mulya and TPK Pangalengan. The locations were selected purposively. Data were collected from February  to April 2013.  Samples of 61 respondent were taken using proportional random sampling. This research used descriptive qualitative analysis method. The results showed that (1) the  farmer’s income  of KPBS’s member  on total cost was Rp8,87,849.56 annually per dairy farming business or Rp2,681,422.59 annually per unit of dairy cow; (2) the economic benefits of cooperation (MEK)amount to perceive directly in non-cash was Rp1,039,832.13 annually. The MEK amount to perceive indirectly in cash was Rp1,458,622.96 annually, and it contributed 5.35% family income of KPBS’s member; (3) 14.75% of KPBS’s member (9 families) were poor and considered as not welfare families.

Key  words : breeder, dairy cattle, income, MEK, welfare","H1, HB, S1",JIIA (Jurnal Ilmu-Ilmu Agribisnis),2014-04,
FP1,"ANALISIS BIAYA IMBANGAN DAN POTENSI PENDAPATAN USAHATANI PADI DI KECAMATAN PUNGGUR KABUPATEN LAMPUNG TENGAH 
Analysis of Opportunity Cost and The Income Potency of Paddy Farming in Punggur Sub-District
Lampung Tengah Regency)","This research aims to analyze the opportunity cost of paddy farmer, the income potencials of paddy farming
and factors affecting the income of paddy farmers. This study was a survey method conducted in Astomulyo
Village, Punggur Sub-District, Lampung Tengah Regency in November 2015 - January 2016. This location
was selected purposively as Astomulyo Village is one of the paddy and pineapple producers. The number of
samples was 42 respondents selected by using Simple Random Sampling. The opportunity cost was analyzed
by comparing paddy farming and other farmers’ ocupationsusing two paired sample t-test. The potential
income of paddy farming was calculated on paddy farming income and opportunity cost and analyzed using
two paired sample t-test, The factors are paddy farming income using Cobb Douglass function profit. This
research results showed that farmers opportunity cost was Rp17,275,316.00, meaning that the opportunity
cost  of farmers was higher than the income of paddy farming. The income potencyof paddy farming was
Rp14,246,328.00, implying that the opportunity cost affected the incrase of paddy farmers’ income. The
factors affecting the paddy farming income were land size, seed cost, dan workers’ wage.

Keywords : income, opportunity cost, paddy farmers, the factor affected to income",HB,Jurnal Ilmu-Ilmu Agribisnis,2016-10-01,
,Cek Plagiasi Artikel: Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application,Cek Plagiasi Artikel: Forecasting Model for State-Owned Bank Stock Prices During Pandemic: GARCH Model Application,HB,"Proceeding ICEBE 4th International Conference Economics, Business and Entrepreneurship 2021",,
