division,title,abstract,subjects,publication,date,keywords
FEB3,THE INFLUENCE OF JOB SATISFACTION AND PSYCHOLOGICAL WELL-BEING ON TURNOVER ON HOSPITAL EMPLOYEES,"ABSTRAK
Desentralisasi kesehatan memungkinkan Dinas Kesehatan Kota Bandar Lampung untuk merancang program-program dan kegiatan-kegiatan pelayanan yang sesuai dengan kondisi lokal. Berdasarkan data yang diperoleh dari bagian SDM Rumah Sakit swasta di Kota Bandar Lampung, jumlah pegawai di RS Swasta adalah 326 orang dan angka turnover mencapai lebih dari 10% pertahunnya. Tujuan dari penelitian ini untuk mengetahui hubungan antara psychological well-being dan kepuasan kerja dengan angka turnover di Rumah Sakit Swasta Kota Bandar Lampung. Hasil penelitian menemukan bahwa Kepuasan Kerja dan Psychological Wellbeing berpengaruh secara simultan terhadap Turnover karyawan. Hal ini dibuktikan dengan hasil statistik F hitung 18,539 > nilai F tabel yaitu 3,07, dengan signifikansi sebesar 0,00; Kepuasan kerja berpengaruh signifikan terhadap Turnover karyawan dengan nilai t tabel 1,657 dan nilai t hitung sebesar3,437; Psychological Wellbeing berpengaruh signifikan terhadap Turnover karyawan yaitu dengan t hitung sebesar 6,051 yang berarti nilai t hitung > t tabel (6,051>1,657) dan sig 0.00< 0,05.
Keywords : Psychological Wellbeing, Job Satisfaction, Turnover
ABSTRACT
Health decentralization allows the Bandar Lampung City Health Office to design programs and service activities that are appropriate to local conditions. Based on data obtained from the HR department of private hospitals in Bandar Lampung City, the number of employees in private hospitals is 326 people and therate turnover reaches more than 10% per year. The purpose of this study was to determine the relationship between psychological well-being and job satisfaction with therate turnover at the Bandar Lampung City Private Hospital. The results of the study found that Job Satisfaction and Psychological Wellbeing had a simultaneous effect on employee turnover. This is evidenced by the statistical results of F count 18,539 > F table value of 3.07, with a significance of 0.00; Job satisfaction has a significant effect on employee turnover with a t-table value of 1.657 and a t-count value of 3.437; Psychological Wellbeing has a significant effect on employee turnover, with t count of 6.051 which means t count > t table (6.051> 1.657) and sig 0.00 < 0.05.","HB, HC",,,
,VALUASI EKONOMI KAWASAN WISATA PULAU PISANG KABUPATEN PESISIR BARAT',"The objectives of this research are to analyze the travel cost of tourists of Pulau Pisang tourism area,  factors that affecting the frequency of Pulau Pisang tourism area, and the economic value of Pulau Pisang tourism area.  The research method used in this study is survey method involving 77 respondents.  The study employs travel cost method.  The research location is chosen purposively in Pulau Pisang of Pesisir Barat Regency.  The data collection was carried out on February 2019.  The travel expenses of visitors to Pulau Pisang tourism area was Rp341,563.39 per person in which the highest allocation of travel costs for transportation was Rp149,150.28 or 42% of the total cost of the trip.  The factors affecting the frequency of visiting Pulau Pisang tourist areas were distance, age and travel cost.  The economic value of Pulau Pisang travel cost in Pulau Pisang tourist areaswas Rp80,503,202,900,000.00 per year.
 
Key words : economic value, tourist, travel cost","H1, HB, HC",Jurnal Ilmu-Ilmu Agribisnis,2019-11,
FEB5,"PENINGKATAN KESEJAHTERAAN MASYARAKAT DAN IZIN
USAHA PENGELOLAAN HUTAN KEMASYARAKATAN
(IUPHKM) DI PEKON AIR NANINGAN, KABUPATEN
TANGGAMUS","Provision of IUPHKm by the Ministry of Environment and Forestry (KLHK) is to improve
the people’s economy. Social forestry which was once illegally managed by the people, has
now been legalized by the government through the KLHK. This study aims to find out how
the impact of the provision of IUPHKm on farmer welfare in Air Naningan Village,
Tanggamus Regency. The method used is an exploratory and descriptive method. The
analysis used is crosstabulation. The results of this study were that after farmers in Air
Naningan Village obtaining IUPHKm, their economy is increasesing as indicatet by : (1)
their income increased by an average of 142.73 percent; (2) they are able to buy 1 to 3 units
of motorcycles; (3) they have a permanent house.","H1, HC, HV",TECHNOBIZ : INTERNATIONAL JOURNAL OF BUSINESS,2019-04,
FEB6,"Determinants of Attitude Tourist
in E-Tourism Usage","This paper examine the influence of five variables on attitude tourist: perceived ease of use, perceived usefulness, self efficacy, domain
specific innovativeness, and experience. The analysis attitude tourist toward e-tourism usage gauges the moderating role of e-trust. A
sample of 216 tourist of was analyzed using structural equation modeling. Result show that perceived ease of use, perceived usefulness,
domain specific inovativeness, and experience significantly influence attitude tourist. E-trust moderates the impact of e-tourism usage.
These results entail a better understanding of specificities, with practical actions for addressing their real needs and expectations. The
study limitations, implications, along with directions for further research are discussed.","H1, HC",International Journal of Enginering and Technology,2018,
FISIP1,pengaruh program kemitraan bina lingkungan terhadap citra perusahaan,"This study aimed to measure the magnitude of the effect of partially and simultaneous partnerships and community development programms comprising UMKM capital assistance, education, health, infrastruktur, nature consevation, and nature disasters. this research using the explanatory research type with quantitave approach. data collection was done by disseminating a questionnaire to respondent. the population on his reseacrh is people who is a trained  
 partners PT Bukit Asam Tbk (persero) a unit of pelabuhan tarahan, and a sample taken at random from a population that has been choosen by the number of as many as 100 respondents",HC,TRANSAKSI,2014-11,
FISIP1,"Analysis of City Development Policy on Community
Decision Factors on the Purchase of Subsidy House","The rapid growth of Indonesia's population is quite high and many people have minimal income, causing high public
interest in buying subsidized housing. The government continues to provide subsidies for the community which aims
to improve people's welfare and the government is also trying to build subsidized housing and cooperate with the
developer. The subsidized housing program aims to meet housing needs for low-income people (MBR) where
housing finance subsidies/assistance are included in the form of goods subsidies given to low-income groups in terms
of meeting housing needs, namely in the form of houses at prices below market prices This study aims to determine
the factors that influence the decision to purchase subsidized housing. This study uses a survey method approach and
data analysis using a combination of qualitative and quantitative methods",HC,iicis.fisip.unila.ac.id/proceedings/,,
FEB3,The Effect of the Work Environment on Employee Performance with Motivation as a Mediation Variables,"Abstract
A good work environment will make employees feel comfortable working. Convenience will certainly increase employee performance improvement. The independent variable in this study is the work environment (X). The mediation variable in this study is motivation (M). The dependent variable in this study is employee performance (Y). In this study the population is all employees or staff who work in the Bandar Lampung City DPRD, totaling 267 employees. The measurement scale in this study is to use a Likert scale. The instrument test was done by using the validity test, reliability test, and normality test using the AMOS program. Data analysis in this study was carried out using the Structural Equation Modeling (SEM) method. The software used for structural analysis in this study is AMOS (Analysis of Moment Structure). This study aims to analyze the direct effect of work environment variables on employee performance, analyze the direct influence of work environment variables on employee motivation, analyze the direct influence of motivation variables on employee performance and analyze the indirect effect of work environment variables on employee performance is mediated by motivation. The test results in this study found that the work environment has a positive and significant influence on employee performance, the work environment has a positive and significant influence on employee motivation, there is a positive and significant influence between motivation and employee performance, and work motivation does not mediate the direct influence of the work environment on employee performance. Keywords: Work Environment, Motivation, Performance","H1, HC",,,"Work Environment, Motivation, Performance"
FKIP16,"Kisah Perjalanan Para Pemula Wirausahawan
di Bumi Lampung: Secuil Kisah Wirausaha di Provinsi Lampung",,"HC, L1",,2017-07,
FEB5,Strengthen the Role of Village Owned Enterprises (BUMDes) to Improve Social Welfare and Reduce Inequality in Rural Areas: Lesson from Indonesia,"The primary purpose of the village fund is to lessen the gap between urban and rural and increase social welfare in the Village. However, the existence of this village fund has not been fully optimized to improve the welfare of rural communities that have received village funds from the government. The multiplier effect of the village funds allocation only focuses on the physical infrastructure development sector, such as roads, buildings, and bridges, up to 37%. In comparison, the allocation to the community development sector is only 8%, or the smallest allocation from other sectors (social health, education, and investigation). In this case, Village Owned Enterprises (BUMDes) have a vital role in developing a community that combines the for-profit and social organization sectors. BUMDes aims to develop the village economy and public services, manage village potential, create markets and employment opportunities, and increase business and income for villagers. This study analyses BUMDes effectiveness, which uses a descriptive and quantitative method using an approach of difference in difference (DID) approach. This was chosen based on the argument that this research would be helpful for policymakers, especially the government, who have a role in the village fund program, and village officials, who also play a role in the use of village funds for the community's welfare through maximizing BUMDes.","HC, HD",,2022-08,
FEB5,Increasing Indonesia’s Young Entrepreneurs: The Role of Business Incubators,"Business incubators have been proven simultaneously for creating jobs and engaging the vibes of new business. This paper tries to describe and identify the successful way to enhance young entrepreneurs in Indonesia. Moreover, the business incubator can be an alternative for delivering and managing the basic concept of entrepreneurship in the era after the pandemic of Covid-19. However, the basic concept of business incubation remains until today, there have been several enhancements to the capability of business incubators to create entrepreneurs and economic drivers. Moreover, the institutional theory said that business
incubators had generated positive results for small businesses to succeed in growing and now exist. The methodology used in this study is based on a mixed-methods approach, identifying as a case study and qualitative (literature review) and then examine with Indonesia case studies. Some data was retrieved through references from journals, articles, and business incubator reports.
The rapid expansion of business incubators in Indonesia is one of the most important phenomena affecting economic growth especially when the slowdown economy happened in the mid-2020. This study finds that the experiences and characteristics of the incubation industry in Indonesia show that the intervention and support from local and central governments will provide pour strong drive to the incubation industry. On the other hand, partnerships and sharing among incubates is a crucial components to make incubators more successful. The finding of this research can help government and policymakers for successful implementation.
Also, add and expand new knowledge for academic literature about incubators, entrepreneurs, and economic development.","HB, HC",,2022-03,
