division,title,abstract,subjects,publication,date,keywords
FISIP1,"Covid-19: Peluang dan Tantangan dalam Perspektif Bisnis
(Sebuah Catatan dari Generasi Z)","Covid-19 bukan hanya sekedar masalah kesehatan. Namun lebih jauh lagi, Covid-19 meluas menjadi masalah sistemik, yang menjalar dalam lingkup sosial budaya, ekonomi, politik, pertahanan dan keamanan negara. 

Meluasnya dampak covid-19 menggelitik banyak pihak untuk turut berkisah. Tidak hanya melalui labirin jendela di rumah-rumah, sekolah, pasar, atau kantor, yang tiba-tiba menjadi ruang sunyi. Banyak yang kemudian ingin mengabadikan kisah panjang itu dalam karya tulisan, agar terkenang dalam sejarah. Begitu pun pada anak-anak muda yang mewakili generasi Z dalam buku ini. 

Terhimpun beberapa pandangan, baik berupa deskripsi faktual, maupun kritik, khususnya tantangan dalam pengelolaan SDM dan UMKM di masa pandemi Covid-19, serta gagasan inovatif dalam perspektif bisnis.

Semoga buku sederhana ini dapat mewakili komunitas Gen Z dalam menyelami ‘makna’ dan hikmah dari kejadian Covid-19.
Tidak hanya sekedar catatan, tetapi juga harapan, agar pandemi ini segera berlalu.","HD, HD28",,2021-10-29,
FEB5,THE IMPORTANCE OF ENHANCING CAPACITY OF VILLAGE FUND FOR SUPPORTING SUSTAINABLE DEVELOPMENT IN RURAL AREAS,"The study aims to analyze the village funds' effectiveness in Indonesia through the same case study followed by deeply researched ground. The actual implementation realized a mutual effect if the village can develop and increase the institutional capacity to adopt a new perspective of allocating village funds. The lack of education and the gap in market access make the ambitious plan for rebuilding the structure merely an idea. Indeed, there is some need for an assessment on a strategic plan basis for cracking this issue. The mutual collaboration between government, industry and university can strengthen the capacity of the village by assisting the village to increase its institutional capacity. This study needs to address and give policy recommendations supporting sustainable development in rural areas through village funds.","H1, HB, HD",,2021-03,
FEB5,Strengthen the Role of Village Owned Enterprises (BUMDes) to Improve Social Welfare and Reduce Inequality in Rural Areas: Lesson from Indonesia,"The primary purpose of the village fund is to lessen the gap between urban and rural and increase social welfare in the Village. However, the existence of this village fund has not been fully optimized to improve the welfare of rural communities that have received village funds from the government. The multiplier effect of the village funds allocation only focuses on the physical infrastructure development sector, such as roads, buildings, and bridges, up to 37%. In comparison, the allocation to the community development sector is only 8%, or the smallest allocation from other sectors (social health, education, and investigation). In this case, Village Owned Enterprises (BUMDes) have a vital role in developing a community that combines the for-profit and social organization sectors. BUMDes aims to develop the village economy and public services, manage village potential, create markets and employment opportunities, and increase business and income for villagers. This study analyses BUMDes effectiveness, which uses a descriptive and quantitative method using an approach of difference in difference (DID) approach. This was chosen based on the argument that this research would be helpful for policymakers, especially the government, who have a role in the village fund program, and village officials, who also play a role in the use of village funds for the community's welfare through maximizing BUMDes.","HC, HD",,2022-08,
FEB5,"Turnitin Test for Article ""Development of an Environmental Insurance Program based on Islamic Values in the Palm Oil Industry in Indonesia for Community Welfare""",,HD,,2022,
FEB5,"Finding the Gap between Economic Globalization Index and Economic Growth Challenges in Indonesia, Malaysia, and Thailand","The relationship of globalization to economic growth is a topic of debate in the literature on economic growth and development. Several studies have found positive effects of globalization on growth through effective allocation of domestic resources, diffusion of technology, increased factor productivity, and capital gains. On the other hand, others argue that globalization harms growth in countries with weak institutions, and political instability, and countries that specialize in activities that are not effective in the globalization process. This study investigates the gap between economic globalization represented by KOF Index and economic growth in selected ASEAN countries such as Indonesia, Malaysia, and Thailand. It supported a competitive business climate in free trade, reducing barriers and taxes in international trade, attracting foreign investment in line with improving infrastructure, financing exports, and building facilities in the form of infrastructure as a place for business transit and business licensing processes. So that in the absence of easy access to economic globalization, rapid progress in innovation, market opening, and an increase in productive investment can lead to continued economic growth. However, economic openness is accompanied by restrictive policies that protect domestic industries and defense investment policies.","HB, HD, HE",,2021-10-07,
FEB5,"Analisis  Produktivitas Individual Tenaga Kerja 
Pada Usaha Sewa Mobil KPN “Serba Usaha”","The research aims to analyze the effect of wages, working experience, working condition, and working motivation on individual labor productivity in rent car KPN”SERBA USAHA”. The data used is the cross section data using  survey method with multiple linear regression analysis by using Ordinary Least Square method(OLS). The results show that simulataneously the wages, working experience, working condition, and working motivation have significant influence on individual labor productivity at rent car business KPN “SERBA USAHA”. In parcial the wages, working experience, working condition, and  working motivation have a positive and significant effect on individual labor productivity at rent car business KPN”SERBA USAHA”


Keywords :	Individual labor productivity, the wages, working experience, working condition, and  working motivation",HD,Jurnal Ekonomi Pembangunan,2017-04-01,
FEB6,PENGARUH KEPERCAYAAN DAN KUALITAS LAYANAN TERHADAP LOYALITAS NASABAH ASURANSI DI BANDAR LAMPUNG,"Meningkatkan kesadaran masyarakat untuk berinvestasi dan memproteksi diri dengan membeli produk asuransi menyebabkan industri asuransi di Indonesia menjadi sangat
potensial dan terus tumbuh, ditandai dengan semakin menjamurnya perusahaan asuransi dan produk asuransi dewasa ini. Tingginya minat masyarakat terhadap produk asuransi diikuti dengan semakin selektifnya masyarakat dalam memilih perusahaan asuransi. Hanya perusahaan asuransi yang memiliki komitmen tinggi, terpercaya, dan memiliki kualitas layanan memuaskan yang akan dipilih masyarakat.
Penelitian ini untuk mengetahui pengaruh kepercayaan dan kualitas layanan terhadap loyalitas nasabah asuransi di Bandar Lampung, dengan metode non probability sampling dan teknik purposive sampling terhadap 150 responden para nasabah pada industri asuransi di Bandar Lampung,menunjukkan hasil bahwa variabel kepercayaan dan kualitas layanan memiliki pengaruh terhadap loyalitas nasabah asuransi di Bandar Lampung, dan kedua variabel tersebut secara simultan mempengaruhi variabel loyalitas. Hal ini menunjukkan bahwa kualitas layanan sangat berperan dalam membentuk loyalitas nasabah asuransi, dan kepercayaan nasabah merupakan faktor yang membangun loyalitas nasabah asuransi untuk tetap bertahan pada suatu perusahaan asuransi.","H1, HD, HD28",proceeding OJK Harapan Baru Sistem Keuangan Indonesia,2012-12-18,
FEB6,"Turnitin Artikel ""Transformational Leadership How its effect Work-Life Balance and Employee Engagement""",,HD,,2022,
FEB6,"Competition among Banks and Its Psychological 
Effect on Employee Retention and Supply Chain 
Management in Indonesia","The prime objective of this study is to examine the 
psychological effect of competition among banks on 
employee retention with the moderating effect of supply 
chain management. The population of the study was based 
on Indonesian banks. All the employee; managerial and non-
managerial were selected as the respondents of the current 
study. Two hundred eight questionnaires were used to 
conduct a survey among Indonesian banks. Data were 
analyzed through structural Equation Modeling (SEM) by 
using Partial Least Square (PLS) as a statistical tool. It is 
found that bank competition has a significant psychological 
effect on employee retention through employee satisfaction 
and employee stress. Increase in bank competition increases 
the level of employee's stress and decreases employee 
performance. Moreover, a decrease in employee stress and 
bank competition has the potential to increase employee 
satisfaction which causes to increase employee retention. 
Therefore, the current study has significant implications for 
literature and banking industry.","H1, HD, HD28",International Journal of Supply Chain Management,2020-06,
FEB6,"FAKTOR-FAKTOR RELASIONAL, TUGAS, DAN ORGANISASI
PADA KINERJA TENAGA PENJUAL DI BANDAR LAMPUNG","Tenaga penjual menjadi bagian penting dari perusahaan dalam meningkatkan volurne penjualan karena tenaga penjual merupakan ujung tombak perusahaan dalam proses memperkenalkan dan meyakinkan konsumen agar mengkonsumsi produk atau jasa yang ditawarkan oleh perusahaan melalui kegiatan pemasarannya. Terdapat perubahan peran tenaga penjual pada empat era, dimulai dari era produksi (production), penjualan (sales), pemasaran (marketing)
dan hubungan (partnership/relational), dimana dalam setiap era tersebut peranan tenaga penjual didasarkan atas
pengetahuan, keahlian dan kemampuan yang berbeda dalam menciptakan keefektifan kerja dan kinerjanya. Pada era 
partnership/relational peranan tenaga penjual memfokuskan pada kegiatannya membangun dan memelihara hubungan 
jangka panjang kepada konsumen, rekan kerja, serta semua pihak disamping penjualan itu sendiri.
Penelitian ini menguji mengenai pengaruh faktor-faktor relasional, tugas, dan organisasi terhadap kinerja tenaga 
penjual dimana faktor relational diwakili oleh komitmen tehadap organisasi, kepercayaan terhadap rekan kerja,
dan kerjasama antar rekan kerja. Faktor tugas diwakili oleh ketergantungan dalam tugas. Faktor organisasi diwakili
oleh jumlah rekan kerja, sistem penghargaan dan norma-norma yang berlaku.
Hasil penelitian membuktikan bahwa komitmen tehadap organisasi, kepercayaan terhadap rekan kerja, kerjasama
antar rekan kerja (faktor relasional), ketergantungan dalam tugas (faktor tugas), sistem penghargaan, norma-norma
yang berlaku (faktor organisasi) dapat memberikan pengaruh signifikan terhadap kinerja tenaga penjual. Sementara
jumlah rekan kerja  tidak berpengaruh terhadap kinerja tenaga penjual.","H1, HD, HD28",Prosiding Penelitian: Seminar Nasional Fakultas Ekonomi dan Bisnis Universitas Lampung,2018-12-11,
