division,title,abstract,subjects,publication,date,keywords
FISIP1,"Covid-19: Peluang dan Tantangan dalam Perspektif Bisnis
(Sebuah Catatan dari Generasi Z)","Covid-19 bukan hanya sekedar masalah kesehatan. Namun lebih jauh lagi, Covid-19 meluas menjadi masalah sistemik, yang menjalar dalam lingkup sosial budaya, ekonomi, politik, pertahanan dan keamanan negara. 

Meluasnya dampak covid-19 menggelitik banyak pihak untuk turut berkisah. Tidak hanya melalui labirin jendela di rumah-rumah, sekolah, pasar, atau kantor, yang tiba-tiba menjadi ruang sunyi. Banyak yang kemudian ingin mengabadikan kisah panjang itu dalam karya tulisan, agar terkenang dalam sejarah. Begitu pun pada anak-anak muda yang mewakili generasi Z dalam buku ini. 

Terhimpun beberapa pandangan, baik berupa deskripsi faktual, maupun kritik, khususnya tantangan dalam pengelolaan SDM dan UMKM di masa pandemi Covid-19, serta gagasan inovatif dalam perspektif bisnis.

Semoga buku sederhana ini dapat mewakili komunitas Gen Z dalam menyelami ‘makna’ dan hikmah dari kejadian Covid-19.
Tidak hanya sekedar catatan, tetapi juga harapan, agar pandemi ini segera berlalu.","HD, HD28",,2021-10-29,
FISIP1,ANALISIS BEBAN KERJA DAN INSENTIF TERHADAP KINERJA DRIVER GOJEK DI BANDAR LAMPUNG,"his  study  aims  to  analyze  the  workload  using  the NASA-TLXmethod,  as  well  as  knowing  the effect  of  workload  and  incentives  on  the  performance  of Gojekdrivers  in Bandar  Lampung.  This type  of  research  is  explanatory  with  a  quantitative  approach.  The  sample  in  this  study  were  100 respondents,  with  the  sampling  technique  using  accidental  sampling.  Data  were  analyzed  using NASA-TLX  method  and  multiple  regression  analysis. The  results  explained  that  the  workload of the Gojek driver  was  very  high,  the  highest  workload  was in  the  aspect  of  physical  needs  and  the lowest was  in  the  aspect  of  the  frustration  level.  However,  the  partial  test  results  that  workload does  not  affect  the  performance  of Gojek drivers,  while  incentives  affect  the  performance  of Gojekdrivers.  Simultaneously, both  workload  and  incentives  have  an  affect  on  performance  of Gojekdrivers.  There  is  a  relationship  between  job  characteristic  on  study  results  that  require  further research, and the importance of stimulating incentives for drivers to maximize the achievement of work targets.","HD28, HE",Jurnal Perspektif Bisnis,2020-11,
FEB6,Pengaruh Kepuasan Kerja dan Keterikatan Kerja Terhadap Kinerja Karyawan,"Purpose: This study seeks to determine the influence of job satisfaction and work engagement on PT Golden Sari Lampung employees' performance. In principle, every company always expects its employees to work optimally to increase profits and help accelerate the achievement of other organizational goals. Someone with a high work engagement will tend to show the best performance because they enjoy their work. Employees who have an attachment to their work will certainly show enthusiasm and dedication and fully concentrate on work so that employees can show their best performance in doing their job.

Research methodology: This study's data collection method used a Likert scale questionnaire. The sample used in this study was 150 respondents. The data analysis tool used is multiple linear regression analysis, t-test, and f-test.

Results: This study's results indicate that job satisfaction positively affects performance, and work engagement positively affects performance.

Limitations: The factors that affect employee performance used in this study are only the variables of job satisfaction and work engagement. At the same time, many other variables can be factors that affect the performance of employees of a company.

Contribution: The company should be open to every aspiration conveyed by employees and provide opportunities for them to express opinions in decision-making. It is done so that employees feel more influence over what happens to the company. In addition, the management of PT Golden Sari Lampung should foster a sense of kinship and emotion toward the company so that employees feel comfortable and full of concentration in every job.",HD28,"Reviu Akuntansi, Manajemen, dan Bisnis",2022,
FEB6,"Turnitin Artikel ""pengaruh kepuasan kerja dan keterikatan kerja terhadap kinerja karyawan""",,HD28,,2022,
FEB4,"KEWIRAUSAHAAN TEKNOLOGI DIGITAL: 
POTENSI PEMBERDAYAAN PEBISNIS MILENIAL","Fenomena baru yang muncul dalam dunia kewirausahaan adalah kewirausahaan teknologi digital. Kewirausahaan tipe ini dapat menghapus sekat-sekat keterbatasan sumberdaya dan skalabilitas produk yang dihadapi para pewirausaha. Kewirausahaan teknologi digital mulai marak bertumbuh khususnya di perguruan tinggi dan perusahaan-perusahaan. Pertumbuhan pada kedua lembaga tersebut menjadi potensi berkembangnya pebisnis muda milenial. Makalah ini membahas potensi pengembangan pebisnis milenial dengan model triple helix (pemerintah, perusahaan dan perguruan tinggi), melalui kewirausahaan teknologi digital. Hasil analisis menunjukkan bahwa baik perguruan tinggi, perusahaan serta pemerintah memegang peranan penting dalam mengembangkan potensi pebisnis milenial. Potensi tersebut akan terus bertumbuh melalui kewirausahaan teknologi digital, oleh karena sumberdaya pengembangan kewirausahaan jenis ini tersedia baik di perguruan tinggi maupun di perusahaan-perusahaan.","H1, HD28, HF",,2020-01-02,
FEB4,Prosiding SEFILA 3 Fisip Unila,,HD28,,2019,
FEB6,Pengaruh Stres Kerja dan Perilaku Cyberloafing terhadap Kinerja Karyawan,"Penelitian ini bertujuan untuk mengetahui pengaruh stres kerja dan perilaku cyberloafingterhadap kinerja karyawan. Pada penelitian  ini  menggunakan  data  primer  dari hasil  kuesioner  dengan  skala  likert.  Objek  penelitian  adalah  karyawan  PT. Inbio Tani Nusantara. Teknik sampling menggunakan metode  sampling jenuh (sensus), dimana  semua  anggota  populasi digunakan  sebagai  sampel  berjumlah  139.  Analisis  data  yang  digunakan  adalah  analisis  regresi  linier  berganda  dengan bantuan program IBM SPSS 25 sebagai alat analisis. Hasil penelitian menunjukkanbahwa stres kerja berpengaruh positif signifikan   terhadap   kinerja   karyawan   dan   perilaku cyberloafingberpengaruh   negatif   signifikan   terhadap   kinerja karyawan.  Batasan  pada  penelitian  ini  adalah  objek  penelitian  yang  terbatas  hanya  dari  satu  perusahaan yaitu karyawan PT. Inbio Tani Nusantara  dan sampel  yang digunakan relatif kecil.  Hasil dari penelitian ini berkaitan dengan stres kerja dan perilaku cyberloafing.

Kata Kunci: Stres Kerja,Cyberloafing, Kinerja",HD28,e-Journal Ekonomi Bisnis dan Akuntansi,2022-09,
FEB6,"Turnitin Artikel "" Pengaruh Stres Kerja dan Perilaku Cyberloafing Terhadap Kinerja Karyawan""",,HD28,,2022,
FEB3,"The Impact of Training, Career Development, and Compensation on Employee Performance","The purpose of this study is to analyze the impact of training, career development, and compensation on employee's performance of PT. Bank Negara Indonesia (Persero) Tbk Tanjung Karang Branch Office. The quantitative method is used with a total sample of 153 employees, while the data analysis technique uses multiple linear regression. The results showed that employee training, career development, and compensation had a significant impact on performance. However, this study is only limited to 4 variables, including employee training, career development, compensation, and performance. The outcome of this study furthremore is expected to help formulate measures for improving employee performance.

Keywords: employee training, career development compensation, employee performance, banking",HD28,The Future Opportunities and Challenges of Business in Digital Era 4.0,2020-07-23,"employee training, career development compensation, employee performance, banking"
FEB6,"Tingkat Keseimbangan Kehidupan Kerja dan Kebanggaan 
Organisasi Terhadap Kepuasan Kerja","Tingkat keseimbangan kehidupan kerja, kebanggaan organisasi dan kepuasan kerja karyawan masih menjadi masalah serius bagi perusahaan perbankan. Tujuan dalam penelitian ini adalah untuk mengetahui tingkat keseimbangan kehidupan kerja dan kebanggaan organisasi terhadap kepuasan kerja karyawan perbankan di Bandar Lampung. Pengumpulan data menggunakan  kuesioner kepada karyawan perbankan di Bandar Lampung dengan jumlah sampel 93 orang. Analisis data menggunakan analisis regresi linier berganda menunjukkan bahwa keseimbangan kehidupan kerja dan kebanggaan organisasi berpengaruh terhadap kepuasan kerja karyawan perbankan di Bandar Lampung.",HD28,,2021,
