division,title,abstract,subjects,publication,date,keywords
FISIP1,ANALISIS BEBAN KERJA DAN INSENTIF TERHADAP KINERJA DRIVER GOJEK DI BANDAR LAMPUNG,"his  study  aims  to  analyze  the  workload  using  the NASA-TLXmethod,  as  well  as  knowing  the effect  of  workload  and  incentives  on  the  performance  of Gojekdrivers  in Bandar  Lampung.  This type  of  research  is  explanatory  with  a  quantitative  approach.  The  sample  in  this  study  were  100 respondents,  with  the  sampling  technique  using  accidental  sampling.  Data  were  analyzed  using NASA-TLX  method  and  multiple  regression  analysis. The  results  explained  that  the  workload of the Gojek driver  was  very  high,  the  highest  workload  was in  the  aspect  of  physical  needs  and  the lowest was  in  the  aspect  of  the  frustration  level.  However,  the  partial  test  results  that  workload does  not  affect  the  performance  of Gojek drivers,  while  incentives  affect  the  performance  of Gojekdrivers.  Simultaneously, both  workload  and  incentives  have  an  affect  on  performance  of Gojekdrivers.  There  is  a  relationship  between  job  characteristic  on  study  results  that  require  further research, and the importance of stimulating incentives for drivers to maximize the achievement of work targets.","HD28, HE",Jurnal Perspektif Bisnis,2020-11,
FISIP4,"4 
INDONESIA’S PUBLIC LIFE, POWER VISIBILITY AND MEDIA
DEVELOPMENT FROM NEW ORDER ERA TO REFORMATION PERIOD","Indonesia is considered the most powerful country among other Southeast Asia countries and its political growth has become an appealing object for large number of comprehensive studies. Two of the significant phases in Indonesia’s political history that draws considerable attention from many foreign scholars and academics are new order era and reformation period especially in term of public life, power’s visibility and media development. This article delivers an extended discussion of those three concepts as it draws upon several junctures of political development in Indonesian history to describe the practice of life in the country. It also explains how the power’s visibility in Indonesia and media development intertwines by examining related literatures, data and information to the concepts. As recorded by history, the state’s new order era was shaped by President Suharto’s personal dan profesional qualities. It was administered by the regime’s effort to curtail the society’s direct participation in the state’s decision-making process by increasing military intervention into the civilian sphere and increasing military interpretation of the business, diplomatic and political elites. Simultaneously, Indonesia’s media was closely scrutinized by the officials under the regime.  Following that, the downfall of Suharto and his New Order regime in 1998 had brought changes to Indonesia, such as the improvement of the society’s role in the state’s performance. It also stimulated changes within the law enforcement institutions and had provided more opportunities to the society to access information sources freely such as the rise of the Internet.",HE,"Proceeding of International Indonesia Conference on Interdisciplinary Studies  Lampung University, Indonesia",2018-09,
FISIP4,"DEBATING NEW SOCIAL MEDIA’S POLITICAL,
SOCIAL AND CULTURAL CONSEQUENCES TO
WORLD’S REVOLUTIONS","This article discusses a debatable notion that new social media alternately acts as the ground
of political revolution or creates new social identity and induces cultural change. Social media
sites are information and communication technologies (ICTs) that enable production and
sharing of digital content in a mediated social setting. Several statistic reports revealed that
these online media showed remarkable usage among citizens of countries across the globe.
Having those facts on hand, some experts deduces that the higher usage of social media then
more likely to seize the opportunity of increasing engagement in various issues, including tools
for nearly all of the world’s current revolutions. The article also elaborates some counter
claims to the notion. As a single click on Facebook group and merely a tweet do not make
people politically activated, socially changed and culturally developed. Even though new social
media acts as “a great mouthpiece”, it seems to be an austere logical linkage to say that new
social media serve as a way to trigger the world’s current revolutions. All in all, new social
media platforms can be utilized by their users with any kind of purposes especially in terms of
providing fast and quick informational system.",HE,Jurnal Analisis Sosial Politik,2017-12,
FISIP4,FRAMING THE DIGITAL DIVIDE,"Keberadaan teknologi informasi komunikasi (TIK), seperti internet, menjadi pembahasan diskusi hangat di pelbagai belahan dunia. Salah satunya yakni bagaimana keberadaan TIK telah mengubah masyarakat dunia secara fundamental, mengingat keberadaan teknologi modern dapat menghubungkan beragam relasi di seluruh dunia secara virtual, bebas dari ruang dan waktu. Akan tetapi, ditengah hiruk-pikuknya perkembangan teknologi komunikasi yang mendunia, masih ada daerah terpencil yang memiliki keterbatasan dalam akses teknologi. Keterbatasan inilah yang pada akhirnya menimbulkan suatu gejala sosial yang disebut dengan kesenjangan digital (digital divide). Metode yang digunakan dalam penulisan artikel ini adalah studi dokumentasi. Selanjutnya, pendekatan yang digunakan adalah pendekatan praktis dengan mengambil contoh kasus Association of Progressive Communication (APC), sebuah lembaga dunia yang berkecimpung dalam memerangi kesenjangan digital di dunia sebagai kerangka dalam menerapkan pembahasan secara deskriptif. Hasil dari penelusuran ditemukan bahwa digital divide muncul sebagai akibat dari kurangnya akses kepada TIK. Faktor yang mempengaruhi yakni tidak hanya karena ketiadaan sarana dan fasilitas, akan tetapi juga karena minimnya pengetahuan dan kurangnya motivasi dalam menggunakan TIK. Disisi lain, program-program yang diterapkan APC untuk memerangi digital divide terkadang mengalami kesuksesan dan kegagalan. Di Indonesia pun, keberadaan TIK masih menjadi persoalan utama di daerah terpencil mengingat keberadaan perangkat keras dan piranti lunak telekomunikasi yang belum memadai.",HE,Sosiologi,2013,
FISIP4,"“MANAGING YOUR SOCIAL NETWORK IDENTITIES:
ONE OR SEPARATE PROFILE?”","Eksistensi media sosial bagi individu menjadi sangat signifikan bila telah melibatkan domain personal dan professional dalam kehidupannya. Mengatur keseimbangan di antara penampilan dua dimensi tersebut jelas bukanlah hal yang mudah bila individu tidak memiliki strategi tersendiri. Tulisan ini menyajikan betapa peliknya apabila kehidupan personal dan professional individu bercampur aduk dalam dunia maya, terutama di media sosial. Tulisan ini juga mendiskusikan kegunaan pemisahan profil sebagai pilihan yang lebih baik dalam mengatur identitas personal dan professional di media sosial. Pemisahan profil menjamin privasi individu dengan tingkat kegunaan yang lebih tinggi. Selain itu pula, pemisahan profil dapat mempertahankan kepantasan dalam mempertukarkan informasi di media sosial. Tulisan ini juga menjelaskan beberapa kelemahan dalam pemisahan profil, di antaranya tertukarnya informasi dan kendala teknis. Sebagai penutup, tulisan ini menawarkan dua solusi alternatif bagi pengguna pemisahan profil, yakni pemanfaatan alat yang berbeda serta pengaplikasian fitur pemisah profil.",HE,sosiologi,2015-03,
FISIP4,NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY,"Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya
Open Journal Systems
Journal Help
User
Username 	
Password 	
Remember me
Notifications

    View
    Subscribe

Journal Content Search

Browse

    By Issue
    By Author
    By Title
    Other Journals

Font Size
Make font size smaller
Make font size default
Make font size larger

Information

    For Readers
    For Authors
    For Librarians

    Home About Login Register Search Current Archives 

Home > Vol 14, No 1 (2012) > Windah
NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY
Andi Windah

Abstract

Media telah menjadi bagian yang tak terpisahkan dengan masyarakat. Integrasi ini membawa berbagai perubahan kepada kedua belah pihak mengingat interaksi yang terjalin di antara keduanya. Salah satu perubahan yang mendasar adalah bagaimana media telah membawa sudut pandang baru bagi masyarakat dalam menjalani kehidupannya sehari-hari. Bila dikaji dari sejarah, kondisi ini sebenarnya sudah terjadi sedari media itu ditemukan untuk pertama kalinya. Gagasan bahwa media adalah sebuah lingkungan yang mampu mendorong inovasi bahkan revolusi sebagaimana yang dicetuskan oleh para ahli teori medium. Artikel ini menilik lebih jauh mengenai keberadaan teori medium dengan menggunakan metode studi literatur dan contoh aplikasinya yakni melalui keberadaan media sosial dan implikasi penggunaan media sosial dalam praktek kehumasan. Pendekatan yang digunakan adalah pendekatan praktis dengan menekankan pada pembahasan deskriptif. Dari hasil pembahasan, ditemukan bahwa teori medium berakar pada konsep keberadaan media sebagai sebuah lingkungan yang mampu membawa pengaruh dan perubahan kepada kehidupan manusia. Misalnya aktivitas dalam media sosial semakin mempengaruhi kehidupan di luar media sosial, dengan contoh kasus pemilihan Presiden Barack Obama pada tahun 2008.Kehadiran media sosial juga memciptakan banyak peluang baru bagi praktek di dunia kehumasan, misalnya munculnya profesi kehumasan yang khusus mengelola image perusahaan melalui dunia maya.",HE,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya,,
FISIP4,PUBLIC RELATION PRACTICES IN THE WEB 3.0,"Hubungan Masyarakat (Humas) adalah sebuah praktik komunikasi yang berdimensi luas dan memiliki banyak rupa salah satunya sebagai seni berkomunikasi. Pada satu sisi, humas dianggap sebagai seni dalam membangun hubungan yang secara unik diposisikan untuk menjembatani komunikasi yang efektif antara pihak organisasi atau perusahaan dengan para publiknya. Di sisi lain, praktik ini mengharuskan para pelakunya mengikuti aturan etika yang berlaku, diantaranya adalah peraturan perusahaan atau organisasi. Salah satu kondisi yang menyebabkan para praktisi Humas untuk kembali mengikuti arus adalah perkembangan teknologi. Web 3.0 jelas memberikan peluang dan tantangan bagi dunia kehumasan. Peluang utama yang ditawarkan oleh web 3.0 adalah semakin “menipisnya” jarak antara perusahaan dan para publiknya. Misalnya saja melalui media social, pihak perusahaan akan semakin mudah untuk berinteraksi dengan publiknya. Kemudian, keberadaan web 3.0 memmpermudah para paktisi untuk mengumpulkan data mengenai public sesuai dengan yang ditargetkan. Selanjutnya, dengan data tersebut para praktisi humas mampu merancang kegiatan komunikasi yang kajian publik sesuai dengan targetnya. Sebaliknya, web 3.0 juga menghadirkan tantangan yang tidak sederhana bagi praktisi humas yakni penguasaan teknik aplikasi web 3.0 dan isu mengenai kerahasiaan data dan reputasi. Web 3.0 dengan segala keterbukaan infomasi menyebabkan para praktisi harus berhati-hati dalam menggunakan data perusahaan atau publiknya dengan tetap memperhatikan tata etika informasi.",HE,sosiologi,2014-03,
FISIP4,"Reflecting the Role of Individual in Globalized World: 
A Study Case on Julian Assange and Wikileaks","One of controversial new media entities is Wikileaks. Posting a huge number of confidential documents regarding newsworthy public figures and governments, Wikileaks is claimed to generate major impacts to related countries such as Africa, the U.S, Western Europe and Indonesia. The continuing controversy around Wikileaks also reflects the role of its founder in the networked public sphere, Julian Assange. This article is aimed to comprehend the role of individual in globalized world, especially by studying the case of Julian Assange and Wikileaks. The article is divided in three parts. Firstly, it explains background as well as global controversy surrounding Wikileaks and its spokesman, Julian Assange. Secondly, it identifies the areas that Assange have directly impacted, especially in terms of participation, journalism practice and privacy. Finally, it reflects on Assange’s role in the globalized media economy, particularly drawing on his background as an Australian. It is found that the website mainly focused on whistle blowing actions, using insider’s evidences such as documents, cables and videos. It is also found that the website’s anonymous method contribute to increase citizen’s participation. At the same time, Assange through Wikileaks has brought a new form of journalism, medium for everyone‘s voice where the non-professionals with valuable information are endorsed with opportunity in informing the public like proficient journalists. Wikileaks has changed the way journalist approach their information source especially investigative journalism, due to its tightly embodied hactivism culture. Months or even years spent for conventional investigative journalists to verify the information can be substituted just by a simple click on the net. Wikileaks has also impacted the idea of government transparency. Because of Wikileaks’ whistle-blowing’s actions, now many governments are being stricter in disseminating their valuable information. Assange’s roles in the media economy are also shaped by Australia’s standpoint in globalized world",HE,Proceeding of International Conference 1st SHIELD 2016,2016-11-02,
FISIP4,"Six Minutes Fame in YouTube:
Eyeing Reputation of the Indonesian National Police 
Through Norman Kamaru’s Viral Video","Indonesia is being listed among top five leading countries of social media users, noted by more than 88 million of audience in Internet with 81 % of them accessing new social media more than 1 hour in a day. YouTube, for example, has become one of the major platforms for many Indonesians to share videos of private moments, interact with each other or perform lip-synced which the latter activity apparently generates some uprising phenomenon of instant star. Not so long ago, Indonesians were being astounded by one of the INP (now a former officer) member who became a YouTube sensation, Norman Kamaru. Disseminated thorough social networking sites like any other viral video, this video reached millions of Indonesian online communities. One of the sounding themes in that bearing impression was some people considered his video has humanized reputation of the INP amidst all the cases that appear to discredit this Indonesian army force. 
The purpose of this essay is to elaborate how Norman’s video may promote a better reputation for Indonesia National Police among Indonesian society and how YouTube may possibly allow that to be happening. The first section describes about the video and how it becomes successful in gaining attention of Indonesians, while second section notes problems related to the reputation of The INP. The third section analyses how Norman’s video might improve the INP’s reputation. Finally, the essay’s last section addresses the potency of YouTube as a platform to support INP’s public relation campaigns by comparing YouTube to other PR tools. It is found that YouTube has brought videos of members of The INP to the attention Indonesian online communities. With rapid-fire delivery and acrid commentary, the videos enclose several public relation potencies related to the INP’s effort in revitalizing its reputation. In other word, the video’s high exposure and feedback is not only offers a better opportunity for INP to get closer to its public, it’s also confirms YouTube is a noteworthy platform for image building.      
Keywords: YouTube, viral video, public relations",HE,Proceeding of International Conference of Communication Industry and Community,2016-03-03,"YouTube, viral video, public relations"
FISIP4,KORELASI KOMPETENSI ORANG TUA DENGAN REMAJA AWAL DALAM AKSES TEKNOLOGI DAN MEDIA  KOMUNIKASI DI LAMPUNG,"Teknologi begitu dekat dengan kehidupan kita, bahkan kita sangat tergantung dengan teknologi. Teknologi telah hadir dalam keluarga, bahkan telah menjadi bagian dari keluarga itu sendiri. Bahkan pada beberapa keluarga, teknologi telah hadir bersamaan dengan lahirnya keluarga tersebut. Secara khusus dapat dinyatakan bahwa anak-anak dan remaja telah tumbuh berkembang bersamaan dengan kehadiran teknologi di keluarga. Namun demikian, keluarga juga memiliki peranan dalam mendampingi anak dan remaja dalam menerima dan mengadopsi teknologi, berikut content yang ada didalammya.  
Rumusan masalah dalam penelitian ini yaitu:
1.	Seberapa besar tingkat kompetensi orang tua dalam  akses teknologi dan media komunikasi di Lampung.
2.	Seberapa besar tingkat kompetensi remaja dalam akses teknologi dan media komunikasi  di Lampung.
3.	Seberapa besar korelasi antara kompetensi orang tua dengan kompetensi remaja dalam akses teknologi dan media komunikasi di Lampung. Tujuan penelitian ini yaitu untuk mengetahui, menjelaskan dan menganalisa tentang: (1) Tingkat kompetensi orang tua dalam  akses teknologi dan media komunikasi di Lampung. (2) Tingkat kompetensi remaja dalam akses teknologi dan media komunikasi  di Lampung. (3) Korelasi antara kompetensi orang tua dengan komoetensi remaja dalam akses teknologi dan media komunikasi di Lampung. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kuantitatif. Hasil penelitian dapat disimpulkan bahwa:
1.	Akses terhadap media dan teknologi komunikasi berhubungan dengan ketersediaan waktu untuk mengakses. Lebih lanjut, tingkat kebutuhan terhadap akses dipengaruhi oleh jenis dan sifat media yang ada. Remaja dan anggota keluarga lainnya (ayah – ibu) memiliki timgkat akses yang berbeda. Secara umum, remaja memiliki tingkat akses yang lebih tinggi dibandingkan dengan orang tua.
2.	Korelasi tingkat akses media dan teknologi dengan kompetensi anggota keluarga berada dalam derajat yang beragam, yaitu remaja (44.12%), ayah (66.14%) dan ibu (56.74%)
3.	Korelasi tingkat akses media dan informasi antar anggota keluarga yaitu : (a) remaja- ayah (64.52%); (b) remaja –ibu (54.71%); dan (c) ayah-ibu (74.26%).",HE,,2017-08-03,
