division,title,abstract,subjects,publication,date,keywords
FISIP1,MODEL BISNIS TAMBAK UDANG VANAMIE EKSLUSIF,"Coastal land in Indonesia has a potential that must be developed so that it becomes a sustainable business. Shrimp ponds have high profit potential because they are supported by high demand data with limited supply. Lampung has an exclusive shrimp pond with very good conditions. This  study  used  descriptive  qualitative  method.  The  results  obtained  are  with  an  exclusive  shrimp pond business model, the survival rate of shrimp is very high above 90 percent. The pattern of adding pond water can be done without a tamping tub and harvest time can reach 100 days. The development of a business model like this greatly reduces the risk of crop failure due to diseases from other ponds with different management.","HF, SH",Jurnal Perikanan UNRAM,2022-06-14,
FEB6,The mediation relationship of customer satisfaction between service quality and repurchase intention on  e-commerce in Indonesia,"This research aims to determine the relationship between service qualities and repurchase intention with customer satisfaction as the mediator variable on e-commerce in Indonesia. Data were obtained from 162 respondents by using close and selfadministered types of questions. The respondents independently filled the given questionnaires with the Likert scale and Structural Equation Model (SEM) was used for analysis. The findings show that customer satisfaction variable is a mediation of web service quality and repurchase intention on e-commerce in Indonesia. 
 
Keywords: customer satisfaction; e-commerce; repurchase intention; website service quality",HF,Jurnal Manajemen dan Pemasaran Jasa,2020-03-01,customer satisfaction; e-commerce; repurchase intention; website service quality
FEB6,E-COMMERCE,,HF,,2018-11-26,
FEB6,"Niat Pembelian Green Product: Peran Kesadaran Diri Masyarakat, Kebanggan, Rasa Bersalah dan Kesadaran Penuh","Saat ini. konsumen di dunia sangat memperhatikan dampak dari pemanfaatan produk terhadap lingkungan. Oleh karena itu, mereka membeli produk yang aman untuk alasan ini. Kondisi ini menjadi peluang bagi perusahaan untuk menciptakan merek di benak konsumen sehingga mereka dapat memasarkan produk tersebut secara efektif. Meskipun merek lokal yang berlabel green product di Indonesia cukup banyak, namun kecenderungan konsumen untuk menggunakan produk tersebut tidak sebesar di negara lain. Berdasarkan isu tersebut, penelitian ini bermaksud mengungkap alasan niat masyarakat Indonesia di Bandar Lampung untuk membeli produk perawatan kulit dengan
menguji beberapa faktor penentu: kesadaran diri masyarakat, kebanggaan, rasa bersalah, dan kesadaran. Untuk itu, kami menggunakan survei berdasarkan 240 tanggapan dan menganalisisnya dengan model persamaan struktural berdasarkan kovarians untuk mencapai tujuan ini. Studi ini mengungkapkan niat ini dipengaruhi oleh kesadaran diri
publik, kebanggaan, dan rasa bersalah secara positif. Pengaruh positif ini terjadi ketika peneliti memeriksa dampak perasaan bangga dan perhatian terhadap kesadaran diri atas publik.","H1, HF",Jurnal ManajemenTerapan dan Keuangan,2022-06,
FEB4,Framming Efect Sebagai Determinat Esklasi Komitmen Manajer Dalam Keputusan Investasi:Dampak Dari Latar Belakang Pendidikan Akuntansi dan Non Akuntansi,"Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.
Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.","HB, HF, HF5601, HG",Jurnal Ilmiah GEMA EKONOMI,2014-08,
FP1,Pengaruh Dimensi Kualitas Pelayanan Terhadap Kepuasan Konsumen Pada Kopma Digital,"The purpose of this research was to know the consumer satisfaction of service
quality which consists of variable tangibles, reliability, responsiveness, assurance,
and empathy, as well as the performance of the board of Member participation in
Kopma Unila. The method which used in this research was descriptive verified
with ex post facto approach and survey. The population in this study were 150
students and the sample used was 42 students determined by simple random
sampling. Data collection techniques were using questionnaires. Data were
collected through linear regression analysis and multiple regression analysis. The
result of analysis shows that there was an influence of servqual dimension which
consist of physical evidence variable, reliability, responsiveness, assurance, and
empathy, to customer satisfaction.","H1, HB, HF",Jurnal Edukasi Ekobis,2017,
FEB4,Pengaruh akuntabilitas dan budaya organisasi terhadap kinerja organisasi pada rumah sakit swasta kota Bandar Lampung,"Abstrak
Tujuan: Penelitian ini bertujuan untuk memberikan bukti empiris pengaruh akuntabilitas dan budaya organisasi terhadap kinerja organisasi pada rumah sakit swasta di Bandar Lampung.


Metodologi penelitian:   Populasi dalam penelitian ini adalah seluruh pegawai pada kepala rumah sakit swasta di Bandar Lampung, metode kuantitatif, aplikasi SPSS, teknik temu kembali informasi menggunakan kuesioner, dan sampel sebanyak 93 responden. Metode analisis data menggunakan regresi berganda dengan uji-T sebagai uji hipotesis.


Hasil: Penelitian ini menunjukkan bukti empiris bahwa variabel akuntabilitas dan budaya organisasi berpengaruh positif terhadap kinerja organisasi, baik secara parsial maupun simultan.


Keterbatasan: Sampel penelitian ini hanya mencakup sekitar 93 karyawan yang setara dengan manajer tingkat menengah di rumah sakit swasta di Bandar Lampung


Kontribusi: Penelitian ini dapat memberikan informasi penting tentang akuntabilitas dan budaya organisasi terhadap rumah sakit dan organisasi atau institusi terkait.","HF, HF5601",Jurnal Studi Pemerintahan dan Akuntabilitas,2021-11-25,
FISIP1,FAKTOR-FAKTOR YANG MEMPENGARUHI MINAT PEMBELIAN ULANG KONSUMEN PADA TOKO RITEL,"Tujuan dari penelitian ini adalah untuk mengetahui pengaruh lokasi, kualitas pelayanan, kelengkapan produk, dan harga terhadap minat pembelian ulang konsumen pada toko ritel. Sampel penelitian berjumlah 100 responden konsumen Toko Surya Gemilang yang ditentukan dengan purposive sampling, dengan teknik pengumpulan data menggunakan kuesioner. Data dianalisis menggunakan uji t, uji F, dan regresi linier berganda. Hasil analisis menunjukkan bahwa secara parsial, hanya variabel kualitas pelayanan dan harga yang memiliki pengaruh signifikan terhadap minat pembelian ulang konsumen. Namun, secara simultan, keempat variabel, yakni lokasi, kualitas pelayanan, kelengkapan produk, dan harga menunjukkan pengaruh yang signifikan terhadap minat pembelian ulang konsumen pada toko ritel. Adanya kesesuaian antara performa dari produk atau jasa (pelayanan) yang ditawarkan, dan jumlah alokasi daya beli konsumen terhadap suatu produk yang ditentukan oleh harga, lebih mendorong minat konsumen untuk melakukan pembelian kembali di waktu yang akan datang. Sehingga, harga dan kualitas pelayanan dapat membangun keunggulan kompetitif bagi toko ritel untuk bersaing, dan mendorong konsumen untuk melakukan pembelian ulang.",HF,Jurnal Perspektif Bisnis,2020-05-31,
FEB4,"KEWIRAUSAHAAN TEKNOLOGI DIGITAL: 
POTENSI PEMBERDAYAAN PEBISNIS MILENIAL","Fenomena baru yang muncul dalam dunia kewirausahaan adalah kewirausahaan teknologi digital. Kewirausahaan tipe ini dapat menghapus sekat-sekat keterbatasan sumberdaya dan skalabilitas produk yang dihadapi para pewirausaha. Kewirausahaan teknologi digital mulai marak bertumbuh khususnya di perguruan tinggi dan perusahaan-perusahaan. Pertumbuhan pada kedua lembaga tersebut menjadi potensi berkembangnya pebisnis muda milenial. Makalah ini membahas potensi pengembangan pebisnis milenial dengan model triple helix (pemerintah, perusahaan dan perguruan tinggi), melalui kewirausahaan teknologi digital. Hasil analisis menunjukkan bahwa baik perguruan tinggi, perusahaan serta pemerintah memegang peranan penting dalam mengembangkan potensi pebisnis milenial. Potensi tersebut akan terus bertumbuh melalui kewirausahaan teknologi digital, oleh karena sumberdaya pengembangan kewirausahaan jenis ini tersedia baik di perguruan tinggi maupun di perusahaan-perusahaan.","H1, HD28, HF",,2020-01-02,
FISIP2,Capitalism and Corporate In Lampung Local Politics,Hasil Penilaian Peer Review/ Teman Sejawat,HF,KomunItas International Journal,2019-03-05,
