division,title,abstract,subjects,publication,date,keywords
,Akuntansi: sebuah kajian terhadap kebijakan perusahaan dan pemerintah,,HF5601,,2021,
FEB4,Contemporary Accounting Research: A Collection of Accounting Research Reports,,HF5601,,2019,
FEB4,"Effect of Profitability, Leverage and Liquidity on Islamic Social Reporting Disclosure before and during the COVID-19 Pandemic in the Jakarta Islamic Index (JII) Companies","This study aims to determine the effect of profitability, leverage, and liquidity on the disclosure of Islamic Social Reporting empirical studies on companies listed on the JIE in 2019-2020.  This study using the quantitative descriptive method.  This study uses quantitative data.  The result are that profitability has a significant positive effect on ISR disclosure before Covid-19 and a significant negative effect on ISR disclosure during Covid-19. Leverage has no significant effect, and also the liquidity.",HF5601,"Asian Journal of Economics, Business and Accounting",2022-06-21,
,ENVIRONMENTAL  UNCERTAINTY THE INFLUENCE ON THE PERFORMANCE OF SME MANAGERS WITH ACCOUNTING SYSTEM MANAGEMENT AS INTERVENING,"The purpose of this study is to examine the effect of environmental uncertainty perception of the performance of managers with the management accounting system as intervening. This research was conducted on 68 managers or small and medium business owners in Bandar Lampung by distributing questionnaires. The results found that the perception of environmental uncertainty has a positive effect on managerial performance, besides, the management accounting system acts as a partial mediation.

Keywords: perception of environmental uncertainty, management accounting system, performance 
      	     manager.",HF5601,,2019,"perception of environmental uncertainty, management accounting system, performance 
      	     manager."
,"The Effect of Burnout on Employee's Performance:
Perceived of Distributive Justice as Moderator","Abstract. The purpose of this study is to empirically examine the effect of burnout on employee performance and the
effect of distributional justice as a moderating variable of the relationship between burnout and performance. This
study uses primary data obtained from distributing questionnaires via email to employees in the finance5 department.
The results of this study indicate that there is a negative influence between burnout on employee performance. In
addition, this study provides empirical evidence that fair distribution of justice can moderate burnout on performance.
The study results provide practical implications that management should pay attention to the fair distribution of
incentives as an indicator to improve employee performance.
Key Word: Burnout, Performance, Distributive Justice.",HF5601,,,
,The Effect of Burnout on Employee's Performance: Perceived of Distributive Justice as Moderator,"The purpose of this study is to empirically examine the effect of burnout on employee performance and the effect of distributional justice as a moderating variable of the relationship between burnout and performance. This study uses primary data obtained from distributing questionnaires via email to employees in the finance  department. The results of this study indicate that there is a negative influence between burnout on employee performance. In addition, this study provides empirical evidence that fair distribution of justice can moderate burnout on performance. The study results provide practical implications that management should pay attention to the fair distribution of incentives as an indicator to improve employee performance.
Key Word: Burnout, Performance, Distributive Justice.",HF5601,,,
,Measuring the Effect of environmental uncertainty on the performance of sme managers with management accounting system,"This research aimed to examine the effect of environmental uncertainty on the performance of SME managers using a management accounting system. Data were obtained and analyzed from sixty-eight SME managers in Bandar Lampung by using questionnaires. The results showed that the perception of environmental uncertainty has a positive effect on managerial performance, and it acts as a partial mediation of the management accounting system.                                                                                                                                                                 Keyword: Management Accounting System, Environmental Uncertainty, Performance of SME Managers.",HF5601,"Proceedings of the 2nd International Conference on Economics, Business and Entrepreneurship (ICEBE 2019)",,
FEB4,"PENGARUH PERSEPSI KEADILAN PROSEDURAL,
PERSEPSI KEADILAN DISTRIBUTIF, DAN
EMOTIONAL EXHAUSTION TERHADAP KINERJA
AKUNTAN MANAJEMEN","Abstrak
Penelitian ini bertujuan untuk menguji secara empiris pengaruh persepsi
keadilan prosedural, persepsi keadilan distributif, dan emotional exhaustion
terhadap kinerja akuntan. Hipotesa yang peneliti ajukan yaitu sebanyak lima
hipotesa. Metoda penelitian yang peneliti gunakan yaitu menggunakan metoda
survey. Populasi dari penelitian ini yaitu perusahaan manufaktur dengan teknik
pengambilan sampel menggunakan metoda convenience sampling. Berdasarkan
hasil pengujian hipotesa diperoleh hasil sebagai berikut satu sampai lima tidak
terdukung. Peneliti menduga bahwa ketidak terdukungan ini disebabkan karena
kesalahan pengukuran pada variabel emotional exhausted serta keadaan responden
yang jarang mengalami kelelahan secara emosional. Akibat kesalahan pengukuran
ini berimplikasi pada ketidak mampuan hasil penelitian dalam memperkuat teori
yang ada. Sehingga, tentu saja ini menjadi keterbatasan dalam penelitian ini yaitu
kesalahan pengukuran serta sedikitnya jumlah responden yang masuk dalam
penelitian ini.
Kata Kunci: Keadilan Prosedural, Keadilan Distributif, Emotional Exhaustion,
Kinerja.
3",HF5601,Jurnal Bisnis dan Manajemen,2016-01,
,"PENGARUH PERSEPSI KEADILAN PROSEDURAL, PERSEPSI KEADILAN DISTRIBUTIF, DAN EMOTIONAL EXHAUSTION TERHADAP  KINERJA AKUNTAN MANAJEMEN","The purposed of this reseach was to examined empirically the effect of procedural justice perception, distributive justice perception, and emotional exhaustion to management accountant performance. This reseach has used survey method. The technic sample for this research used convenience sampling. The result of this research, hypothesis was not support. I think the causes of this fail was the subject felt emotional exhausted seldomly.

KeyWord: Procedural Justice, Distributive Justice, Emotional exhaustion, Performance",HF5601,Jurnal Bisnis dan Manajemen,,
,Pengaruh total quality manajemen terhadap kinerja manajerial,"Penelitian ini bertujuan untuk memberikan bukti empiris mengenai pengaruh total quality manajemen terhadap kinerja manajerial. Penelitian ini menggunakan teori kontijensi dengan pelaku usaha mikro, kecil, dan menengah di Bandar Lampung sebagai responden dalam penelitian ini. Objek dari penelitian ini yaitu UMKM yang terdapat di Bandar Lampung. Hasil penelitian menunjukkan bahwa Total Quality Manajemen berpengaruh positf terhadap kinerja manajerial. Hasil penelitian ini memberikan implikasi bahwa pelaku usaha UMKM sebaiknya memperhatikan penerapan dari TQM pada kegiatan bisnis mereka.

Kata Kunci: TQM, Kinerja manajerial, UMKM",HF5601,--,,
