division,title,abstract,subjects,publication,date,keywords
FISIP1,Implementation of Forecasting Hedging Model During the Covid-19 Pandemic with the Event Windows Approach to Asean Stock Prices 6,"This study was conducted to analyze the stock exchanges of ASEAN 6 (Indonesia, the Philippines, Malaysia, Singapore, Vietnam, and Thailand) related to the dynamics of daily stock prices including the decline during the Covid-19 Pandemic. This data is described as a time series comprised of daily inventory expenditures, varied heteroscedasticity, and the ASEAN stock dummy hedging variable.",HG,,2022,
FEB6,Form Penilaian Reviewer: Value at Risk and Expected returns portfolio )companies listed on LQ45 index period 2013-2016,"Form Penilaian Reviewer:The objective of this research is to investigate whether there is a positive relationship between Value at Risk and Expected Portfolio Returns on the Indonesia Stock Exchange. The population of this research is companies listed on the LQ45 index for the period 2013–2016, and the sample is 20 companies that meet the criteria. Markowitz method was used to form 65 portfolios; each consists of a combination of two stocks that have a negative correlation. The result shows that there is no positive relationship between Value at Risk and Expected Portfolio Returns. On the contrary, the correlation coefficient indicated that there is a negative relationship between the variables, which means that there is an inverse relationship (high return low risk, and vice versa). It proves that the assumption of a rational investor is avoiding risk (risk averse). This result is also supported by the findings from Schroders Global Investment Trends Survey 2015, which shows that 63% of investors in Indonesia prefer to allocate their investments in instruments with low- and medium-risk levels. However, it does not mean that the concept of high-risk high-return is not applicable in Indonesia because the result is not significant.",HG,,2018-11,
,Bukti korespodensi artikel: Risk Measurement and Stock Prices during the COVID-19 Pandemic: An Empirical Study of State-Owned Banks in Indonesia,Bukti korespodensi artikel: Risk Measurement and Stock Prices during the COVID-19 Pandemic: An Empirical Study of State-Owned Banks in Indonesia,"HB, HG","Journal of Asian Finance, Economics and Business",,
,cek plagiasi artikel - Risk Measurement and Stock Prices during the COVID-19 Pandemic An Empirical Study of State-Owned Banks in Indonesia,cek plagiasi artikel - Risk Measurement and Stock Prices during the COVID-19 Pandemic An Empirical Study of State-Owned Banks in Indonesia,"HB, HG","Journal of Asian Finance, Economics and Business",,
,Cek Plagiasi Aritikel: Strategic Decision-Making on Mining Sector Company Stock Prices and Economic Variable (State Space Model Application),Hasil Cek Plagiasi Artikel: Strategic Decision-Making on Mining Sector Company Stock Prices and Economic Variable (State Space Model Application),"HB, HG",International Journal of Energy Economics and Policy,,
FEB6,"Strategic Decision-Making on Mining Sector Company Stock
Prices and Economic Variable (State Space Model Application)","Energy sector is not excluded from the recession in global economics. However, one can be stable during such outbreak was gold prices which showed
incredible stable prices and relatively increasing. That also affected on daily stock prices for the gold producing companies such as PT Aneka Tambang
(issuer code: ANTM) that showed conversely increasing than other mining sector companies. This study aims to investigate causal relationships between
ANTM stock prices and Indonesian exchange rates in order to have strategic decision-making for investors by employing State Space model and to
provide forecasting daily data for both variables. The study found that the State Space model confirmed their dynamic relationship, in which ANTM
was not only affected by itself but also by the movement of exchange rates. The forecasting graphs then provide the insight of strategic decision-making
for investors to strongly invest on gold-based company as they have an increasing projection for the next 20 days.","HB, HG",International Journal of Energy Economics and Policy,2023-05-17,
FEB4,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFAR,"his study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is 
measured using local original income. The greater the annual average local original income from mining 
received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",HG,International Journal of GEOMATE,2020-08,
FEB4,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,"This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve community welfare and confirm regulatory theory, especially the theory of public interest.",HG,International Journal of GEOMATE,2020,
FEB4,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,": This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",HG,International Journal of GEOMATE,2020-08,
,"Pengaruh Ukuran Pemerintah Daerah, Intergovernmental Revenue, dan Hasil Audit BPK
terhadap Kinerja Keuangan Pemerintah Daerah",,"H1, HG",Jurnal Akuntansi dan Keuangan,2017-01,
