division,title,abstract,subjects,publication,date,keywords
FEB4,PENGARUH HASIL PEMERIKSAAN AUDIT BPK TERHADAP KINERJA KEUANGAN PEMERINTAH DAERAH DI INDONESIA,This study aims to analyze the effect of BPK audit results on the financial performance of local governments District / City in Indonesia. The type of research used in this study is a qualitative research with secondary data. The research sample is 398 districts /cities for the year 2014- 2015. Analysis of data used in this research is to test the classical assumption and hypothesis testing with multiple linear regression method.The results of this study show that audit opinion does not affect the performance of regional finances based on efficiency and effectiveness ratio and audit findings do not affect the financial performance of local governments based on the ratio of moderate efficiency audit findings negatively affect the financial performance of local governments based on the ratio of effectiveness.,HJ,Jurnal Akuntansi dan Keuangan,2018-07,
FEB1,DAMPAK EFEKTIVITAS PENERAPAN SISTEM REWARD DAN GAYA KEPEMIMPINAN TERHADAP KINERJA PEGAWAI PADA DIREKTORAT JENDERAL PAJAK (DJP),"Tujuan penelitian ini ingin menguji pengaruh rewards finansial dan non finansial terhadap kinerja pegawai serta gaya kepemimpinan karismatik dan gaya kepemimpinan otoriter terhadap kinerja pegawai pada Direktorat Pajak di Provinsi Lampung.  Alat analisis yang digunakan dalam penelitian ini adalah Analysis of Variance.  Hasilnya menunjukkan bahwa terdapat perbedaan yang signifikan pada kinerja pegawai yang diberikan reward finansial dan nonfinansial, terdapat perbedaan yang signifikan pada kinerja pegawai yang diberikan gaya kepemimpinan karismatik dan otoriter",HJ,Jurnal Akuntansi dan Pajak,2022-07-06,
FEB4,"EFFECT OF FINANCIAL LITERACY FOR PERFORMANCE AND SUSTAINABILITY
SMALL AND MEDIUM ENTERPRISES IN LAMPUNG PROVINCE INDONESIA","This Study aims to analyses the effect of financial literacy to small and medium business
enterprises performance and sustainability in Lampung province, Indonesia. Collected data were
analyzed using partial least square structural equation model. Smart PLS 3.0 software is used to
help analyze relationships between variables. Descriptive analysis for interpretation of
respondent data and used structural equation model to test hypothesis and analyses the data. The
result confirmed that financial literacy significantly affect small and medium enterprises
performance but the financial literacy not significantly affect to small and medium enterprises
sustainability in Lampung Province, Indonesia. This implies that good financial literacy can be
used to get good increase performance and there are other factors that affect significantly the
small and medium enterprises sustainability. Thus, it is expected that small and medium
enterprises can survive and have sustainability effort in difficult situation because they have the
uniqueness in their community. 

Keywords: Financial literacy, Performance, Sustainability","HG, HJ",,2018-08-28,"Financial literacy, Performance, Sustainability"
FEB4,The Impact of Financial Literation on Performance and Sustainability of SMEs in Indoensia,"This study intends to examine the following issues: Does the Financial Literacy Level positively influence SMEs Performance in Indonesia and Does the Financial Literacy Level positively influence the sustainability of SMEs
business sustainability in Indonesia. Respondents from this study are individuals who understand and participate in the strategic development process of the company. Research locations in Indonesia the owner (owner)relatively many take part in strategic decisions. The collected data were analyzed using based structural partial least square squares models. Smart software is PLS 3.0 used to help analyze the relationship between
variables. Descriptive analysis is used to interpret respondents' data, while structural equations are used to test hypotheses. In general, the results of the hypothesis test are known that there is an influence of financial literacy from SMEs in Indonesia on the performance and sufficiency of businesses in Indonesia. The better the understanding and knowledge of SMEs actors
towards financial literacy, the more competent the SMEs are in managing their business performance, especially in preparing their work and managing their costs. This has an impact on sustainability in getting profit, even though the SMEs still runs low and has a tracking system of customer satisfaction and employee/ manager satisfaction. 
 
Keywords: Financial Literation, Performance, Sustainability","H1, HG, HJ",,2019-11,"Financial Literation, Performance, Sustainability"
FEB4,"FLYPAPER EFFECT OF REGIONAL EXPENDITURES AND IT’S IMPACT TO THE LEVEL OF REGIONAL FINANCIAL INDEPENDENCE
(EMPIRICAL STUDY AT COUNTRY/CITY IN INDONESIA)","The objective of this research is to identify the flypaper effect of regional expenditures of country and city governments in Indonesia and it impacts on the level of regional financial independence. 
The population used in this study is country/city of Indonesia for the period of 2014-2016. Samples were obtained are as much 252 country/city in Indonesia. Analysis of data used in this research is to test the classical assumption and hypothesis testing with multiple linear regression methods. 
The results found that own-source revenue and unconditional grants have the positive effect on regional expenditures. The Coefficient value of unconditional grants much bigger than the own-source revenue and both of them showing a significant result, this thing shows flypaper effect has already happened on the regional expenditures in Indonesia. The regional expenditures also effect on the level of regional financial independence in Indonesia.",HJ,,2018,
FEB4,Comparison Level of Financial Distress before and During the Covid-19 Pandemic in Indonesia,"The purpose of this study was to determine the level of financial distress that occurred before and 
for the duration of the Covid-19 pandemic in manufacturing corporations on the Indonesia Stock 
Exchange. By performing an Altman z-score analysis using five ratios of working capital to total 
assets, retained earnings to total assets, earnings before interest and taxes to total assets, market 
value equity to book value of total debt, and sales to total assets. This study is a type of quantitative 
study that utilizes of secondary data. The data used in the financial statement of the main record 
board of manufacturing companies was for the period 2017- 2020. The research sample consists of 
90 companies. The test was carried out using the Mann-Whitney U Test using the SPSS V.25 
program. This study shows that there is no significant difference in the level of financial distress that 
occurred before and during the Covid-19 pandemic. The results of this study provide 
recommendation for further researchers, namely in measuring the level of financial distress, they 
can add or use other analyzes other than the Altman Z-Score. Future researchers can use a longer 
observation period, especially during the Covid-19 pandemic.","HG, HJ","Asian Journal of Economics, Business and Accounting",2022-10-25,
FEB6,CEK PLAGIARISME: Penerapan Prinsip 5C pada Layanan Simpan Pinjam L-Smart BUMDes Bumiayu Kanaka Pringsewu Provinsi Lampung,,"H1, HJ, HN",,2023-03-11,
FEB6,Penerapan Prinsip 5C pada Layanan Simpan Pinjam L-Smart BUMDes Bumiayu Kanaka Pringsewu Provinsi Lampung,"adan Usaha Milik Desa (BUMDes) Bumiayu Kanaka, Kabupaten Pringsewu Provinsi Lampung bergerak pada bidang perdagangan, peminjaman modal usaha L-Smart, dan agen BNI 46. Layanan Simpan Pinjam L-Smart bekerjasama dengan Bank Lampung bertujuan untuk memajukan kesejahteraan masyarakat dengan menyediakan peminjaman kepada nasabah. Namun kegiatan ini mengalamai penurunan nasabah seiring berjalannya waktu karena penundaan pembayaran hutang oleh nasabah. Hal ini mengakibatkan kerugian pada pengurangan modal untuk unit usaha L-Smart. Atas permasalahan ini maka perlu dilakukan analisis analisis efektivitas terhadap penerapan layanan simpan pinjam L-Smart BUMDes Bumiayu Kanaka dengan prinsip 5C. Metode yang digunakan dalam penelitian ini yaitu pendekatan kualitatif menggunakan teknik wawancara, observasi, studi kepustakaan, dan dokumentasi. Hasil pada studi ini adalah analisis 5C dalam kelayakan peminjaman dana BUMDes Bumiayu Kanaka belum sepenuhnya baik dilaksanakan karena tidak menganalisis Capital dan Condition. Selanjutnya disarankan untuk keberlanjutan unit usaha tersebut untuk BUmdes Bumiayu Kanaka kebih selektif dan professional dalam memilih calon debitur.","H1, HJ, HN",Jurnal Abdi Masyarakat Indonesia (JAMSI),2023-03-11,
FISIP4,"PENDAMPINGAN PENGELOLAAN ADMINISTRASI KEUANGAN
HOMESTAY TELUK KILUAN","Teluk Kiluan sebagai salah satu destinasi wisata memerlukan peningkatan pengelolaan agar dapat
menambah income generating masyarakatnya. Ketersediaan beberapa homestay seharusnya dapat menjadi
penunjang layanan wisata. Namun rendahnya tingkat pendidikan dan pengetahuan pengelola homestay
dalam pengelolaannya menjadi permasalahan tersendiri. Hasil survey awal ditemukan bahwa hampir
semua pengelola homestay tidak memiliki buku tamu dan buku keuangan sehingga keberhasilan layanan
homestay sulit untuk dievaluasi. Untuk itu pengelola homestay memerlukan adanya pendampingan
pengelolaan administrasi dan keuangan. Hasil kegiatan pelatihan telah meningkatkan pengetahuan
administrasi dasar untuk pengelolaaan homestay sebesar 40% (kategori sedang) dan peningkatan
pemahaman terhadap pembukuan dasar sebesar 60% (kategori sedang), dengan rata-rata peningkatan
50%. Tidak lanjut pelatihan melalui kegiatan pendampingan meningkatkan keahlian pengelola homestay
sebesar 10% (kategori sangat rendah).
Kata kunci: Pengelolaan, administrasi, keuangan, home","HE, HJ",PROSIDING SENAPATI SEMINAR NASIONAL PENGABDIAN KEPADA MASYARAKAT TEKNOLOGI DAN INOVASI Pengabdian Masyarakat di Era Revolusi Industri 4.0 dan Society 5.0,2019-06,
FEB4,Future Conditions of the Mining Sector Seen from The Viewpoint of Stock Price,"The daily share price of the mining sector is part of the financial data that is included in the determining
criteria that describe the condition of the company. More broadly, the daily share price of the mining sector,
especially in Indonesia, impacts the national economy. In these conditions, low-risk decision-making is needed.
Methods in economics explaining forecasting of future economic conditions can reduce risk by preparing a
treatment plan. Time series financial data, including daily stock prices, can be predicted using the ARIMA model.
This study aims to design a time series financial data forecasting model with a low error rate so that the quality of
the prepared decisions is of high quality.","HA, HJ",European Union Digital Library,2022-04-20,
