division,title,abstract,subjects,publication,date,keywords
FKIP25,"TRANSFORMASI SASTRA LISAN SYAER                               
 DALAM PERTUNJUKAN TARI","Penelitian Transformasi Sastra Lisan Syaer dalam Pertunjukan Tari dilatarbelakangi oleh kurangnya minat masyarakat terutama generasi muda terhadap sastra lisan syaer. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kualitatif. Metode deskriptif kualitatif adalah metode penelitian yang berusaha menggambarkan dan menginterpretasi objek sesuai dengan apa adanya. Teknik analisis data yang digunakan pada penelitian adalah teknik observasi, wawancara, dan dokumentasi. Terdapat empat tahapan dalam transformasi sastra lisan Syaer dalam pertunjukan tari, yaitu tahap transformasi (perubahan bentuk yang menghasilkan unsur-unsur kebaruan dari aspek gaya), mengembangkan konsep pertunjukan tari (berpijak pada media teks pertunjukan untuk mengenali konteks sebuah sastra lisan yakni Ittar Terang), improvisasi dan eksplorasi Syaer dalam rangkaian gerak tari (terarah atau terpimpin), dan berakhir pada pertunjukan tari Ittar Terang (menggabungkan antara gerak dengan Syaer, properti, pola lantai, rias dan busana serta iringan musik).","HM, ML, PN",GRIYA CENDIKIA,2021-09-01,
FISIP7,"NILAI KEARIFAN LOKAL SAKAI SAMBAYAN (STUDI PADA KEHIDUPAN MASYARAKAT ADAT DI DESA MAJA,KECAMATAN KALIANDA LAMPUNG SELATAN)","ABSTRAK Penelitian  ini  bertujuan  untuk  mengetahui  praktik  perilaku  nilai  kearifan  lokal Sakai-Sambayan, dan berbagai faktor penghambat dalam pelaksanaan dan pelestariannya dalam kehidupan  masyarakat  adat  sehari-hari  di  Desa  Maja,  Kecamatan  Kalianda  Lampung Selatan.  Penelitian  ini  menggunakan  pendekatan  kualitatif  yang  dianggap  sebagai  cara yang relevan untuk memperoleh informasi yang valid, khususnya tentang realitas praktik perilaku  kearifan  lokal Sakai-Sambayan  dalam  kehidupan  masyarakat  adat  sehari-hari pada  umumnya.  Berdasarkan  hasil  penelitan  ini  diketahui  bahwa  pelaksanaan  tradisi Sakai-Sambayan dalam  kehidupan  masyarakat  adat  di  lingkungan  Desa Maja  masih berjalan  dalam  batas  waktu  dan  tempat  yang  tidak  mengikat  peluang  warga  untuk kepentingan memenuhi kebutuhan internal keluarga. Secara umum diketahui ada 3 (tiga) faktor  penghambat  pelaksanaan  dan  pelestarian  kegiatan Sakai-Sambayan  yaitu  faktor pertambahan  penduduk,  perubahan  pola  pikir  warga  dan  kurangnya  frekuensi sosialisasi terhadap keluarga dan warga pada umumnya.  

Kata Kunci: Kearifan Lokal, Sakai-Sambayan.",HM,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,2020-03,
FISIP7,Tradisi “Hippun”Sebagai Model Permersatu Masyarakat Multikultural(Studi  Pada  Penduduk  Ragam  Etnis dan  Budaya Di Wilayah Kabupaten Lampung Selatan),"ABSTRAK. Pluralitas  budaya  dalam  masyarakat  Lampung  tidak  bisa  dihindarkan  apalagi  ditolak. Bagi  sebagian  masyarakat, pluralitasadat budayadianggap  mengancam  eksistensi  etnologis  atas kelompoknya. Pihak lain lagi masih ada yang menolak Pluralisme budaya karena dianggap sebagai pemicu terjadinya konflik sosial dan tindakan anarkis dalam kehidupan masyarakat. Meskipin pihak-pihakmenyadari bahwa masyarakat Lampung merupakan masyarakat yang plural, akan tetapi tidak semua dapat mewujudkan hubungan sosial yang terbukasaling menghargai, masih ada pihak yang  sulit  menerima keberadaan  kelompok  lain. Berhadapan  dengan  kenyataan itu,  masyarakat  adat Lampung  memiliki  piranti wawasan  nusantaradan  perangkat  filosofi  Sang  Bumi  Ruwa  Jurai  dan prinsip  hidup  “hippun”  yang  mentradisi  dalam  perilaku  hidup  sehari-hari,  khususnya  dalam  setiap akan membuat perencanaan dan atau melakukan pekerjaan bersama untuk pepentingan bersama. Penelitian  ini  bertujuan  untuk mengetahui  tradisi  ”hippun”  sebagai  model  pemersatu  masyarakat multikultural; upaya melestarikan tradisi ”hippun” sebagai model pemersatu masyarakat multikultural; dan  untuk  menganalisis  pengembangan  model  pemersatu  masyarakat  multikultural  di  Lampung Selatan. Penelitian  ini  menggunakan  pendekatan  kualitatif. Pendekatan  ini  dimaksudkan  sebagai proses pemahaman analitis berdasarkan paradigma empirik untuk menyelidiki berbagai peristiwa dan upaya pemeliharaan  stabilitas  masyarakat  multikulturalm  dengan  model  implementasi  nilai-nilai  kearifan lokal piil pesenggiiri, khususnya di Lampng Selatan.
Hasil  penelitan menunjukkan bahwa tradisi “hippun” dapat dijadikan sebagai model/alat pemersatu masyarakat  multikultural  di  Provisinsi  Lampung  khusunya  dan  Indonesia  pada  umumnya.  Dalam tradisi  “hippun  mengandung  5  unsur  prinsiphidu  yaitu: 1)  Uttung-sebagi;  2)  Utang-sebayakh;  3) Semaya-setunggu;  4)  Hippun-nufakat;  dan  5)  Ukhik-sepati.  Dengan  adanya  unsur  tersebut,  hippun dapat  mendorong  terciptanya  kerukunan,  perdamaian  dan  penguatan  ikatan  persatuan  warga masyarakat.  Adapun  ciri  adanya  persatuan  masyarakat,  antara  lain  adalah  adanya  kebersamaan, kesetiakawanan,    kesenasiban,    kerelaan    berkorban    dan    adanya    kesadaran    dalam    hidup bermasyarakat, sehingga timbul keinginan untuk selalu membantu sesama. 

Kata Kunci:Kearifan Lokal, Masyarakat Multikultural, Model Pemersatu,Tradisi Hippun",HM,Journal of Tropical Upland Resources (J. Trop. Upland Res.),2019-07,
FISIP7,"Strategi Pengembangan Desa Wisata Berbasis
Budaya di Desa Maja, Kecamatan Kalianda, 
Kabupaten Lampung Selatan","Abstrak.  
Tujuan umum dilakukan kegiatan pengabdian kepada masyarakat ini adalah mensosialisasikan pengembangan desa wisata berbasis budaya di Desa Maja, Kecamatan Kalianda, Lampung Selatan. Kegiatan pengabdian kepada masyarakat ini menggunakan metode ceramah dan diskusi. Metode
ceramah dan diskusi di dalam ruangan yang digunakan untuk menyajikan materi. Adapun materi yang akan diberikan adalah peranan kepala pemerintahan adat dalam mewujudkan desa wisata, peranan aparat desa adat dalam mewujudkan desa wisata berbasis budaya,pelayanan publik yang
efektif dan efisiendalam mewujudkan desa wisata berbasis budaya, dan penguatan kelembahan dan sinergitas antara pemerintah adat dan aparat desa dalam mewujudkan desa wisata berbasis budaya. Berdasarkan hasil evaluasi dilapangan dapat disimpulkan bahwa setelah peserta mengikuti penyuluhan, pemahaman peserta terhadap materi yang diberikan meningkat sebesar 18,67 %. Pemahaman peserta sebelum dilakukannya tugas pokok dan fungsi tokoh adat sebesar 60,67, sedangkan setelah dilakukannya penyuluhan menunjukkan adanya meningkatan nilai menjadi 79,33. Hal ini menunjukkan bahwa pemahaman masyarakat tentang merevitalisasi strategi pengembangan desa wisata berbasis budaya menjadi meningkat. Selain itu, peserta juga terlihat antusiasme peserta mengajukan pertanyaan terkait dengan materi yang diberikan. 

Kata kunci: Desa Wisata, Budaya Lokal, Wisata Budaya.",HM,Sumbangsih: Jurnal Pengabdian kepada Masyarakat LPPM Unila,2020-12-09,
,"EMERGING VOLUNTEERISM FOR INDONESIAN MILLENNIAL GENERATION:
Volunteer Participation and Responsibility","Voluntary activities have been a part of Indonesian society since the pre-independence era until now. Volunteerism began implemented effectively in many countries after the Second World War, including in Indonesia. Currently voluntary activities have grown in the community social life, especially volunteer involvement in the festival event. This article explores the involvement of young volunteers in the Krakatau Festival. The data was collected from the volunteers who were involved in the festivals. An ethnographic approach implemented to reveal the engagement of the individual during the event conducted. This article identifies the festival as a medium for young volunteers to strengthen self-civic virtue in the life of the millennial generation participation in community. The result shows that young millennial generation’s activities cannot be separated from engagement with information technology, which can be used to strengthen social integration, active participation and responsibility.
Keywords: indonesian millennial; participation; responsibility; volunteerism; volunteer",HM,Journal of Human Behavior in the Social Environment,2019-01-29,indonesian millennial; participation; responsibility; volunteerism; volunteer
,"UNDERSTANDING THE RELATIONSHIP BETWEEN KINDNESS AND
GOTONG ROYONG FOR INDONESIAN CITIZENS IN DEVELOPING
BHINEKA TUNGGAL IKA","Many Indonesians see gotong royong as a characteristic of the Indonesian national identity and import ant to strengthen Bhinneka Tunggal Ika (Unity and Diversity). Looking at Indonesia's situation and condition today, we see three aspects: economic aspect, socio culturally aspect, and religious sphere. Gotong royong values are important to implement all th ree of these aspects.
Implementation of gotong royong enables sustainable development of Indonesian society by encouraging citizens and youth to take an active role in how their action can benefit their community. Responsible citizens are those that are in formed and understand about the social life environment especially in this globalisation era. Gotong royong is essentially about bri nging kindness,
tolerance, self awareness, showing humility, helpfulness, compassion, cooperation, caring in interpersonal relationship, respectful and taking responsibility. Knowing a value means understanding how to apply it in various situations. Developing moral self knowledge includes becoming aware of the strengths and weaknesses of ourselves as individuals and of our com munity.
Moreover knowing how to compensate weaknesses in order to be effective and efficient in gotong royong. Gotong royong is not only for a big scale but also for a small act. For example: if someone gets hurt you should help them. So when
you need hel p they will help you. Helping people will makes each person a good citizen, and it also makes us feel better when we help people. The most important thing is acting with gotong royong to create caring interpersonal relationships and community relationship for a peaceful world. If people have the moral qualities of intellect and emotion we have just examined, they are likely to do what they know and feel to be right and have a good impact on the environment. Schools must provide a moral environment that acc ents good values and keeps these in the forefront of everyone's consciousness. Citizens needs lots of opportunities to develop good habits, and plenty of practice at being good persons.",HM,The Proceeding of The Commemorative Academic Conference for the 60th Anniversary of the 1955 Asian-African Conference,2015-06,
,"Pendidikan Moral pada Aktivitas Kesukarelaan Warga
Negara Muda (Koherensi Sikap Kepedulian dan Kerjasama
Individu)","Pendidikan moral melalui kerja sukarela atau ‘volunteering’ sangat mendukung perkembangan
individu dan masyarakat khusus di dalam meningkatnya keterampilan sosial dan praktis,
pengetahuan dan pengalaman. Kegiatan kesukarelaan tidak hanya membentuk kebaikan bagi
masyarakat (common good) melainkan juga mengembangkan sikap kepedulian untuk
bertindak dan memiliki semangat yang kuat dalam bekerja sama untuk membuat lingkungan
masyarakat lebih baik dari aspek peran masyarakat dan tanggung jawab. Penelitian kualitatif
dengan pendekatan etnografis dilakukan selama acara budaya Festival Krakatau 2018 dengan
melibatkan 60 relawan. Observasi, wawancara, dan studi dokumentasi menjadi bagian
penting untuk pengumpulan data dan analisis data secara signifikan. Penelitian ini
menemukan bahwa pola aktivitas dan implementasi pekerjaan kesukarelaan yang dilakukan
dengan penuh tanggung jawab dapat memperkuat sikap kepedulian relawan dan selalu
membina pola kerjasama yang baik dengan sesama relawan dan unit kerja lain sebagai
tanggung jawab moral dan pendidikan moral yang sangat bermanfaat bagi diri relawan di
masa depan. Peneliti selanjutnya dapat melakukan penelitian mengenai persiapan
perencanaan kerja sukarela yang baik dan pola kerjasama yang efektif dan efesien.",HM,Journal of Moral and Civic Education,2019-06-29,
FKIP12,Pengaruh Literasi Digital Terhadap Etika Bermedia Sosial Peserta Didik,"Tujuan dari penelitian ini adalah untuk mengetahui dan melihat bagaimana Pengaruh Literasi Digital terhadap Etika Bermedia Sosial pada Peserta Didik. Metode penelitian yang digunakan dalam penelitian ini adalah metode deskriptif dengan pendekatan kuantitatif. Subjek penelitian ini yakni peserta didik di Madrasah Aliyah Negeri 1 Lampung Utara. Sampel dalam penelitian ini berjumlah 88 responden. Teknik pengumpulan data dalam penelitian ini menggunakan teknik angket dan wawancara. Teknik analisis data pada penelitian ini yakni menggunakan uji regresi sederhana dengan bantuan Statistical Product and Service Solutions versi 25. Hasil dari penelitian ini menunjukkan bahwa terdapat pengaruh antara Literasi Digital terhadap Etika Bermedia Sosial sebesar 42,1%. Hal ini terihat dari tertanamnya pilar literasi digital pada diri peserta didik yang akan membawanya pada kualitas diri yang baik, seperti dalam etika bermedia sosial. Penerapan etika diruang digital dapat dipengaruhi oleh masing-masing dari diri individu, sehingga adanya penguasaan soft skill literasi digital. Sementara itu, sisahnya sebesar 57,9% dipengaruhi faktor lain selain literasi digital.","H1, HM, HV, LC5201",Mindset: Jurnal Pemikiran Pendidikan dan Pembelajaran,2023-07-27,
,Pengembangan Modul Edukasi Kesehatan Reproduksi Remaja Berbasis Aplikasi Android di Indonesia,"Indonesia hingga saat ini masih menghadapi problem kesehatan reproduksi remaja krusial berupa tingkat pengetahuan yang rendah dan praktik kesehatan reproduksi beresiko. Kedua problem ini saling terkait dan berdampak luas. Berbagai upaya telah dilakukan untuk meningkatkan pengetahuan, sikap, dan perilaku positif kesehatan reproduksi remaja. Meskipun
demikian, masih terdapat banyak problem dan kendala, diantaranya adalah bahwa intervensiintervensi kesehatan reproduksi yang ada masih bersifat sporadis dan terbatas serta belum tersedianya kurikulum kesehatan reproduksi di sekolah. Tujuan umum penelitian ini adalah untuk meningkatkan aksesibilitas dan afordabilitas remaja terhadap pendidikan Kesehatan reproduksi. Sedangkan tujuan khusus penelitian ini adalah: 1) mengidentifikasi berbagai
karakteristik dinamika kelompok sebaya (peer group), keterpaparan media (media exposure), dan kebiasaan penggunaan gadget (gadget habitus) di kalangan remaja, 2) mengidentifikasi faktor-faktor yang menghambat aksesibilitas informasi dan layanan kesehatan reproduksi remaja, 3) mengetahui faktor-faktor yang mempengaruhi tingkat pengetahuan, sikap dan perilaku kesehatan reproduksi remaja, 4) mengetahui efektifitas, efisiensi, dan feasibilitas modul edukasi kesehatan reproduksi remaja berbasis aplikasi android sebagai modul yang diimplementasikan secara
nasional.","HM, QA75",,,
FISIP7,MEDIASI DALAM PENYELESAIAN SENGKETA TANAH PERKEBUNAN ANTARA PERUSAHAAN DENGAN MASYARAKAT SEKITAR,,"HM, HN",Praevia,,
