division,title,abstract,subjects,publication,date,keywords
FKIP12,"Character Building Since Early Childhood Through
Story Telling About Folklore","The Indonesian nation must be built by prioritizing character development because this character building
will make Indonesia a great, advanced, and glorious, dignified nation. Today the rapid progress and
sophistication of technology makes habits begin to be abandoned. Children now prefer to play gadgets and
play stations rather than traditional children's games, whereas traditional children's games are not just games
but also teaches about many lessons such as practicing patience, cooperation, responsibility, tolerance, and
caring among others. Therefore, it is necessary to plant good character traits early on in early childhood, with
the hope that good character can be well embedded early on. Character is not formed by learning in class, but
it requires habituation. Through storytelling it is hoped that children will recognize, understand and be able to
feel the values contained in the story, so good character values will be embedded in the child. The habit of
telling stories or storytelling about folklore needs to be done at school, especially at home, so that
communication between teachers, parents, and children can be established in instilling the children’s
character.
Keywords: Early childhood, character building, story telling, floklore","H1, HN, L1, Q1",Proceedings of the International Conference on Early Childhood Education and Parenting 2019 (ECEP 2019),2020,"Early childhood, character building, story telling, floklore"
FKIP12,"Global Citizen Preparation: Enhancing Early Childhood
Education through Indonesian Local Wisdom","In a globalized world, young people are
expected to have critical thinking and communication
abilities, such as collaboration and technological skills.
Both skills are imperative to equip them to participate in an
international environment. However, due to a lack of early
childhood education, youths in Indonesia also have less
innovativeness and competency. This study aims to
discover an ethical culture that enhances early childhood
education by using the concept of local wisdom. This
research was conducted in one of the Indigenous
communities in Indonesia which were the Sundanese
Community in Cireundeu, West Java. The qualitative
approach used the descriptive method and revealed the
consciousness of the Indigenous people in Cireundeu to
engage in traditional Sundanese cultural practices by
preparing their children to become ethical human beings,
as well as being productive and informed global citizens.
The results show that the community has implemented
decent early childhood education, which is designed to
prepare youths who actively engage as global citizens. The
implementation of this study can be applied not only to
children in Cireundeu but also to children all over the
world.
Keywords Early Childhood Education, Global
Citizens, Indonesian Local Wisdom, Globalization","H1, HN, HQ, L1, Q1",Universal Journal of Educational Research,,
FISIP7,Isu Perubahan Agraria dalam Lirik Lagu Populer Indonesia 1950-1980,"Indonesia is an agricultural country where the majority of the population lives from cultivating land, both in rather sophisticated and simple ways, and making a living from the produce of the earth. The picture can be said to be correct for, at least, until the last decade before entering the millennium era. If you look at Indonesia's macroeconomic statistics from 1961 to 2011, it will be seen a decrease in the presentation of the population working in the agricultural sector. Along with that, the number of people working in the industrial (manufacturing) sector is increasing. Significant improvement is most clearly seen in the service sector. So that in 2011 the number beat the population of Indonesia who worked in the agricultural sector. If the change in agrarian society is seen as a popular change for Indonesians - in the sense that the change is experienced by many people, occurs in a broad spatial scope and with a significant impact - the question is, how will the change in an agrarian society be captured and interpreted in the mind by artists and especially musicians who, I think, have a role as recorders of the age? To answer that question, the writer selected a number of popular Indonesian songs from the 1950s to the 1980s with poems containing pieces of agrarian change.","D880, GN, HN","Journal of Music, Technology, and Industry",2019-10-10,
,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,,"GN, H1, HN",,,
,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,,"GN, H1, HN",,,
,"Food Insecurity and Agribusiness Expansion in Papua, Indonesia: A Developmental Paradox",,"GN, H1, HN",,,
,KEMAMPUAN SISWA DALAM MANAJEMEN MITIGASI BENCANA SEBAGAI PENGEMBANGAN KOMPETENSI CIVIC SKILLWARGA NEGARA,"Kecakapan warga negara dalam penanggulangan bencana alam saat ini menjadi sangat penting untuk dikembangkan. Indonesia yang berada posisi strategis yang tidak hanya mendapatkan arus transformasi ilmu, teknologi dan informasi yang cepat, tetapi juga Indonesia berada pada ring of fire (cincin api) dengan adanya beberapa gunung berapi yang masih aktif. Bencana alam lainnya yang kerapkali terjadi di Indonesia antara lain gempa bumi, tsunami, tanah longsor, banjir, angin topan (puting beliung). Kerjasama pemerintah dengan sekolah mutlak dilakukan sebagai upaya untuk memperluas pengetahuan, pemahaman, dan cara penanggulan bencana alam kepada siswa yang akan disebarluaskan kepada teman-teman dan kepada pihak keluarga mereka sendiri. Melalui kemampuan dalam mitigasi bencana diharapkan dapat mengurangi dampak buruk terhadap korban bencana alam, dikarenakan warga negara akan mulai melakukan antisipasi terhadap bencana alam (natural disaster). Beberapa fase waktu yang perlu diperhatikan dalam penanggulan bencana alam adalah sebelum terjadi bencana alam, saat terjadi bencana alam, dan sesudah terjadi bencana alam, dan masa rehabilitasi dan rekonstruksi.",HN,PROSIDING SEMINAR NASIONAL PENGUATAN KOMITMEN AKADEMIK DALAM MEMPERKOKOH JATIDIRI PKn,2015-03-30,
FISIP1,"SDGs(Sustainable Development Goals) : Coastal
land management in overcoming poverty and
environmental sustainability","Perubahan perilaku dimasyarakat yang terjadi saat pandemi merupakan hal yang telah membuat pola hidup menjadi berbeda. Pesisir pantai yang banyak terdapat di Lampung menjadi pusat interaksi yang m=di ikuti oleh kegiatan lainnya. Dengan memakai konsep pendekatan SDGs penelitian ini mencoba tiga pengukuran yaitu ekonomi,produksi dan konsumsi, serta lingkungan.","H1, HN, SB",,2021-09-21,
FT9,"Identification of Condition and Strategy of Village Arrangement toward Urban Creative Village, Case Study : Kampung Negeri Olok Gading Kota BANDAR LAMPUNG","Abstract. Urban village as a historic village has a high physical, social and cultural values that needs to be preserved. Efforts to preserve the area is always constrained by changing aspects caused by the development, which is also a serious threat to the sustainability of the cultural and historical area. Kampung Negeri Olok Gading which has been designated as a cultural and historical village by the Government of Bandar Lampung City also experienced a similar thing, where the village is among the urban areas that are developing. The purpose of this study are: (1) to know the pattern and variety of activities within the village as a creative village embryo; (2) to know the physical condition, functional condition and environmental condition of Kampung Negeri Olok Gading; (3) to formulate the physical arrangement strategy in transforming Kampung Negeri Olok Gading become Urban Creative Village. This research uses descriptive analysis methodology through empirical study to existing condition. Through empirical tracking of the physical elements of the area, it is known that there are significant changes to the condition of the urban village such as: the changing of land use and building, the changing of the building and the environment. This is due to the increasing accessibility of the area due to the growth of the surrounding area. From the analysis of the pattern of the area, it can be seen that the Kampung Negeri Olok Gading area covers the village area located in Kelurahan Negeri Olok Gading and Kuripan Village on the south side. The main strategy that can be applied to transform Kampung into the creative village is the conservation of the area, which includes preservation of existing traditional buildings, followed by the rehabilitation of buildings and the environment (street, sidewalk, green space and green, street furniture) and adaptive- use to the old building so as to provide the attraction for the urban village area. This effort can also be continued with the strategy of structuring the river area Way Kuripan as an integrated part of the strategy of transforming the Kampung Negeri Olok Gading into Urban Creative Village.
Key Words: conservation, kampung, creative, traditional, Negeri Olok Gading","HN, NA",ICETsAS 2018,,
FISIP7,MEDIASI DALAM PENYELESAIAN SENGKETA TANAH PERKEBUNAN ANTARA PERUSAHAAN DENGAN MASYARAKAT SEKITAR,,"HM, HN",Praevia,,
