division,title,abstract,subjects,publication,date,keywords
FKIP12,"Global Citizen Preparation: Enhancing Early Childhood
Education through Indonesian Local Wisdom","In a globalized world, young people are
expected to have critical thinking and communication
abilities, such as collaboration and technological skills.
Both skills are imperative to equip them to participate in an
international environment. However, due to a lack of early
childhood education, youths in Indonesia also have less
innovativeness and competency. This study aims to
discover an ethical culture that enhances early childhood
education by using the concept of local wisdom. This
research was conducted in one of the Indigenous
communities in Indonesia which were the Sundanese
Community in Cireundeu, West Java. The qualitative
approach used the descriptive method and revealed the
consciousness of the Indigenous people in Cireundeu to
engage in traditional Sundanese cultural practices by
preparing their children to become ethical human beings,
as well as being productive and informed global citizens.
The results show that the community has implemented
decent early childhood education, which is designed to
prepare youths who actively engage as global citizens. The
implementation of this study can be applied not only to
children in Cireundeu but also to children all over the
world.
Keywords Early Childhood Education, Global
Citizens, Indonesian Local Wisdom, Globalization","H1, HN, HQ, L1, Q1",Universal Journal of Educational Research,,
FISIP1,"Peningkatan Literasi Keuangan melalui Perencanaan Dana 
Pendidikan Anak","Peningkatan Literasi Keuangan melalui Perencanaan Dana 
Pendidikan Anak","HG, HQ, L1",Jurnal Pengabdian Dharma Wacana,2022-06,
FKIP7,Values of Character Education in Nyirok Tradition of Negara Batin Customary Community and Its Implications in the Local Wisdom and Ethics Education Course,"Abstract: Values of Character Education in Nyirok Tradition of Negara Batin Customary Community and Its Implications in the Local Wisdom and Ethics Education Course. One of Begawi ceremonies in Lampung traditional community is marriage and nyirok tradition is part of the ceremony as the first step prior to the implementation of marriage contract. This tradition has values of character that can be applied in education. Aim: The aim of this paper is to document the ethical values that exist in cultural behaviour, in nyirok tradition in particular. Method: This study is descriptive in nature which was conducted through a qualitative approach. The data were collected through document analysis, audio-video recordings, and interviews. Findings: The study found five confessions revealed through the jewelry attachment ceremony in the form of ali, bracelets, eardrops, chains, jungsarat fabrics and seven-color ropes. At the time of the attachment in each stage it is followed by an oral tradition in the form of utterances called pisaan. Nyirok tradition has educational values. The educational values that are embodied in the procession of jewelry attachment in the tradition include expressions of love, acknowledgment of belonging, friendship, empathy, sincerity, and responsibility. Conclusions: This nyirok tradition can be used as knowledge for students in the development of both oral tradition and character values knowledge.

Keywords: character education, local wisdom, ethics education, customary community, nyirok.","HQ, LC5201",Jurnal Pendidikan Progresif,2020,"character education, local wisdom, ethics education, customary community, nyirok."
FISIP4,Kekerasan Simbolik Pada Fasilitas Ladies Parking,"Semangat kesetaraan gender menjadi perhatian masyarakat luas. Seperti kita ketahui, isu tentang perempuan menjadi isu yang sensitif di berbagai diskusi akademis. Salah satu perbincangan kesetaraan gender yang banyak di bahas adalah pembuatan ruang publik seperti fasilitas parkir khusus perempuan. Fasilitas parkir khusus perempuan, yang biasa dikenal dengan ladies parking ini, disediakan oleh para pengembang pusat perbelanjaan dan apartemen sebagai privilese perempuan untuk lebih mudah mendapatkan tempat parkir. Fasilitas ini ditandai dengan simbol perempuan warna merah jambu. Simbol ini diletakkan di tempat yang strategis dan dekat dengan pintu masuk. Fasilitas ini sungguh memudahkan dan membantu perempuan untuk memarkir mobilnya. Dalam jurnal ini pendekatan teori yang digunakan adalah teori kekerasan simbolik  dari Pierre Bourdieu, yang berfokus pada persembunyian kekerasan simbolik melalui fasilitas ladies parking. Kekerasan simbolik sendiri dapat diartikan kekerasan yang tidak dirasakan oleh objek penderita, dalam hal ini perempuan. Hal ini berbanding terbalik terhadap semangat emansipasi dan empowerment perempuan dalam berkendara. Metode yang dilakukan dalam jurnal ini adalah dengan studi literatur. Metode pengumpulan data menggunakan buku teks, jurnal, artikel berita, dan opini. Dari hasil analisis menggunakan teori kekerasan simbolik yang dilakukan, bahwa fasilitas ladies parking merendahkan kemampuan perempuan berkendara mobil. Hal ini merupakan bentuk dominasi patriarki terhadap perempuan dalam berkendara. Konstruksi makna yang kebanyakan para pengamat isu kesetaraan gender memandang fasilitas ini tidak sesuai dengan semangat emansipasi dan empowerment terhadap perempuan. Perempuan dianggap tidak memiliki kecakapan mengemudi yang sama dengan para pria.",HQ,Al Huwiyah,2021-10-20,
FEB5,"Peningkatan Pendapatan Perempuan Perkumpulan Pemilik
Ternak  Sapi Potong Dusun Sumber Sari Desa
Hajimena Lampung  Selatan Melalui Kerajinan  Sulam  Usus","Pengabdian ini  bertujuan meningkatkan dan  mengembangkan pendapatan perempuan perkumpulan pemilik ternak sapi  potong melalui kerajinan  sulam usus yang  dilakukan saat luang  di  sela-sela kegiatan memelihara ternak.  Demikian  juga,   kegiatan  ini  akan   berefek langsung terhadap usaha sanggar kerajinan sulam usus karena akan  mendapatkan mitra baru dalam berproduksi.  Metode  yang   dilakukan dalam pengabdian  ini  meliputi  sosialisasi dan pelatihan pembuatan kerajinan tangan sulam usus. Dalam  sosialisasi akan  dijelaskan secara singkat tentang  cara  dan   tahapan  pembuatan  berbagai kerajinan  sulam  usus.  Pelatihan diberikan  kepada  para    perempuan  perkumpulan  pemilik ternak  sapi   potong  khususnya pembuatan tas dan  dompet sulam usus. Kegiatan akan  dilakukan di Dusun Sumber Sari  Desa Hajimena Lampung Selatan,  dengan  sasaran  khususnya  adalah  perempuan  perkumpulan pemilik ternak  sapi  potong dan  masyarakat umumnya. Hasil  akhir yang  diharapkan adalah melalui kerajinan sulam usus tersebut  dapat menjadi salah satu pendapatan tambahan atau bahkan menjadi pendapatan utama bagi  perempuan khususnya di  desa tersebut. Tentu saja kegiatan ini merupakan salah satu program pemerintah dalam meningkatkan pendapatan dan kesejahteraan masyarakat.",HQ,,2019-10,
FEB5,"Peningkatan Pendapatan Perempuan Perkumpulan Pemilik
Ternak  Sapi Potong Dusun Sumber Sari Desa 
Hajimena Lampung  Selatan Melalui Kerajinan  Sulam  Usus","Pengabdian ini  bertujuan meningkatkan dan  mengembangkan pendapatan perempuan perkumpulan pemilik ternak sapi  potong melalui kerajinan  sulam usus yang  dilakukan saat luang  di  sela-sela kegiatan memelihara ternak.  Demikian  juga,   kegiatan  ini  akan   berefek langsung terhadap usaha sanggar kerajinan sulam usus karena akan  mendapatkan mitra baru dalam berproduksi.  Metode  yang   dilakukan dalam pengabdian  ini  meliputi  sosialisasi dan pelatihan pembuatan kerajinan tangan sulam usus. Dalam  sosialisasi akan  dijelaskan secara singkat tentang  cara  dan   tahapan  pembuatan  berbagai kerajinan  sulam  usus.  Pelatihan diberikan  kepada  para    perempuan  perkumpulan  pemilik ternak  sapi   potong  khususnya pembuatan tas dan  dompet sulam usus. Kegiatan akan  dilakukan di Dusun Sumber Sari  Desa Hajimena Lampung Selatan,  dengan  sasaran  khususnya  adalah  perempuan  perkumpulan pemilik ternak  sapi  potong dan  masyarakat umumnya. Hasil  akhir yang  diharapkan adalah melalui kerajinan sulam usus tersebut  dapat menjadi salah satu pendapatan tambahan atau bahkan menjadi pendapatan utama bagi  perempuan khususnya di  desa tersebut. Tentu saja kegiatan ini merupakan salah satu program pemerintah dalam meningkatkan pendapatan dan kesejahteraan masyarakat.",HQ,,2019-10,
FISIP1,"Adjustment in the Workplace: The Impact
of WFH on Working Mothers in Indonesia","Work from Home (WFH) has formed a new work culture in Indonesia
since the Covid-19 pandemic. Positive and negative impacts are also felt during
WFH. Especially for working mothers who are faced with domestic affairs and
work in the same space and time. A study on 385 respondents of working mothers
in Indonesia showed the effect of WFH on Work-Life-Balance (WLB). Flexibility
at work time and place is the main factor that gets a positive assessment of working
mothers. However, cultural views on the main role of women in the household can
weaken the effectiveness of WFH implementation. The difficulty of dividing time
between family and work makes more than half of respondents disagree if WFH
continues to be implemented even though the pandemic is over. Further research
is needed to analyse other factors that influence WLB during WFH.","HF, HQ",,2023-05-02,
,Civil society (Women Organizations) on supporting Family Resilience in Lampung Province,"Local regulation (Perda) No 4/2018 about caring out the development of family resilience is issued in order to response to Law (UU) no 52/2009 about creating welfare family. Since collaborative governance model is supposed to be able to support the implementation of this Perda, so the involvement of many stakeholders which optimally coordinating each other on an ongoing basis and comprehensive is certainly needed. Eventually all stakeholders involve could build mutualism collaboration. The objectives of the research are to describe and analyze the role of civil society on caring out the development of family resilience in Lampung Province that at the end could recommend a model of collaborative governance which could accelerate the establish of family resilience as a foundation for welfare family. This research is a descriptive research which used interview and documentation study as a collecting data methods. The result of the research shows that civil society play important role in the implementation of Perda No 4/2018 since it helps local government become more democratic in society view by provide clear information about the purpose of the Perda. However some of those civil society organizations still lack of formal legitimacy that result on lack of political will to contribute more effective in more legitimate governance. Keywords : civil society, Family Resilience, Lampung Province",HQ,,,
,Civil society (Women Organizations) on supporting Family Resilience in Lampung Province,"Local regulation (Perda) No 4/2018 about caring out the development of family resilience is issued in order to response to Law (UU) no 52/2009 about creating welfare family. Since collaborative governance model is supposed to be able to support the implementation of this Perda, so the involvement of many stakeholders which optimally coordinating each other on an ongoing basis and comprehensive is certainly needed. Eventually all stakeholders involve could build mutualism collaboration. The objectives of the research are to describe and analyze the role of civil society on caring out the development of family resilience in Lampung Province that at the end could recommend a model of collaborative governance which could accelerate the establish of family resilience as a foundation for welfare family. This research is a descriptive research which used interview and documentation study as a collecting data methods. 
The result of the research shows that civil society play important role in the implementation of Perda No 4/2018 since it helps local government become more democratic in society view by provide clear information about the purpose of the Perda. However some of those civil society organizations still lack of formal legitimacy that result on lack of political will to contribute more effective in more legitimate governance.

Keywords : civil society, Family Resilience, Lampung Province",HQ,,2020-12-21,
FP1,"Gender Inequality and the Oppression of Women within Minangkabau Matrilineal Society: A Case Study of the Management of Ulayat Forest Land in Nagari Bonjol, Dharmasraya District, West Sumatra Province, Indonesia","Gender inequality within the Melayu clan of a Minangkabau matrilineal community in Dharmasraya District, West Sumatra Province in Indonesia, leads to the clan’s women experiencing injustice when it comes to the management of communal forest land (ulayat). This inequality is most clearly shown in situations in which men sell communal forest land for their own personal interests. Moreover, the distribution of nucleus estate smallholder oil palm plantation (NESHP) plots disadvantages women. Although these plots are supposed to be distributed fairly among community members, the system used is controlled by the male communal ruler, who holds rights over the community as a whole. The practices used to manage ulayat forestland within the Melayu clan prove that women within the matrilineal system used by the Minangkabau group, of which the Melayu clan is a part, are not treated equally in terms of the management of natural resources. This inequality arises due to an imbalance that exists between men and women over the rights they have to manage the ulayat forest. The findings of this study challenge previous studies which have suggested that gender inequality is mainly an issue within patrilineal societies; the finding suggests that it also occurs within matrilineal systems such as within the Melayu clan in Bonjol village.

Key words: gender, injustice, deforestation, conflict, smallholder",HQ,Asian Women,2016-09-01,
