division,title,abstract,subjects,publication,date,keywords
FISIP7,Sang Pemburu dalam Jerat Kerja Upahan: Investigasi Moda Produksi dalam Proses Industrialisasi Sagu di Papua Barat,"Tulisan ini menganalisis bagaimana orang Kais, salah satu komunitas pemburu-peramu di wilayah hutan sagu alami Papua Barat, menghadapi dan melibatkan diri dalam proses industrialisasi pertanian. Pengorganisiran tenaga kerja orang Kais ke dalam proses produksi kapitalis dimungkinkan oleh eksistensi dominasi politik laki-laki terhadap akses dan penguasaan sumberdaya kolektif (klan), sehingga menempatkan mereka sebagai kelompok yang menentukan dalam merespons kepentingan industri atas kebutuhan bahan baku mentah (pohon sagu) serta tenaga kerja sebagai prasyarat bekerjanya operasi industrial. Meluasnya peran pasar sebagai sarana dalam memenuhi kebutuhan hidup telah membawa orang Kais ke dalam proses komodifikasi subsistensi yang pada gilirannya mendesak mereka untuk lebih intensif terlibat di dalam relasi kerja upahan pada aktivitas produksi kapitalis (komodifikasi tenaga kerja), terutama bagi golongan laki-laki muda, sekalipun secara de facto orang Kais tidak terlebih dahulu mengalami proses akumulasi primitif. Proses interaksi antar-dua moda produksi, yakni moda kapitalis dan moda produksi berlandaskan kekerabatan, serta konsekuensinya terhadap lingkungan dan ikatan-ikatan sosial penduduk setempat yang ditemukan, pada gilirannya meragukan pendekatan industrial dalam pelaksanaan pembangunan ekonomi di Papua; semenjak komunitas-komunitas pemburu-peramu yang sara diri ditransformasi menjadi tenaga kerja murah tanpa memiliki kendali dalam proses dan hasil dari pembangunan itu sendiri.","GN, H1, HT",Wacana: Jurnal Transformasi Sosial,2020,
FP1,"Ketersediaan sayuran, pengetahuan gizi dan pola makan pada rumah tangga petani.","Background:
The low quality of food consumption is one of them indicated by Desirable Dietary Pattern score (DDP) which is not yet ideal which is found in Tanggamus Regency with a value of DDP of 82.5, especially in some food groups, namely the animal food group, beans group, vegetable, and fruit groups. Some factors that influence food consumption are knowing about nutrition and food availability. Objective:This study aims to obtain an overview of food consumption patterns, especially the pattern of consumption of vegetable household farmers. Method:The study was conducted in Gisting Village, Upper Gisting Subdistrict, Tanggamus District as a vegetable production center. Data collection was carried out in July to October 2018. Food consumption data obtained by recall method of food consumption 1 x 24 hours for 2 consecutive days and recall of vegetable consumption for one week, while multiple linear regression is used to determine the factors that influence vegetable consumption. Resuls: The results of the study concluded that the number of types of vegetables available for consumption ranged from two to six types which were produced alone in the garden or yard with a length of time to be consumed for two to six months; The level of nutritional knowledge of housewives is mostly in the medium category; In general, the food consumption pattern of farmer households is not ideal with a score of 71.46; The most consumed types of food include: rice with frequency very often or every day; freshwater and sea fish and tempeh are the most consumed side dishes with frequency often enough or three to four times a week; cabbage, spinach, kale, cassava leaves, chili, white shallot tomatoes, and bananas are the most consumed types of vegetables and fruits, both in number and frequency. Conclusions: The food consumption pattern of household was not ideal. The number of types of vegetables available for consumption ranged from two to six types which were produced alone with a length of time to be consumed for two to six months.","AC, H1, HT, Q1, S1",Jurnal Gizi Klinik Indonesia,,
,Esensi Jiwa Volunteerism Warga Negara Muda Dieksplorasi dari Perspektif Keterlibatan Volunteer di Dalam Festival,"Konsep volunteerism atau voluntary activities mulai dikembangkan melalui program-program setelah Perang Dunia II termasuk di Indonesia. Voluntary activities di era Victoria berbeda dengan implementasi pada era modern saat ini. Peran volunteer sangat dibutuhkan di dalam event atau kegiatan yang ada di dalam masyarakat dalam kerangka gotong royong untuk memperkuat keharmonisan sosial. Melibatkan volunteer di dalam event festival menjadi aspek yang urgensi agar festival berjalan lancar dan memberikan ruang bagi kreatifitas, ide-ide, dan tempat untuk berinteraksi komunikasi bersama masyarakat luas. Penelitian ethnografi dilakukan untuk mengeksplorasi keterlibatan young volunteer di dalam Festival Krakatau XXVII, yang dilakukan dengan menggunakan observasi dan wawancara mendalam terhadap responden. Hasil penelitian menunjukkan bahwa warga negara muda (young volunteer) yang terlibat langsung dapat meningkatkan pengetahuan, keterampilan praktis dan mendapatkan manfaat yang bernilai positif bagi pengembangan pribadi dan masyarakat. Sikap yang dimiliki volunteer menjadi modal di dalam berinteraksi bersama masyarakat dan memperluas pengalaman serta mampu melibatkan diri pada kegiatan kesukarelaan yang dapat dipilih sesuai dengan minat volunteer. Volunteer tidak hanya sebagai “money saver” (Purdey, 2017) melainkan memberikan dampak secara positif melalui kerja-kerja sosial yang dilakukan tanpa mengharapkan imbalan atas apa yang telah dikerjakan. Bekerja dengan ikhlas dan bertanggung jawab sesuai dengan peran atau tugas yang diberikan, merupakan nilai jatidiri pribadi yang sangat mulia dari seorang volunteer.

Kata kunci: festival krakatau, kesukarelaan, volunteer, volunteerism, warga negara muda",HT,,2018-07-07,
FKIP12,Advantageous of volunteerism values for Indonesian community and neighbourhoods,"The skills and participation of citizens are urgently needed for progress and prosperity in the community. Volunteerism opens opportunities for each individual to participate and contribute based on the knowledge and experience he has had in previous voluntary activities. Qualitative research implemented on this research, and ethnography method to explore the cultural background and young people engagement. Young people participation in voluntary activity has a positive impact on building community solidarity that strengthens togetherness and kinship. Sympathy and empathy are strengths in increasing individual motivation in voluntary activities. Volunteerism creates space for interaction and communication between individuals involvement in social activities. Social capital that runs well will bring about social welfare, this can be started from the involvement of individuals called active citizenship. The implications from the research are: 1) community need some positive activity and opportunity to engage; 2) the more young people engage with the social activities the more they are trained and experienced.",HT,International Journal of Community Service Learning.,2019-05-27,
,WARGA NEGARA MUDA ERA MODERN PADA KONTEKS GLOBAL-NATIONAL: PERBANDINGAN DUA NEGARA JEPANG DAN INGGRIS,"Perkembangan dan peran serta warga negara muda di Jepang dan Inggris di dalam masyarakat telah mengalami perubahan secara signifikan dalam 30 tahun terakhir. Perkembangan yang lebih mengarah kepada perbaikan-perbaikan di berbagai bidang yang salah satunya adalah bagaimana meningkatkan peran serta para warga negara muda di kedua negara. Warga negara muda di Jepang dan Inggris melihat globalisasi dalam konteks perubahan sikap dan tanggung jawab individu secara signifikan untuk masa depan lebih baik. Kelompok warga negara muda merupakan potensi yang sangat penting untuk dikembangkan dan diarahkan, aspek pendidikan perlu menjadi perhatian khusus untuk membentuk warga negara muda menjadi warga muda yang berpotensi dan bermanfaat bagi negara. Disinilah pondasi yang sesungguhnya dibangun pada saat mereka berada dalam komunitas dan kehidupan masyarakat, karena disini kaum muda belajar secara spontan dan lebih natural. Warga negara muda muda harus mampu mengembangkan diri dan memiliki daya saing untuk mengikuti perkembangan globalisasi saat ini. Relasi-relasi sosial yang yang terbentuk dan menjadi bagian di aktivitas setiap individu telah mendorong warga muda di kedua negara yaitu Jepang dan Inggris memiliki rasa tanggung jawab sebagai warga negara.",HT,Jurnal Media Komunikasi Pendidikan Pancasila dan Kewarganegaraan,2019-05-05,
FKIP12,"Lampung Krakatau Festival: Tourism 
Development and Active Citizens 
Participation to Strengthen 
Community Civic Virtue","The tourism sector must be able to involve the community through space in order to gather, 
interact and communicate. Krakatau Festival as a medium that involves the participation of 
individuals and the community can support the development of tourism in Lampung Province.
The community engagement in the festival is responsible as citizens of the community including 
the government, stakeholders, people, communities to take part actively and create strong social 
interrelation and cohesion. Tourism development through the community as part of sapta pesona
is the main focus supported by a variety of cultural activities, destinations, and ultimately creates 
social cohesion as part of the civilization of citizenship. Qualitative research with ethnographic 
methods is implemented to get data and information comprehensively from various sources. The 
results of the study found that the context of the Krakatau Festival activities in real terms has the 
potential to increase tourism with historical values of Krakatau and can unite the community in a 
positive social interaction relationship and strengthen the active participation of local community
virtue.",HT,Indonesian Journal of Tourism and Leisure,2021-06-21,
,"Enhancing Social Cohesion where Festival as a
Media, is it Possible?","Festival is the gathering of society from many
places and different backgrounds as the form of citizen’s
commitment. The festival provides a place for people,
stakeholders, industry, artist, volunteer, and participants to
interact in a space which is dynamic and give beneficial. The
successfulness of festival can create a harmonious togetherness
for the visitor and community and establish the personal
satisfaction to be a good citizen. The purpose of this research is
to find out the citizens’ active participation, cooperation between
government and stakeholder, and connectivity between
individuals in creating successful festival and able to create a
social cohesion. This qualitative research with ethnography
method was done during the implementation of Krakatau
Festival XXVII. Result of the research showed that festival gave a
space for citizen’s participation, increase the knowledge, getting
social experience and increase personal skills to the environment
as a shape of citizenship’s civilization and strengthen social
cohesion.
Keywords— engagement; festival; Lampung Krakatau Festival;
participation; social cohesion",HT,,2018-11,
,Volunteerism Through Festivals for Civic Virtue,"Based on the experience of developed countries, festival activities can be used as a vehicle to cultivate the
volunteerism of young citizens to work in the midst of society. Helping and lighten the agenda of activities
within the community should be built from the connectivity between individuals. This study aims to find the
form of active citizen participation, increase knowledge, increase social experience, and personal skills to
public issues as a form of civilization citizenship in the event of Krakatau festival in Bandar Lampung,
Indonesia. Qualitative research with this ethnographic method found that volunteers are very helpful in
organizing the festival as a sense of caring and personal satisfaction. The results show that self-care in the
work, mobilizing fellow volunteers should be prioritized and learned to foster commitments that promote
honesty, fairness, and responsibility. But the true influence of individualist life is a challenge of changing
attitudes of individual behavior. Therefore, the extent of volunteer activities can be implemented maximally
in building self and society.
Keywords: Festival, Civic Virtue, Volunteerism, Citizens.",HT,,2018,"Festival, Civic Virtue, Volunteerism, Citizens."
FKIP12,"Energetic Young People: Kesadaran Tinggi Voluntary Action Warga Negara Muda Dengan Implementasi Kerja Efektif, Dinamis dan Harmonis","Aksi volunteer saat ini bermunculan dengan beragam aktivitas/kegiatan yang dapat dipilih sesuai minat dan diikuti oleh anak-anak muda. Dampak signifikan dari volunteering yang dilakukaan dapat meningkatkan pengetahuan, keterampilan, dan memperluas jaringan dengan individ atau komunitas lain yang bermanfaat di masa depan. Semangat yang kuat didukung oleh kesadaran tinggi anak-anak muda (volunteer) untuk berperan serta di berbagai aksi volunteering. Kesadaran diri yang tinggi tersebut diperkuat oleh rasa tanggung jawab yang ada pada dirri, motivasi diri, dan keinginan diri untuk mempu mengekspresikan diri melalui voluntary action dan berkreatifitas di dalam event yang diselenggarakan. Penelitian kualitatif etnografi ini diimplementasikan untuk mengetahui aktivitas yang dilakukan oleh para responden dengan melihat kelekatan budaya atau kebiasaan yang menjadi karakter responden, kemudian data dan informasi dikumpulkan untuk dilakukan analisis triangulasi dengan ditambah interpretasi peneliti untuk memperkuat hasil temuan dari penelitian. Hasil penelitian menunjukkan bahwa rasa tanggung jawab, motivassi, dan kreatifitas diri terlihat dari aktivitas yang dilakukan oleh volunteer sehingga event yang menjadi bagian tanggung jawab mereka dapat berjalan dengan baik. Implikasi penelitian ini adalah ingin membangun keterlibatan warga negara muda di dalam lingkungan masyarakat untuk berkontribusi secara positif untuk membangun kepribadian diri dan membangun masyarakat",HT,E Prosiding Seminar Nasional Virtual Pendidikan Kewarganegaraan 2020,2020-08,
,Pelatihan Pembuatan Flos-Insecta Embedding sebagai Cinderamata Masyarakat Sekitar Kebun Raya Liwa Kabupaten Lampung Barat,,"GV, HT, NK, Q1, SB",Tabikpun,,
