division,title,abstract,subjects,publication,date,keywords
FKIP12,Project Citizen Model for Effective Student Engagement and Democratic Citizenship in Civic Education Best Practices.,,"H1, HV, L1",,2014-05,
FKIP12,Pengaruh Literasi Digital Terhadap Etika Bermedia Sosial Peserta Didik,"Tujuan dari penelitian ini adalah untuk mengetahui dan melihat bagaimana Pengaruh Literasi Digital terhadap Etika Bermedia Sosial pada Peserta Didik. Metode penelitian yang digunakan dalam penelitian ini adalah metode deskriptif dengan pendekatan kuantitatif. Subjek penelitian ini yakni peserta didik di Madrasah Aliyah Negeri 1 Lampung Utara. Sampel dalam penelitian ini berjumlah 88 responden. Teknik pengumpulan data dalam penelitian ini menggunakan teknik angket dan wawancara. Teknik analisis data pada penelitian ini yakni menggunakan uji regresi sederhana dengan bantuan Statistical Product and Service Solutions versi 25. Hasil dari penelitian ini menunjukkan bahwa terdapat pengaruh antara Literasi Digital terhadap Etika Bermedia Sosial sebesar 42,1%. Hal ini terihat dari tertanamnya pilar literasi digital pada diri peserta didik yang akan membawanya pada kualitas diri yang baik, seperti dalam etika bermedia sosial. Penerapan etika diruang digital dapat dipengaruhi oleh masing-masing dari diri individu, sehingga adanya penguasaan soft skill literasi digital. Sementara itu, sisahnya sebesar 57,9% dipengaruhi faktor lain selain literasi digital.","H1, HM, HV, LC5201",Mindset: Jurnal Pemikiran Pendidikan dan Pembelajaran,2023-07-27,
FEB5,"PENINGKATAN KESEJAHTERAAN MASYARAKAT DAN IZIN
USAHA PENGELOLAAN HUTAN KEMASYARAKATAN
(IUPHKM) DI PEKON AIR NANINGAN, KABUPATEN
TANGGAMUS","Provision of IUPHKm by the Ministry of Environment and Forestry (KLHK) is to improve
the people’s economy. Social forestry which was once illegally managed by the people, has
now been legalized by the government through the KLHK. This study aims to find out how
the impact of the provision of IUPHKm on farmer welfare in Air Naningan Village,
Tanggamus Regency. The method used is an exploratory and descriptive method. The
analysis used is crosstabulation. The results of this study were that after farmers in Air
Naningan Village obtaining IUPHKm, their economy is increasesing as indicatet by : (1)
their income increased by an average of 142.73 percent; (2) they are able to buy 1 to 3 units
of motorcycles; (3) they have a permanent house.","H1, HC, HV",TECHNOBIZ : INTERNATIONAL JOURNAL OF BUSINESS,2019-04,
FISIP2,"IMPLEMENTASI PROGRAM JARING (JANGKAU, SINERGI, DAN GUIDELINE) DALAM MENINGKATKAN KESEJAHTERAAN MASYARAKAT NELAYAN DI PROVINSI LAMPUNG TAHUN 2016","Penelitian ini mencoba untuk menggambarkan bagaimana program bersih program di Lampung. Penelitian ini didukung oleh lingkungan alam yang tidak menentu, tingkat pendidikan nelayan rendah, pola hidup nelayan, pemasaran tertangkap. Penelitian ini menggunakan pendekatan model van Meter dan Van Horn yang terdiri dari Standard and Policy Goals, Resources, Relationship Among the Organization, Karakteristik Agen Pelaksana, Kondisi Sosial, Ekonomi dan Politik dan Disposisi Pelaksana. Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Teknik pengumpulan data yang digunakan adalah wawancara, observasi dan dokumentasi. Selanjutnya untuk melihat pemanfaatan peraturan tersebut, penelitian ini menggunakan teknik triangulasi. Hasilnya adalah bahwa program bersih sudah cukup efektif meski ada sedikit kendala dan masalah dalam praktik. Dengan menggunakan pendekatan van meter dan van horn, dapat dianalisis bahwa pelaksanaan program bersih telah berjalan sebagaimana mestinya, walaupun masih ada beberapa indikator yang tidak didasarkan pada situasi di lapangan.Dibutuhkan standar kebijakannya yang lebih jelas dan terperinci, perlu adanya peningkatan sumber daya manusia dan keuangan, perlu adanya perluasan, semestinya dilakukan komunikasi dan dialog antara pemangku kepentingan dan tokoh masyarakat nelayan atau masyarakat agar tidak memberatkan negatif tentang program bersih.",HV,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2017-01-01,
FISIP2,"INDEKS KEPUASAN MASYARAKAT PADA PELAYANAN JAMKESMAS DI RUMAH SAKIT
(Studi Pada Rumah Sakit Umum Abdoel Moeloek Bandar Lampung)","This study aims to identify and describe the Public Satisfaction Index on administrative 
services guarantee public health for hospital Abdul Moeloek patient in Lampung Province. Data
from the research community satisfaction index can be used as a material assessment of the
service elements that still need to be improved and the motivation of each unit of service
providers to improve the quality of his ministry.  
The method used in this study is a quantitative method, with a population that is a
health in patient hospital Abdul Moeloek Lampung Province who has treated more than twice.
The sampling technique in this study using simple random sampling technique with a total
sample of 96 respondents. Data analysis techniques in this study uses descriptive statistical
analysis, the data were performed using the Public Satisfaction Index value, which is
calculated using the weighted average value of each element of the service, and then moved
into a Cartesian diagram chart. 
The resultsof this study concluded that the value of Community Satisfaction Index on
public health insurance services in the hospital in patient general Abdul Moeloek Lampung
Province region obtained a value of 55.97 in the category of ""less good"". In a Cartesian
diagram there are elements that must be considered and be the top priority for repairs
performed at the hospital Abdul Moeloek Lampung Province is the procedure in the
management of security services and service locations. While other elements that need to be
maintained and enhanced in order to be able to service quality in accordance with the wishes
of the people. 

Keywords: Community Satisfaction, A HealthAdministrativeServices JAMKESMAS, Quality
Of Service","H1, HN, HV",Administratio : Jurnal Ilmiah Administrasi Publik dan Pembangunan,2014-07,"Community Satisfaction, A HealthAdministrativeServices JAMKESMAS, Quality
Of Service"
FP12,Meminimalkan Pencemaran Air Sungai Melalui Pengembangan Kelembagaan Pengelolaan Sampah Swakelola Di Kota Palembang,"Garbage is a problem that is often faced in densely populated settlements. It is happened due to the lack of garbage management capabilities compared to the quantity of the garbage. This situation is aggravated by community habits that throw the garbage on to the rivers. It causes pollution especially water pollution in the rivers. To reduce river water pollution, especially in the city of Palembang, a strategy is needed to minimize the level of pollution through the institutional aspects of self-managed household waste management. The strategy for developing waste management is based on consideration of internal factors and external factors. This program is started from goverment by lending funds and facilities to form a self-managed waste management institution, providing waste management training, community active participation on garbage levies and individual garbage banks, make regulations related disposing the garbage and implementing the community partitipation system.",HV,Prosiding Seminar Nasional Hari Air Dunia 2019,2019-03-21,
FISIP7,Menutup Celah Aksi Teror,"Artikel opini pada harian Lampung Post, Senin, 21 Oktober 2019 mengulas peristiwa aksi teror atau terorisme dari perspektif sosiologis dan kriminologis. Bahasan pada artikel opini tersebut mencakup strategi yang digunakan Indonesia dalam penanggulangan terorisme, faktor pemicu munculnya aksi teror, hingga peran masyarakat dalam penanggulangan aksi teror.","H1, HM, HV",Lampung Post,2019-10-21,
FISIP7,"Towards a New Village Development Paradigm in Lampung Province, Indonesia","The purpose of this paper is to systematically evaluate the implementation of the Village Law covering the input, process, output and outcome aspects, based on empirical study in Lampung province. In addition, it also determined the correlations among the input, process and output aspects and the changes in the Village Development Index after the implementation of the Village Law of 2014. This study is conducted in 4 regencies: Lampung Selatan, Pesawaran, Tanggamus and Lampung Tengah. The total sample was 40 villages. Data were collected using questionnaire and processed through SPSS Version 22. The product-moment correlation was used as the statistical test. Results indicated that, in general, Law No. 6 of 2014 on Villages was not yet fully implemented in accordance with the provisions of the law, either in the input, process, output and outcome aspects. Moreover, results also showed that only the participatory process variable was significantly related to development output. This paper argues that by looking at the relationships between Village Development Index (IPD) through three aspects of system approach: input, process and output and changes towards a new village development paradigm in Indonesia, there requires a long process to achieve it.

Keywords: Village Development Paradigm, Indonesia, Village Law, Village Development Index, Systematic, Policy Evaluation.","H1, HV","journal of legal, ethical and regulatory issues",2018-09,"Village Development Paradigm, Indonesia, Village Law, Village Development Index, Systematic, Policy Evaluation."
FISIP2,"Transformasi Manajemen Badan Usaha Milik Negara di Era Persaingan Global (Studi Pada PT. POSINdonesia, Kota Metro Tahun 2019)","TRansformasi manajemen adalah perubahan sifat, fungsi yang berfokus pada penggunaan sumber daya secara efektif dan efisien dalam mencapai tujuan organisasi. PErsaingan ketat secara global dan nasional terkhusus dalam bidang pengiriman logistik, membuat PT. POS Indonesia menciptakan transformasi agar dapat bersaing secara kompetitif dan meningkatkan pelayanan publik sebagai BUMN.",HV,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",2020-12-28,
FISIP2,"SOCIAL WELFARE POLICY AND SOCIO ECONOMIC DEVELOPMENT
IN INDONESIA","Artikel ini mengkaji kebijakan kesejahteraan sosial dan kontribusinya terhadap pembangunan sosio ekonomi di Indonesia. Penelitian ini menggunakan pendekatan kualitatif dengan teknik pengumpulan data menggunakan studi pustaka. Sebagai hasilnya, pemerintah Indonesia telah menerapkan beberapa strategi kebijakan kesejahteraan sosial untuk meningkatkan kesejahteraan warga, terutama masyarakat miskin. Strategi utama dibagi menjadi tiga bagian, yaitu bantuan sosial; Pemberdayaan masyarakat dan program usaha mikro. Implementasi program ini telah membuktikan bahwa program kesejahteraan sosial berkontribusi terhadap pembangunan sosial ekonomi di Indonesia. Namun, pemerintah Indonesia perlu memperbaiki keefektifan program. Hal lain yang perlu kita perhatikan adalah strategi kesejahteraan sosial bukan satu-satunya pendekatan untuk mengurangi kemiskinan. Pemerintah Indonesia perlu menggabungkannya dengan pendekatan lain dalam konteks pembangunan sosio-ekonomi. Kebijakan kesejahteraan sosial harus menjadi pendekatan terpadu dalam beberapa kebijakan kerja dan strategi makroekonomi untuk mengurangi risiko dan meningkatkan pertumbuhan yang berkelanjutan.",HV,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2017-01-01,
