division,title,abstract,subjects,publication,date,keywords
FISIP4,Javanese Cultural Socialization in Family and Ethnic Formation of JAvanese Adolescent Migran at Lampung Province,Hasil Penilaian Sejawat Sebidang Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional,J1,,2015,
FISIP4,Javanese Cultural Socialization in Family and Ethnic Formation of JAvanese Adolescent Migran at Lampung Province,"Javanese adolescent migrants interactions in family across generations at multicultural society in Lampung stimulates a
dynamic atmosphere for adolescent ethnic identity formation. Through socialization, the adolescent acquires Javanese cultural
information as a foundation to develop their ethnic identity. This research aims are to know, find and analyze the cultural
socialization aspects in family that support ethnic identity formation of Javanese adolescent migrants in Lampung. Throughout
qualitative research, this research showed that socialization and ethnic identity formation in family is based on six themes: (1)
family migration history; (2) adopted and referred family culture; (3) family identity development; (4) parenting style and
amount of time spend for interaction in family and parent’s type of job ; (5) language used within the family; and (6) situations
that support and obstruct of expression of ethnic identity",J1,Komunitas International Journal of Indonesia Society and Culture.,2015,
FISIP4,"PENGEMBANGAN IDENTITAS
REMAJA TRANSMIGRAN JAWA DI LAMPUNG
MELALUI PERTEMANAN ANTAR BUDAYA DI SEKOLAH","Pertemanan antarbudaya remaja di sekolah secara umum beperan untuk mendukung pengembangan identitas
diri, tetapi belum maksimal untuk mendukung pengembangan identitas etnik remaja. Penelitian ini dilakukan
untuk mengetahui dan menganalisa peranan pertemanan antarbudaya remaja dalam pengembangan identitas
diri dan identitas etnik. Melalui penelitian kualitatif diperoleh hasil bahwa (1) remaja memiliki dua konteks
relasi pertemanan antarbudaya dengan sepuluh tema interaksi yang berperan dalam pengembangan identitas
diri; (2) terkait pengembangan identitas etnik, remaja berada dalam tahapan unexamined identity, yang menempatkan identitas etnik bukan sebagi prioritas dalam pertemanan antarbudaya di sekolah.",J1,jurnal Kajian Komunikasi,2014-06,
FISIP4,Pengembangan Identitas Remaja Transmigran Jawa di Lampung Melalui Pertemanan Antar Budaya di Sekolah,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional,J1,,2014,
FISIP4,Strategy of Ethnic Identity Negotition of Javanese Migrants Adolescenet in Family Interaction,HAsil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional,J1,,2017,
FISIP3,"Caleg Mantan Terpidana diberi Tanda Khusus di Surat Suara (Lampung Post, 19 Sept 2018)",Komisi Pemilihan Umum (KPU) diminta untuk memberikan tanda khusus di kertas suara kepada calon anggota legislatif (caleg) mantan terpidana dalam pemilihan umum (pemilu) 19 April 2019 mendatang.,J1,Lampung Post,2018-09-19,
FISIP6,Menangkan Kotak Kosong,"Kehendak masyarakat

Kabupaten Tulang Bawang Barat, Lampung, pun hanya punya calon tunggal, Umar Ahmad-Fauzi Hasan. Parpol yang mengusung pasangan petahana itu mengklaim dukungan itu sesuai kehendak masyarakat. Tak hanya maju tanpa lawan, 10 parpol pemilik kursi di DPRD juga kompak mengusung pasangan tersebut.

Menurut dosen Fakultas Ilmu Sosial dan Ilmu Politik Universitas Lampung, Robi Cahyadi, pilkada dengan calon tunggal muncul karena parpol tak memiliki kader potensial yang siap dan layak.",J1,Kompas.com,2017-01-18,
FISIP3,Peer Review Jurnal Administratio,Penilaian rekan sejawat,J1,Reformasi Pelayanan Birokrasi,2013-12,
FISIP3,Peer Review Jurnal Wacana Politik (JWP) Fisip Unpad,Penilaian Rekan Sejawat,J1,KONFLIK INTERNAL PARTAI NASDEM DAN PEMILIHAN LEGISLATIF 2014,2016,
FISIP3,Perempuan di Pilpres 2014,"Pilkada di daerah-daerah dengan ciri khas masing-masing telah melahirkan pemimpin perempuan. Untuk level provinsi diwakili Ratu Atut Chosiyah yang menjabat gubernur Banten (2007—2012 dan 2012—2017). Untuk wali kota diwakili Suryatati A. Manan yang menjabat bupati Tanjungpinang (2008—2013).

Selain itu, ada sejumlah perempuan yang sedang dan pernah menjabat kepala daerah, di antaranya Bupati Karanganyar Rina Iriani, Bupati Banyuwangi Ratna Ani, Bupati Bolaang Mongondow Marlina Moha, Bupati Tuban Heni Relawaty, Bupati Nganjuk Siti Nurhayati, Bupati Majalengka Tuty Hayatip, Bupati Kebumen yang kini menjabat wakil gubernur Jawa Tengah Rustriningsih, dan Bupati Minahasa Tenggara Telly Tjanggulung.",J1,Media Online Gagasan Hukum,2012-05-31,
FISIP3,"Similirity : Tata Kelola Pemerintahan Daerah Otonom Baru pada Kabupaten Pesisir Barat, Provinsi Lampung",,J1,,2017,
FISIP2,"Reformasi Birokrasi di Periode Kedua:
Mendorong Agenda Reformasi Struktural dan Pola Pikir

Bureaucratic Reform in the Second Period:
Promoting Agenda for Structural Reform and Mindset","Abstrak
Artikel ini berupaya menganalisis proyeksi reformasi birokrasi di periode kedua kepemimpinan Jokowi, yang bertepatan dengan tahap terakhir grand design reformasi birokrasi untuk tahun 2020-2025. Momen ini merupakan kesempatan terakhir bagi Jokowi untuk menunjukan komitmennya atas tata kelola pemerintahan yang baik. Namun, ada hal yang tidak bisa dinafikan, pengalaman lima tahun terakhir kepemimpinan Jokowi masih meninggalkan banyak pekerjaan rumah yang perlu dibenahi. Kinerja birokrasi Indonesia masih sangat rendah. Desain penelitian dalam artikel ini menggunakan metode penelitian deskriptif dengan didukung pendekatan studi pustaka yang menelusuri data-data sekunder yang aktual sebagai bahan kajian. Hasil studi ini mengkaji dua aspek yang disinggung oleh Jokowi dalam pidato “Visi Indonesia”, yakni reformasi struktural dan reformasi pola pikir. Pembenahan struktural digunakan untuk menciptakan birokrasi yang cepat dan gesit dalam memberikan pelayanan publik. Serta reformasi pola pikir bisa dilakukan dengan mengadaptasi kapasitas pola pikir dalam dynamic governnace, yakni mendorong birokrat agar berpikir visioner (thinking ahead), thinking again, dan thinking across untuk membuka peluang melahirkan birokrasi yang produktif, inovatif dan juga kompetitif.

Kata Kunci: Birokrasi, Dynamic Governance, Reformasi Struktural, Pola Pikir",J1,Seminar Nasional Sefila III (Prosiding),,
FISIP4,Agar DPRD Tidak Anarki? Gunakan Kecerdasan! Analisis Kritis terhadap Keputusan DPRD Lampung No. 15 Tahun 2005,,J1,,2005,
FISIP4,Penilain Rekan Sejawat :Disfungsi Lembaga Politik dan Lemahnya Kapasitas Partai Politik,,"H1, J1",,,
FISIP4,Penilairan Rekan Sejawat : Membangun Kampanye Yang Setara,,"J1, JC",,2018,
FISIP4,Pinilaian Rekan Sejawat : Anarki dalam Gedung Dewan,,J1,,2005,
FH3,Cita Demokrasi Indonesia dalam Politik Hukum Pengawasan Dewan Perwakilan Rakyat terhadap Pemerintah (Indonesian Democratic Ideals in the Legal Politics Supervision of the House of Representatives of the Government),"Constitutional discourse can not be separated from the discussion on democracy building. The existence of the House of Representatives in Indonesia with its oversight function of government is one manifestation of democracy. With a historical approach juridical writings results of this study concluded that the statute law of political representative institutions is likely to continue to strengthen parliamentary oversight of government functions by providing additional instruments that can be used by the legislature as an institution and the individual members of the House to conduct oversight. The legal political tendencies are in accordance with the ideals of democracy in Indonesia who wanted representation of the people in the context of the embodiment of the people’s sovereignty in a representative body, but does not eliminate the critical power of the people to the ruler.
Keywords: Oversight Function, Board of Representative, Indonesia’s Democracy.","J1, K1",Jurnal Konstitusi,2015,"Oversight Function, Board of Representative, Indonesia’s Democracy."
FH3,Penegakan Hukum dan Keadilan: Perspektif Wewenang dan Tanggung Jawab Presiden terhadap Sistem Peradilan,"Wewenang dan Tanggung Jawab Presiden tidak berada dalam sistem peradilan melainkan di luarnya. Hal ini untuk menjamin kemerdekaan kekuasaan kehakiman dari pengaruh cabang kekuasaan lain. Diantara rekomendasi yang perlu ditindaklanjuti adalah pentingnya menegaskan kedudukan kejaksaan sebagai cabang kekuasaan negara yang melaksanakan kedaulatan penuntutan terbebas dari pengaruh Presiden sebagai pemegang kekuasaan eksekutif. Selain itu perlu ada koreksi atas mekanisme seleksi hakim Mahkamah Konstitusi dalam panitia seleksi yang dibentuk bersama oleh Mahkamah Agung, Presiden, dan DPR untuk lebih mendukung terpilihnya hakim yang independen.","J1, K1",Makalah FGD dengan Lembaga Pengkajian MPR RI,2019-08-26,
FISIP2,The Analysis of Recovery Implementation for Domestic Violence Victims,"In Indonesia, the most common forms of domestic violence experienced are physical, sexual, psychological and economic neglect. As a result, it can cause physical and psychological injuries. Therefore, it is important to pay attention to the victim's recovery in order to strengthen the victim to be more empowered, both physically and psychologically. This article aims to describe and analyze the recovery implementation for domestic violence victims in Indonesia using the literature review method. The recovery implementation of domestic violence victims is carried out by building communication between relevant stakeholders so that cooperation is established in providing services to victims of domestic violence in accordance with their respective duties and responsibilities. The participation of external parties such as NGOs or women's organizations can assist in providing protection and assistance so that victims can still benefit from the policy even though there are still limitations from the government. The benefits of counseling services can help victims to grow confidence in living life. Empowerment through training can provide provisions for a more independent life. Obstacles faced by the government include: limited budget for handling cases of violence, especially violence against women; the number of assistants and counselors in some areas is still lacking; many room of special service facilities are inadequate and the distribution of safe houses is not evenly distributed in each area.","H1, J1",,,
FISIP8,Menjaga Kedaulatan NKRI,,J1,Media Indonesia,2008-09-01,
FISIP6,"New Media, Incumbency and Malaysian Politics: The Defeat of the Barisan Nasional (BN) in GE14 (2018)","The Malaysian 14th General Election (GE14) has ended the political domination of Barisan Nasional (BN) of the last 61 years and resulted in a new discussion in Malaysian politics. The main purpose of this study is to explore the factors that caused BN to fail in the last election and to refine the incumbency theory posited by Hirano and Snyder Jr (2012) and Torcal (2014). We argue that various factors have contributed to the defeat of the BN government in the 14th GE, namely the 1MDB corruption scandal, the implementation of the progressive Good and Service Tax (GST), the rise of living costs, and the China-oriented foreign and economic policies, as well as the Mahathir factor. Our results also contribute to further developing incumbency theory. Instead of relying on traditional factor of incumbent defeat in election such as scandal and economic factors, the role of new media in spreading the news about the corruption scandal and the government’s economic underperformance have also contributed to a political shift in Malaysia.","J1, JA, JC, JQ","New Media, Incumbency and Malaysian Politics: The Defeat of the Barisan Nasional (BN) in GE14 (2018)",2023-01-22,
FISIP3,Penilaian Rekan Sejawat Penyuluhan Meningkatkan Pengetahuan Kepala Desa dan BPD Tentang Manajemen Pengelolaan dan Pengawasan Keuangan Desa di Kecamatan Natar Kabupaten Lampung Selatan.,"The training took place in July 10, 2012 at district hall Natar, South Lampung regency. Participant came from 22 villages in the district of Natar. Village heads were 18 people in total, with deputy 4 people in total (sekdes or staff). While BPD was attended by the chairman or member of the BPD. The result and conclusions of this training activities are: (a). counseling given was to increase the knowledge and attitude of the head of village head and member of BPD on financial management, this training is given to resolve the conflict management and financial control of the head of village by using a dialogue of deliberation mechanism; (b). the level of knowledge achieved of the head of village and BPD financial management were provided and revealed in Permendagri 31/2007; (c). the attitude of the village head and BPD to prioritize dialogue and deliberation in order to resolve the conflict management and financial control of the village approval rather than before the process of counseling.","H1, J1",,2013,
FISIP3,Penyuluhan Meningkatkan Pengetahuan Kepala Desa dan BPD Tentang Manajemen Pengelolaan dan Pengawasan Keuangan Desa di Kecamatan Natar Kabupaten Lampung Selatan,"The training took place in July 10, 2012 at district hall Natar, South Lampung regency. Participant came from 22 villages in the district of Natar. Village heads were 18 people in total, with deputy 4 people in total (sekdes or staff). While BPD was attended by the chairman or member of the BPD.

The result and conclusions of this training activities are: (a). counseling given was to increase the knowledge and attitude of the head of village head and member of BPD on financial management, this training is given to resolve the conflict management and financial control of the head of village by using a dialogue of deliberation mechanism; (b). the level of knowledge achieved of the head of village and BPD financial management were provided and revealed in Permendagri 31/2007; (c). the attitude of the village head and BPD to prioritize dialogue and deliberation in order to resolve the conflict management and financial control of the village approval rather than before the process of counseling","H1, J1",,2013-12,
FISIP3,Similarity Environmental Hazards- Collaboration and disaster: critical responses after tsunami events in Indonesia,,"G1, J1, JA",,,
FISIP3,"PENGAWASAN DPRD PADA BADAN PENGELOLAAN PAJAK
DAN DISTRIBUSI DAERAH KOTA BANDAR LAMPUNG","Abstract
DPRD has a monitoring function in the course of a program or regulation that have been set so that there
is no irrelevence. The monitoring function is carried out on the regulations and implementing activities.
DPRD as an external institution from the BPPRD has a monitoring function on the performance of the
BPPRD, especially in the sector of land and building tax revenues. This study aims to determine the
monitoring function of the DPRD in BPPRD in Bandar Lampung City. This study uses a qualitative
method with a descriptive approach. The informant determination technique in this study used purposive
sampling as many as seven people, namely three members of the Bandar Lampung City DPRD, two
BPPRD employees and two tax experts. The results of this study are: (1) The monitoring function of the
DPRD in the BPPRD using the type of input, output and behavior supervision (2) The DPRD
monitoring of the BPPRD is carried out indirectly (3) The DPRD monitoring function on BPPRD on
land and building tax through three processes namely set standard, evaluate and corrective actions. Based
on these results the DPRD has a weak monitoring function to the BPPRD because the monitoring carried
out both input, output and behavior was not fully implemented, the form of monitoring carried out by the
DPRD was indirect, in the DPRD monitoring process did not set the time for monitoring and corrective
actions were not on target.
Keywords: monitoring function, Regional People's Representative Assembly, lokal tax",J1,Jurnal Wacana Publik,2019-12,"monitoring function, Regional People's Representative Assembly, lokal tax"
FISIP3,"Similarity Check Result Jurnal "" KONFLIK INTERNAL PARTAI NASDEM DAN PEMILIHAN LEGISLATIF 2014""",Similarity Check,J1,Jurnal Wacana Politik Universitas Padjadjaran,2016,
FISIP4,Melestarikam Wilayah Resapan dengan Menerapkan Wanatni Kopi,"Booklet ini ini disusun atas dasar hasil riset yang dibiayai oleh Direktorat Jenderal Penguatan Riset dan Pengembangan, Kemenristekdikti Tahun 2004 sampai 2006 serta dilandasai oleh hasil-hasil riset para tahun pertama dan tahun ke dua.  Booklet ini terbukti handal untuk digunakan sebagai Media Komunikasi Penyuluhan di wilayah resapan pada masyarakat yang sangat rendah kemampuan literasinya  yaitu sekitar 88 kata per menit: bandingkang unbtuk mahasiswa paling rensh sekitar 300-400 kata per menit(Nurhaida dkk, 2007).  Dapat diperbanyak untuk mengakomodasi keterbatasan tenga penyuluh diperdesaan.","J1, L1, SD",,2005,
