division,title,abstract,subjects,publication,date,keywords
FISIP2,Effort of “Komisi Nasional Perempuan” in Struggling for P-KS Bill in Indonesia,"This study discusses “Women’s Protection Policy: Study About the effort of national commission of women in Struggling for the P-KS Bill in Indonesia.” This study aims to find out the efforts made by the National Commission of women in fighting for the P-KS Bill. This research is motivated by the number of cases of women in Indonesia every year, but no protection policy addresses this problem. This study uses qualitative research methods with a descriptive approach and literacy studies and interview results. The theoretical basis used in this research is the theory of women’s protection policy and political representation. The results of this study indicate the urgency of the P-KS Bill, National Commission of women has made efforts to fight for the ratification of the P-KS Bill, among others, through efforts to formulate academic texts and bills, approaches through political communication, National Commission of women complaint service, and campaigns for the elimination of violence against women. Efforts have been made, but factors hinder the National Commission of women in fighting for the P-KS Bill, including the lack of women’s political representation in parliament and the current state’s main priority is infrastructure and the economy. The conclusion is that the P-KS Bill has not received more attention from the government, and the political representation of women in parliament is still being intervened by the party that carries it.",JA,,2021-12-07,
FISIP6,THE PROBLEMS OF VOTE LOGISTICS AT THE 2019 SIMULTANEOUS ELECTIONS IN PRINGSEWU REGENCY,"Experience in the implementation of the Legislative Election and the Presidential/Vice-Presidential Election which were held simultaneously in 2019 raised various problems. One of the problems that arise was the problem of handling election logistics. The procurement of logistics equipment for general elections, especially ballots, was ideally carried out based on the principles of the right number, right type, right target, right time, right quality and efficiency. This paper aims to find out the problems of managing the logistics of ballots in the 2019 simultaneous elections that occurred in Pringsewu Regency and provide improvement efforts in the management of simultaneous election logistics. This study uses a qualitative descriptive analysis method by conducting a literature study and analyzing secondary data obtained regarding ballot logistics problems in the 2019 Simultaneous Election in Pringsewu Regency. The results of this study can be concluded that (1) the technical handling of ballot logistics in the 2019 simultaneous elections in Pringsewu Regency was more complicated than the staged elections. In practice, the logistics of ballots became more numerous and complex, resulting in several major problems. The main problems were delays in sending ballots, lack of ballots, damaged/ defective ballots being swapped between Electoral Districts. Furthermore, (2) the main problem of ballot logistics that occurred in the 2019 simultaneous elections in Pringsewu Regency could also be said to have also occurred in the previous 3 (three) elections, 2004, 2009 and 2014 which were a non-simultaneous electoral system or an electoral system that separated the implementation of the Legislative Election from the Presidential Election.","JA, JF, JQ",MIMBAR Jurnal Penelitian Sosial dan Politik,2021-12,
FISIP3,"Efektifitas Kampanye; Memahami Metode, Dana,
Larangan dan Sanksi",,JA,,2022-01-01,
FISIP3,Government Strategies in Handling the Impact of the Spread of the Covid-19 Outbreak in Bandar Lampung,"Bandar Lampung City recorded 9,674 cases. This makes Bandar Lampung City the highest positive case area in Lampung Province. Of course this is a special note for the government to respond to preventive actions. In Bandar Lampung Mayor Regulation (PERWALI) Number 18 of 2020, guidelines for preventing COVID-19 through health protocols, administrative sanctions, and police coercion are imposed. During the pandemic, government institutions, one of which was the Mayor of Bandar Lampung, became the main focus in Lampung Province because the real conditions in the field were still crowded, so prevention and following government policies were not optimal. This research uses a descriptive qualitative method with data collection using a literature study. The results of this study develop education and establish policies to prevent the spread of COVID-19. The policies that Bandar Lampung has taken are 1) establishing COVID-19 as a pandemic or a national epidemic, 2) campaigning for health protocols by implementing 3M (wash hands, wearing masks, and maintaining distance), 3) policies are carried out in stages starting from PSBB, to PPKM level,
4) social assistance and national economic recovery, 5) adaptation to new normal.","G1, JA, JK",Government Strategies in Handling the Impact of the Spread of the Covid-19 Outbreak in Bandar Lampung,2022-01-30,
FISIP6,Bahaya Nalar Permisif dalam Pemilu,"Kondisi masyarakat dalam pelaksanaan hajat demokrasi yang secara prosedural terhilirkan dengan pelaksanaan pemilihan umum, baik pemilu presiden, legislatif, maupun pilkada cukup menggelisahkan. Dilihat dari partisipasi pemilih misalnya, hasilnya memang beragam dalam setiap pelaksanaan pemilu. Namun, dapat dibuat sebuah generalisasi bahwa partisipasi pemilih semakin menurun sejak era pemilu langsung pertama dilaksanakan tahun 2004 lalu. 

Selain itu sikap apatis dan permisif semakin menjadi-jadi di era pemilihan langsung. Khusus dalam pemilihan legislatif dan pemilihan kepala daerah, calon-calon yang terpilih banyak yang tidak berkualitas bila dilihat dari rekam jejak mereka dahulu. Banyak anggota DPR, DPRD maupun Walikota dan Bupati yang memiliki cacat atau noda politik, seperti mantan narapidana, tersangka, terdakwa korupsi, dan berbagai cacat moral lainnya.",JA,detik.com,2017-04-04,
FISIP6,"Bandar Lampung ""KOTAKU"" 2020 ?","Bulan Agustus 2016 lalu, penulis diundang dalam kapasitas sebagai akademisi dan pengamat, dalam launching dan sosialisasi program, serta terlibat dalam Focus Group Discussion (FGD) Program Kota Tanpa Kumuh (KOTAKU) yang dilakukan oleh Kementrian PUPR yang bekerjasama dengan Bappeda Kota Bandar Lampung. Program ini sebenarnya adalah program yang sudah dilakukan sejak era Presiden sebelumnya, yakni tahun 1999 dinamakan dengan Program Penanggulangan Kemiskinan di Perkotaan (P2KP), lalu tahun 2007 dinamakan Program Nasional Pemberdayaan Masyarakat Mandiri Perkotaan (PNPM MPk).",JA,Setia Lampung,2016-09-08,
FISIP3,Elit dan Pilgub Lampung,"Elite adalah sekumpulan orang yang terpandang dari struktur sosial dan menguasai serta mendominasi massa tertentu dalam aspek atau bidang khusus dalam sebuah sistem. Kondisi yang menyebabkan seseorang atau sekelompok orang mampu mendominasi massa, dibagi oleh beberapa tipe. Tipe pertama, dominasi tradisional, yang didapat berdasar tradisi yang berlaku dalam masyarakat. Kepatuhan yang didasarkan bukan pada kepatuhan hukum formal, tetapi pada konvensi yang terbentuk menurut tradisi yang berlaku.

Dalam dominasi tradisional terdapat massa dengan kepercayaan yang mapan terhadap kesucian tradisi. Hal ini memunculkan massa yang mengakui keunggulan individu tertentu berdasar keyakinan bahwa individu tersebut secara tradisi memang memiliki keunggulan. Ia terpilih bukan karena kharisma atau kemampuannya, melainkan karena kesepakatan bersama yang sudah mentradisi.",JA,"Gagasan Hukum, Media Online",2012-08-09,
FISIP3,Etika Politik dan Pemerintahan,"Buku ini merupakan kumpulan dari bahan ajar untuk mata kuliah yang sama dan digunakan sebagai materi pada perkuliahan strata 1 (sarjana) pada jurusan Ilmu Pemerintahan FISIP Unila dan juga Strata 2 (Pasca Sarjana) pada Magister Ilmu Pemerintahan FISIP Unila perkuliahan Etika Politik Elektoral.

Buku ini mengkaji masalah politik dan pemerintahan dari kacamata Etika dan Moralitas baik secara umum, maupun dalam konsep relasi individu dengan negara",JA,,2021-06-20,
FISIP3,Etnis Dalam Pilkada,"Etnis dalam Pilkada
 
ISU etnis sebagai komoditas politik masih kerap terjadi. Pemilihan isu yang diusung semakin canggih dengan tidak diarahkan ke masyarakat kota yang notabene bersifat heterogen. Disebabkan pembauran dan pencampuran beragam etnis yang ada akan mengaburkan isu yang diusung dengan sendirinya. Tetapi, sebagian masyarakat kita masih hidup di wilayah pedesaaan yang lebih bersifat homogen dan sangat peka dengan isu-isu mengenai identitas sosial mereka. 
Politisasi etnis kembali mencuat tatkala mendekati pemilihan, baik tingkat pusat maupun daerah, contoh etnis Tionghoa di Indonesia, melalui kekuatan finansial dan ekonomi, keberadaan mereka sangat penting. Minoritas dalam jumlah ditutupi oleh mayoritas dalam penguasaan aset ekonomi.",JA,Lampung Post,2017-01-17,
FISIP3,HAKI : Ekologi Politik dan Pemerintahan,,JA,,,
