division,title,abstract,subjects,publication,date,keywords
FISIP3,Demokrasi Perbandingan Demokrasi ala Cak Nur dan Konsep Barat.,"Demokrasi adalah sebuah konsep yang abstrak dalam konteks ide, Namun demikian ide demokrasi itu sendiri secara umum berasal dari nilai-nilai barat, contohnya seperti adanya tiga arti penting demokrasi : persamaan, keadilan dan kebebasan. Konsep tersebut berasal dari ide bahwa revolusi kebebasan di Prancis pada awal abad ke- 18.Nurcholish Madjid atau Cak Nur memiliki ide murni terkait dengan demokrasi.",JC,Jurnal Analisis Sosial Politik,2017-07-01,
FISIP3,Global Governance: Perspektif Liberalisme,"The emergence of global governance as the needs of ""legitimacy"" of the norms in force in the world at
that time. Term of the legitimacy is the product of the politics that provide justification. Global
governance is seen more as a political product rather than as a concept is useful as a source of
legitimacy. Governance issues reduced a political as a concept, mechanism and process of
reorganizing the world to be more open to the market.
Keywords: Global governance, legitimacy, a product of politics, liberalism",JC,JOD Fisip Unbara,2011-12-30,"Global governance, legitimacy, a product of politics, liberalism"
FISIP3,Peer Review Jurnal Nasional TerAkreditasi JSP UGM; Piil Pesenggiri (2017),Peer Review : Penilaian Rekan Sejawat,"JA, JC","Piil Pesenggiri, A Concept of Political Power In Lampung Culture",,
FISIP3,Peer Review Jurnal Nasional Terakreditasi MIMBAR Unisba 2017,Peer Review ; Penilaian rekan sejawat,JC,Vote BUying In Lampung Local Election,2017-12,
FISIP3,"Piil Pesenggiri, A Concept of Political Power in Lampung Culture","Power is the main focus of political science, so far the concept of power that exists in Indonesia
comes from the conception of western cultural thought, especially Europe, which influenced the
thinking of the thinkers of the era of Greece, Rome, and medieval Europe. After the reform and era
after 2000, Indonesian thinkers tried to offer the concept of power based on local wisdom based on
local culture. So that emerged local concepts of politics and power. This paper attempts to relate
the principles of the local culture of Lampung piil pesenggiri in the context of contemporary politics
today, especially in the election, including things mystical. The method used in this research/
writing by using qualitative methods with secondary data sources and literature study. The result
in the level of the concept piil pesenggiri be ideal, but the level is still questionable practice.",JC,JSP UGM,2017-11-10,
FISIP3,SIMILARITY CHECK RESULT BUKU POLITICAL ECONOMY,SIMILARITY INDEX,JC,,2019,
FISIP3,SURAT PENCATATAN CIPTAAN  'Buku Etika Politik dan Pemerintahan',"Buku Etika Politik dan Pemerintahan

EC00202213585",JC,,2022-02-24,
FISIP6,Utak Atik Pasangan Calon Pilgub lampung 2018,"Tulisan ini mengulas tentang peta politik menjelang pilgub Lampung 2018, siapa saja calon yang akan muncul, peluang mendapatkan perahu partai politik, peluang pasangan wakil gubernur dan relasi dengan pemilih.",JC,duajurai.co,2017-05-04,
FISIP3,Networking Institutionalism by the Lampung Parliamentary Women's Caucus in Optimizing Gender Policy,"Abstract: The representation of women in parliament is still far from the quota that has been determined in the policy, which is 30% so that the role of women in parliament is still not optimal in fighting for pro-gender equality. The method in this study uses a qualitative method with a descriptive approach, with a number of informants as many as 11 informants with details 2 from the Lampung Parliamentary Women's Caucus management, 6 from government officials in Lampung Province and 1 from public policy observers. The results obtained are that the Parliamentary Women's Caucus in Lampung synergizes with various government agencies in Lampung Province, namely the Office of Women's Empowerment and Child Protection, the General Elections Commission (KPU), collaboration is also carried out with the Damar Non-Governmental Organization, Mass Media and other community organizations that are pro- With gender equality, the goal is to manage the budget and implement work programs, namely optimizing policies that favor gender equality, but from the results of the research the Lampung Women's Parliamentary Caucus has not been able to carry out its role optimally, this is due to a lack of coordination and meetings between the Lampung Parliamentary Women's Caucus officials so that the policy that are in favor of gender also cannot be carried out optimally. 5 aspects of the theory of networking institutionalism, it is known that the organizational aspect is not optimal because there are still internal constraints, namely the lack of intensive coordination between the Lampung Parliamentary Women's Caucus administrators.

Keywords: Networking Institutionalism, Pro Gender Policy","H1, JC",Nakhoda: Jurnal Ilmu Pemerintahan,2021-12-28,"Networking Institutionalism, Pro Gender Policy"
FISIP3,SURAT PENCATATAN CIPTAAN 'Buku Ekologi Politik dan Pemerintahan',"Buku Ekologi Politik dan Pemerintahan

EC00202215691",JC,,2022-02-07,
FISIP6,POLITICAL PARTIES AND SWING VOTERS IN THE 2014 AND 2019 ELECTIONS IN INDONESIA,"The  failure  of  political  parties  and  the  mistakes  of  their  elites  have  made  swing  voters maintained  in  every  election.  Swing  voters  are  not  the  same  as abstainwho  do  not exercise  their  constitutional  rights.  Swing  voters  are  voters  who  change  their  choice  or change  their  support  for the  implementation  of  the  previous  election. This  research  uses descriptive qualitative research method. The results show that theswing voters are caused by  the  failure  of  political  parties  in  carrying  out  the  function  of  cadre  and  political education,  that  political parties are  not  a  tool  for the  struggle  of  society,  clarity  of  party programs and platforms, that pragmatic reasons are not rational, that the party's image is declining  in  the  eyes  of  voters  due  to  the  behavior  of  political  elites,  the  form  of  voter protest,  mass  mobilization,  situational  influences,  candidate  figures,  and  alternative candidates which are considered credible.","G1, JA, JC, JF",MIMBAR Jurnal Penelitian Sosial dan Politik,2022-12-28,
FISIP2,"Determinan Indeks Pembangunan Manusia Di Kabupaten Lampung Tengah, Provinsi Lampung, Indonesia","United Nations has been changed Millennium Development Goals (MDGs) into Sustainable Development Goals (SDGs). This change has been strengthening human development as one of SDGs pillar beside economic development, ecology development, and institutional development. One of the global instruments to explain human development is the Human Development Index (HDI). Today, one of academic debate surrounding the HDI is what is the determinant of HDI. Based on secondary data in Central Lampung District, Lampung Province, Indonesia, this paper attempt to examine the relationship between independent variables (RLS, HLS, AHH, and PKP) and IPM as the dependent variable. The result shows that RLS, HLS, AHH, and PKP have a positive relationship with IPM. However, each variable has a different effect on IPM. We find that RLS and HLS is the most significant contributor for the IPM. We discuss the theoretical and practical implication this finding in the context of Lampung Province and Central Lampung District.",JC,Jurnal Administrasi Negara Sawala,2019-06-30,
FISIP6,Pemikiran Politik Thomas Hobbes dalam Serial Drama Squid Game,"In 2021, South Korea will make the Squid Game drama series with the mystery horror genre. The research will look at the political thinking of Thomas Hobbes in this series with the aim of analyzing the form of natural consciousness, social contract in the form of the State which is broadcast through storylines, dialogues and descriptions of the situation in the Korean drama series Squid Game. This article is a literature study on the state of nature, social contract and the concept of the state from Thomas Hobbes' political thought through the drama series Squid Game produced from South Korea. His opinion of the state is scary, cruel, and obeyed like Leviathan to make the disorderly state of human nature controllable. Human nature is homo homini lupus or humans are wolves to each other. The social contract according to Thomas Hobbes is an agreement between the people and the state, but the state is not bound by the social contract. The state/king position is above the social contract, the state has absolute authority or is called the king, it cannot be wrong. This study concludes that in the Korean drama series Squad Game, there is a thought by Thomas Hobbes which states the importance of absolute state power to create perfection. Peace can be obtained by presenting fear to the individual through the State, conflict will be avoided, society will be subject to the law with fear that is continuously maintained by the State.",JC,"Journal of Education, Humaniora and Social Sciences (JEHSS)",2022-11,
