division,title,abstract,subjects,publication,date,keywords
FISIP6,THE PROBLEMS OF VOTE LOGISTICS AT THE 2019 SIMULTANEOUS ELECTIONS IN PRINGSEWU REGENCY,"Experience in the implementation of the Legislative Election and the Presidential/Vice-Presidential Election which were held simultaneously in 2019 raised various problems. One of the problems that arise was the problem of handling election logistics. The procurement of logistics equipment for general elections, especially ballots, was ideally carried out based on the principles of the right number, right type, right target, right time, right quality and efficiency. This paper aims to find out the problems of managing the logistics of ballots in the 2019 simultaneous elections that occurred in Pringsewu Regency and provide improvement efforts in the management of simultaneous election logistics. This study uses a qualitative descriptive analysis method by conducting a literature study and analyzing secondary data obtained regarding ballot logistics problems in the 2019 Simultaneous Election in Pringsewu Regency. The results of this study can be concluded that (1) the technical handling of ballot logistics in the 2019 simultaneous elections in Pringsewu Regency was more complicated than the staged elections. In practice, the logistics of ballots became more numerous and complex, resulting in several major problems. The main problems were delays in sending ballots, lack of ballots, damaged/ defective ballots being swapped between Electoral Districts. Furthermore, (2) the main problem of ballot logistics that occurred in the 2019 simultaneous elections in Pringsewu Regency could also be said to have also occurred in the previous 3 (three) elections, 2004, 2009 and 2014 which were a non-simultaneous electoral system or an electoral system that separated the implementation of the Legislative Election from the Presidential Election.","JA, JF, JQ",MIMBAR Jurnal Penelitian Sosial dan Politik,2021-12,
FISIP3,"Menunggu Pembuktian Diri BAWASLU (Kolom Pakar LamPost, 12 Maret 2018)",Ulasan dalam tulisan ini adalah bagaimana Bawaslu dapat berperan sebagai sebuah unit kerja penyelenggara pemilu khususnya fungsi pengawasan yang dapat bekerja kreatif dan inovatif tetapi tidak melanggar peraturan UU yang menjadi tali pengekangnya?,JF,Lampung Post,2018-03-12,
FISIP3,"Partisipsi Pemilih VS Administrasi Pemilu (Kolom Pakar LamPost,9 April 2018)",Permasalahan administrasi pemilih ini  menjadi ulasan dalam tulisan singkat ini; bagaimana masalah administrasi menjadi momok yang berulang dalam setiap momen pemilihan umum dan pemilihan kepala daerah ? Dampak apa yang di hasilkan dari masalah administrasi ini bagi partisipasi pemilih khususnya di Provinsi Lampung?,JF,Lampung Post,2018-04-09,
FISIP3,"Peer Review Jurnal Nasional Terakreditasi, MIMBAR Unisba 2018",Peer Review; Penilaian Rekan Sejawat,JF,THE PATTERN OF CLIENTELISM IN LAMPUNG LOCAL ELECTION,2018-12,
FISIP3,Tantangan Kualitas Pelayanan Publik Pada Pemerintah Daerah,"Undang-Undang No. 25 Tahun 2009 tentang pelayanan publik telah menjadi acuan awal bagi pemerintah, khususnya pemerintah daerah dalam menetapkan standar pelayanan bagi masyarakat pengguna jasa pelayanan pemerintah. Berdasarkan data Ombudsan RI , standar pelayanan membutuhkan waktu yang relatif lama dalam praktek pelaksanaannya. Tulisan ini mengurai tentang faktor penghambat pelayanan publik, tantangan yang dihadapi pemerintah daerah, masalah yang muncul seperti mal administrasi, sampai dengan perlunya sinergi layanan antar pemerintah daerah dengan Ombudsman RI guna percepatan kualitas layanan, hingga ide electronic government dengan menggunakan teknologi informasi yang terkoneksi dengan menyeluruh. Tulisan ini berbasiskan penelitian pustaka dengan analisa data-data sekunder, melalui beberapa penelitian yang ada pada pemerintah daerah di Indonesia.Hasilnya tantangan kualitas pelayanan publik di Indonesia terletak pada penyedia layanan (birokrasi) dan pengguna layanan (masyarakat), keduanya sama-sama bermasalah namun dengan porsi birokrasi dipihak yang lebih bermasalah dalam pelayanan publik.",JF,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2016-06,
FISIP2,Hasil Cek Similarity Artikel: Clientelism in Bandar Lampung’s Mayor Election 2015: A case study of Herman H. N. and M. Yusuf Kohar as candidate pair,"Clientelism is a renewal of the patronage concept, usually referred to as patron-client in some scientific literature. Research about patron-client in the context of domestic politics, specifically in regional elections, is rarely conducted. Previous studies have mostly examined national-level elections, namely president and legislative. Therefore, this research has tried to answer the question on how the clientelism process worked during the Mayor’s Election in Bandar Lampung in 2015, particularly for candidate pair of Herman HN and M. Yusuf Kohar. This research was conducted in Bandar Lampung city from September 2016 to January 2017 as a part of the authors’ dissertation. It employs qualitative method using in-depth interview method on respondents who are related to research objects. The informants consisted of political practitioners, members of campaign teams, and academicians. The findings showed that clientelism among voters occurred during mayor election in Bandar Lampung 2015. There is a mutualism symbiosis between the incumbent candidate (Herman HN) and the voters in Mayor Election of Bandar Lampung in 2015. The voters’ votes can be influenced using the imagery portrayed by the candidates, particularly Herman HN. They can also be influenced by distributive politics or by giving what the voters’ needs through infrastructure politics (such as the construction of roads and bridges), free education, free health care, and social/religion aids. The candidate pair who won the election had different campaign teams.",JF,"Masyarakat, Kebudayaan dan Politik",,
FISIP3,Strategi Sosial Pencegahan Politik Uang di Indonesia,"Abstrak
Politik uang dalampemilihan umum dan pemilihan lokal merupakan fenomena yang marak terjadi dalam demokrasi prosedural di Indonesia, terutama sejak pemilihanlangsung tahun 2004.  Pemilih  sudah  sangat  faham  dengan  istilah money  politicsdan  juga  tidak  sungkan untuk   menerima   pemberian   dalam   bentuk   uang   dan   barang.   Tulisan   ini   mencoba menawarkan  upaya  untuk  mencegah  praktik  politik  uang  dilhat  dari  sisi  sosiologis  dan psikologis  pemilih,  dengan  memberikan  pemahaman dari  sisi  kognitif  dan  afektif untuk menanamkan   dalam   benak   pemilih   bahwa   politik   uang   adalah   sebuah   kejahatan   dan pelanggaran   etika   serta   moral   yang   mendasar.    Pemilih dalam praktikpemilu   dapatdipengaruhi   pilihannya   jika   diberi   bantuan   barang   atau   pemberianuang.Relasi   atau hubungan  antara  kandidat  dan  pemilih  terjadi  dalam  hal  pembelian  suara,  penyediaan layanan  dan  aktivitas  pribadi,  penyediaan  barang,  pemberian proyek,  kecurangan  pemilu,penampilan  identitas  dan penggalangan  danapara  kandidat  calon  kepala  daerah.Modal sosial   pemilih   serta   kearifan   lokal   diseluruh   daerah   ditanah   air   diharapkan   dapat mereduksi praktik politik uang.
Kata kunci:Modal Sosial, Kearifan Lokal, Politik Uang",JF,Jurnal Antikorupsi INTEGRITAS KPK RI,2019-06-26,
FISIP3,Politik Uang dalam Pemilihan Kepala Daerah di Provinsi Lampung,"Politik uang dalam pemilihan, baik pemilihan umum maupun pemilihan kepala daerah merupakan fenomena yang terus terjadi dalam perpolitikan Indonesia khususnya sejak era pilkada langsung. Masyarakat lebih mengenal secara khusus istilah politik uang dan semakin sering terjadi khususnya dalam pemilhan umum tingkat daerah (pemilukada). Provinsi Lampung sudah melaksanakan pemilihan langsung secara serentak. Penelitian ini mencoba menjawab pertanyaan seberapa besar politik uang mempengaruhi perubahan keputusan pemilih dalam pilkada di Provinsi Lampung.",JF,,2017-08-22,
FISIP3,VOTE BUYING IN LAMPUNG LOCAL ELECTION,"Abstract
Vote buying in elections, both for general and local elections is a phenomenon in Indonesian
politics. Lampung Province has implemented direct elections simultaneously in December
2015 and February 2017. This study explains that vote buying can change voter choice
in three regional head elections in Lampung Province. This study was conducted with
the object of research residing in Way Kanan District on July 2014, Pringsewu District
in February 2016 and Bandar Lampung City in November 2015. This study used
a survey approach with stratified random sampling method. The survey conducted on
662 respondents in each county or district and city of object being studied. The results
show that voters believe the vote buying will happen in local elections.Voters change their
choice if they were given bribes of goods, gifts, money, or provision of a project. This
research study on how vote buying can change voting choice of voters.
Keywords: vote-buying, voting behavior, local election",JF,"MIMBAR, The Journal of Social  and Development",2017-12-13,"vote-buying, voting behavior, local election"
FISIP6,POLITICAL PARTIES AND SWING VOTERS IN THE 2014 AND 2019 ELECTIONS IN INDONESIA,"The  failure  of  political  parties  and  the  mistakes  of  their  elites  have  made  swing  voters maintained  in  every  election.  Swing  voters  are  not  the  same  as abstainwho  do  not exercise  their  constitutional  rights.  Swing  voters  are  voters  who  change  their  choice  or change  their  support  for the  implementation  of  the  previous  election. This  research  uses descriptive qualitative research method. The results show that theswing voters are caused by  the  failure  of  political  parties  in  carrying  out  the  function  of  cadre  and  political education,  that  political parties are  not  a  tool  for the  struggle  of  society,  clarity  of  party programs and platforms, that pragmatic reasons are not rational, that the party's image is declining  in  the  eyes  of  voters  due  to  the  behavior  of  political  elites,  the  form  of  voter protest,  mass  mobilization,  situational  influences,  candidate  figures,  and  alternative candidates which are considered credible.","G1, JA, JC, JF",MIMBAR Jurnal Penelitian Sosial dan Politik,2022-12-28,
