division,title,abstract,subjects,publication,date,keywords
FISIP6,THE PROBLEMS OF VOTE LOGISTICS AT THE 2019 SIMULTANEOUS ELECTIONS IN PRINGSEWU REGENCY,"Experience in the implementation of the Legislative Election and the Presidential/Vice-Presidential Election which were held simultaneously in 2019 raised various problems. One of the problems that arise was the problem of handling election logistics. The procurement of logistics equipment for general elections, especially ballots, was ideally carried out based on the principles of the right number, right type, right target, right time, right quality and efficiency. This paper aims to find out the problems of managing the logistics of ballots in the 2019 simultaneous elections that occurred in Pringsewu Regency and provide improvement efforts in the management of simultaneous election logistics. This study uses a qualitative descriptive analysis method by conducting a literature study and analyzing secondary data obtained regarding ballot logistics problems in the 2019 Simultaneous Election in Pringsewu Regency. The results of this study can be concluded that (1) the technical handling of ballot logistics in the 2019 simultaneous elections in Pringsewu Regency was more complicated than the staged elections. In practice, the logistics of ballots became more numerous and complex, resulting in several major problems. The main problems were delays in sending ballots, lack of ballots, damaged/ defective ballots being swapped between Electoral Districts. Furthermore, (2) the main problem of ballot logistics that occurred in the 2019 simultaneous elections in Pringsewu Regency could also be said to have also occurred in the previous 3 (three) elections, 2004, 2009 and 2014 which were a non-simultaneous electoral system or an electoral system that separated the implementation of the Legislative Election from the Presidential Election.","JA, JF, JQ",MIMBAR Jurnal Penelitian Sosial dan Politik,2021-12,
FISIP6,Disrupsi Politik: Peluang dan Tantangan Partai Politik Baru Jelang Pemilu 2024,"In 2024, there will be a grand election based on the decision of the Indonesian KPU No. 21 of 2022, there are six newcomer parties that have already pocketed a ratification decree from the Legal Entity and the Ministry of Law and Human Rights and are ready to develop a strategy to participate in the contestation. This article discusses the opportunities and challenges of the emergence of new parties faced in the era of disruption by utilizing information technology in facing the 2024 election competition. The writing method uses a literature review and data that will be obtained through literature studies, such as books, scientific journals, websites, and other things. Things that are relevant to the problem under study. The results and analysis in this paper indicate that the presence of a new party in the upcoming 2024 elections will be political years that are on the verge of vulnerability and division, while a powerful strategy to minimize divisions is to instill an internal party democracy system, so that internal conflicts between members in the party does not happen again. Another challenge is that disruption will hijack the role of political parties if political parties are reluctant to follow the flow of disruption. In the era of disruption, the emergence of political parties provides opportunities for mass mobilization during campaigns using social media which is considered more effective and has a broad and equitable reach. In addition, disruption can be used by political parties for party branding strategies. However, the bad impact of this disruption can lead to social media wars between political parties on various social media pages such as the spread of hoax news.",JQ,Nakhoda: Jurnal Ilmu Pemerintahan,2022-06-30,
FISIP6,The Future of Indonesian Patronage Democracy: Political Campaign Financing Reform,"This study aims to see the relationship between patterns of patronage, clientelism, money politics, and campaign financing within the framework of patronage democracy that occurs in Indonesia. This paper uses the literature review method, the use of this method is related to the practice of patronage democracy and campaign financing which limits researchers in data collection. Data collection is done by collecting various books, scientific articles or journals related to the problem and research objectives. The results of this paper describe the pattern of patronage causing the large campaign costs incurred by each party and the candidate it nominates. The amount of money spent on campaigns can lead to acts of corruption. The solution offered in this paper has two points. First, campaign funding is financed 100% by the state, meaning that no other source of funds is allowed to enter the party. Thus, parties and candidates do not need to look for other sources of funds, so as to avoid the political potential of the party's debt of gratitude to fund owners from outside the party. Second, utilizing social media by conducting campaigns through social media because social media provides an open space with available features. Campaigns using social media can also minimize the expenditure of funds disbursed by the candidates. Thus, efforts to carry out money politics or vote buying will be reduced.",JQ,PERSPEKTIF,2022-10,
FISIP6,HAK POLITIK DAN PARTISIPASI PEREMPUAN DALAM PARTAI KEADILAN SEJAHTERA,BUKU REFERENSI,JQ,,2017,
FISIP3,ETNISITAS DANB PERAN POLITIK PEREMPUAN ( Studi Komparasi Hambatan Sosio-Kultural Peran Politik Perempuan pada Komunitas Etnik Jawa dan Semedo),Laporan Penelitian,JQ,,2013,
FISIP6,Pelanggaran Administrasi Pemilu Penyelenggaraan Pemungutan Suara Ulang Pada Pemilu Serentak 2019 Di Kabupaten Bangka Tengah,"Penyebab terjadinya rekomendasi Pemungutan Suara Ulang (PSU) oleh Badan Pengawas Pemilu (Bawaslu) Kabupaten Bangka Tengah adalah pemilih yang tidak berhak mendapatkan suara diberikan kesempatan untuk menggunakan haknya. Hal ini ini terindikasi adanya pelanggaran administrasi pemilu dan kelalaian Kelompok Penyelenggara Pemungutan Suara (KPPS) dalam melaksanakan tugas dan kewajibannya. PSU terjadi di TPS 10 Desa Beluluk dan TPS 04 Desa Air Mesu Kecamatan Pangkalan Baru. Penelitian ini bertujuan untuk mengetahui pelanggaran administrasi pemilu dan kelalaian KPPS penyebab terjadinya rekomendasi dari Bawaslu. Dengan menggunakan metode penelitian kualitatif deskriptif melalui wawancara kepada penyelenggara pemilu, studi literatur dan dokumentasi. Hasil penelitian menunjukan pelanggaran administrasi karena KPPS kesulitan dalam membedakan jenis-jenis pemilih. Kelalaian KPPS merupakan suatu bentuk ketidak sengaja dalam bertugas disebabkan oleh ketidak pemahaman KPPS, beban kerja yang berat, desakan pemilih yang antusia,kurang koordinasi antara pengawas TPS dan KPPS dan KPPS merasa berpengalaman.","JA, JQ",JURNAL PEMERINTAHAN DAN POLITIK,2021-05-02,
FISIP3,Model Kaderisasi Partai Politik melalui Sayap Partai,"he purpose of this study was to determine the regeneration model carried out by the Gerindra Party, NasDem, PKS through the wing. This research uses qualitative research methods with the principle of regeneration issued by the Komisi Pemberantasan Korupsi (Corruption Eradication Commission). The result of this research is that Gerindra and NasDem parties have implemented an open, non-closed / discriminatory and tiered cadre pattern. Both parties in recruiting cadres have no certain limit, all have the same opportunity to receive training to become qualified cadres. PKS does not adhere to an open system and uses a closed / discriminatory principle, this party recruits candidate members who have religious values and uphold Islamic values but still carry out a tiered cadre model.","JF, JQ",Wacana Publik,2020-06-20,
FISIP6,BUDAYA POLITIK LAMPUNG,"ABSTRAK 

Budaya politik dapat diartikan sebagai suatu sistem nilai bersama dari masyarakat yang memiliki kesadaran untuk berpartisipasi dalam pengambilan keputusan kolektif dan penentuan kebijakan publik bagi seluruh masyarakat. Pada masa kini, berbagai daerah di Indonesia sedang berproses secara reformatif berupaya meninggalkan budaya politik otoriter peninggalan masa Orde Baru menuju budaya politik demokratis. Budaya politik Lampung dapat dikaji dalam perspektif idealis dan perspektif realis. Pespektif idealis menekankan pentingnya norma dan etika dalam budaya politik yang berlandaskan pada nilai-nilai kearifan lokal “Piil Pesenggiri”. Pinsip hidup “Piil Pesengiri” bagi masyaakat adat Lampung merupakan kehormatan diri, malu bersalah, dan perasaan harga diri. Sedangkan perspektif realis mendeskripsikan budaya politik Lampung dari fenomena politik-pemerintahan lokal. Dalam perspektif ini, budaya Lampung telah menjadi sumber kekuasaan untuk menguasai, mempengaruhi, dan mendominasi identitas, perilaku, penguasaan sumberdaya dan kebijakan di birokrasi pemerintahan. Dari sisi realitas sosial-politik, fenomena menguatnya budaya Lampung yang dipolitikkan adalah bentuk dari perlawanan politik terhadap keberadaan pemerintah pusat di era Orde Baru, yang melakukan penyeragaman dan menempatkan daerah sebagai subordinasi pemerintah pusat.",JQ,Lampung Post,2016-11-24,
FISIP3,"PETA KEKUATAN POLITIK PARTAI-PARTAI ISLAM: 
PERSAINGAN DAN KOALISI DALAM PEMILU DI LAMPUNG","ABSTRACT


Islamic parties had triumphed in the trajectory of politics in Indonesia, especially in the 1955 election. Entering the authoritarian New Order era, the Islamic party that begins a drastic decline from the 1971 election and subsequent elections (1977-1997). This study aims to explain the map strength, competition, and cooperation (coalition) of Islamist parties in the elections, presidential elections, and local elections in Lampung post-New Order. The results showed a tendency of Islamic parties do not have high competitiveness compared with nationalist parties in the Parliament election results of 1999 and 2004 elections. This weakness was not supported by the ability of legislative representatives as members of legislative quality. In terms of cohesiveness as a collective force, Islamic parties have not been able to be a balancing force and alternatives. Patterns coalition of Islamic parties in the 2004 presidential election and the 2005 local elections in Lampung is still varied and consideration is political interest, not similarities party ideology and vision. This phenomenon indicates the prominence of narrow pragmatism aspect to pursue short-term goals.

Keywords: Political Map, the Islamic Party, Competition, Coalition, Elections",JQ,Jurnal Islam & Demokrasi,2014-04,"Political Map, the Islamic Party, Competition, Coalition, Elections"
FISIP3,"POLITIK TRANSAKSIONAL DALAM GABUNGAN PARTI ISLAM
PADA PILIHAN RAYA KEPALA DAERAH (PILKADA)
DI LAMPUNG, INDONESIA","ABSTRACT

Islamic parties often suffer defeat in regional head elections (Pilkada) in Lampung, this is because the weakness of the basic building political coalition of Islamic parties in winnings candidate recruitment and district heads. This vulnerability affects the performance of cooperation and coordination in winnings coalition candidate regents and mayor in Lampung. This study aims to find out how transactional politics over the policy of Islamist parties in the local elections in Lampung. The research method is done by means of interviews to the leadership of these parties. The study focused on the Parti Keadilan Sejahtera (PKS) as the largest Islamic party in Lampung. The results showed that the mechanism of recruitment and candidate winnings regents and mayor by PKS and Islamic parties other still less consistent, because the ideology professed Islamic parties are strictly not practiced enough to do the district head of recruitment and relationship building between the parties one with the other party. However, the ideological basis of political practice in this election is the importance of power and the benefits of pragmatic politics.

Keywords: Transactional, political parties, recruitment, political coalition, election.",JQ,,2012-12-13,"Transactional, political parties, recruitment, political coalition, election."
