division,title,abstract,subjects,publication,date,keywords
FISIP2,Peningkatan Kapasitas Masyarakat Desa terhadap Pengelolaan Sampah Plastik di Desa Wisata Suak Kecamatan Sidomulyo Kabupaten Lampung Selatan,"ased  on  the  situation  analysis,  the  partners  identified problems  as  follows:  (1).  The  problem  of  plastic  waste  is  still  relatively  high,  so  plastic 
waste management activities are needed to reduce negative impacts, (2). The condition of the community's knowledge capacity as the manager of village tourism in managing plastic waste has not been well identified, (3). The role of village tourism management groups in managing  plastic  waste  is  not  yet  fully  optimal.  Training  and  outreach  are  solutions provided to the target group, in this case the village community group in Suak Village. In 
the  training,  knowledge  and  ways  to  identify  types  of  plastic  waste  are  provided,  select 
and  identify  potential  plastic  waste  into  various  processed  products.  In  practice,  several 
methods are used, namely:(1) lectures, and (2) questions and answers to further improve the training participants' understanding of the material presented. From the activities that have been carried out, the following conclusions are drawn: (1). In the aspect of training implementation achievement, it is  known  that  the  training  process  is  in a  good category where  the  target  number  of  training  participants  is  achieved,  the  training  objectives 
achieved, the material targets that have been planned and the participants' ability to master the  material  is  in  the good category,  (2).  In  terms  of  changes  in  the  knowledge  of  the imaginary group, it is known that there has been a change in the degree of an average of 
20.5%, where the three indicators used have also increased in the range of 15.4% to 23.1%",JS,JURNAL PENGABDIAN PADA MASYARAKAT,2021-08-09,
FH3,KEBIJAKAN PEMBERDAYAAN PEREMPUAN PEMERINTAH KOTA BANDAR LAMPUNG TAHUN 2009 (studi implementasi program terpadu peningkatan peran perempuan menuju keluarga sehat dan sejahtera),"kebijakan diartikan sebagai rangkaian konsep dan azas yang menjadi garis besar dan dasar rencana dalam pelaksanaan suatu pekerjaan kepemimpinan dan cara bertindak pemberdayaan perempuan adalah suatu usaha meningkatkan kemampuan untuk melakukan sesuatu atau kemampuan untuk bertindak.
Tujuan penelitian ini adalah untuk melihat bagaimana implementasi program terpadu Peningkatan Peran Perempuan menuju keluarga sehat dan sejahtera (P3KSS) pemerintah kota bandar lampung tahun 2009. Tipe penelitian menggunakan tipe penilitian kualitatif, naturalistic, deskriptif, yaitu menggambarkan atau melukiskan suatu keadaan berdasarkan fakta yang ada. sumber data adalah data primer data sekunder dengan Teknik pengumpulan data melalui teknik wawancara studi dokumentasi dan observasi.

kesimpulan: Hasil penelitian disimpulkan implementasi program P3KSS yang dilakukan dikelurahan garuntang dan talang kota bandar lampung memakai kebijakan hogwood dan lewis dengan melakukan beberapa proses kebijakan yaitu dengan adanya komunikasi dan koordinasi yang baik antara apparat kelurahan. Di bidang kesehatan dan keluarga berencana dilakukan dengan mengikutsertakan apparat kesehatan dan dokter puskesmas.Dari hasil penelitian terlihat adanya berbagai kemajuan dalam berbagai bidang baik Pendidikan, kesehatan dan pendapatan khususnya perempuan yang ada di kelurahan garuntang dan talang dalam rangka menuju keluarga yang sehat dan sejahtera


disarankan perlu adanya partisipasi masyarakat khususnya kaum perempuan untuk mendukung program p3kss sehingga program tersebut bias dilaksanakan sesuai peraturan perundang-undangan yang ada.",JS,laporan hasil penelitian DIPA UNIVERSITAS LAMPUNG TAHUN 2009,2009-07-29,
FH1,LEGAL PROTECTION OF THE ULAYAT RIGHTS BY LOCAL GOVERNMENT: POLICIES AND CONTEXT,"the constitution has mandated that the existence of customary law communities and tehir rights as long as they love still be recognized and respected. this was supported by various national and sectoral laws and regulations which also recognized and respected the customary rights of indigenous people, but in its implementation customary land conflicts continue to occur. From the legal aspect, this condition occurs because there is no legal umbrella to protect the existence of customary law communities at the regional level. this research was conducted to protecting of ulayat lands of customary communities with doctrinal legal research methods. the results of this study show that first, regional authority in protecting indigenous people is obtained from two legal regimes, the regional government legal regime in law no. 23 of 2014 concerning Regional Government and sectoral legal regimes in the fields of land, forestry and human rights. Second, the contextualization of legal protection of ulayat land rights for customary law communities by local governments can be done by estabilishing a Regional Regulation as a legal policy, so that local governments are advised to immediately form regulations that contain and protect customary land rights for customary law community.
keywords: contextualization, community, adat, ulayat, protection.",JS,The 2nd International conference on fundamental rights,2019-08-05,
FISIP6,Delapan Orang Tersangka Pembakaran,"Bandar Lampung,Kompas.

Aparat kepolisian resort Lampung Selatan menetapkan delapan tersangka kasus pembakaran rumah Sugito, Kepala Desa Trimulyo Kecamatan Tanjung Bintang Kabupaten Lampung Selatan. Pembakaran dipicu penolakan sekelompok warga atas terpilihnya Sugito sebagai kepala Desa untuk kali ketiga.

Pengamat politik dari Universitas Lampung, Robi Cahyadi mengatakan pemerintah perlu menelusuri akar permasalahan yang memicu kemarahan massa. Jangan sampai aksi perusakan kembali terulang pada pemilihan pemimpin di masa yang akan datang.",JS,Kompas,2017-06-22,
FISIP3,Inovasi Kualitas Pelayanan Publik Pemerintah Daerah,"Public service is a measure of the performance of the government's most visible. Communities can directly assess the government's performance based on the service they received. For the quality of public services in all ministries / institutions is a fundamental thing that must be improved. Improved public services, the Ministry of Administrative Reform and Bureaucratic Reform policy that since 2014 was a year of public service innovation. All government agencies, both at central and local levels is expected to make a creative idea or an answer to how to work / public service method. Ministry of Administrative Reform and Bureaucratic Reform collect and assess the innovations that have been made in a number of agencies across Indonesia. Hopefully the quality and innovation of public services BPS can always be increased, so that it can continue to compete fairly with other agencies.",JS,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,2016-07,
FISIP3,Masalah Demokrasi Pemilihan Gubernur Lampung 2018,"Helatan pemilihan gubernur Lampung dan juga pikada serentak jilid tiga pada bulan juni 2018 menghadapi permasalahan demokrasi yang akan melemahkan demokrasi seacra umum. Tulisan singkat ini menjelaskan tentang masalah demokrasi terutama mengenai pembelian suara, politik uang dan politik identitas",JS,Lampung Post,2018-01-13,
FISIP3,Media dan Pilkada,"TAHUN 2018 dianggap banyak pihak sebagai tahun politik, karena adanya perhelatan pemilihan gubernur dan pemilihan wali kota/bupati di seluruh Indonesia. Ajang ini menjadi lahan utama berita media. Korelasinya dengan pemilihan presiden dan legislatif tahun 2019 menjadikan momen pemilihan kepala daerah jilid tiga pada tahun 2018 menjadi krusial sebagai sebuah berita yang mempunyai nilai jual tinggi.",JS,Lampung Post,2018-01-30,
FISIP3,"Peer Review Jurnal Nasional Terakreditasi, MKP Universitas Airlangga, 2018",Peer Review ; Penilaian Rekan Sejawat,JS,"masyarakat, kebudayaan dan politik",2018-12,
FISIP3,Reformasi Pelayanan Birokrasi,"Service delivered by bureaucracy in Indonesia is still questionable up to the present.
Performance of bureaucracy is influenced by the nature and pathology that has existed
since the New Order regime. Excellent service still face much constraint as the result of
performance of the bureaucracy that still shows bad character like the New Order. Lack of
improvisation, lack of initiative and cultural factors are already famous become
constraints of service in general. In the future, bureaucracy is expetedly to be speed
organization, paperless, and has excellent service.",JS,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2013-12,
FISIP3,"Similarity Check Result Jurnal""Reformasi Pelayanan Birokrasi""",Similarity Index,JS,Jurnal Administrasi Publik,2013-12,
