division,title,abstract,subjects,publication,date,keywords
FISIP8,PENGUATAN LITERASI MEDIA BARU SEBAGAI UPAYA MITIGASI HUMAN TRAFFICKING,"Tujuan pengabdian di Desa Margototo yaitu memberikan penguatan pemahaman mengenai media baru dalam upaya mitigasi human trafficking. Kegiatan ini sangat diperlukan bagi desa karena mengingat begitu masifnya masyarakat desa yang bekerja di luar negeri sehingga membutuhkan perlindungan dan penguatan. Metode kegiatan berupa penyampaian materi dan diskusi literasi media, media sosial dan Cyber Crime, Human Traficking dan penguatan kelembagaan. Setelah pemaparan dilakukan tanya jawab. Peserta yang ikut dalam kegiatan berjumlah 20-25 orang dan terdiri dari Perangkat Desa, BPD, Dusun hingga masyarakat calon peserta migran keluar negeri.",JZ,jurnalnengahnyappur,2021-11,
FISIP8,"DIPLOMASI MARITIM INDONESIA DALAM MENANGANI MASALAH ILLEGAL, UNREPORTED AND UNREGULATED FISHING (IUUF) DI PERAIRAN PESISIR BARAT, LAMPUNG","ABSTRAK
Penelitian ini bertujuan untuk membuat formulasi diplomasi maritim yang inovatif dan modern agar dapat diterapkan oleh Indonesia untuk menangani masalah Illegal, Unreported And Unregulated Fishing (IUUF) di Perairan Pesisir Barat, Provinsi Lampung. Pembuatan model diplomasi maritim yang modern dan inovatif perlu dilakukan dengan mempertimbangkan cakupan isu yang luas serta melibatkan aktor diplomasi maritim yang beragam. Penelitian ini menggunakan pendekatan kualitatif. Hasil penelitian menunjukkan bahwa diplomasi maritim yang
dalam hal keterlibatan
wilayah perairan yang luas dengan potensi laut dan perikanan yang melimpah
Kata kunci: Diplomasi maritim, IUUF, keamanan maritim, perairan Pesisir Barat

ABSTRACT
This study aims to create an innovative and modern maritime diplomacy formulation so that it can be applied by Indonesia to deal with illegal, unreported and unregulated fishing (IUUF) problems in Pesisir Barat waters, Lampung province. Creating a modern and innovative maritime diplomacy model needs to be done by considering a broad range of issues and involving various maritime diplomacy actors. This research uses a qualitative approach. The results show that modern and innovative maritime diplomacy is diplomacy that is able to accommodate a wide range of issues and the involvement of various actors to develop strategies to achieve interests in Indonesian waters in general and coastal West coast in particular. In terms of coverage of issues, maritime diplomacy does not only emphasize issues related to maritime security, but also emphasizes issues related to economy and socio-culture. Meanwhile, in terms of the involvement of various actors, maritime diplomacy requires the involvement of non-state actors, such as the public, the private sector, the community, Non-Governmental Organizations (NGOs), and other related parties. Cooperation between state actors and non-state actors is needed to grow and develop the maritime sector. This is based on the view that protecting Indonesia's vast territorial waters with abundant marine and fisheries potential is not only the responsibility of the Ministry of Marine Affairs and Fisheries, but also the responsibility of all elements of the nation.
Keywords: maritime diplomacy, IUUF, maritime security, West Coast waters",JZ,Jurnal Sosiologi,2020-09-30,"maritime diplomacy, IUUF, maritime security, West Coast waters"
FISIP8,"RESPON ASEAN TERHADAP PERMASALAHAN ETNIS
ROHINGYA DI MYANMAR","Isu pelanggaran HAM terhadap etnis Rohingya tidak hanya berdampak di domestik negara Myanmar, namun berdampak hingga ke kawasan. Situasi dan kondisi ini menjadi tantangan bagi upaya ASEAN dan negara anggotanya untuk menjadi kawasan yang turut serta dalam promosi dan penegakan HAM. Penelitian ini bertujuan untuk menjelaskan bagaimana respon ASEAN terhadap isu pelanggaran HAM terhadap etnis Rohingya. Konsep HAM digunakan oleh peneliti untuk dapat memahami konteks permasalahan ini secara lebih mendalam. Penelitian ini menggunakan metode kualitatif deskriptif. Data dihimpun melalui kajian kepustakaan. Hasil penelitian menunjukkan bahwa ASEAN tidak banyak melakukan langkah tegas dan tidak dapat mengambil tindakan hukum yang mengikat dikarenakan beberapa norma netralitas di Asia Tenggara seperti non intervensi dan konsensus. ASEAN lebih memilih melakukan pendekatan soft way. Pendekatan soft way dalam bentuk tiptoe style of diplomacy yang dipilih ASEAN disebabkan oleh beberapa hal. Pertama, untuk membuat Myanmar merasa sebagai bagian dan teman ASEAN sehingga diharapkan lebih terbuka. Kedua, agar Tiongkok tidak mengambil Myanmar. Ketiga, untuk menjaga prinsip dalam TAC dan menghindari konflik antaranggota ASEAN. Peran ASEAN nyatanya memang sulit diharapkan sehingga membawa dampak pada sikap masing masing negara anggota ASEAN yang memiliki kebijakan berbeda dalam merespon isu pengungsi Rohingya.
Kata kunci: Respon, ASEAN, HAM, Rohingya",JZ,,2022-07,
FISIP8,RESPON ASEAN TERHADAP PERMASALAHAN ETNIS ROHINGYA DI MYANMAR,"Isu  pelanggaran  HAM  terhadap  etnis  Rohingya tidak  hanya  berdampak  di  domestik  negara Myanmar,  namun  berdampak  hingga  ke  kawasan.  Situasi  dan  kondisi  ini  menjadi  tantangan  bagi upaya ASEAN dan negara anggotanya untuk menjadi kawasan yang turut serta dalam promosi dan penegakan HAM. Penelitian ini bertujuan untuk menjelaskan bagaimana respon ASEAN terhadap isu pelanggaran HAM terhadap etnis Rohingya. Konsep HAM digunakan oleh peneliti untuk dapat memahami konteks permasalahan ini secara lebih mendalam. Penelitian ini menggunakan metode kualitatif  deskriptif.  Data  dihimpun  melalui  kajian  kepustakaan.  Hasil  penelitian  menunjukkan bahwa  ASEAN  tidak  banyak  melakukan  langkah  tegas  dan  tidak  dapat  mengambil  tindakan hukum  yang  mengikat  dikarenakan  beberapa  norma  netralitas  di  Asia  Tenggara  seperti non intervensi dan konsensus. ASEAN lebih memilih melakukan pendekatan soft way. Pendekatan soft way dalam  bentuk tiptoe  style  of  diplomacyyang  dipilih  ASEAN disebabkan  oleh  beberapa  hal. Pertama,   untuk   membuat   Myanmar   merasa   sebagai   bagian   dan   teman   ASEAN   sehingga diharapkan  lebih  terbuka.  Kedua, agarTiongkok  tidak  mengambil  Myanmar.  Ketiga,  untuk menjaga  prinsip  dalam  TAC  dan  menghindari  konflik  antaranggota  ASEAN.Peran  ASEAN nyatanya memang sulit diharapkan sehingga membawa dampak pada sikap masing masing negara anggota ASEAN yang memiliki kebijakan berbeda dalam merespon isu pengungsi Rohingya.
Kata kunci: Respon, ASEAN, HAM, Rohingya",JZ,STRATEGI PEMERINTAH KOTA BANDARLAMPUNG-INDONESIA TERKAIT PERUBAHAN IKLIMPADA 2015-2020,,
FISIP8,Distribution Patterns and Factors Affecting the Selection of the Destination Country of Indonesian Migrant Workers of Lampung,"Lampung Province is one of the provinces in Indonesia that sends many workers abroad. The efforts to send workers abroad are part of international migration which is motivated by unfavorable conditions in the area of origin and better conditions which are considered favorable in the destination country. This study aimed to produce a study of the distribution pattern and factors that influence the selection of destination countries for Indonesian Migrant workers from Lampung. This study used a qualitative approach. This approach is intended as an analytical understanding process based on an empirical paradigm to investigate how the distribution patterns and factors influence the selection of migrant workers destination countries from Lampung in 2015-2020. The research results showed that the most popular destination countries among migrant workers from Lampung are Taiwan, followed by Hong Kong, Malaysia, Singapore, and Brunei Darussalam. The main factors that drove migrant workers to work abroad are limited access and employment opportunities in the country and higher salaries abroad. Socio-cultural factors that influenced the selection of destination countries for immigrant workers from Lampung are the similarity of language and culture that are still allied, the presence of friends or relatives who have previously worked abroad (chain migration), and the friendliness and respect of the local population towards migrant workers. Security factors that influenced the decision to select the destination country include social security and good health in the workplace, local government services that are fast and reliable, as well as ensuring security and order. Meanwhile, other factors that influenced the selection of the destination country are uncomplicated work requirements and migrant worker's interest in technological advances in the destination country.
Keywords: Indonesian migrant workers, distribution pattern, destination country",JZ,"Advances in Social Science, Education and Humanities Research (ASSEHR)",2022-01-06,"Indonesian migrant workers, distribution pattern, destination country"
FISIP8,"Social Media, Public Participation, and Digital Diplomacy","Social media may have roles in improving government performance in digital diplomacy, roles which may be performed by government or non-government actors. The success of Indonesia’s digital diplomacy may be achieved through public or community participation. This research put emphasis on public participation of the Indonesians in digital diplomacy through their uses of social media (Facebook, Instagram, Whatsapp, Youtube), Websites, and Applications made by the Government. This research uses documents as the main source of data. Research results show that Indonesians, both in Indonesia and abroad, especially through diaspora organizations, participate in promoting Indonesia, thus participating in digital diplomacy for the interests of Indonesia. The results also that high uses of internets by Indonesians (48% out of 270 millions) is an opportunity for further public participation in digital diplomacy, especially for public aspiration articulation, decision making, and communication involving stakeholders on public diplomacy. It is also an opportunity for publics and government to access data from other countries, to promote Indonesia to foreign countries. However, high uses of internet and social media by Indonesians can also be used by radicals to spread their ideas, for foreign actors to attack Indonesian domestic interests, to spread pornographic contents, and online frauds, both domestically or in international arenas.",JZ,"Advances in Social Science, Education and Humanities Research (ASSEHR)",2021-12-07,
FISIP1,NEGARA DAN KEANEKARAGAMAN HAYATI: MENGHADAPI TANTANGAN GLOBALISASI EKONOMI,"Globalization poses ambiguous challenges through increasing trade transactions, technological advances, abundant natural resources that urge the double edge knives for the society. The state as the main actor has the authority to regulate their assets. A state with big forest area, push to protect its interest. By using the analysis discourse research technique, the description of the national's interests and carrying capacity of biodiversity on the strength of the state is the focus of this research. In the agrarian aspect, in food security, biodiversity plays a role as provider of genetic diversity, protects the worst scenario of the harvest season, and the most important is to balance the ecosystem. It also contributes in maintaining the global climate and providing oxygen supply (the lungs of the world).","GF, H1, JZ",PROSIDING SEMINAR NASIONAL FISIPUNIVERSITAS LAMPUNG (SEFILA) 3TAHUN 2019,,
,Reviewer : Paradiplomacy of Bandar Lampung Through Membership in UCLG-ASPAC,,JZ,,,
FISIP8,ASEAN WAYVERSUS ISU HAM DAN DEMOKRASI (Gap Antara Old Mechanism dan New Issues),"Contemporary,  ASEAN  is  moving  from  an  elitist  community  oriented  towards  a community focused on people oriented. This agenda drives ASEAN to settle the issue of human rights and democracy  in  the  building  of  its  institution.  At  the  same  time,  ASEAN  has  not  removed  the principle of non-intervention and ASEAN Way yet. Besides, its getting a lot of criticism on this, the  norm  of  intervention  make  ASEAN  is  definitely   difficult  to  resolve  some problems  of democracy and human rights in its region. This article uses a qualitative approach and focuses on  ASEAN  Way,  especially  the  non-intervention  norms  that  are  still  maintained  by  ASEAN. Regional  institutions  including  ASEAN  are  still  dependent  on  the  state’s  control that’s  still maintain  and  believe  on  non-intervention  norms.  The  ASEAN  Way  secures state’s interest  by keeping the issues of democracy and human rights under domestic authority. In addition, it turns out that this norm is still seen as useful and effective in solving problems in Southeast Asia. The issue of maintaining ASEAN as an institution then keeping Southeast Asian countries united in a framework of cooperation in order to maintain peace in Southeast Asia is more important than transforming by eliminating the ASEAN Way.Keywords: ASEAN, ASEAN Way, Non Intervention, Southeast AsiaAbstrakASEAN  saat  ini  mulai  bergerak  menuju  sebuah  komunitas  yang  berorientasi  pada  komunitas yang besifat people oriented. Untuk mendukung itu ASEAN juga mengedepankan isu HAM dan Demokrasi dalam arah norma intitusinya. Meskipun begitu prinsip non intervensi serta  ASEAN way yang lebih luas belum juga ditinggalkan oleh ASEAN. Selain memunculkan banyak kritik atas ASEAN   mengenai   ini,   dalam   penegakan   HAM,   norma   intervensi   dapat   menghambat penyelesaian  beberapa  masalah  demokrasi  dan  HAM  di  Kawasan  Asia  Tenggara.  Artikel  ini menggunakan  pendekatan  kualitatif  dan  fokus  melihat  ASEAN  Way  terutama  norma non intervensi  yang masih dipertahankan oleh  ASEAN. Institusi regional termasuk ASEAN memang masih bergantung pada peran dan kontrol negara. Negara anggota ASEAN masih menghendaki norma non intervensi berlaku.  ASEAN Way  mengamankan  kepentingan  negara  anggota  untuk menjaga urusan Demokrasi dan HAM tetap dalam kewenangan domestik. Di samping, ternyata norma ini juga masih dipandang bermanfaat dan efektif meyelesaikan masalah di Asia Tenggara. Isu  mempertahankan  ASEAN  sebagai  sebuah  institusi  dan  menjadikan  negara  negara  di  Asia Tenggara  tetap  bersatu  dalam  rangka  menjaga  perdamaian  di  Asia  Tenggara  menjadi  lebih penting dibanding melakukan transformasi dengan menghapus ASEAN Way.Kata kunci: ASEAN, ASEAN Way, Non Intervensi, Asia TenggaraASEAN WAYVERSUS ISU HAM DAN DEMOKRASI (Gap Antara Old Mechanism dan New Issues)",JZ,Jurnal Analisis Sosial Politik,2022-06-01,"ASEAN, ASEAN Way, Non Intervention, Southeast AsiaAbstrakASEAN  saat  ini  mulai  bergerak  menuju  sebuah  komunitas  yang  berorientasi  pada  komunitas yang besifat people oriented. Untuk mendukung itu ASEAN juga mengedepankan isu HAM dan Demokrasi dalam arah norma intitusinya. Meskipun begitu prinsip non intervensi serta  ASEAN way yang lebih luas belum juga ditinggalkan oleh ASEAN. Selain memunculkan banyak kritik atas ASEAN   mengenai   ini,   dalam   penegakan   HAM,   norma   intervensi   dapat   menghambat penyelesaian  beberapa  masalah  demokrasi  dan  HAM  di  Kawasan  Asia  Tenggara.  Artikel  ini menggunakan  pendekatan  kualitatif  dan  fokus  melihat  ASEAN  Way  terutama  norma non intervensi  yang masih dipertahankan oleh  ASEAN. Institusi regional termasuk ASEAN memang masih bergantung pada peran dan kontrol negara. Negara anggota ASEAN masih menghendaki norma non intervensi berlaku.  ASEAN Way  mengamankan  kepentingan  negara  anggota  untuk menjaga urusan Demokrasi dan HAM tetap dalam kewenangan domestik. Di samping, ternyata norma ini juga masih dipandang bermanfaat dan efektif meyelesaikan masalah di Asia Tenggara. Isu  mempertahankan  ASEAN  sebagai  sebuah  institusi  dan  menjadikan  negara  negara  di  Asia Tenggara  tetap  bersatu  dalam  rangka  menjaga  perdamaian  di  Asia  Tenggara  menjadi  lebih penting dibanding melakukan transformasi dengan menghapus ASEAN Way.Kata kunci: ASEAN, ASEAN Way, Non Intervensi, Asia TenggaraASEAN WAYVERSUS ISU HAM DAN DEMOKRASI (Gap Antara Old Mechanism dan New Issues)"
FISIP8,KONFLIK ETNIS DI XINJIANG: KEBIJAKAN MONOKULTURAL DAN KEPENTINGAN NEGARA CHINA TERHADAP KEUTUHAN WILAYAH,"Tulisan ini fokus pada konflik Xinjiang sebagai salah satu kasus konflik internal yang terjadi di China. Sebagai negara maju, China masih tidak terlepas dari masalah konflik internal. Konflik Xinjiang ialah konflik antar etnis Uighur dan Han yang kemudian berkembang menjadi gerakan separatisme. Berdasarkan sejarahnya, maka konflik ini dipicu ketimpangan ekonomi, ketidakpuasan, ketidakadilan, dan kekerasan yang secara simultan bergulir di Xinjiang. Etnis Uighur merupakan etnis muslim mengalami perseteruan dengan pemerintah otoritas China. Pada perkembangannya, muncul beberapa gerakan separatisme di Xinjiang yang menyulut respon militer dari Pemerintah China. Pemerintah China bagaimanapun akan berupaya menjaga keutuhan wilayah dan tidak akan melepaskan Xinjiang. Keberlangsungan konflik ini salah satunya disebabkan oleh kepentingan negara China terhadap Xinjiang. Xinjiang merupakan wilayah potensial bagi China, baik secara geografi maupun ekonomi.",JZ,sosiologi,2017-03,
