division,title,abstract,subjects,publication,date,keywords
FH2,IMPLEMENTASI HUKUM DALAM PERSPEKTIF TEORI DAN PRAKTIK (Seri Diskusi),"Pengembanan hukum teoretis pun akan memperhatikan hukum itu ketika berlaku di masyarakat. Sebaliknya pengembanan hukum praktis pun akan mencermati bagaimana hukum itu ada di dalam konstelasi sumber-sumber hukum, baik dalam bentuk undang-undang, kebiasaan, doktrin, traktat, yurisprudensi, dan seterusnya.",K1,,2020-04-01,
,Jalan Sunyi Sang Guru,,K1,,,
FH2,Kebijakan Hukum Di Masa Pandemi Covid-19,"Menanggapi fenomena dampak pembangunan hukum akibat Covid-19 tersebut, Mahasiswa Program Magister Ilmu Hukum Universitas Lampung Angkatan 2020 pada bulan Maret 2021 mengadakan kegiatan “Call Of Paper Seri Diskusi Mahasiswa Magister Ilmu Hukum Universitas Lampung Angkatan 2020, dengan mengambil tema Pengembanan Hukum di Masa Pademi” guna mengumpulkan berbagai artikel ilmiah yang kemudian disusun dalam dua buah buku. Salah satu bukunya berisi 19 naskah diberi judul “Kebijakan Hukum Di Masa Pandemi Covid-19”. Kegiatan tersebut bertujuan untuk menumbuhkan minat mahasiswa dalam mengkritisi kebijakan pemerintah di bidang hukum, termasuk menuangkan analisis dan pendapat hukumnya guna mendapatkan solusi terhadap persoalan-persoalan hukum dalam situasi Covid-19. Selain itu, kegiatan ini juga bertujuan untuk meningkatkan kualitas publikasi karya ilmiah dan akreditasi Program Magister Ilmu Hukum Universitas Lampung menjadi Unggul.",K1,,2021-06-01,
,Kewenangan Kejaksaan dalam Penyidikan dan Prapenuntutan Tindak Pidana Khusus,,K1,,,
,MEMBANGUN PARADIGMA KEMARITIMAN INDONESIA,,K1,,,
FH2,Menelaah Hukum dalam Problematika Sosial,,K1,,2020-10-01,
FH3,Merajut Jurnalisme Damai Di Lampung,,K1,,2012,
,PENDAFTARAN TANAH HAK ULAYAT MASYARAKAT HUKUM ADAT,,K1,,,
,Paradoks dan Epistimologi SAKSI MAHKOTA,,K1,,,
,Perspektif Hukum Dalam Gejala dan Problematika Sosial,"Prosiding ini disusun untuk mendokumentasikan gagasan dan hasil penelitian terkait inovasi dalam pembelajaran. Selain itu, diharapakan prosiding ini dapat memberikan wawasan tentang perkembangan dalam pembelajaran dan upayaupaya yang terus dilakukan demi terwujudnya pendidikan yang berkemajuan. Dengan demikian, seluruh pihak yang terlibat dalam dunia pendidikan dapat terus termotivasi dan bersinergi untuk berperan aktif dalam membangun pendidikan Indonesia yang berkualitas melalui pembelajaran yang inovatif.
Kami menyadari dalam penyelesaian prosiding ini tidak terlepas dari bantuan berbagai pihak. Maka, pada kesempatan ini kami selaku tim redaksi Jurnal Cepalo mengucapkan terimakasih sekaligus memberikan penghargaan yang sebesar-besarnya kepada Dekan Fakultas Hukum Universitas Lampung, Ketua Program Magister Ilmu Hukum Universitas Lampung, Sekretaris Program Magister Ilmu Hukum Universitas Lampung, Ketua Konsentrasi Hukum pada Magister Ilmu Hukum Universitas Lampung, serta Dosen Pengajar dan rekanrekan Mahasiswa Magister Ilmu Hukum Universitas Lampung .",K1,,2021-06-01,
