division,title,abstract,subjects,publication,date,keywords
FH3,Pemetaan Kebutuhan Produk Hukum Daerah dalam Rangka Mewujudkan Kabupaten/Kota Layak Anak,"Penelitian ini bertujuan untuk menganalisis dan memetakan produk hukum daerah apa saja yang dapat mendorong upaya perwujudan kabupaten/kota layak anak. Tingginya kasus dan kekerasan terhadap anak merupakan fakta bahwa hak-hak anak belum terpenuhi oleh pemerintah, termasuk pemerintah daerah. Penelitian ini menggunakan metode penelitian hukum normatif dengan pendekatan peraturan perundang-undangan, analitis, dan konseptual. Hasil penelitian ini menunjukkan bahwa: roadmapping kebutuhan hukum daerah agar terciptanya kabupaten/kota ramah anak bersumber dari kewenangan daerah rezim hukum pemerintahan daerah yang diatur dalam UU No. 23 Tahun 2014 tentang Pemerintahan Daerah dan rezim hukum sektoral perlindungan anak yang diatur dalam UU No. 23 Tahun 2003 tentang Perlindungan Anak. Produk hukum daerah yang dibutuhkan antara lain yaitu Peraturan Daerah dan Peraturan Bupati/Walikota. Setidaknya terdapat lima Perda yang dibutuhkan dalam rangka mewujudkan kabupaten/kota layak anak yaitu Perda tentang Perlindungan Anak, Perda tentang Pengembangan Partisipasi Anak dalam Pembangunan, Perda tentang Pemberian ASI Esklusif, Perda tentang Ketahanan Keluarga, dan Perda tentang Kawasan Tanpa Rokok. Pemetaan kebutuhan produk hukum daerah ini nantinya akan menjadi arah kebijakan hukum untuk mewujudkan kabupaten/kota layak anak.

Kata Kunci: Anak; Kewenangan Daerah; Pemerintah; Layak Anak.","K1, KZ",Kanun Jurnal Ilmu Hukum,2020-04,
FH3,ROADMAP OF LOCAL GOVERNMENT AUTHORITY IN MANAGING PEOPLE MINING BASED ON CONCURRENT AFFAIRS,"This study aims to analyze and describe the roadmap of regional government
authority in terms of managing people mining. The replacement of Law No. 32 of 2004 became
Law No. 23 of 2014 concerning Regional Government, has deconstructed various government
affairs in the administration of regional government, one of which is in the field of energy and
mineral resources. People mining is the scope of the sub affairs of energy and mineral resources.
The deconstruction of this authority has resulted in the shifting of authority in the management
of community mining from the district/city government to the authority of the provincial
government.","K1, KZ",,2019-01,
FH3,KEPENTINGAN INDONESIA MENGAKSESI KONVENSI APOSTILLE DAN RELEVANSINYA DI BIDANG KENOTARIATAN,"Dalam era globalisasi, kerja sama antar negara dan antar warga negara dalam bidang bisnis, pendidikan, maupun diplomasi, dan kepentingan untuk menjalin hubungan yang baik dengan negara-negara lain semakin menjadi prioritas. Namun, dalam menjalin kerja sama tersebut, hal-hal administratif seperti legalisasi dokumen publik asing menjadi salah satu kendala yang sering dihadapi. Proses yang rumit dan biaya yang tinggi menjadi hambatan bagi banyak orang untuk mendapatkan pengesahan dokumen publik yang diperlukan untuk berbagai keperluan. Belum lagi, dokumen publik yang telah dilegalisasi oleh lembaga atau kementerian di Indonesia tidak secara otomatis dapat diterima di negara yang dituju. Seperti akta notaris, surat kuasa, dan dokumen-dokumen lainnya harus dilegalisasi terlebih dahulu sebelum dapat diakui oleh negara tujuan. Hal ini membuat banyak orang merasa kesulitan dalam menggunakan dokumen publik di luar negeri. Untuk mengatasi permasalahan tersebut, Indonesia mengaksesi Konvensi Apostille, dengan demikian proses legalisasi dokumen asing publik di Indonesia menjadi lebih mudah, cepat, dan efisien. Notaris sebagai pejabat publik memiliki peran penting dalam proses legalisasi dokumen tersebut, baik dalam memberikan legalisasi dokumen asing publik yang diperlukan, maupun dalam pengesahan tanda tangan atau legalisir pada dokumen-dokumen yang diterbitkan oleh pihak asing.. Dalam kenotariatan, Kehadiran Konvensi Apostille diharapkan memudahkan akses bagi warga negara Indonesia untuk menggunakan dokumen publik di luar negeri dan notaris dapat memberikan legalisasi dengan menyertakan Apostille pada dokumen publik yang diterbitkan oleh notaris. Keanggotaan Indonesia di dalam Konvensi Apostille memiliki urgensi yang sangat penting untuk mempercepat proses administratif dalam hubungan antarnegara dan antarwarga negara dan membantu dalam mempercepat proses administratif dalam hubungan antarnegara dan antarwarga negara serta meningkatkan kemudahan dalam melakukan kegiatan bisnis dan administrasi di luar negeri.","K1, KZ",Jurnal Repertorium,2023-05-30,
,Buku Teknik Evaluasi Maturitas Pengendalian Internal Pemerinntah,,KZ,,,
FH3,Peningkatan Kapasitas Legal Drafter Dalam Pemenuhan Dan Perlindungan Hak Atas Tanah Ulayat Masyarakat Hukum Adat Di Provinsi Lampung,"Legal Drafter memiliki posisi dan peranan penting dalam kontribusinya terhadap regulasi di Indonesia, termasuk di tingkatan daerah. Kegiatan Pengabdian Kepada Masyarakat ini bertujuan untuk meningkatkan kapasitas para legal drafter yang ada di Provinsi Lampung dalam membentuk peraturan daerah khususnya dalam upaya pemenuhan dan perlindungan hak atas tanah ulayat masyarakat hukum adat. Hak atas tanah ulayat yang telah terakomodir dalam berbagai peraturan perundang-undangan, perlu ada langkah konkritisasi agar pengaturan tersebut dapat dirasakan manfaatnya oleh masyarakat hukum adat.  Hal ini penting agar para legal drafter tidak hanya membentuk peraturan daerah secara formalistik/yuridis belaka, namun juga mampu membentuk peraturan daerah yang dapat menjadi alat dalam memberikan perlindungan akan hak-hak masyarakat. Pembentukan peraturan daerah mengenai pemenuhan dan perlindungan hak atas tanah ulayat masyarakat hukum adat menjadi sebuah solusi hukum agar masyarakat hukum adat beserta hak-haknya yang ada di Provinsi Lampung kesejahteraannya mampu meningkat. Metode yang digunakan dalam kegiatan ini yaitu melalui ceramah, diskusi, dan  focus group discussion. Hasil dari kegiatan pengabdian ini menunjukan bahwa kapasitas Legal Drafter dalam Pemenuhan dan Perlindungan Hak Atas Tanah Ulayat Masyarakat Hukum Adat telah meningkat hingga 80%. 

Kata kunci: Hak Ulayat; Hukum Adat; Legal Drafter.","K1, KZ",,2020-04,
FH2,"Bedah Buku (HAK ATAS TANAH BAGI ORANG ASING, TINJAUAN POLITIK HUKUM DAN PERLINDUNGAN WARGA NEGARA INDONESIA)","politik hukum agraria yang menyatakan tanah untuk rakyat- dan bukan untuk orang asing. Sehingga, orang asing cukup dengan hak pakai dan hak sewa untuk bangunan-   adalah landasan filosofis bagi Negara dan Bangsa Indonesia untuk “Memayu Hayuning Bawana, Hangrungkepi Bumi Pertiwi, Sanajan Namung Sanyari Bumi”(Negara dan Bangsa Indonesia perlu mengusahakan keselamatan, kebahagiaan dan kesejahteraan umum; dengan membela tanah air, meskipun lebarnya hanya sejengkal tangan).",KZ,,2020-08-16,
FH2,Agrarian Reforms in Indonesia: A Pleasure,"Basically the land belongs to the Indonesian people. The state as the incarnation of the people only has the right to regulate its use in order to pursue common prosperity. Reorganization of land ownership and control as well as legal relations related to land exploitation in realizing equal distribution of prosperity and justice, is not balanced in implementation and only focuses on land redistribution / legalization of landless farmers (landless farmers), without any supporting policies another. It should be followed by other policies that follow, such as policies for opening new agricultural
lands, efforts to increase productivity, policies on prices for agricultural products that benefit farmers, providing light credit, policies on low input prices, guidance and training for farmers, and marketing efforts for agricultural products.",KZ,,2020-09,
FH2,Agrarian Reforms in Indonesia: A Pleasure,"Basically the land belongs to the Indonesian people. The state as the incarnation of the people only has the right to regulate its use in order to pursue common prosperity. Reorganization of land ownership and control as well as legal relations related to land exploitation in realizing equal distribution of prosperity and justice, is not balanced in implementation and only focuses on land redistribution / legalization of landless farmers (landless farmers), without any supporting policies another. It should be followed by other policies that follow, such as policies for opening new agricultural
lands, efforts to increase productivity, policies on prices for agricultural products that benefit farmers, providing light credit, policies on low input prices, guidance and training for farmers, and marketing efforts for agricultural products.",KZ,"Proceedings of The International Conference on Environmental and Technology of Law, Business and Education on Post Covid 19, ICETLAWBE 2020, 26 September 2020, Bandar Lampung, Indonesia",2020-12-11,
FH2,Conflict Settlement in the Register Forest Areas of Lampung Province,"The register forest area in Lampung Province has a long history of conflict, starting from forest use that was not in accordance with the function of the forest. Lampung Province has three forms of forest, namely; conservation forest, protection forest, and production forest which have different conflict characteristics. The problem is that in all 51 register forest areas, conflicts frequently and repeatedly occur, requiring permanent resolutions. The government has issued a policy of social forestry through Presidential Regulation No. 88 of 2017 concerning Settlement of Land Tenure in Forest Areas. The researcher summarizes two legal issues, namely: (1) how is the typology of conflict in the register forest area in Lampung Province? (2) How is the implementation of the social forestry program as a form of conflict resolution in the register forest areas of Lampung Province? The researcher use legal or empirical sociology methods to answer these problems, including research on legal identification (unwritten) and research on the effectiveness of law in society. The results of
the study provide the answer that,  first, the implementation of social forestry must observantly regard the characteristics of conflict and forest function so that the social forestry scheme can truly become a bridge to resolve conflicts that occur in the register forest areas of Lampung Province. It must be said that the social forestry that currently exists is not a ‘panacea’ in all kinds of conflicts in the Lampung Province registers Partnership Not Panacea. Social Forestry Schemes must consider forest function, legal, social, economic, cultural, and political aspects, and identify protected forests starting from: (1) communities, (2) register land tenancy, (3) village officials, (4)security apparatus, and (5) the government. Meanwhile, In production forests, the aspects to concern are: (1) investors, (2) land providers, (3) land cultivators, (4) partnership groups, (5) non-partnership groups, (6) thugs, (7) companies, (8) security officials, and (9) the government. Second, the register forest areas of
Lampung Province can only run with two schemes, namely Community Forestry and Forestry Partnership, because other forest functions do not exist in Lampung Province. The evaluation of the social forestry program implementation is deliberately required to improve the
subsequent implementation of the program and to become a bridge for conflict resolutions.",KZ,"Proceedings of The International Conference on Environmental and Technology of Law, Business and Education on Post Covid 19, ICETLAWBE 2020, 26 September 2020, Bandar Lampung, Indonesia",2020-12-11,
FH3,Hukum Pemerintahan Daerah,"tidak dapat dipungkiri, perubahan dinamika kewenangan pemerintahan pusat kedaerah menimbulkan sejumlah konsekuensi logis. konsekuensi-konsekuensi itu mulai dari berupa pembentukan peraturan daerah hingga kepada implementasi kebijakan-kebijakan pembangunan di daerah","K1, KZ",,2017,
