division,title,abstract,subjects,publication,date,keywords
FKIP24,Penerapan Strategi Inkuiri Terhadap Kemampuan Mahasiswa dalam Membangun Pemahaman Sejarah,,LA,Jurnal Pendidikan Progresif,2012,
FKIP24,Integrasi Nilai Filosofis Tari Topeng Sekura KamakPada PembelajaranSejarah Di Kabupaten Lampung Barat,"Abstract:The objective of this research was to study philosophical value SekuraMask dance, so that the  value  could  be  integrated  in  history  learning  in  Senior  High  Schools  as  an  education  for traditional  forest  preservation  in  Saibatin  Lampung  people.  This  was  a  descriptive  qualitative research with an objective to describe a socialreality. The social reality to study was local wisdom of traditional people in West Lampung district in preserving forest. This local wisdom was represented in Sekura Mask dance in Sekura Kamakcostume performance. This local wisdom needs to integrate in history  learning.  The  integration  could  be  done  by:  developing  learning  material  by  inserting Sekura  Mask  dance  philosophical  local  wisdom, developingevaluation  instrument,  and  designing learning process  by implementing innovative learning models that incorporate  Sekura  Mask dance philosophical value element. To  design learning  by incorporating Sekura  Mask  dance philosophical value  in  history  learning,  teachers  must  be  able  to  map  learning  material  that  incorporate  Sekura Mask  dance  philosophical  value.  Thus,local  wisdom  developed  in  history  learning  could  build character of forest preservation for students.",LA,Integrasi Nilai Filosofis Tari Topeng Sekura KamakPada PembelajaranSejarah Di Kabupaten Lampung Barat,2021-03-31,
FKIP24,"PENGARUH PENERAPAN MODEL PEMBELAJARAN DISCOVERY LEARNING TERHADAP HASIL BELAJAR SEJARAH PESERTA DIDIK DI SMAN 1 NATAR, LAMPUNG SELATAN","History learning must bring students more active in the teaching and learning process, educators must be able to determine the right model for conducting the learning process in class. However, nowadays history learning in schools, especially at the public high school level is still far from student centered as expected by the 2013 curriculum.  This study used a Quasi Experiment type of research with nonequivalent pretest-posttest control group design that contains the experimental class and the control class. The data analysis technique used in this study used an independent t-test. The results showed that the historical learning outcomes of students who used the Discovery Learning model were higher than the students who used the direct learning model. The analysis results obtained by Sig. (2-tailed) 0,000 significance level α = 0.05, because the value of 0,000 < 0.05, this means that there are differences in the average historical outcomes learning between students who use the Discovery Learning model with the Direct Learning model.",LA,Candrasangkala: Jurnal Pendidikan dan Sejarah,2020,
FKIP24,"PENGARUH PENERAPAN MODEL PEMBELAJARAN DISCOVERY LEARNING TERHADAP HASIL BELAJAR SEJARAH PESERTA DIDIK DI SMAN 1 NATAR, LAMPUNG SELATAN","History learning must bring students more active in the teaching and learning process, educators must be able to determine the right model for conducting the learning process in class. However, nowadays history learning in schools, especially at the public high school level is still far from student centered as expected by the 2013 curriculum.  This study used a Quasi Experiment type of research with nonequivalent pretest-posttest control group design that contains the experimental class and the control class. The data analysis technique used in this study used an independent t-test. The results showed that the historical learning outcomes of students who used the Discovery Learning model were higher than the students who used the direct learning model. The analysis results obtained by Sig. (2-tailed) 0,000 significance level α = 0.05, because the value of 0,000 < 0.05, this means that there are differences in the average historical outcomes learning between students who use the Discovery Learning model with the Direct Learning model.",LA,Candrasangkala: Jurnal Pendidikan dan Sejarah,2020,
FKIP24,Media Pembelajaran Digital sebagai Sumber Belajar Mahasiswa Pendidikan Sejarah,"Kegiatan pembelajaran siswa SMA dan SMK mutlak perlu memanfaatkan penggunaan media pembelajaran sejarah digital. Tujuan dari penelitian ini adalah untuk mengetahui manfaat dari pelibatan media pembelajaran berbasis digital sebagai sarana pembelajaran bagi mahasiswa pelatihan sejarah. Dalam kegiatan pembelajaran, pendidik khususnya guru atau dosen dapat menggunakan media pembelajaran untuk memudahkan siswa dalam memahami konten yang disajikan. Pembelajaran sejarah melalui materi pembelajaran sejarah pada akhirnya dapat meningkatkan pemahaman siswa terhadap materi pelajaran yang dipelajarinya.Temuan penelitian menunjukkan bahwa siswa dalam pendidikan sejarah memanfaatkan media pembelajaran sejarah digital dengan baik sebagai sumber belajar. Menurut tanggapan angket siswa 57,1 % sangat setuju dan 34,7% setuju. Artinya, mayoritas siswa berpendapat bahwa media pembelajaran sejarah berbasis digital merupakan sumber belajar yang dapat dimanfaatkan untuk mencapai tujuan pembelajaran yang dimaksud.",LA,EDUKATIF : JURNAL ILMU PENDIDIKAN,2023-02-28,
FKIP24,Toponym’s Transmigration in Pringsewu to Historical Empathy Student Of Class X Senior High Scholl 1 Pringsewu,"The reality in history learning at a high  school located in Pringsewu shows the fact that students are not yet skilled at showing the empathy aspect of history comprehensively. Historical empathy (historical empathy) of students towards their historical environment is still limited to inventory and documentation. They are used to visiting historical sites in Pringsewu. However, they have not been able to 
interpret the historical values found in the transmigration villages in the Pringsewu area. Many students do not know the history of the naming of Pringsewu and the historical villages in the Pringsewu area, even the history of the village they live in. The purpose of this study is focused on the objective of integrating toponymy philosophical values in local history learning as education about the history of transmigration at SMA N 1 Pringsewu. This study used data triangulation, namely by means of interviews,
observations, and document analysis. Based on the 
results of preliminary data analysis, it is found that 
history learning has not been able to spur the growth of 
social systems, reaction systems, instructional impacts; 
and a support system that can arouse students' interest 
and historical empathy to understand and feel the 
situation of events and actions of historical agents, 
learning based on the uniqueness of toponymy in 
Pringsewu Regency has not been developed with the 
characteristics of local historical material. The results of 
the data analysis after learning about the history of 
Toponymy in transmigration villages in Pringsewu 
Regency, and being included in the history lesson, class 
X students at SMA Negeri 1 Pringsewu, were very 
enthusiastic about this material, and increased historical 
empathy. because so far, history learning only refers to 
general material, it does not mention local history in the 
local area.","L1, LA","Advances in Social Science, Education and Humanities Research",2021,
FKIP24,Toponym’s Transmigration in Pringsewu to Historical Empathy Student of Class X Senior High Scholl 1 Pringsewu,"The reality in history learning at a high
school located in Pringsewu shows the fact that students
are not yet skilled at showing the empathy aspect of
history comprehensively. Historical empathy (historical
empathy) of students towards their historical
environment is still limited to inventory and
documentation. They are used to visiting historical sites
in Pringsewu. However, they have not been able to
interpret the historical values found in the
transmigration villages in the Pringsewu area. Many
students do not know the history of the naming of
Pringsewu and the historical villages in the Pringsewu
area, even the history of the village they live in. The
purpose of this study is focused on the objective of
integrating toponymy philosophical values in local
history learning as education about the history of
transmigration at SMA N 1 Pringsewu. This study used
data triangulation, namely by means of interviews,
observations, and document analysis. Based on the
results of preliminary data analysis, it is found that
history learning has not been able to spur the growth of
social systems, reaction systems, instructional impacts;
and a support system that can arouse students' interest
and historical empathy to understand and feel the
situation of events and actions of historical agents,
learning based on the uniqueness of toponymy in
Pringsewu Regency has not been developed with the
characteristics of local historical material. The results of
the data analysis after learning about the history of
Toponymy in transmigration villages in Pringsewu
Regency, and being included in the history lesson, class
X students at SMA Negeri 1 Pringsewu, were very
enthusiastic about this material, and increased historical
empathy. because so far, history learning only refers to
general material, it does not mention local history in the
local area",LA,Toponym’s Transmigration in Pringsewu to Historical Empathy Student of Class X Senior High Scholl 1 Pringsewu,2022-01-06,
FKIP24,Pembuatan Video Pembelajaran Sejarah untuk Mendukung E-Learning Di Masa Pandemi Bagi MGMP Sejarah Provinsi Lampung,"Pelatihan pembuatan video pembelajaran bagi MGMP Sejarah di Provinsi Lampung ini dilakukan melalui dua tahap yaitu kegiatan pelatihan dan tindak lanjut berupa kewajiban peserta pelatihan untuk membuat video pembelajaran sesuai topik yang telah ditentukan. Kegiatan ini bertujuan untuk memberikan pelatihan kepada guru sejarah agar mampu merancang media pembelajaran berbasis video pembelajaran yang dapat mendukung e-larning. Metode yang digunakan dalam pelatihan ini terdiri dari dua yaitu penyuluhan dan pelatihan. Penyuluhan berupa penyampaian materi yang bersifat teoretis tentang pengembangan bahan ajar berbasis video. Sedangkan, pelatihan bertujuan untuk menanamkan keterampilan praktis kepada guru untuk merancang video pembelajaran. Kegiatan pelatihan pembuatan video pembelajaran berjalan dengan baik hal ini terlihat dari tingginya antusiasme peserta selama mengikuti pelatihan. Keberhasilan kegiatan pelatihan ini juga ditunjukkan dengan adanya peningkatan skor posttest peserta yang lebih tinggi dibandingkan dengan hasil pretest. Di masa yang akan datang pelatihan pembuatan video pembelajaran ini perlu dilakukan pada semua jenjang pendidikan mengingat pentingnya penggunaan media audio visual pada proses pembelajaran.",LA,Pembuatan Video Pembelajaran Sejarah untuk Mendukung E-Learning Di Masa Pandemi Bagi MGMP Sejarah Provinsi Lampung,2021-06-29,
FKIP1,A COMPARATIVE READING COMPREHENSION STUDY BETWEEN AUTHENTIC MATERIALS AND NON AUTHENTIC MATERIALS,"Penelitian ini bertujuan untuk mengetahui apakah ada perbedaan signifikan dalam  peningkatan kemampuan membaca siswa secara komprehensif antara penggunaan materi otentik dan materi non-otentik. Penelitian ini merupakan penelitian kuantitatif dengan menggunakan desain static group comparison design. Tes membaca digunakan sebagai instrument pengambilan data. Subjek penelitian ini adalah siswa siswa tingkat pertama pada SMA Kosgoro Bandar Sribhawono. Berdasarkan hasil yang didapat, ada perbedaan signifikan dalam peningkatan kemampuan membaca siswa secara komprehensif antara penggunaan materi otentik dan materi non-otentik. Para siswa yang diajar mengunakan materi otentik mempunyai kemampuan membaca lebih baik dibandingkan dengan mengunakan  materi non-otentik. Ini menunjukan bahwa materi otentik memberikan hasil yang lebih baik daripada materi non-otentik.

The objectives of this research are to find out whether there is a statistically significant difference of reading comprehension achievement between using authentic and non-authentic materials. This research is a quantitative research  using  static group comparison design. Reading tests were used as the instrument to elicit the data. The subjects of this study were the first grade students of SMA Kosgoro, Bandar Sribhawono. The results showed that there was a statistically significant difference of reading comprehension achievement between authentic and  non authentic materials. The students taught through authentic material had better reading achievement than those provided with non authentic materials. This suggests that authentic materials give better result than non authentic material.","L1, LA",U-JET Journal,,
FKIP24,MITOS MASYARAKAT LAMPUNG,"Mitos kadang kala diartikan sebagai tradisi dari zaman prasejarah, yang biasanya berhubungan dengan salah satu dewa atau suatu kekuatan alam yang dipersonifikasikan, atau cerita yang tidak mengandung kebenaran dan diperlakukan kadang kala sebagai kebenaran.","L1, LA",,2017,
FKIP24,Integrasi Pendidikan Multikultural dalam Pembelajaran Sejarah di SMA YP UNILA,"This research aims to determine the integration of multicultural education in
history learning materials in senior high schools, especially SMA YP UNILA where the
students are multi ethnics. The research method used is the descriptive qualitative research
method of Miles and Huberman including 1). Data collection, 2) Data reduction, and 3).
Data presentation and conclusions. The result of the research, that the history teacher has
integrated multicultural education in history learning at SMA YP UNILA, the learning
method uses varied lecture methods by providing equal opportunities and rights to all
students, as well as linking the material of historical relics in the form of sites local sites in
Lampung Province such as Pugung Raharjo with the aim of respecting sites from othher
religions, from other groups, as well as from people in other regions by tolerating
religions, races, nations and other ethnic grups. The resulting output is very good because
it is proven by the integration of multicultural education in the learning that is done can
form a good tolerance relationship between students.
Keywords : Integration, Multicultural, Learning History","L1, LA",Criksetra: Jurnal Pendidikan Sejarah,2020,
FKIP24,Sejarah Toponimi Daerah Transmigrasi Provinsi Lampung Melalui Tuturan Tradisi Lisan,"Program transmigrasi di Provinsi Lampung membawa pengaruh dalam penamaan tempat di wilayah transmigrasi Lampung. Penelitian ini bertujuan untuk mengetahui sejarah penamaan daerah transmigrasi di Provinsi Lampung yang masih menggunakan unsur nama daerah asal transmigran/memiliki kesamaan dengan nama tempat di luar Provinsi Lampung. Adapun hal yang teramati adalah Sejarah asal-usul dan makna toponimi (penamaan) desadesa transmigrasi di Lampung masih menggunakan nama daerah asal transmigran terdahulu yang diwariskan melalui tuturan tradisi lisan antar generasi. Penelitian ini menggunakan metode penelitian historis pendekatan kualitatif. Tahapan penelitian ini: (1). Heuristik. (2). Kritik eksternal dan internal. (3). Interpretasi. (4). Historiografi. Teknik pengumpulan data dengan Kepustakaan, Wawancara, dan Observasi. Teknik sampel menggunakan pusposive sampling dengan kuesioner yang sudah diuji menggunakan triangulasi sumber (observasi, wawancara, dan dokumen). Hasil penelitian menunjukkan bahwa pengambilan toponimi wilayah transmigrasi di provinsi Lampung mayoritas menggunakan nama daerah asal transmigran yang memiliki makna dan nilai-nilai sejarah. Desa-desa yang termasuk dalam hasil penelitian, yaitu Pekon Sukamulya: kebahagiaan yang membawa kemuliaan, Desa Bandung Baru: genangan air yang luas di tempat baru, Desa Siliwangi: pengganti prabu Siliwangi di Kabupaten Pringsewu. Desa Margorejo: jalan kemakmuran, Desa Sidodadi: Bisa menjadi desa yang maju di Kabupaten Lampung Selatan. Desa Wonosari: Inti Hutan, Desa Totoharjo; Ketentraman Kabupaten Lampung Timur. Desa Tatakarya: tertata rapi, Dusun Wonogiri: hutan di gunung Kabupaten Lampung Utara. Kampung Badransari: keindahan yang sejati, Kampung Tanggulangin: penghalang angin Kabupaten Lampung Tengah. Desa Rantau Tijang Ciparai: genangan air yang banyak ikan Parainya Kabupaten Tanggamus. Kampung Tanjungrejo: pusat ketentraman Kabupaten Waykanan. Kata Kunci: Sejarah, Toponimi, Transmigrasi, Lampung",LA,"Jurnal Sejarah dan Pembelajarannya ""Agastya""",2019,
FKIP5,Manajemen Pendidikan,"Sinopsis

Menjadi kepala sekolah berfungsi sebagai manajer dan sekaligus pemimpin. Dengan kedua fungsi ini, kepala sekolah harus menguasai ilmu tentang manajemen dan kepemimpinan. Keterampilan melakukan manajemen adalah ilmu teknis atau operasional yang harus dimiliki sebagai bekal menjalankan tugas sehari-harinya. Manakala kepala sekolah tidak menguasai ketrampilan teknis maka fungsi pemimpin kurang dirasakan oleh anggotanya. Hal ini karena manager dan leader bagaikan dua sisi mata uang. Keduanya tidak dapat dipisahkan tetapi keduanya nyata dapat dilihat perbedaannya. Menjadi manajer harus memiliki pengetahuan tentang leadership. Leadership tanpa manajemen adalah buta dan manajemen tanpa leadership tertatih-tatih.
Buku ini memberikan penjelasan praktis tentang management dan leadership baik secara teori maupun secara praktik dengan menggunakan bahasa sederhana dan mudah dipahami. Buku ini diharapkan sangat bermanfaat baik bagi (calon) pengelola pendidikan atau mahasiswa keguruan/pendidikan maupun bagi praktisi yang sedang menjalankan tugas pengelolaan pendidikan terutama guru dan terlebih kepala sekolah.","L1, LA",,2016,
FKIP24,HUTAN LAHAN ULUN SAIBATIN BUDAYA PEREKONOMIAN MASYARAKAT LOKAL DI PESISIR BARAT LAMPUNG,"The purpose of this study was to understand Saibatin‘s culture perspective from West Lampung regarding forests related to the agricultural system, the causes of forest destruction in Bukit Barisan Selatan National Park, and the goverment‘s respone to efforts to save forests in Bukit Barisan Selatan National Park. This study uses qualitative methods that refer to an ethnographic writing. Operasional technical uses a genetic structuralism approach. The result: (1) the damage to the Bukit Barisan Selatan National Park forest was not caused by the economic activities of the ulun Saibatin community or the HPH businessmen; (2) forest damage caused by the law on forestry in West Lampung is not adhered to the evidence that there are many forest looting activities; and (3) the problem of unemployment of people living in forest conversion areas needs to be addressed immediately.
Keyword: culture, economic activity, forest destruction, ulun Saibatin","L1, LA",-,2019,
FKIP18,Reviewer :Kajian Pola Perkuliahan E-Learning Pendidikan Geografi Fakultas Keguruan dan Ilmu Pendidikan,,"LA, LB1501, LB1603",,2022,
FKIP24,Pendidikan Karakter melalui Tradisi Ngebuyu sebagai Kearifan Lokal Masyarakat Lampung Pesisir,"Tujuan penelitian ini untuk mengetahui pendidikan karakter masyarakat Lampung Pesisir melalui tradisi ngebuyu sebagai kearifan lokal. Metode penelitian ini merupakan jenis penelitian kualitatif dengan menggunakan pendekatan etnografi yang mendeskripsikan kebudayaan lokal masyarakat Lampung Pesisir Kalianda yaitu Ngebuyu. Hasil penelitian menunjukkan bahwa budaya lokal mengandung nilai-nilai pendidikan karakter yang penting untuk ditransformasikan kepada generasi muda. Salah satu budaya tersebut adalah tradisi Negbuyu. Tradisi Ngebuyu yaitu tradisi yang dilaksanakan oleh masyarakat Lampung Pesisir yang berada diwilayah Kalianda Kabupaten Lampung Selatan. Masyarakat Lampung Pesisir atau yang biasa disebut dalam bahasa lokal dengan istilah ‘Ulun Lampung Saibatin’memiliki ritual dalam menyambut kelahiran bayi, ritual atau tradisi tersebut disebut dengan Ngebuyu. Simpulan penelitian pendidikan karakter tradisi ngebuyu dengan menginternalisasikan nilai budaya pada pembelajaran sejarah dapat menarik minat peserta didik dalam belajar sejarah dan membuat pembelajaran sejarah lebih bermakna.",LA,Kaganga: Jurnal Pendidikan Sejarah dan Riset Sosial-Humaniora,2022-06,
,"ANALISIS PENERAPAN STANDAR PROSES DAN STANDAR PENILAIAN
KURIKULUM 2013 BAGI CALON GURU","Penelitian ini bertujuan untuk: (1) Menganalisis penerapan standar proses dalam
Kurikulum 2013 bagi mahasiswa calon guru dalam matakuliah Micro Teaching; dan (2)
Menganalisis penerapan standar penilaian dalam Kurikulum 2013 bagi mahasiswa calon guru
dalam matakuliah Micro Teaching. Metode penelitian yang digunakan dalam penelitian ini
adalah penelitian deskriptif. Metode deskriptif dipilih untuk menggambarkan penerapan
standar proses dan standar penilaian dalam Kurikulum 2013 bagi mahasiswa calon guru
dalam matakuliah Micro Teaching. Sesuai dengan lingkup penelitian, sampel penelitian ini
adalah mahasiswa semester 6 Pendidikan Fisika FKIP Universitas Lampung. Berdasarkan pe-
nelitian yang telah dilakukan, maka dapat disimpulkan bahwa: (1) Standar Proses dalam
Kurikulum 2013 sudah dapat diterapkan oleh mahasiswa calon guru dalam matakuliah Micro
Teaching dengan persentase rata-rata 90% sangat baik dan 10% baik melalui keterampilan
dasar yang diterapkan; dan (2) Standar Penilaian dalam Kurikulum 2013 sudah diterapkan
mahasiswa calon guru dalam matakuliah Micro Teaching dengan mengacu pada RPM yang
telah dibuat.","L1, LA, LB",Jurnal Pendidikan Teknologi Informasi dan Vokasional,2019-06,
