division,title,abstract,subjects,publication,date,keywords
,The Application of Science in Box on Inquiry Based Learning at Junior High School to Increase The Mastery Concept of Statics Fluid,"The purpose of this study is to describe the effectiveness of engagement in science across science teaching and learning activities using for Statics Fluid concept in the context of scientific inquiry. Action reseach method was used to solve problem of lack of practical work in science students. The analysis employs a quantitative approach that includes descriptive and inferential statistics to examine characteristics and effectiveness SBFS developed. The research result showed that there was significant main effects of inquiry instruction and teaching context using Science in Box on student conceptual change. The result suggested that Teaching strategies that actively engage students in the learning process through scientific investigations using practical work are more likely to increase conceptual understanding than are strategies that rely on more conventional techniques.

Tujuan dari penelitian ini ialah untuk menjelaskan efektifitas keterikatan ilmu sains dengan kegiatan pengajaran dan pembelajaran sains menggunakan konsep Fluida Statis berbasis inkuiri. Metode action research digunakan untuk memecahkan masalah kurangnya pelaksanaan praktik pada siswa sains. Analisis data menggunakan pendekatan kuantitatif yang meliputi statistik deskriptif dan inferensial untuk menguji karakteristik dan efektifitas SBFS yang dikembangkan. Hasil penelitian menunjukkan bahwa ada pengaruh yang signifikan dari pembelajran dan kpengajaran inkuiri menggunakan Science in Box terhadap penguasaan konsep fluida statis siswa. Hasilnya menunjukkan bahwa strategi Pengajaran yang secara aktif melibatkan siswa dalam proses pembelajaran melalui penyelidikan ilmiah menggunakan kerja praktek lebih mungkin untuk meningkatkan penguasaan konseptual siswa dibandingkan strategi yang mengandalkan teknik yang lebih konvensional.","LB, LB1603",The Application of Science in Box on Inquiry Based Learning at Junior High School to Increase The Mastery Concept of Statics Fluid,,
FKIP4,Developing STEM Learning Makerspace for Fostering Student’s 21st Century Skills in The Fourth Industrial Revolution Era,"The need for higher education to respond is urgent  as the power of 4IR technologies and 21st century challenges for either positive social impacts or devastating environmental damage. Recent researches on how to make an alternative solution in the form of STEM learning methods and strategies to address the challenges of the 21st century and 4IR technology had been widely investigated. However, the implementation in the term of integrated-STEM field. The implementation of integrated STEM was still fragmented so that the essence of a whole STEM meaning had not been described. Recent studies oriented to the development of learning strategies had not emphasized the makerspace concept, even though a good understanding of makerspace concept was the start point in implementing integrated-STEM essence. Makerspace in STEM is the deliberate positioning of student learning in contexts that require the drawing together of skills and knowledge from the areas of science, technology, engineering, and mathematics to create, construct, and critique a product or artefact. The research presented in this paper describes a type of STEM makerspace that was defined by its purpose: to foster Student’s 21st Century Skills in  4IR technologies and 21st century challenges. This approach is innovative into STEM education. A new model of STEM makerspace that is currently being validated in an extended, funded project framed this research that involved secondary students in Indonesia. A large set of qualitative data was collected, this paper reports on the progress and reflections of the teacher education students, and shares insights into their personal learning and development as teachers. A quasi-experimental study  in Heat transfer STEM makerspace was conducted. Results of samples paired  t-test showed Sig.(2-tailed) 0.000 which indicated that there were differences in results pretest and posttest when STEM makerspace was implemented with the effect size data was in a high category.",LB,,,
FKIP4,Developing STEM Learning Makerspace for Fostering Student’s 21st Century Skills in The Fourth Industrial Revolution Era,"The need for higher education to respond is urgent  as the power of 4IR technologies and 21st century challenges for either positive social impacts or devastating environmental damage. Recent researches on how to make an alternative solution in the form of STEM learning methods and strategies to address the challenges of the 21st century and 4IR technology had been widely investigated. However, the implementation in the term of integrated-STEM field. The implementation of integrated STEM was still fragmented so that the essence of a whole STEM meaning had not been described. Recent studies oriented to the development of learning strategies had not emphasized the makerspace concept, even though a good understanding of makerspace concept was the start point in implementing integrated-STEM essence. Makerspace in STEM is the deliberate positioning of student learning in contexts that require the drawing together of skills and knowledge from the areas of science, technology, engineering, and mathematics to create, construct, and critique a product or artefact. The research presented in this paper describes a type of STEM makerspace that was defined by its purpose: to foster Student’s 21st Century Skills in  4IR technologies and 21st century challenges. This approach is innovative into STEM education. A new model of STEM makerspace that is currently being validated in an extended, funded project framed this research that involved secondary students in Indonesia. A large set of qualitative data was collected, this paper reports on the progress and reflections of the teacher education students, and shares insights into their personal learning and development as teachers. A quasi-experimental study  in Heat transfer STEM makerspace was conducted. Results of samples paired  t-test showed Sig.(2-tailed) 0.000 which indicated that there were differences in results pretest and posttest when STEM makerspace was implemented with the effect size data was in a high category.",LB,Journal of Physics: Conference Series,2019-02,
FKIP17,Design and Validation of Inquiry-based STEM Learning Strategy as a Powerful Alternative Solution to Facilitate Gifted Students Facing 21st Century Challenging,"Engagement in STEM across the primary-secondary school transition has been widely investigated. However, integrated-STEM implementation had not shown practical packaging and could not reach all the skills that gifted students needed in the 21st century. The main perspective of STEM education refers to the conclusion that the learning approach was student-centered. The concept of this point of view was like an inquiry-based approach, where the inquiry approach was oriented to fostering student inquiry skills through active experiments. The purpose of this study was to design and validated an inquiry-based STEM learning strategy design that could systematically guide instructors or designers in creating an appropriate gifted students learning activities oriented to 21st century skills. Using an established method for model development research, a theoretically constructed initial model was iteratively improved and underwent internal validation through expert review. In a field study of an inquiry-based STEM learning strategy, we examine the design and operational characteristics that were important for the expressive role of the learning strategy. The pilot study indicated that the inquiry-based STEM learning strategy could improve gifted students' abilities in accordance with 21st century learning frameworks.",LB,Journal for the Education of Gifted Young Scientists,2019-03-11,
FKIP17,Design and Validation of Inquiry-based STEM Learning Strategy as a Powerful Alternative Solution to Facilitate Gifted Students Facing 21st Century Challenging,"Engagement in STEM across the primary-secondary school transition has been widely investigated. However, integrated-STEM implementation had not shown practical packaging and could not reach all the skills that gifted students needed in the 21st century. The main perspective of STEM education refers to the conclusion that the learning approach was student-centered. The concept of this point of view was like an inquiry-based approach, where the inquiry approach was oriented to fostering student inquiry skills through active experiments. The purpose of this study was to design and validated an inquiry-based STEM learning strategy design that could systematically guide instructors or designers in creating an appropriate gifted students learning activities oriented to 21st century skills. Using an established method for model development research, a theoretically constructed initial model was iteratively improved and underwent internal validation through expert review. In a field study of an inquiry-based STEM learning strategy, we examine the design and operational characteristics that were important for the expressive role of the learning strategy. The pilot study indicated that the inquiry-based STEM learning strategy could improve gifted students' abilities in accordance with 21st century learning frameworks.","L1, LB",Journal for the Education of Gifted Young Scientists,2019-03,
FKIP4,Designing an Inquiry-based STEM Learning strategy as a Powerful Alternative Solution to Enhance Students’ 21st Century Skills: A Preliminary Research,"In response to pedagogical challenges in 21st century education, embedded STEM across the primary-secondary school transition had been widely investigated. However, integrated-STEM implementation had not shown practical packaging and could not reach all the skills needed in the 21st century. We proposed an inquiry-based STEM learning strategy to fostering student inquiry skills through investigation. The purpose of this study was to design a hypothetical model of an inquiry-basedSTEM learning strategy design that could systematically guide instructors or designers in creating an appropriate learning activities oriented to 21st century skills. Before conducting the strategy design, we do need assessment survey teacher in Lampung Indonesia to describe teachers’  perceptions about STEM education and career as a starting point for designing a strategy that could follow up the 21st century learning framework. We conduct a cross-sectional non-experimental descriptive survey approach using quetionnaire to 75 teachers in Lampung, Indonesia. Based on data analysis, it indicated that all of the teachers realized about the importance of STEM in education and career dimension and they should take a part in overcoming the 21st century challenging.",LB,Journal of Physics: Conference Series,2019-02,
FKIP9,Seri Pengembangan Termodinamika,,"L1, LB",,2018-05-01,
FKIP4,Implementating Multiple Representation-Based Worksheet to Develop Critical Thinking Skills,"This study aimed to foster students' critical thinking skills through the use of multiple representationbased worksheet. Through a quasi-experimental research design (non-equivalent control group design), the sample of the study consisted of 74 students drawn from a junior high school in North Lampung. This sample was divided into two groups to assign the experimental and control groups. The experimental group was exposed to multiple representation-based worksheet, while the control group was instructed with conventional worksheet The results of independent samples t-test showed that the experimental group was effective in fostering critical thinking skills (N-Gain = 0,34 --medium category). Furthermore, the study found the following indicators: providing an elementary clarification (N-Gain = 0,51 --medium category), building basic support (N-Gain = 0,39 --medium category), inferring (N-Gain = 0,24 --low category), making advance clarification (N-Gain = 0,46 –medium category), and setting the strategies and tactics (N-Gain = 0,10 --low category).",LB,Journal of TURKISH SCIENCE EDUCATION,2019-03,
,THE EFFECT OF FEEDBACK AS SOFT SCAFFOLDING ON ONGOING ASSESSMENT TOWARD THE QUANTUM PHYSICS CONCEPT MASTERY OF THE PROSPECTIVE PHYSICS TEACHERS,"Many recent studies have reported that feedback plays a very important role in students’ learning outcomes. However, currently, feedback has not been utilized by lecturers and students in the learning process effectively. This study aimed to explore the impact of feedback as a soft scaffolding in the ongoing assessment of Quantum Physics class for the students as prospective Physics teachers. A quasi-experimental design non-equivalent pretest-posttest control group was used to examine the effectiveness of feedback based on ongoing assessment. The results of the study revealed that students who received feedback based on metacognitive and social constructivism on studying Quantum Physics showed better average results compared to students who received traditional 
feedback based on the cognitivism in the form of correction.","L1, LB, LB2300",Jurnal Pendidikan IPA Indonesia,2018-03-19,
FKIP2,The Learning Community Based Model In The Context Of Teacher-Parent Partnership For Preparing Post-Disaster Recovery And Resilience Of Elementary Student At Risk Area In Indonesia.,"The frequent disaster events in Indonesia have been a major challenge for concerning more consideration on integrating disaster education curricula'. Models of Learning Community to enhance the students' disaster recovery and resilience have been criticized for not being embedded in the context of partnership between school and society. This paper highlighted an adapted Learning Community model, which the qualitative investigations indicated that it was potentially effective in facilitating students' disaster literacy, attitudes and skills for preparing post-disaster recovery and resilience in the context of learning community approach. The role shift needed to embed and extend the optimalization of teacher-parents involved in the school program that was achieved through the positive support and commitment of them in the engaging of schools program development.","BF, LB",,,
