division,title,abstract,subjects,publication,date,keywords
,THE EFFECT OF FEEDBACK AS SOFT SCAFFOLDING ON ONGOING ASSESSMENT TOWARD THE QUANTUM PHYSICS CONCEPT MASTERY OF THE PROSPECTIVE PHYSICS TEACHERS,"Many recent studies have reported that feedback plays a very important role in students’ learning outcomes. However, currently, feedback has not been utilized by lecturers and students in the learning process effectively. This study aimed to explore the impact of feedback as a soft scaffolding in the ongoing assessment of Quantum Physics class for the students as prospective Physics teachers. A quasi-experimental design non-equivalent pretest-posttest control group was used to examine the effectiveness of feedback based on ongoing assessment. The results of the study revealed that students who received feedback based on metacognitive and social constructivism on studying Quantum Physics showed better average results compared to students who received traditional 
feedback based on the cognitivism in the form of correction.","L1, LB, LB2300",Jurnal Pendidikan IPA Indonesia,2018-03-19,
FKIP4,Teachers' Perceptions toward Student Worksheets Based on Sugarcane Waste Treatment Projects to Improve Students' Creative Thinking Skills,"This study aims to describe teachers’ perceptions towards students’ worksheets based on bagasse waste processing projects to improve students' creative thinking skills. This research was conducted in Lampung Province involving 42 junior high school science teachers. This study uses the ADDIE research and development method by Branch. At the analysis stage, performance analysis and needs analysis are carried out. At the development stage, two education experts validated the suitability of the content with project-based learning steps and indicators of creative thinking skills according to Torrance and validated the suitability of the construction with the components of the student worksheets. At the implementation stage, it will be tested in class VII at SMP Negeri 3 Kotabumi. The evaluation stage is by evaluating the results of students after the learning is carried out. The success of increasing students' creative thinking skills is seen based on the results of n-gain and effect size.",LB2300,Jurnal Pendidikan MIPA,2022-06-10,
FKIP1,Situs Bonjour de France dalam Keterampilan Membaca  di SMA Negeri 16 Bandarlampung,"Abstract  
Le but de cette étude est pour savoir: (1) la capacité de lire du texte français simple à travers du site Bonjour de France, (2) la capacité de lire du texte français simple par d’image, (3) les différences de la capacité de lire du texte français simple à travers du site Bonjour de France et la capacité de lire du texte français simple à travers d’image par les étudiants de la classe X de SMA Negeri 16 Bandarlampung. Cette étude est de recherche quantitative avec des méthodes expérimentales. La population est 48 personnes avec un échantillon de 24 élèves de la classe X IPS 1 et 24 élèves de la classe X IPS 2. L'instrument utilisé est un test vrai-faux. Techniques de collecte de données utilise prétest et posttest. Sur la base des résultats du prétest, la classe expérimentale a obtenu un score moyen de 62 et la classe de contrôle moyenne est de 55. Alors que le résultat du post-test de la classe expérimentale est une valeur moyenne de 88 et la valeur moyenne de la classe de contrôle est 56,25. Ces résultats indiquent qu'il existe des différences entre les étudiants qui utilisent le site Bonjour de France et les étudiants qui utilisent le média d’image. Cela peut être prouvé par les résultats du test T qui correspond à la valeur de signification (0,000 <0,05), puis Ha est accepté et Ho est rejeté. Ainsi, l’hypothèse de recherche est testée et il existe des différences entre les étudiants qui utilisent le site Bonjour de France et ceux qui utilisent le média d’image dans des compétences en lecture de texte simple en français.  
Mots clés: Bonjour de France, le média d’image, compréhension écrite.  
Abstrak  
Tujuan dari penelitian ini untuk mengetahui: (1) kemampuan membaca teks sederhana bahasa Prancis melalui situs Bonjour de France, (2) kemampuan membaca teks sederhana bahasa Prancis melalui media gambar, (3) perbedaan kemampuan membaca teks sederhana bahasa Prancis melalui situs Bonjour de France dan kemampuan membaca teks sederhana bahasa Prancis melalui media gambar pada siswa kelas X di SMA Negeri 16 Bandarlampung. Penelitian ini adalah penelitian kuantitatif metode eksperimen. Populasi berjumlah 48 siswa dengan sampel 24 siswa kelas X IPS 1 dan 24 siswa kelas X IPS 2. Instrumen yang digunakan berupa tes benar salah. Teknik pengumpulan data menggunakan pretest dan posttest. Diketahui bahwa hasil pretest, kelas eksperimen rata-rata nilai sebesar 62 dan rata-rata kelas kontrol 55. Sedangkan hasil posttest kelas eksperimen rata-rata nilai sebesar 88 dan rata-rata nilai kelas kontrol sebesar 56,25. Hasil tersebut menunjukkan bahwa terdapat perbedaan antara siswa yang menggunakan situs Bonjour de France dan siswa yang menggunakan media gambar. Hal itu dapat dibuktikan dengan hasil uji-T yaitu nilai signifikansi (0,000 < 0,05), maka Ha diterima dan Ho ditolak. Dengan demikian hipotesis penelitian ini teruji dan terdapat perbedaan antara siswa yang menggunakan situs Bonjour de France dan siswa yang 
 Prodi Pendidikan Bahasa Prancis FKIP Universitas Lampung              Halaman| 2  
menggunakan media gambar dalam keterampilan membaca teks sederhana bahasa Prancis.   
Kata kunci : Situs Bonjour de France, media gambar, keterampilan membaca",LB2300,Pranala,2018-11-23,
FKIP17,"Student Worksheet Based On Prediction, Observation, Explanation in Physics Subject for 10th Grade","This is a preliminary research of teachers and students' needs in SMAN
1 Abung Semuli. Preliminary research consisted of literature and field
research.The purpose of this researchare; (1) identifyteachers’ needs in
physics facilitations to help students understanding the concepts of
physics; (2) identifystudents’ needs in using the media of physics
subjectin order to use the prediction, observation, explanation (POE)
model; (3) identify whether a student worksheet that contains the syntax
POE on the fluid material needs to be created or developed.This
research uses descriptive method. Sampling technique used is purposive
sampling. The object of this research is the students of 10th grade which
consists of 40 students and 5 physics teachers. Data was collected using
questionnaires, qualitative data analysis, the appropriate interpretation of
the results of analysis of problems and research questions and the
conclusions. The result of the preliminary study are (1) There are
several physics teacherswho have known some acknowledgment about
the prediction, observation, explanation model. (2) Teachers and
students need instructional materials in the form of student worksheet
(LKS) based on POE with a scientific approach that can help students in
understanding the concepts of physics. The conclusion of this research is
to develop student worksheet (LKS) based on POE with a scientific
approach.","LB, LB2300",Proceeding International Conference on Mathematics and Science Education,2016-04-30,
,Visualizing Three-Dimensional Hybrid Atomic Orbitals Using Winplot: An Application for Student Self Instruction,,LB2300,,2015-07-15,
FKIP4,Enhancing Students’ Activity and Science Concept Mastery using Guided Inquiry-Based Practical Manual.,,"L1, LB2300",,2020-12,
FKIP17,PENGEMBANGAN MODUL INTERAKTIF MATERI PEMBIASAN CAHAYA DENGAN STRATEGI INKUIRI,"Development of Interative Module on Refraction of Light with Inqury Strategy. The 
aims of this development research were to make an Interactive module based ICT on refraction of 
light with inqury strategy, to describe the attractiveness, the easiness, and the expediency, and 
also the effectiveness of product. The model used research and development model which included
analysis of need, learning objectives, materials, treatment, first manuscript, prototype production, 
evaluation, revision, final manuscript, product test, and final product. The result of module
product test in SMP Muhammadiyah 1 Gadingrejo showed the attractiveness’s value which got 
score 3.10 (attractive), easiness’s 3.07 (easy), and expediency’s 3.07 (useful), and 82.76 % of 
students have completed KKM is 70.",LB2300,Jurnal Pembelajaran Fisika,2015-11-20,
FKIP17,PENGARUH KETERAMPILAN BERPIKIR KRITIS MELALUI PEMBELAJARAN BERBASIS ANEKA SUMBER BELAJAR TERHADAP HASIL BELAJAR FISIKA SISWA,"The research aimed to know the influence of critical thinking skill 
through multiple source–based learning of student’s learning 
outcome. Research sample were students of class X IPA 1 SMAN 1 
Bangunrejo. The research used One-Shoot Case Study design. Data 
analysis was done by the linearity test and simple linear regression 
test. Base on the data analysis, student’s ability of asking the question 
of each indicator of critical thinking skill determained result of 
critical thinking skill test That result, supported by result that was 
done before and showed that there was effect student’s critical 
thinking skill by multiple based-learning (book compilation, power 
point and learning video) of student’s physics learning outcome, that 
showed by value of r2 (R square) was 0,157 it means critical thinking 
skill had the effect of 15,7% to learning out comebetween students 
who have high self-efficacy While the correlation coefficient of 0,396 
and the regression equation is Y = 62 ,961 + 0,205X1 showed that the 
regression coefficient was positive so that an increase of one score 
critical thinking skill would increased scores of student learning 
outcome was 63,166.",LB2300,Jurnal Pendidikan Fisika,2019-03,
FKIP17,PENGARUH PENGGUNAAN MODUL PEMBELAJARAN  KONTEKSTUAL BERBASIS MULTIPLE REPRESENTATIONS PADA  MATERI FLUIDA STATIS TERHADAP KEMAMPUAN BERPIKIR  KRITIS SISWA,"Penelitian ini bertujuan untuk mengetahui pengaruh penggunaan modul 
pembelajaran kontekstual berbasis multiple representations terhadap 
kemampuan berpikir kritis. Sampel penelitian ini adalah siswa kelas X IPA 1 
dan X IPA 2 SMA Negeri 1 Bandar Surabaya. Penelitian ini dilakukan 
menggunakan tipe Pretest-Posttest Control Group Design. Data diuji dengan 
analisis N-gain, Uji Normalitas, Uji Homogenitas Dan Independent Sample 
T-test. Berdasarkan uji N-gain, nilai rata-rata N-gain kemampuan berpikir 
kritis pada kelas eskperimen sebesar 0,77 dengan kategori tinggi, sedangkan 
kelas kontrol dengan kategori sedang sebesar 0,65, sehingga dapat dinyatakan 
adanya perbedaan kemampuan berpikir kritis kelas ekperimen dan kelas 
kontrol. Hasil dari uji nilai Independent Sample T-test nilai Sig. (2-Tailed) 
kurang dari 0,05 yaitu 0,007, maka dapat dinyatakan terdapat pengaruh yang 
signifikan penggunaan modul pembelajaran kontekstual berbasis multiple 
represe ntations terhadap kemampuan berpikir kritis siswa.",LB2300,Jurnal Pendidikan Fisika,2019-09,
FKIP17,PENGEMBANGAN LKS MODEL INKUIRI TERBIMBING PADA MATERI IMPULS DAN MOMENTUM UNTUK SMA,"The development of Student worksheet (LKS) guided inquiry based of Momentum and 
Impulse matter for senior high school. The development’s aim was to produce an attractive, easy, 
useful, and effective students work sheet (LKS). The steps of LKS development used development 
procedure bassed on Suyanto & Sartinem, while the research method used One-shot Case Study. 
The results of this development research were guided inquiry model of LKS that tested and proper 
to be used with a very attractive, very easy to be used, very useful , and very effective to be used as 
learning media, because students have completed 90% of the minimum standard value (KKM).","L1, LB, LB2300",Jurnal Pembelajaran Fisika,2016-06-01,
