division,title,abstract,subjects,publication,date,keywords
FKIP17,Analisis Kemampuan Berpikir Tingkat Tinggi Siswa SMA pada Materi Hukum Newton Tentang Gerak,"Penelitian ini bertujuan untuk mendeskripsikan kemampuan berpikir tingkat tinggi siswa SMA/MA pada materi Hukum Newton tentang gerak serta mendeskripsikan perbedaan kemampuan siswa berdasarkan gender. Jenis penelitian ini adalah penelitian kuantitatif deskriptif dengan responden berjumlah 456 siswa di Kota Bandar Lampung. Data dikumpulkan menggunakan soal tes pilihan jamak dengan jumlah 20 butir soal yang telah teruji validitas dan reliabilitasnya. Berdasarkan hasil penelitian yang diperoleh, persentase kemampuan berpikir tingkat tinggi siswa tergolong rendah dengan nilai rata-rata sebesar 44,1. Dari ketiga dimensi proses berpikir, rata-rata kemampuan siswa pada level berpikir analisis, evaluasi, dan mencipta, secara berturut-turut adalah 65,0 (cukup tinggi), 28,3 (rendah), dan 29,2 (rendah). Berdasarkan gender, rata-rata kemampuan siswa laki-laki dan perempuan hampir sama, yaitu laki-laki 44,7 dan perempuan 43,7 dan keduanya berkategori rendah. Dari hasil uji t, tidak ditemukan adanya perbedaan yang signifikan antara kemampuan siswa laki-laki dan perempuan. Kesimpulannya adalah kemampuan berpikir tingkat tinggi siswa SMA/MA di Bandar Lampung tergolong rendah dan tidak ada perbedaan yang signifikan mengenai kemampuan siswa antar gender.",LC,Titian Ilmu: Jurnal Ilmiah Multi Sciences,2019-07,
FKIP16,Strategi Inovasi dan Kreativitas Berwirausaha di Era Revolusi 4.0 (Kajian Empiris dan Kajian Literatur),,"L1, LB2300, LC",,2020,
FKIP8,Building the National Identity with the Literacy Culture Revitalization.,,"L1, LB1501, LC, LC5201","Proceedings International Seminar and Annual Meeting 2017 BKS PTN Wilayah Barat Fields of Linguistics, Literature, Arts and Culture.",2017-09-12,
FKIP25,PELATIHAN APLIKASI PLICKERS UNTUK PENILAIAN FORMATIF BERBASIS TIK DALAM PEMBELAJARAN SENI DI LAMPUNG,"Aplikasi merupakan basis pembelajaran yang saat ini banyak digunakan di luar negeri. Pentingnya media berbasis daring ini adalah sebagai bentuk penyesuaian terhadap zaman yang terus berkembang. Parasiswa sebagai generasi milenial sangat dekat dengan ""gadget"" dan berbagai konten berbasis daring. Hal ini yang menyebabkan pembelajaran berbasis aplikasi perlu diterapkan.","LB2361, LC",,,
UNILA5,PEMBUATAN POSTER SIKLUS HIDUP KUPU-KUPU SUMATRA UNTUK MEMBANGUN KESADARAN KEANEKARAGAMAN HAYATI DI TAMAN KUPU-KUPU GITA PERSADA,"Kesadaran masyarakat mengenai kupu-kupu penting untuk dibangun agar konservasi dapat terlaksana dengan sukses dan berkelanjutan. Salah satu cara membangun kesadaran masyarakat adalah melalui marketing kit seperti poster pendidikan. Pembuatan poster pendidikan untuk membangun kesadaran masyarakat mengenai pentingnya konservasi kupu-kupu Sumatra perlu dilakukan. Tahapan kegiatan yang dilakukan terdiri dari 3 tahap, yaitu Diskusi Kebutuhan dengan Masyarakat, Pembuatan Poster Kupu-Kupu Sumatra, dan Pengukuran Kesadaran Pentingnya Konservasi Kupu-Kupu. Kegiatan pembuatan poster dilakukan berkoordinasi dengan ahli kupu-kupu Sumatra dan menggunakan metode pemaparan informasi yang tepat sasaran. Tolak ukur capaian dilakukan menggunakan observasi dan wawancara untuk mengetahui kesesuaian tujuan dengan capaian. Dibuat 2 poster terkait siklus kupu-kupu. Poster dicetak dalam ukuran A3 dan diperbanyak yang kemudian dipasang di Taman Kupu-Kupu Gita Persada dan juga disediakan sebagai souvenir. Hasil dari kegiatan adalah terbantunya Taman Kupu Gita Persada dalam membantu mensosialisasikan mengenai konservasi kupu-kupu tanpa harus berinteraksi penuh dengan pengunjung. Masyarakat menjadi tahu pentingnya kupu-kupu sebagai indikator keanekaragaman hayati dan merasa perlu untuk peduli terhadap pelestarian alam dalam menjaga keanekaragaman hayati.",LC,,2019-04-24,
FKIP1,"An Investigation to Novice English Teachers’ Self-Consideration Upon Their Decision of Joining Teacher Study Group: A Case Study in Bandar Lampung, Indonesia","Personality traits and personal reference of three NETs are observed through in-depth interview, participants’ account through individual log book, and observation during initial group sessions. The result of the investigation signifies that introverts have more or less equal possibility to join group with the extroverts. In spite of suggestion that extroverts are likely to succeed a group work, this finding offers different idea. Personal reference that does not support their participation in TSG does not instantly drive NETs to decide to not joining TSG. On the contrary, they take the challenge and participate voluntarily.
Key words:
Personality, Past Experience, Self-Directedness, Andragogy",LC,WALS 2014 International Conference Proceeding,2014-11-25,
FKIP20,COMPARISON OF CRYOTHERAPY AND FOAM ROLLING ON PERFORMANCE AND LACTATE LEVELS IN FUTSAL ATHLETES,"The use of Cryotherapy and Foam rolling methods is considered to speed up the post-exercise recovery process. However, so far there have been no studies comparing the two methods, thus the aim of this study was to compare the Cryotherapy and Foam rolling methods on performance and lactate levels in futsal athletes. This study uses an experimental method with a one-way crossover design pretest-posttest approach. The total subjects were 16 Amateur Futsal Players with an average age, 20.25 1.23 years; height, 168.87 ± 2.02 cm; and weight, 54.61 ± 1.94 kg, BMI, 19.16± 1.01 kg/m-2. The results showed that foam rolling and cryotherapy had no effect on physical performance, but both methods could significantly reduce lactate levels. However, in this case the foam rolling method showed an improvement in the 20-meter sprint which was better than cryotherapy. Thus, the results of this study provide a recommendation for

futsal athletes to use foam rolling in the post-exercise recovery process.

Keywords: Cold water immersion, Recovery, Foam rolling","L1, LB, LB1501, LC, LC5201, Q1",COMPARISON OF CRYOTHERAPY AND FOAM ROLLING ON PERFORMANCE AND LACTATE LEVELS IN FUTSAL ATHLETES,2021-08,"Cold water immersion, Recovery, Foam rolling"
FKIP20,"EVALUATION STUDY ON TEACHER COMPETENCY PHYSICAL EDUCATION, SPORTS AND HEALTH (PJOK) IN PESAWARAN DISTRICT",,"L1, LA, LB, LB1501, LC, LC5201",Kinestetik,2021,
FKIP20,Efektivitas Kepemimpinan Lembaga Swadaya Masyarakat dalam Pembinaan Olahraga Prestasi (Studi Kasus di Padepokan Angkat Besi dan Angkat Berat Gajah Lampung),"Abstrak Masalah

asalah utama yang diteliti adalah elektivitas kepemimpinan Lembaga Swadaya Masyarakat dalam pembinaan olahraga prestasi pada angkat besi dan angkul berat. dengan memperhitungkan konteks lingkungan sosial budaya dan sosialisasi para atlet usia muda serta peranan kebijakan pemerintah serhadap pembinaan prestasi lahraga yang berkaitan dengan penghargaan dan bantuan Hubungan fungsional antara prestasi angkat besi dan angkat berat dengan fisik, fisiologis dan motivasi para atles juga menjadi fokus kajian Untuk menjawab masalah tersebut, dus pendekatan yatig ditempuh, yaitu pendekatan kualitatif disusul dengan pendekatan kuantitauf. Seimentara unit analisis adalah Padepokan Gajah Lampung serta pembina dan 47 orang utlet 120 putri dan 27 putraj Data kualitatif diperoleh melalu wawancara. observasi dokumentasi dan argket, sedangkan data kuantitutif melalui tes dan pengukuran serta angket. Kesimpulan (1) gaya kepemimpinan pelatih, dan lingkungan sosial budaya berpengaruh terhadap efektifitas pembinaan, (23 Terdapat hubungan fungsional antara faktor fisik (tinggi badan) dengan prestasi angkatan pada atlet putra dan putri, Sedangkan tarikan lengan dan power (putra), serta lingkar lengan dan genggam tangan kanan (putri) juga ada hubungan dengan prestasi angkatan

Kata Kunci Lembaga Swadaya Masyarakat, fisk, fisiologns, metsas kahtard, kannatif","L1, LA, LB, LB1501, LC, Q1",Efektivitas Kepemimpinan Lembaga Swadaya Masyarakat dalam Pembinaan Olahraga Prestasi (Studi Kasus di Padepokan Angkat Besi dan Angkat Berat Gajah Lampung),2012-06,
FKIP20,Kemampuan Fisik dan Akademik Mahasiswa S1 Penjaskes yang Diterima Melalui Jalur PKAB dan SPMB Tahun 2005,"Abstract: This study aimed to examine the physical ability (physical fitness) and academic (grade) students of Physical Education and Health FKIP Lampung University received through channels and SPMB PKAB force in 2005 The method used in this research is descriptive through tests and documentation The results showed (1) the physical ability of students accepted through SPMB point average higher than the students accepted through PKAB point, either at the beginning of ac ceptance or at the end of the semester with a difference of 1 0142 and (2) academic ability PKAB higher than SPMB students, but the difference is relatively small that is equal to 0 5676

Key words: physical ability, academic ability, SPMB, and PKAB","L1, LB1501, LC, Q1",Kemampuan Fisik dan Akademik Mahasiswa S1 Penjaskes yang Diterima Melalui Jalur PKAB dan SPMB Tahun 2005,2009-12,
