division,title,abstract,subjects,publication,date,keywords
,Pepaccur Local Wisdom in Indonesia,,LC5201,,2019,
FKIP12,Motivasi Guru Non Pendidikan Kewarganegaraan Untuk Menjadi Guru PkN di Kota Bandar Lampung,,"H1, L1, LC5201",,2013,
FKIP4,the Application of Discovery Learning Using Interactive Multimedia to Enhance Students' Metacognition on the Content Area of Biological Inheritance.,,"L1, LB1501, LC5201",,2017-11-13,
,School-Based Management In Realizing Child-Friendly Schools In The Era Of Covid-19 Pandemic In An Indonesian School,"This study aimed to reveal and explain the implementation of school-based
management (SBM) in realizing principles of child-friendly schools (CFSs) in the era of the Covid-19 Pandemic in Public Junior High School (SMPN) 1 Bandar Lampung, Lampung Province. This research used qualitative approach with a case study method. In collecting data, the researchers used the triangulation method (indepth interviews, observation, and documentstudy). This study found that implementing SBM in realizing CFS in the Covid-19 Pandemic Era was carried out by 1) school management for the purpose of contributing to achieving transparent and efficient school management and not to discouraging children’s participation in decision making, 2) active, creative, effective and fun learning, namely teaching and learning activities and positive interactions between teachers and students in schools and 3) community participation, namely direct involvement of parents and the community in improving the quality of education and increasing understanding and commitment to children’s rights.","L1, LB1501, LC5201",International Journal of Educational Research & Social Sciences,2021-08-01,
FKIP12,Pengaruh Literasi Digital Terhadap Etika Bermedia Sosial Peserta Didik,"Tujuan dari penelitian ini adalah untuk mengetahui dan melihat bagaimana Pengaruh Literasi Digital terhadap Etika Bermedia Sosial pada Peserta Didik. Metode penelitian yang digunakan dalam penelitian ini adalah metode deskriptif dengan pendekatan kuantitatif. Subjek penelitian ini yakni peserta didik di Madrasah Aliyah Negeri 1 Lampung Utara. Sampel dalam penelitian ini berjumlah 88 responden. Teknik pengumpulan data dalam penelitian ini menggunakan teknik angket dan wawancara. Teknik analisis data pada penelitian ini yakni menggunakan uji regresi sederhana dengan bantuan Statistical Product and Service Solutions versi 25. Hasil dari penelitian ini menunjukkan bahwa terdapat pengaruh antara Literasi Digital terhadap Etika Bermedia Sosial sebesar 42,1%. Hal ini terihat dari tertanamnya pilar literasi digital pada diri peserta didik yang akan membawanya pada kualitas diri yang baik, seperti dalam etika bermedia sosial. Penerapan etika diruang digital dapat dipengaruhi oleh masing-masing dari diri individu, sehingga adanya penguasaan soft skill literasi digital. Sementara itu, sisahnya sebesar 57,9% dipengaruhi faktor lain selain literasi digital.","H1, HM, HV, LC5201",Mindset: Jurnal Pemikiran Pendidikan dan Pembelajaran,2023-07-27,
FKIP3,Developing Worksheet Based on Multiple Intelligences to Optimize the Creative Thinking Student,"The research and development of worksheet based on multiple intelligences aims to develop and describe the effectiveness of worksheet based on Multiple Intelligences to optimizing the ability of creative thinking students.The type of research used is research and development that refers to the theory of Borg & Gall. The population of this research is the students of 5th grade of Primary School in Metro East. The sample of this research was 33 students of 5th grade in Primary School is determined using purposive sampling technique. Data were collected
used questionnaires and test questions. The results showed that worksheet based on Multiple Intelligences
effectively optimize the creative thinking students.","L1, LB1501, LC5201",,2018,
FKIP3,Pembentukan Kompetensi Pedagogik dan Profesional Guru SD melalui Hybrid Learning pada Pendidikan Profesi Guru Dalam Jabatan,"Tujuan penelitian ini adalah mendeskripsikan dan menganalisis kesiapan guru, pelaksanaan, kemampuan mengatasi kendala, dan tindak lanjut mengikuti hybrid learning kegiatan PPG SD Dalam Jabatan dalam pembentukan kompetensi pedagogik dan profesional guru sekolah dasar. Metode penelitian yang dilakukan adalah kualitatif fenomologi, dengan rancangan studi kasus yaitu mendeskripsikan dan menganalisis kegiatan hybrid learning dalam PPG Dalam Jabatan Guru Sekolah Dasar tahun 2019. Analisis data merujuk teori Miles dan Huberman (1994) dilakukan secara interaktif melalui proses: (1) pengumpulan data, (2) reduksi data (data reduction), (3) penyajian data (data display), dan (4) penarikan kesimpulan serta verifikasi (conclusion drawing and verification) yang dilakukan selama dan setelah pengumpulan data, berdasarkan temuan dan verifikasi data. Hasil penelitian menunjukkan bahwa peserta PPG SD Dalam Jabatan (1) memiliki kesiapan administrasi dan persyaratan akademik yang ditentukan,
(2) dapat mengikuti pelaksanaan daring hybrid learning dengan baik, (3) dapat mengatasi kendala daring melalui kerjasama dengan peserta lainnya, dan (4) dapat menindaklanjutkan kegiatan lokakarya di LPTK","L1, LB1501, LC5201",JURNAL INOVASI PENDIDIKAN DAN PEMBELAJARAN SEKOLAH DASAR,2019-12-12,
FKIP3,"Development of Students’ Worksheet
Based on Quantum Learning to Improve
Students’ Critical Thinking Ability in 5th Grade Elementary School","The research and development is aims to develop and describe the effectiveness of worksheet based on Quantum learning to improve the ability of critical thinking students. The type of research used is research and development that refers to the theory of Borg & Gall. The population of this research is the students of 5th grade of Elementary School in North Metro. The sample of this research was 33 students in 5th grade class A of Elementary School 1 North Metro. Data were collected used questionnaires, observation sheet and  test questions. Data were analyzed using N-Gain effectiveness test. The results showed that worksheet based on Quantum learning is feasible to use and effective to improving the ability of critical thinking students.","L1, LB1501, LC5201",,2019,
FKIP21,"VISUALIZING THREE DIMENSIONAL HYBRID ATOMIC ORBITALS USING WINPLOT:
AN APPLICATION FOR STUDENT SELF INSTRUCTION",,"L1, LB1501, LC5201",,2015,
FKIP8,The Application of Project Based Learning Models to Improve The Skills of Writing Negotiation Text for Students in Al Azhar 3 Bandar Lampung High School,"Background: The problem in this study is the low skills of writing negotiation text of class X IPS Al Azhar 3
Bandar Lampung High School in the 2019/2020 academic year. This study aims to describe (1) the learning
plan, (2) implementation with a Project Based Learning model. The benefits of this research are to foster
student learning activity and motivation, broaden insight and knowledge for educators/researchers, contribute
to school principals to determine school policies to improve the quality of learning, especially writing lessons.
This study used a Classroom Action Research design, the process consisted of four stages, namely planning,
implementing, observing, and reflecting. This action research was conducted in three cycles, and each cycle
consisted of two meetings.
Materials and Methods: The type of research used is Classroom Action Research which is conducted in three cycles. Place of research at Al Azhar 3 Bandar Lampung High School. Cycle I, cycle II, and cycle III through the application of a project based learning model. The cycle consists of planning, implementing, observing, and reflecting.
Results: The results of this study indicate that (1) the learning plan to write negotiating texts through the
application of the project based learning model for class X IPS 3 Al Azhar 3 Bandar Lampung High School in the precondition is 58.65 with a poor category, cycle I is 70.67 with adequate category, cycle II was 80.76 with a good category, and cycle III was 95.19 with a very good category; (2) the implementation of learning in the precondition 62.91 in the sufficient category, the first cycle of 72.5 in the sufficient category, the second cycle of 81.25 with the good category, and the third cycle of 95.83 with the very good category; (3) the average increase in the quality of learning to write negotiating text for students in class X IPS 3 Al Azhar 3 Bandar Lampung High School in precondition is 64.09 with sufficient category, cycle I is 70.93 with enough category, cycle II is 74.78 with good category, and cycle III of 90.65 with a very good category.
Conclusion: Learning activities as a whole, both from lesson planning, learning implementation, and learning
assessment from preconditions, cycle I, cycle II, and cycle III have increased.
Keywords: Project based learning model, negotiation text, classroom action research.","L1, LB1501, LC5201",IOSR Journal of Research & Method in Education (IOSR-JRME),2021-02-01,"Project based learning model, negotiation text, classroom action research."
