division,title,abstract,subjects,publication,date,keywords
FKIP18,MODEL DESAIN PEMBELAJARAN,"Buku ini menyajikan berbagai teori model desain pembelajaran yang mudah dipahami oleh guru dan calon guru sehingga dapat membantu guru dan calon guru dalam merancang dan mempersiapkan pembelajaran. Penulisa menyajikan pula informasi secara lengkap tentang beberapa model desain pembelajaran secara sistematis dan mudah dipahami, mulai dari konsep model desain pembelajaran, sejarah munculnya model desain pembelajaran, langkah-langkah dalam merancang model desain pembelajaran, serta kelebihan dan kekurangan model desain pembelajaran.
Dalam buku ini, penulis menyajikan berbagai Model Desain Pembelajaran, antara lain; (1) Dick And Carrey, (2) ADDIE, (3) ASSURE, (4) Kemp, (5) Hanafin & Peck, (6) IDI, (7) ILDF, (8) PPSI.","L1, LT",,2022-12,
FKIP12,Buku Ajar Integrasi Nasional,,"H1, L1, LT",,2022-11,
FKIP1,Paragraph Writing for Academic Courses,,LT,,,
,Refining Sentence Writing Skills for Professional and Academic Purposes,,LT,,,
FKIP25,Program Pelatihan Gamolan Anak Daerah,"Kegiatan pengabdian Pola Ganda (Program Pelatihan Gamolan Anak Daerah) dilatarbelakangi dari pemikiran bahwa perlu adanya pengenalan dan pengembangan alat musik Gamolan di SD Negeri 2 Sulusuban. Hal tersebut dikarenakan Gamolan yang merupakan salah satu kebanggaan masyarakat Lampung memperlihatkan fakta yang cukup ironi, karena pada kenyataannya sebagian besar masyarakat Lampung khususnya di Desa Sulusuban Kabupaten Lampung Tengah belum mengetahui alat musik tersebut. Dengan harapan bahwa melalui pengabdian  ini dapat meluruskan pengertian yang keliru di masyarakat sekaligus sebagai upaya pelestarian, perlindungan, pengembangan dan pemanfaatan Gamolan, serta bertujuan untuk mengefektifkan Pola Ganda dalam mewujudkan generasi berwawasan budaya sekaligus mampu menjadi pertimbangan dan memberi semangat pemerintah untuk lebih melestarikan budaya lokal. Pengabdian Pola Ganda dilakukan dengan cara memberikan pembelajaran mengenai sejarah dan pembuatan Gamolan serta pelatihan secara intensif beberapa tabuhan Gamolan yang dikolaborasikan dengan Rebana dan Gong kepada siswa yang tergabung dalam komunitas Muli-Meranai Gamolan serta dewan guru SD Negeri 2 Sulusuban. Proses pelatihan menggunakan metode Rolling Group dan pembelajaran yang bersifat fun learning.","L1, LT, M1",POLA GANDA (PROGRAM PELATIHAN GAMOLAN ANAK DAERAH) SEBAGAI UPAYA TERWUJUDNYA GENERASI BERWAWASAN BUDAYA DI SDN 2 SULUSUBAN LAMPUNG TENGAH,2018-06-01,
FKIP25,POLA GANDA (PROGRAM PELATIHAN GAMOLAN ANAK DAERAH) SEBAGAI UPAYA TERWUJUDNYA GENERASI BERWAWASAN BUDAYA DI SDN 2 SULUSUBAN LAMPUNG TENGAH,"Kegiatan pengabdian Pola Ganda (Program Pelatihan Gamolan Anak Daerah) dilatarbelakangi dari pemikiran bahwa perlu adanya pengenalan dan pengembangan alat musik Gamolan di SD Negeri 2 Sulusuban. Hal tersebut dikarenakan Gamolan yang merupakan salah satu kebanggaan masyarakat Lampung memperlihatkan fakta yang cukup ironi, karena pada kenyataannya sebagian besar masyarakat Lampung khususnya di Desa Sulusuban Kabupaten Lampung Tengah belum mengetahui alat musik tersebut. Dengan harapan bahwa melalui pengabdian ini dapat meluruskan pengertian yang keliru di masyarakat sekaligus sebagai upaya pelestarian, perlindungan, pengembangan dan pemanfaatan Gamolan, serta bertujuan untuk mengefektifkan Pola Ganda dalam mewujudkan generasi berwawasan budaya sekaligus mampu menjadi pertimbangan dan memberi semangat pemerintah untuk lebih melestarikan budaya lokal. Pengabdian Pola Ganda dilakukan dengan cara memberikan pembelajaran mengenai sejarah dan pembuatan Gamolan serta pelatihan secara intensif beberapa tabuhan Gamolan yang dikolaborasikan dengan Rebana dan Gong kepada siswa yang tergabung dalam komunitas Muli-Meranai Gamolan serta dewan guru SD Negeri 2 Sulusuban. Proses pelatihan menggunakan metode Rolling Group dan pembelajaran yang bersifat fun learning.","AC, LT",,2018-06-01,
,"POLA GANDA (PROGRAM PELATIHAN GAMOLAN ANAK DAERAH) SEBAGAI UPAYA TERWUJUDNYA GENERASI BERWAWASAN BUDAYA DI SDN 2 SULUSUBAN LAMPUNG TENGAH,","Kegiatan pengabdian Pola Ganda (Program Pelatihan Gamolan Anak Daerah) dilatarbelakangi dari pemikiran bahwa perlu adanya pengenalan dan pengembangan alat musik Gamolan di SD Negeri 2 Sulusuban. Hal tersebut dikarenakan Gamolan yang merupakan salah satu kebanggaan masyarakat Lampung memperlihatkan fakta yang cukup ironi, karena pada kenyataannya sebagian besar masyarakat Lampung khususnya di Desa Sulusuban Kabupaten Lampung Tengah belum mengetahui alat musik tersebut. Dengan harapan bahwa melalui pengabdian ini dapat meluruskan pengertian yang keliru di masyarakat sekaligus sebagai upaya pelestarian, perlindungan, pengembangan dan pemanfaatan Gamolan, serta bertujuan untuk mengefektifkan Pola Ganda dalam mewujudkan generasi berwawasan budaya sekaligus mampu menjadi pertimbangan dan memberi semangat pemerintah untuk lebih melestarikan budaya lokal. Pengabdian Pola Ganda dilakukan dengan cara memberikan pembelajaran mengenai sejarah dan pembuatan Gamolan serta pelatihan secara intensif beberapa tabuhan Gamolan yang dikolaborasikan dengan Rebana dan Gong kepada siswa yang tergabung dalam komunitas Muli-Meranai Gamolan serta dewan guru SD Negeri 2 Sulusuban. Proses pelatihan menggunakan metode Rolling Group dan pembelajaran yang bersifat fun learning.","AC, LT",,2018-06-01,
FKIP1,Basic Understanding of Translation: Theoretical and Practical Points of View,,LT,,2017-08-31,
FKIP1,Grammar first: Menguasai 12 tenses dasar bahasa Inggris,"Buku Grammar First: Menguasai 12 Tenses Dasar Bahasa Inggris ini memberikan pemaparan dasar struktur tenses Bahasa Inggris yang sangat penting bagi para pemelajar sebagai modal dan pondasi awal untuk menuju penguasaan struktur gramatika Bahasa Inggris lanjut yang ditulis dalam Bahasa Indonesia yang singkat, jelas, dan non-teknis. Selain itu, buku ini juga disertai dengan supplementary information penting yang meliputi irregular verbs, Yes/No questions dan question words (wh-questions), alphabet, numbers, greetings, telling time, bentuk be, tongue twister (pembelit lidah), dan cara pembentukan kalimat dalam bahasa Inggris.","L1, LT",,2019-12,
FKIP1,Essentials of English: Pemahaman Dasar Kelas Kata dan Tenses Bahasa Inggris,"Mempelajari dan memahami struktur gramatika Bahasa Inggris merupakan suatu keharusan bagi mahasiswa atau siapapun yang ingin menguasai bahasa tersebut.  Mempelajarinya tidaklah sulit karena bahasa ini memiliki pola yang sangat baik. Buku Essentials of English: Pemahaman Dasar Kelas Kata dan Tenses Bahasa Inggris ini memberikan pemaparan dasar kelas kata atau parts of speech dan struktur tenses Bahasa Inggris yang sangat penting bagi para pemelajar sebagai modal dasar dan pondasi awal untuk menuju penguasaan struktur gramatika Bahasa Inggris selanjutnya yang ditulis dalam Bahasa Indonesia yang singkat, jelas, dan non-teknis. 

Buku ini merupakan salah satu buku pegangan dalam mata kuliah Basic Structure di tingkat perguruan tinggi yang bertujuan agar mahasiswa mampu menguasai tata bahasa Inggris dan mampu menerapkan tata bahasa Inggris tingkat dasar dalam berkomunikasi lisan dan tulisan dengan cara mahasiswa mengkaji jenis-jenis kata atau parts of speech, berlatih mengidentifikasi unsur-unsur kalimat dalam berbagai jenis kalimat, mengkaji berbagai tense, berlatih mengidentifikasi berbagai tense, berlatih memproduksi kalimat lisan dan tulis dengan menggunakan berbagai bentuk dan jenis frasa, berlatih memproduksi kalimat lisan dan tulisan dengan menggunakan berbagai bentuk dan jenis klausa, dan berlatih memproduksi kalimat lisan dan tulis dengan menggunakan berbagai tense. 
Selain itu, buku Essentials of English: Pemahaman Dasar Kelas Kata dan Tenses Bahasa Inggris ini dapat digunakan oleh siapapun (siswa, mahasiswa, guru, akademisi, dan umum) yang tertarik memahami dan menguasai kelas kata atau parts of speech dan struktur tenses Bahasa Inggris. Dasar yang harus terlebih dahulu dipahami dan dikuasai sebagai pondasi awal dalam menguasai Bahasa Inggris yang dijelaskan dalam buku ini meliputi sembilan bentuk parts of speech dan delapan bentuk tenses untuk menunjukkan waktu terjadinya suatu kejadian atau peristiwa (waktu lampau, waktu sekarang, dan waktu yang akan datang) dan cara penggunaannya. 

Dengan memberikan pemaparan dasar mengenai kelas kata atau parts of speech struktur tenses Bahasa Inggris, maka diharapkan buku ini mampu mengisi kekosongan diantara sumber-sumber ilmu pengetahuan Bahasa Inggris yang telah ada dan tersedia. 

Buku ini merupakan edisi pertama sehingga buku ini masih jauh dari sempurna. Oleh karena itu, kritik dan saran yang membangun dari para pembaca sangat diharapkan demi perbaikan buku ini pada edisi mendatang.","L1, LT, PE",,2018,
FKIP23,Model Pembelajaran Sentra: Implementasi di Lembaga Pendidikan Anak Usia Dini,Buku Model Pembelajaran Sentra (Implementasi di Lembaga PAUD ini dimaksudkan untuk memberikan sumber bacaan alternatif bagi para guru dan atau calon guru dalam merancang pembelajaran yang inovatif dan model pembelajaran sentra dapat dijadikan sebagai pilihan yang tepat dalam memberikan stimulasi yang sesuai dengan minat dan bakat anak usia dini.,"L1, LB1501, LB2361, LT",,2022-07,
FKIP2,PSIKOLOGI PENDIDIKAN,"Psikologi pendidikan merupakan sebuah kajian psikologi yang diaplikasikan dalam proses pendidikan, terutama dalam proses pembelajaran termasuk segala yang terlibat dalam proses pembelajaran, upaya memaksimalkan proses pendidikan sesuai dengan tujuan pendidikan, baik tujuan pendidikan nasional, pendidikan institusional maupun instruksional. 
Psikologi pendidikan membahas tentang siswa selaku peserta didik dengan berbagai macam karkater dalam proses belajar dan guru sebagai pengajar. Tujuan dan fungsi psikologi pendidikan secara umum ialah untuk mengetahui proses interaksi belajar anak dalam kesaharian dan meningkatkan dan mengembangkan serta metode pelajaran dalam situasi tertentu yang sesuai dengan tingkat usia dalam limgkungan pendidikan. 
Tujuan psikologi pendidikan adalah untuk mempelajari tingkah laku manusia, bagaimana tingkah laku itu tercipta dan bagaimana tingkah laku itu diubah melalui proses pendidikan. Tujuan psikologi pendidikan yaitu untuk menemukan berbagai fakta, generalisasai yang berkaitan dengan pendidikan untuk digunakan dalam melaksanakan proses pembelajran dan pendidikan yang efektif dan efisien. Mempelajari psikologi pendidikan tidak serta merta menjadikan pendidik, calon pendidik menjadi pendidik yang baik. (Mochamad Nursalim, dkk. 2007). Akan tetapi dengan mempelajari psikologi pendidikan pendidik dapat (a) memahami karakteristik peserta didik, (b) pemahaman karakteristik proses belajar mengajar, dan (c) memahami lingkungan sekitar peserta didik untuk dimanfaatkan dalam peningkatan proses dan hasil belajar, sehingga dapat memberikan prinsip-prinsip untuk digunakan dalam membuat keputusan dalam proses pendidikan Psikologi pendidikan memberikan gambaran dan penerapan tentang pengalama-npengalaman belajar seoarang individu sejak dilahirkan sampai usia tua, sehingga pendidik dengan mudah memahami karakter, bakat dan minat peserta didik dan akan lebih bijaksana mendidik dan membimbing anak didiknya dalam proses pembelajaran.","L1, LT",,2021-05-17,
FKIP1,Mari menulis naskah artikel untuk publikasi di jurnal internasional bereputasi: Panduan sederhana untuk mahasiswa dan dosen,,"L1, LT",,2021-05-31,
FKIP1,Cultural Values in a High School EFL Textbook in the Indonesian Context,"Although considerable amount of research on culture and ideology in textbooks has appeared previously in the literature, less attention has been paid to cultural values and gender ideology in EFL textbooks in the Indonesian context. They are inseparable from education goals that can form learners' characters in the context of national education system. Therefore, this study was aimed at explaining cultural values and identifying gender ideology contained in one of EFL textbooks in Indonesia. This study was conducted through a descriptive qualitative approach in which the data were collected from an EFL textbook through a systematic procedure of document analysis involving skimming, reading (thorough examination), and interpretation. The results indicate that the high school EFL textbook under investigation contains cultural values and gender ideology. Females are more prominent in terms of intellectual portrayals compared to males. However, females are still attached to a more sensitive and caring image about humanity. In terms of personality, both females and males have an intellectual personality trait, a thinker. However, being domestic work-oriented, parenting, and caring for family are traits and occupational roles attributed to females. In addition, females are represented as weak beings (victims), while males are positioned as a strong and brave character. Seen from ideological point of view, gender ideology is found in the form of women's wider emancipation in the public sphere, but the stereotype of women as weak and domestic work-oriented beings and the prominent role of men as ""rulers"" of life are still apparent. The implications for EFL textbook writing and recommendations for future research are also discussed.","H1, L1, LT",Universal Journal of Educational Research,2020-05,
FKIP12,Buku Panduan Media Dukasan,,LT,,2017-04-17,
