division,title,abstract,subjects,publication,date,keywords
FKIP25,"Virtual Choir: Bentuk Penyajian Paduan Suara 
di Masa Pandemi Covid-19","Pandemi Covid-19 memberikan dampak yang cukup besar di berbagai
bidang, salah satunya adalah seni paduan suara. “Tetap menjaga jarak” merupakan
anjuran pemerintah Republik Indonesia yang menyebabkan kegiatan paduan suara tidak
dapat dilakukan secara bersama-sama dan tatap muka sebagaimana mestinya.
Berdasarkan kondisi tersebut maka munculah alternatif lain dalam melakukan kegiatan
seni paduan suara, yaitu dalam bentuk paduan suara virtual (virtual choir), dimana para
penyanyi tidak berada dalam satu ruang yang sama, melainkan bernyanyi di rumah
masing-masing. Namun demikian, dengan kondisi tersebut para kelompok paduan suara
tetap dapat menyajikan sajian pertunjukan paduan suara yang menakjubkan. Bahkan,
konser paduan suara virtual kini menjadi trend, dan berhasil mempertahankan eksistensi
seni paduan suara di tengah masa pandemi Covid-19. Kondisi tersebut dapat dimaknai
sebagai perubahan bentuk paduan suara, yang semula syarat akan interaksi langsung
antar anggota paduan suara, kini dilakukan secara virtual tanpa beratatap muka. Artikel
ini akan membahas tentang bentuk baru dalam sajian seni paduan suara di masa
pandemi Covid-19. Ruang lingkup kajian meliputi proses latihan, teknik blending dalam
paduan suara virtual, dan bentuk penyajian paduan suara virtual kepada audience.","M1, ML",Prosiding Seminar Nasional Implementasi Merdeka Belajar di Masa Pandemi Covid 19: Peluang dan Tantangan,2021-02-16,
FKIP25,Translating the Lampung Oral Literature into Music for Educational Purpose: A Case Study of Pisaan on the Indonesian Island of Sumatra,"A large body of data concerning oral literature around the globe have been reported. Moreover, in Indonesia, a country with multilingual and multicultural contexts, the study of oral literature has become an important aspect of investigation. One of the oral pieces of literature that exists in Indonesia is Pisaan, an oral tradition that can be found in Lampung, a province located on the southern tip of the island of Sumatra. Although a considerable amount of oral literature research has been conducted in the Indonesian context; however, to our best knowledge, little research has been paid to Pisaan oral literature, which plays an essential role in the Lampung community. Therefore, this study aimed to examine the oral literature by translating and transforming the Pisaan oral literature into lyrics and musical elements to educate future generations. This study adopted a qualitative approach using several instruments, i.e., semistructured interviews and recording tools, for data collection. A total of four women who were cultural activists in the age range of 37–76 years of age took part in the current study. The collected data were analyzed using a content analysis and a melody structure analysis. The results show that Pisaan has simple syllabification, which dominantly consists of consonant–vowel (CV) and consonant–vowel–consonant (CVC). The rhythm of Pisaan is categorized into syllabic time syllables, emphasizing the stress word based on its syllables. From a musical perspective, the Pisaan oral literature has been successfully translated and written into musical notation with the aim of preservation, which, as far as we are aware, has never before been done. However, we realize that the Western music notation in this study only serves as the initial stage of analysis and does not aim to replace the distinctive native-cultural values of Pisaan, offering an alternative instructional path for improving Lampung oral literature teaching methods and a valuable strategy to diversify undergraduate courses through comparable interdisciplinary inquiries. Therefore, limitations and suggestions for future research are also discussed.","M1, ML, MT, PL",Education Research International,2023,
FKIP25,Program Pelatihan Gamolan Anak Daerah,"Kegiatan pengabdian Pola Ganda (Program Pelatihan Gamolan Anak Daerah) dilatarbelakangi dari pemikiran bahwa perlu adanya pengenalan dan pengembangan alat musik Gamolan di SD Negeri 2 Sulusuban. Hal tersebut dikarenakan Gamolan yang merupakan salah satu kebanggaan masyarakat Lampung memperlihatkan fakta yang cukup ironi, karena pada kenyataannya sebagian besar masyarakat Lampung khususnya di Desa Sulusuban Kabupaten Lampung Tengah belum mengetahui alat musik tersebut. Dengan harapan bahwa melalui pengabdian  ini dapat meluruskan pengertian yang keliru di masyarakat sekaligus sebagai upaya pelestarian, perlindungan, pengembangan dan pemanfaatan Gamolan, serta bertujuan untuk mengefektifkan Pola Ganda dalam mewujudkan generasi berwawasan budaya sekaligus mampu menjadi pertimbangan dan memberi semangat pemerintah untuk lebih melestarikan budaya lokal. Pengabdian Pola Ganda dilakukan dengan cara memberikan pembelajaran mengenai sejarah dan pembuatan Gamolan serta pelatihan secara intensif beberapa tabuhan Gamolan yang dikolaborasikan dengan Rebana dan Gong kepada siswa yang tergabung dalam komunitas Muli-Meranai Gamolan serta dewan guru SD Negeri 2 Sulusuban. Proses pelatihan menggunakan metode Rolling Group dan pembelajaran yang bersifat fun learning.","L1, LT, M1",POLA GANDA (PROGRAM PELATIHAN GAMOLAN ANAK DAERAH) SEBAGAI UPAYA TERWUJUDNYA GENERASI BERWAWASAN BUDAYA DI SDN 2 SULUSUBAN LAMPUNG TENGAH,2018-06-01,
FKIP25,Gamolan dan Hadrah,,"M1, ML, MT",,2020-12-11,
FKIP25,"ASAL ISTILAH, SEJARAH, TOKOH SAMPAI SUBGENRE JAZZ SECARA SINGKAT","Istilah jazz sendiri sebetulnya masih menjadi perdebatan dikalangan ahli sejarah, tetapi jika dilihat dari “slang” bahasa Perancis, istilah jazz mengarah kepada “sexual intercourse” (hubungan seksual). Tentu saja ini sangat berkaitan dengan kondisi pergaulan masyarakat di sana pada saat itu yang jelas jauh berbeda dengan wilayah kita di Indonesia.","M1, ML",SOCRATESLINE,2019,
FKIP25,"Alau in ""G""","Sebuah karya aransemen musik yang berakar dari tardisi Lampung dengan nuansa pop-jazz dengan instrumentasi drum, piano, gitar, gamolan, dan kontra bas. Lagu ini bernada dasar G dan termasuk jenis musik instrumental dengan improvisasi gitar.",M1,,,
FKIP25,Alau in G,sebuah aransemen lagu daerah Lampung dengan nuansa Jazz,M1,,,
FKIP25,Analisis Musik,"Analisis musik adalah bagian penting dalam studi musik dan
pengembangan kemampuan bermusik. Penulis menyarankan bagi setiap
pendidik musik untuk memasukkan aktivitas analisis ke dalam setiap
mata kuliah musik, terutama yang berkaitan dengan ranah teoretis. Karena
dengan menggali potensi untuk menganalisis musik, kapasitas intelektual
musik akan terus berkembang. Melakukan sebuah analisis adalah sebuah
cara untuk mengetahui gaya musik dan pemikiran komposer. Dengan
melakukan telaah terhadap karya musik tertentu, berarti berusaha untuk
mendalami apa yang ada di kepala seseorang saat membuat karya musik.
Setiap karya musik minimal memiliki struktur melodi, ritmik, dan
chord. Dengan melakukan analisis pengetahuan musik dapat dikembangkan.
Karena setiap karya atau komposisi musik memberikan informasi penting
tentang karakteristik dan elemen musikal yang khas. Sehingga bagi
seorang pemusik, menganalisis musik adalah bagian dari proses berkarya.
Musik apapun selalu dipengaruhi oleh karya-karya yang mendahuluinya.
Seseorang bisa saja terinspirasi dengan karya “Winter Morning” Pyotr
Ilyich Tchaikovsky atau “Love” dari John Lennon, kemudian mengubahkan
menjadi karya baru. Aspek intertekstual selalu terjadi dalam aktivitas
bermusik. Oleh karena itu, pekerjaan menganalisis karya musik esensinya
adalah amunisi untuk menghasilkan karya musik lain.
Studi tentang analisis musik selalu berkembang sesuai dengan
perkembangan zaman. Di era 1600-1900 misalnya; merupakan masa-masa
krusial dalam sejarah perkembangan idiom musik Barat. Walaupun era sebelum 1600 dan setelah 1900 juga menarik untuk didiskusikan. Perubahan
tangga nada dari modal ke diatonis, dan masih banyak lagi. Ilmu analisis
sangat berkaitan dengan bentuk musik (musical form), oleh karena itu
di dalam buku ini sedikit diulas tentang hubungan keduanya. Untuk
pendalaman materi bentuk musik akan dijelaskan pada kesempatan lain.
Penulis berusaha untuk memenuhi berbagai perspektif bentuk dan analisis
musik. Mulai dari musik klasik hingga jazz yang memiliki gaya analisis
tersendiri. Poin pentingnya adalah bagaimana pembaca dapat menangkap
cara menelaah karya musik dari tahapan yang paling sederhana.
Di kalangan akademisi musik, metode analisis musik justru dimulai
dengan mempelajari bentuk-bentuk musik. Oleh karena itu, sumber atau
referensi tentang analisis tidak disebutkan secara gamblang, tetapi tertanam
dalam ilmu bentuk musik atau ilmu melodi. Setelah mempelajari bentuk-
bentuk musik bisa dipastikan seseorang telah menguasai dasar-dasar analisis
musik. Karena esensinya analisis musik adalah menguraikan bentuk musik
hingga ke unsur dan unit paling kecil. Selanjutnya ada berbagai cara untuk
memvisualisasikan mulai metode klasik atau tradisional hingga analisis
pada lagu-lagu populer.
Penggunaan istilah-istilah khusus dalam ilmu bentuk musik dan
analisis juga disinggung dalam buku ini. Bagaimanapun sangat penting
untuk seorang analis memahami istilah-istilah yang bisasa digunakan.
Selanjutnya bagaimana menggunakan istilah-istilah sebagai kalimat teknis
dalam operasionalisasi analisis bentuk musik. Kurangnya pemahaman
tentang istilah-istilah musik dan penyeragamannya terkadang menjadi
masalah tersendiri dalam menganalisis. Hal ini juga menyebabkan beberapa
orang mempertanyakan validitas analisis musiknya.
Menganalisis musik bukan sekadar menjelaskan atau mendefinisikan
tentang melodi, chord, atau unit analisis lainnya. Mendeskripsikan adalah
bentuk analisis di lapisan luar, bukan menjadi inti dari apa yang akan
dijelakan. Inti dari analisis musik adalah memahami tentang hubungan-
hubungan yang terjadi secara vertikal (harmoni) maupun horizontal
(melodi). Menganalisis terkadang banyak menelaah karya-karya musik di
masa lalu, tujuannya untuk mendapatkan pengetahuan tentang gaya dan
karakteristik komposisi tertentu. Pengetahuan selanjutnya digunakan untuk
menelaah karya-karya setelahnya Proses analisis dapat dilakukan secara aural maupun visual.
Terkadang mendengarkan musik lebih memiliki kekuatan dan efekfif untuk
menangkap melodi dan chord yang ada. Tetapi ada juga yang memerlukan
bentuk visual berupa full score agar lebih meyakinkan apa yang didengarnya.
Ini sekaligus mengonfirmasi bahwa bunyi menyimpan banyak misteri.
Terkadang apa yang tampak pada score (notasi) berbeda dengan apa yang
didengar. Ini menyangkut satu ilmu psikologi yang disebut psiko-akustik
(tidak dibahas dalam buku ini). Isinya tentang bagaimana persepsi tentang
bunyi ditentukan oleh pengalaman seseorang, jadi, sangat bersifat subjektif.
Ada sebuah pepatah kuno “... jika Anda ingin memahami apa yang tidak
terlihat, maka perhatikan apa yang terlihat.”
Penulis menyadari masih banyak kekurangan literatur tentang
analisis musik, khususnya di Indonesia. Padahal kemampuan menganalisis
merupakan keahlian yang harus dikuasai oleh seorang sarjana musik.
Analisis musik kerap digunakan dalam menulis skripsi, tesis, disertasi, buku,
atau artikel jurnal. Tanpa kemampuan ini akan sulit untuk mengkaji satu
fenomena musikal yang berkaitan dengan struktur dan bentuk musiknya.
Buku ini berusaha mengupas tahapan-tahapan analisis musik, jenis-
jenis analisis musik, dan metode analisis menggunakan bahasa yang
sederhana dan mudah dimengerti. Tetapi penulis menyarankan agar setiap
pengguna buku ini juga menggunakan referensi lain untuk memahami
konteks pembahasan. Karena ada beberapa istilah dalam teori musik yang
diasumsikan dibaca dan dipahami terlebih dahulu. Beberapa istilah dalam
bahasa asing juga tetap dipertahankan, karena penulis belum menemukan
padanan kata yang pas dalam bahasa Indoneia. Buku ini direkomendasikan
untuk mahasiswa, pembelajar, pengkaji atau peneliti musik.","M1, ML, MT",,2022-12-10,
FKIP25,Analisis Musik,"Analisis musik adalah studi tentang struktur musik baik dalam komposisi atau pertunjukan. Aanalisis musik merupakan pisau beda untuk menguaraikan fenomena musik dalam bentuk ata struktur yang beragam. Analisis musik juga berhubungan dengan ilmu bentuk musik (musical form) yang memiliki karakteristik unik di setiap bagiannnya. Menganalisis musik berarti berusaha memahami bagaimana cara musik bekerja atau dibentuk. Elemen-elemen yang umumnya dikaji dalam analisis musik misalnya pola ritmis, struktur melodi, dan harmoni. Analisis musik merupakan serangkaian kegiatan sistematis yang dimulai dengan membuat visualisasi (umumnya menggunkan notasi). Analisis musik merupakan imu dasar yang wajib dikuasai setiap akademisi musik, karena dalam menguraikan musik perlu berangkat dari struktur (teks) musikalnya terlebih dahulu.","M1, ML, MT",,2022-12-01,
FKIP25,Aransemen Cintaku,Ini adalah sebuah aransemen lagu Cintaku yang dipopulerkan oleh Chrisye dengan 4 suara,M1,,,
