division,title,abstract,subjects,publication,date,keywords
FKIP25,"TRANSFORMASI SASTRA LISAN SYAER                               
 DALAM PERTUNJUKAN TARI","Penelitian Transformasi Sastra Lisan Syaer dalam Pertunjukan Tari dilatarbelakangi oleh kurangnya minat masyarakat terutama generasi muda terhadap sastra lisan syaer. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kualitatif. Metode deskriptif kualitatif adalah metode penelitian yang berusaha menggambarkan dan menginterpretasi objek sesuai dengan apa adanya. Teknik analisis data yang digunakan pada penelitian adalah teknik observasi, wawancara, dan dokumentasi. Terdapat empat tahapan dalam transformasi sastra lisan Syaer dalam pertunjukan tari, yaitu tahap transformasi (perubahan bentuk yang menghasilkan unsur-unsur kebaruan dari aspek gaya), mengembangkan konsep pertunjukan tari (berpijak pada media teks pertunjukan untuk mengenali konteks sebuah sastra lisan yakni Ittar Terang), improvisasi dan eksplorasi Syaer dalam rangkaian gerak tari (terarah atau terpimpin), dan berakhir pada pertunjukan tari Ittar Terang (menggabungkan antara gerak dengan Syaer, properti, pola lantai, rias dan busana serta iringan musik).","HM, ML, PN",GRIYA CENDIKIA,2021-09-01,
FKIP25,"Virtual Choir: Bentuk Penyajian Paduan Suara 
di Masa Pandemi Covid-19","Pandemi Covid-19 memberikan dampak yang cukup besar di berbagai
bidang, salah satunya adalah seni paduan suara. “Tetap menjaga jarak” merupakan
anjuran pemerintah Republik Indonesia yang menyebabkan kegiatan paduan suara tidak
dapat dilakukan secara bersama-sama dan tatap muka sebagaimana mestinya.
Berdasarkan kondisi tersebut maka munculah alternatif lain dalam melakukan kegiatan
seni paduan suara, yaitu dalam bentuk paduan suara virtual (virtual choir), dimana para
penyanyi tidak berada dalam satu ruang yang sama, melainkan bernyanyi di rumah
masing-masing. Namun demikian, dengan kondisi tersebut para kelompok paduan suara
tetap dapat menyajikan sajian pertunjukan paduan suara yang menakjubkan. Bahkan,
konser paduan suara virtual kini menjadi trend, dan berhasil mempertahankan eksistensi
seni paduan suara di tengah masa pandemi Covid-19. Kondisi tersebut dapat dimaknai
sebagai perubahan bentuk paduan suara, yang semula syarat akan interaksi langsung
antar anggota paduan suara, kini dilakukan secara virtual tanpa beratatap muka. Artikel
ini akan membahas tentang bentuk baru dalam sajian seni paduan suara di masa
pandemi Covid-19. Ruang lingkup kajian meliputi proses latihan, teknik blending dalam
paduan suara virtual, dan bentuk penyajian paduan suara virtual kepada audience.","M1, ML",Prosiding Seminar Nasional Implementasi Merdeka Belajar di Masa Pandemi Covid 19: Peluang dan Tantangan,2021-02-16,
FKIP25,Translating the Lampung Oral Literature into Music for Educational Purpose: A Case Study of Pisaan on the Indonesian Island of Sumatra,"A large body of data concerning oral literature around the globe have been reported. Moreover, in Indonesia, a country with multilingual and multicultural contexts, the study of oral literature has become an important aspect of investigation. One of the oral pieces of literature that exists in Indonesia is Pisaan, an oral tradition that can be found in Lampung, a province located on the southern tip of the island of Sumatra. Although a considerable amount of oral literature research has been conducted in the Indonesian context; however, to our best knowledge, little research has been paid to Pisaan oral literature, which plays an essential role in the Lampung community. Therefore, this study aimed to examine the oral literature by translating and transforming the Pisaan oral literature into lyrics and musical elements to educate future generations. This study adopted a qualitative approach using several instruments, i.e., semistructured interviews and recording tools, for data collection. A total of four women who were cultural activists in the age range of 37–76 years of age took part in the current study. The collected data were analyzed using a content analysis and a melody structure analysis. The results show that Pisaan has simple syllabification, which dominantly consists of consonant–vowel (CV) and consonant–vowel–consonant (CVC). The rhythm of Pisaan is categorized into syllabic time syllables, emphasizing the stress word based on its syllables. From a musical perspective, the Pisaan oral literature has been successfully translated and written into musical notation with the aim of preservation, which, as far as we are aware, has never before been done. However, we realize that the Western music notation in this study only serves as the initial stage of analysis and does not aim to replace the distinctive native-cultural values of Pisaan, offering an alternative instructional path for improving Lampung oral literature teaching methods and a valuable strategy to diversify undergraduate courses through comparable interdisciplinary inquiries. Therefore, limitations and suggestions for future research are also discussed.","M1, ML, MT, PL",Education Research International,2023,
FKIP7,Metode Pembelajaran Pisaan Lampung: Pendekatan Musikal,"Sastra lisan bagi masyarakat adat Lampung merupakan bagian
penting sebagai simbol budaya. Oleh karena itu,keberadaannya perlu dilestarikan dengan pelbagai upaya, termasuk melalui
pendidikan. Di tengah kemajuan teknologi dan perubahan iklim
sosial yang semakin bebas, keberadaan sastra seperti menunggu‘bom waktu’ karena tergerus oleh budaya global. Pisaan sebagai salah satu bentuk sastra lisan Lampung semakin jarang ditemui karena kurangnya upaya-upaya pelestarian, fungsi media media,serta kemampuan untuk mengajarkan mewariskannya melalui pengajaran yang baik.
Di lingkungan sekolah para guru perlu untuk mempelajari
Pisaan dan mengetahui metodologi pengajarannya. Tujuannya
agar mereka menjadi agen pendidikan dalam mempertahankan
tradisi lisan Lampung. Kenyataannya tidak banyak guru-guru
yang menguasai sastra lisan (termasuk Pisaan). Kalaupun ada
yang mampu melantunkan, tetapi umumnya tidak banyak yang
bisa menularkan kemampuannya. Jika kondisi ini dibiarkan, maka keberadaan Pisaan dan sastra lisan Lampung akan mengalami kepunahan.
Pada konteks itulah mengapa buku ajar ini hadir untuk
menjawab persoalan-persoalan di atas. Penulis 1 buku ini adalah dosen sekaligus Ketua Program Studi Magister Pendidikan Bahasa Lampung di lingkungan FKIP Universitas Lampung. Bidang keahlian yang dikuasai meliputi kajian linguistik, budaya, dan sastra daerah. Penulis 2 adalah seorang dosen pendidikan musik di lingkungan FKIP Universitas Lampung. Keduanya aktif meneliti budaya Lampung dengan kesadaran bahwa kajian budaya dapat direfleksikan dalam berbagai ilmu terapan, termasuk sastra lisan.
Melalui perpaduan kedua disiplin ilmu-linguistik dan musikdiharapkan mampu memperkaya kajian sastra lisan Lampung, khususnya pada bidang metode pembelajaran Pisaan.
Penulis berharap buku ini dapat dikonsumsi oleh banyak
kalangan pembaca. Buku ini disusun untuk para guru dan calon
guru yang pengajarannya berkaitan dengan sastra lisan, khususnya Pisaan. Buku ini memberikan pengalaman belajar Pisaan secara musikal. Di dalam Pisaan terdapat melodi yang merupakan unsur penting dalam musik. Melalui pendekatan belajar secara musikal, Pisaan tidak hanya dipelajari secara teks. Tetapi juga dipelajari dari aspek musikal yang melengkapi estetika penyajiannya.
Materi dalam buku ini berasal dari data-data penelitian awal
yang dilakukan pada tahun 2017-2018. Data berupa rekaman
yang didapat dari para pelantun Pisaan perempuan yang berasal dari etnis Pepadun. Melalui data tersebut penulis melakukan penelitian dan mulai mengembangkan metode musikal untuk pembelajaran Pisaan. Selain itu, data didapat berdasarkan buku dan pengalaman penulis 1 yang juga merupakan seorang budayawan Lampung. Istilah dan tata bahasa yang digunakan dalam buku lebih banyak menggunakan istilah-istilah musik.
Penulis berusaha menyederhanakannya agar mudah dipahami.
Untuk pembaca yang belum terlalu akrab dengan istilah-istilah di dalamnya akan disedikan keterangan.
Buku ini terdiri dari lima bab, diantaranya: (1) sastra lisan Lampung; (2) model pembelajaran Pisaan; (3) menentukan
teks dan notasi; (4) tonalitas; dan (5) latihan Pisaan. Materimateri yang disusun dalam bab-bab tersebut mengulas tentang pendekatan musik untuk menganalisis dan mengajarkan Pisaan.
Pada akhirnya penulis menyadari bahwa buku ini masih memiliki banyak kekurangan. Oleh karena penulis terbuka untuk menerima kritik dan saran untuk menyempurnakan materi yang ada di dalamnya. Semoga buku ini dapat memberikan pengetahuan baru bagi para pembacanya. Selain itu menjadi catatan amal bagi penulis dan tercatat sebagai bentuk ibadah kepada Allah SWT.","L1, ML, PN0441",,2021-02-25,
FKIP25,Gamolan dan Hadrah,,"M1, ML, MT",,2020-12-11,
FKIP25,"ASAL ISTILAH, SEJARAH, TOKOH SAMPAI SUBGENRE JAZZ SECARA SINGKAT","Istilah jazz sendiri sebetulnya masih menjadi perdebatan dikalangan ahli sejarah, tetapi jika dilihat dari “slang” bahasa Perancis, istilah jazz mengarah kepada “sexual intercourse” (hubungan seksual). Tentu saja ini sangat berkaitan dengan kondisi pergaulan masyarakat di sana pada saat itu yang jelas jauh berbeda dengan wilayah kita di Indonesia.","M1, ML",SOCRATESLINE,2019,
FKIP25,Analisis Musik,"Analisis musik adalah bagian penting dalam studi musik dan
pengembangan kemampuan bermusik. Penulis menyarankan bagi setiap
pendidik musik untuk memasukkan aktivitas analisis ke dalam setiap
mata kuliah musik, terutama yang berkaitan dengan ranah teoretis. Karena
dengan menggali potensi untuk menganalisis musik, kapasitas intelektual
musik akan terus berkembang. Melakukan sebuah analisis adalah sebuah
cara untuk mengetahui gaya musik dan pemikiran komposer. Dengan
melakukan telaah terhadap karya musik tertentu, berarti berusaha untuk
mendalami apa yang ada di kepala seseorang saat membuat karya musik.
Setiap karya musik minimal memiliki struktur melodi, ritmik, dan
chord. Dengan melakukan analisis pengetahuan musik dapat dikembangkan.
Karena setiap karya atau komposisi musik memberikan informasi penting
tentang karakteristik dan elemen musikal yang khas. Sehingga bagi
seorang pemusik, menganalisis musik adalah bagian dari proses berkarya.
Musik apapun selalu dipengaruhi oleh karya-karya yang mendahuluinya.
Seseorang bisa saja terinspirasi dengan karya “Winter Morning” Pyotr
Ilyich Tchaikovsky atau “Love” dari John Lennon, kemudian mengubahkan
menjadi karya baru. Aspek intertekstual selalu terjadi dalam aktivitas
bermusik. Oleh karena itu, pekerjaan menganalisis karya musik esensinya
adalah amunisi untuk menghasilkan karya musik lain.
Studi tentang analisis musik selalu berkembang sesuai dengan
perkembangan zaman. Di era 1600-1900 misalnya; merupakan masa-masa
krusial dalam sejarah perkembangan idiom musik Barat. Walaupun era sebelum 1600 dan setelah 1900 juga menarik untuk didiskusikan. Perubahan
tangga nada dari modal ke diatonis, dan masih banyak lagi. Ilmu analisis
sangat berkaitan dengan bentuk musik (musical form), oleh karena itu
di dalam buku ini sedikit diulas tentang hubungan keduanya. Untuk
pendalaman materi bentuk musik akan dijelaskan pada kesempatan lain.
Penulis berusaha untuk memenuhi berbagai perspektif bentuk dan analisis
musik. Mulai dari musik klasik hingga jazz yang memiliki gaya analisis
tersendiri. Poin pentingnya adalah bagaimana pembaca dapat menangkap
cara menelaah karya musik dari tahapan yang paling sederhana.
Di kalangan akademisi musik, metode analisis musik justru dimulai
dengan mempelajari bentuk-bentuk musik. Oleh karena itu, sumber atau
referensi tentang analisis tidak disebutkan secara gamblang, tetapi tertanam
dalam ilmu bentuk musik atau ilmu melodi. Setelah mempelajari bentuk-
bentuk musik bisa dipastikan seseorang telah menguasai dasar-dasar analisis
musik. Karena esensinya analisis musik adalah menguraikan bentuk musik
hingga ke unsur dan unit paling kecil. Selanjutnya ada berbagai cara untuk
memvisualisasikan mulai metode klasik atau tradisional hingga analisis
pada lagu-lagu populer.
Penggunaan istilah-istilah khusus dalam ilmu bentuk musik dan
analisis juga disinggung dalam buku ini. Bagaimanapun sangat penting
untuk seorang analis memahami istilah-istilah yang bisasa digunakan.
Selanjutnya bagaimana menggunakan istilah-istilah sebagai kalimat teknis
dalam operasionalisasi analisis bentuk musik. Kurangnya pemahaman
tentang istilah-istilah musik dan penyeragamannya terkadang menjadi
masalah tersendiri dalam menganalisis. Hal ini juga menyebabkan beberapa
orang mempertanyakan validitas analisis musiknya.
Menganalisis musik bukan sekadar menjelaskan atau mendefinisikan
tentang melodi, chord, atau unit analisis lainnya. Mendeskripsikan adalah
bentuk analisis di lapisan luar, bukan menjadi inti dari apa yang akan
dijelakan. Inti dari analisis musik adalah memahami tentang hubungan-
hubungan yang terjadi secara vertikal (harmoni) maupun horizontal
(melodi). Menganalisis terkadang banyak menelaah karya-karya musik di
masa lalu, tujuannya untuk mendapatkan pengetahuan tentang gaya dan
karakteristik komposisi tertentu. Pengetahuan selanjutnya digunakan untuk
menelaah karya-karya setelahnya Proses analisis dapat dilakukan secara aural maupun visual.
Terkadang mendengarkan musik lebih memiliki kekuatan dan efekfif untuk
menangkap melodi dan chord yang ada. Tetapi ada juga yang memerlukan
bentuk visual berupa full score agar lebih meyakinkan apa yang didengarnya.
Ini sekaligus mengonfirmasi bahwa bunyi menyimpan banyak misteri.
Terkadang apa yang tampak pada score (notasi) berbeda dengan apa yang
didengar. Ini menyangkut satu ilmu psikologi yang disebut psiko-akustik
(tidak dibahas dalam buku ini). Isinya tentang bagaimana persepsi tentang
bunyi ditentukan oleh pengalaman seseorang, jadi, sangat bersifat subjektif.
Ada sebuah pepatah kuno “... jika Anda ingin memahami apa yang tidak
terlihat, maka perhatikan apa yang terlihat.”
Penulis menyadari masih banyak kekurangan literatur tentang
analisis musik, khususnya di Indonesia. Padahal kemampuan menganalisis
merupakan keahlian yang harus dikuasai oleh seorang sarjana musik.
Analisis musik kerap digunakan dalam menulis skripsi, tesis, disertasi, buku,
atau artikel jurnal. Tanpa kemampuan ini akan sulit untuk mengkaji satu
fenomena musikal yang berkaitan dengan struktur dan bentuk musiknya.
Buku ini berusaha mengupas tahapan-tahapan analisis musik, jenis-
jenis analisis musik, dan metode analisis menggunakan bahasa yang
sederhana dan mudah dimengerti. Tetapi penulis menyarankan agar setiap
pengguna buku ini juga menggunakan referensi lain untuk memahami
konteks pembahasan. Karena ada beberapa istilah dalam teori musik yang
diasumsikan dibaca dan dipahami terlebih dahulu. Beberapa istilah dalam
bahasa asing juga tetap dipertahankan, karena penulis belum menemukan
padanan kata yang pas dalam bahasa Indoneia. Buku ini direkomendasikan
untuk mahasiswa, pembelajar, pengkaji atau peneliti musik.","M1, ML, MT",,2022-12-10,
FKIP25,Analisis Musik,"Analisis musik adalah studi tentang struktur musik baik dalam komposisi atau pertunjukan. Aanalisis musik merupakan pisau beda untuk menguaraikan fenomena musik dalam bentuk ata struktur yang beragam. Analisis musik juga berhubungan dengan ilmu bentuk musik (musical form) yang memiliki karakteristik unik di setiap bagiannnya. Menganalisis musik berarti berusaha memahami bagaimana cara musik bekerja atau dibentuk. Elemen-elemen yang umumnya dikaji dalam analisis musik misalnya pola ritmis, struktur melodi, dan harmoni. Analisis musik merupakan serangkaian kegiatan sistematis yang dimulai dengan membuat visualisasi (umumnya menggunkan notasi). Analisis musik merupakan imu dasar yang wajib dikuasai setiap akademisi musik, karena dalam menguraikan musik perlu berangkat dari struktur (teks) musikalnya terlebih dahulu.","M1, ML, MT",,2022-12-01,
FKIP25,Bahasa Musik dalam Pembelajaran: Metode Kodály sebagai Alat untuk Berkomunikasi dalam Ansambel,"Abstract. In music learning, the term ‘notation’ is used to refer to the means of communication, which consists of grand staff and numbered notations. However, the method that is widely used by music teachers in music ensemble classes is the Kodály Method. This study was aimed at investigating students’ ability to perform Kodály hand sign technique, which was conducted in Dance Education Study Program, Lampung University. It adopted a descriptive-qualitative approach. The data were taken from a lecture sub-topic of “melody”, which was then compared to the sub-topic of “rhythmic”. The results showed that students understood and received the Kodály technique material more quickly. In conclusion, the students found it much easier to perform the Kodály hand sign technique than the grand staff notation in ensembles because the technique emphasized on hand rote which was then applied to a pianika or recorder.
Keywords: Kodály method, music language, ensembles
Abstrak. Dalam pembelajaran musik, alat komunikasi yang digunakan disebut dengan notasi. Notasi yang umumnya dikenal adalah notasi balok (the grand staff) dan notasi angka. Namun, dalam pembelajaran kelas ansambel musik metode yang banyak dipakai guru-guru musik adalah metode Kodály. Penelitian ini bertujuan untuk mengetahui seberapa besar mahasiswa mampu mempergunakan teknik hand sign milik Kodály dalam pembelajaran musik bagi mahasiswa Pendidikan Tari di Universitas Lampung. Metode dalam penelitian ini adalah deskriptif dengan paradigma kualitatif. Data yang menjadi fokus analisis adalah sub materi ajar dalam perkuliahan teori dasar musik tentang “melodi” dan membadingkan dalam materi “ritmik”. Hasil dalam penelitian ini menunjukan mahasiswa lebih cepat menerima materi teknik Kodály . Kesimpulannya mahasiswa mudah mempraktikan penggunaan teknik hand sign (Kodály) dalam ansambel daripada menggunakan metode penotasian not balok. Hal itu dikarenakan teknik hand sign dalam metode Kodály menekankan pada hafalan bentuk tangan dan menerapkannya dalam alat musik pianika atau rekorder.
Kata kunci: metode Kodály, bahasa musik, ansambel","M1, ML, MT",AKSARA,2019-04,"Kodály method, music language, ensembles
Abstrak. Dalam pembelajaran musik, alat komunikasi yang digunakan disebut dengan notasi. Notasi yang umumnya dikenal adalah notasi balok (the grand staff) dan notasi angka. Namun, dalam pembelajaran kelas ansambel musik metode yang banyak dipakai guru-guru musik adalah metode Kodály. Penelitian ini bertujuan untuk mengetahui seberapa besar mahasiswa mampu mempergunakan teknik hand sign milik Kodály dalam pembelajaran musik bagi mahasiswa Pendidikan Tari di Universitas Lampung. Metode dalam penelitian ini adalah deskriptif dengan paradigma kualitatif. Data yang menjadi fokus analisis adalah sub materi ajar dalam perkuliahan teori dasar musik tentang “melodi” dan membadingkan dalam materi “ritmik”. Hasil dalam penelitian ini menunjukan mahasiswa lebih cepat menerima materi teknik Kodály . Kesimpulannya mahasiswa mudah mempraktikan penggunaan teknik hand sign (Kodály) dalam ansambel daripada menggunakan metode penotasian not balok. Hal itu dikarenakan teknik hand sign dalam metode Kodály menekankan pada hafalan bentuk tangan dan menerapkannya dalam alat musik pianika atau rekorder.
Kata kunci: metode Kodály, bahasa musik, ansambel"
FKIP25,Blog Resmi Dosen,"Halaman ini berisi megenai segala materi perkuliahan, informasi akademik dan tugas mahasiswa untuk kebutuhan perkulihan","LB2300, LB2361, ML, MT",,,
