division,title,abstract,subjects,publication,date,keywords
FKIP25,Translating the Lampung Oral Literature into Music for Educational Purpose: A Case Study of Pisaan on the Indonesian Island of Sumatra,"A large body of data concerning oral literature around the globe have been reported. Moreover, in Indonesia, a country with multilingual and multicultural contexts, the study of oral literature has become an important aspect of investigation. One of the oral pieces of literature that exists in Indonesia is Pisaan, an oral tradition that can be found in Lampung, a province located on the southern tip of the island of Sumatra. Although a considerable amount of oral literature research has been conducted in the Indonesian context; however, to our best knowledge, little research has been paid to Pisaan oral literature, which plays an essential role in the Lampung community. Therefore, this study aimed to examine the oral literature by translating and transforming the Pisaan oral literature into lyrics and musical elements to educate future generations. This study adopted a qualitative approach using several instruments, i.e., semistructured interviews and recording tools, for data collection. A total of four women who were cultural activists in the age range of 37–76 years of age took part in the current study. The collected data were analyzed using a content analysis and a melody structure analysis. The results show that Pisaan has simple syllabification, which dominantly consists of consonant–vowel (CV) and consonant–vowel–consonant (CVC). The rhythm of Pisaan is categorized into syllabic time syllables, emphasizing the stress word based on its syllables. From a musical perspective, the Pisaan oral literature has been successfully translated and written into musical notation with the aim of preservation, which, as far as we are aware, has never before been done. However, we realize that the Western music notation in this study only serves as the initial stage of analysis and does not aim to replace the distinctive native-cultural values of Pisaan, offering an alternative instructional path for improving Lampung oral literature teaching methods and a valuable strategy to diversify undergraduate courses through comparable interdisciplinary inquiries. Therefore, limitations and suggestions for future research are also discussed.","M1, ML, MT, PL",Education Research International,2023,
FKIP25,Gamolan dan Hadrah,,"M1, ML, MT",,2020-12-11,
FKIP25,Analisis Musik,"Analisis musik adalah bagian penting dalam studi musik dan
pengembangan kemampuan bermusik. Penulis menyarankan bagi setiap
pendidik musik untuk memasukkan aktivitas analisis ke dalam setiap
mata kuliah musik, terutama yang berkaitan dengan ranah teoretis. Karena
dengan menggali potensi untuk menganalisis musik, kapasitas intelektual
musik akan terus berkembang. Melakukan sebuah analisis adalah sebuah
cara untuk mengetahui gaya musik dan pemikiran komposer. Dengan
melakukan telaah terhadap karya musik tertentu, berarti berusaha untuk
mendalami apa yang ada di kepala seseorang saat membuat karya musik.
Setiap karya musik minimal memiliki struktur melodi, ritmik, dan
chord. Dengan melakukan analisis pengetahuan musik dapat dikembangkan.
Karena setiap karya atau komposisi musik memberikan informasi penting
tentang karakteristik dan elemen musikal yang khas. Sehingga bagi
seorang pemusik, menganalisis musik adalah bagian dari proses berkarya.
Musik apapun selalu dipengaruhi oleh karya-karya yang mendahuluinya.
Seseorang bisa saja terinspirasi dengan karya “Winter Morning” Pyotr
Ilyich Tchaikovsky atau “Love” dari John Lennon, kemudian mengubahkan
menjadi karya baru. Aspek intertekstual selalu terjadi dalam aktivitas
bermusik. Oleh karena itu, pekerjaan menganalisis karya musik esensinya
adalah amunisi untuk menghasilkan karya musik lain.
Studi tentang analisis musik selalu berkembang sesuai dengan
perkembangan zaman. Di era 1600-1900 misalnya; merupakan masa-masa
krusial dalam sejarah perkembangan idiom musik Barat. Walaupun era sebelum 1600 dan setelah 1900 juga menarik untuk didiskusikan. Perubahan
tangga nada dari modal ke diatonis, dan masih banyak lagi. Ilmu analisis
sangat berkaitan dengan bentuk musik (musical form), oleh karena itu
di dalam buku ini sedikit diulas tentang hubungan keduanya. Untuk
pendalaman materi bentuk musik akan dijelaskan pada kesempatan lain.
Penulis berusaha untuk memenuhi berbagai perspektif bentuk dan analisis
musik. Mulai dari musik klasik hingga jazz yang memiliki gaya analisis
tersendiri. Poin pentingnya adalah bagaimana pembaca dapat menangkap
cara menelaah karya musik dari tahapan yang paling sederhana.
Di kalangan akademisi musik, metode analisis musik justru dimulai
dengan mempelajari bentuk-bentuk musik. Oleh karena itu, sumber atau
referensi tentang analisis tidak disebutkan secara gamblang, tetapi tertanam
dalam ilmu bentuk musik atau ilmu melodi. Setelah mempelajari bentuk-
bentuk musik bisa dipastikan seseorang telah menguasai dasar-dasar analisis
musik. Karena esensinya analisis musik adalah menguraikan bentuk musik
hingga ke unsur dan unit paling kecil. Selanjutnya ada berbagai cara untuk
memvisualisasikan mulai metode klasik atau tradisional hingga analisis
pada lagu-lagu populer.
Penggunaan istilah-istilah khusus dalam ilmu bentuk musik dan
analisis juga disinggung dalam buku ini. Bagaimanapun sangat penting
untuk seorang analis memahami istilah-istilah yang bisasa digunakan.
Selanjutnya bagaimana menggunakan istilah-istilah sebagai kalimat teknis
dalam operasionalisasi analisis bentuk musik. Kurangnya pemahaman
tentang istilah-istilah musik dan penyeragamannya terkadang menjadi
masalah tersendiri dalam menganalisis. Hal ini juga menyebabkan beberapa
orang mempertanyakan validitas analisis musiknya.
Menganalisis musik bukan sekadar menjelaskan atau mendefinisikan
tentang melodi, chord, atau unit analisis lainnya. Mendeskripsikan adalah
bentuk analisis di lapisan luar, bukan menjadi inti dari apa yang akan
dijelakan. Inti dari analisis musik adalah memahami tentang hubungan-
hubungan yang terjadi secara vertikal (harmoni) maupun horizontal
(melodi). Menganalisis terkadang banyak menelaah karya-karya musik di
masa lalu, tujuannya untuk mendapatkan pengetahuan tentang gaya dan
karakteristik komposisi tertentu. Pengetahuan selanjutnya digunakan untuk
menelaah karya-karya setelahnya Proses analisis dapat dilakukan secara aural maupun visual.
Terkadang mendengarkan musik lebih memiliki kekuatan dan efekfif untuk
menangkap melodi dan chord yang ada. Tetapi ada juga yang memerlukan
bentuk visual berupa full score agar lebih meyakinkan apa yang didengarnya.
Ini sekaligus mengonfirmasi bahwa bunyi menyimpan banyak misteri.
Terkadang apa yang tampak pada score (notasi) berbeda dengan apa yang
didengar. Ini menyangkut satu ilmu psikologi yang disebut psiko-akustik
(tidak dibahas dalam buku ini). Isinya tentang bagaimana persepsi tentang
bunyi ditentukan oleh pengalaman seseorang, jadi, sangat bersifat subjektif.
Ada sebuah pepatah kuno “... jika Anda ingin memahami apa yang tidak
terlihat, maka perhatikan apa yang terlihat.”
Penulis menyadari masih banyak kekurangan literatur tentang
analisis musik, khususnya di Indonesia. Padahal kemampuan menganalisis
merupakan keahlian yang harus dikuasai oleh seorang sarjana musik.
Analisis musik kerap digunakan dalam menulis skripsi, tesis, disertasi, buku,
atau artikel jurnal. Tanpa kemampuan ini akan sulit untuk mengkaji satu
fenomena musikal yang berkaitan dengan struktur dan bentuk musiknya.
Buku ini berusaha mengupas tahapan-tahapan analisis musik, jenis-
jenis analisis musik, dan metode analisis menggunakan bahasa yang
sederhana dan mudah dimengerti. Tetapi penulis menyarankan agar setiap
pengguna buku ini juga menggunakan referensi lain untuk memahami
konteks pembahasan. Karena ada beberapa istilah dalam teori musik yang
diasumsikan dibaca dan dipahami terlebih dahulu. Beberapa istilah dalam
bahasa asing juga tetap dipertahankan, karena penulis belum menemukan
padanan kata yang pas dalam bahasa Indoneia. Buku ini direkomendasikan
untuk mahasiswa, pembelajar, pengkaji atau peneliti musik.","M1, ML, MT",,2022-12-10,
FKIP25,Analisis Musik,"Analisis musik adalah studi tentang struktur musik baik dalam komposisi atau pertunjukan. Aanalisis musik merupakan pisau beda untuk menguaraikan fenomena musik dalam bentuk ata struktur yang beragam. Analisis musik juga berhubungan dengan ilmu bentuk musik (musical form) yang memiliki karakteristik unik di setiap bagiannnya. Menganalisis musik berarti berusaha memahami bagaimana cara musik bekerja atau dibentuk. Elemen-elemen yang umumnya dikaji dalam analisis musik misalnya pola ritmis, struktur melodi, dan harmoni. Analisis musik merupakan serangkaian kegiatan sistematis yang dimulai dengan membuat visualisasi (umumnya menggunkan notasi). Analisis musik merupakan imu dasar yang wajib dikuasai setiap akademisi musik, karena dalam menguraikan musik perlu berangkat dari struktur (teks) musikalnya terlebih dahulu.","M1, ML, MT",,2022-12-01,
FKIP25,Bahasa Musik dalam Pembelajaran: Metode Kodály sebagai Alat untuk Berkomunikasi dalam Ansambel,"Abstract. In music learning, the term ‘notation’ is used to refer to the means of communication, which consists of grand staff and numbered notations. However, the method that is widely used by music teachers in music ensemble classes is the Kodály Method. This study was aimed at investigating students’ ability to perform Kodály hand sign technique, which was conducted in Dance Education Study Program, Lampung University. It adopted a descriptive-qualitative approach. The data were taken from a lecture sub-topic of “melody”, which was then compared to the sub-topic of “rhythmic”. The results showed that students understood and received the Kodály technique material more quickly. In conclusion, the students found it much easier to perform the Kodály hand sign technique than the grand staff notation in ensembles because the technique emphasized on hand rote which was then applied to a pianika or recorder.
Keywords: Kodály method, music language, ensembles
Abstrak. Dalam pembelajaran musik, alat komunikasi yang digunakan disebut dengan notasi. Notasi yang umumnya dikenal adalah notasi balok (the grand staff) dan notasi angka. Namun, dalam pembelajaran kelas ansambel musik metode yang banyak dipakai guru-guru musik adalah metode Kodály. Penelitian ini bertujuan untuk mengetahui seberapa besar mahasiswa mampu mempergunakan teknik hand sign milik Kodály dalam pembelajaran musik bagi mahasiswa Pendidikan Tari di Universitas Lampung. Metode dalam penelitian ini adalah deskriptif dengan paradigma kualitatif. Data yang menjadi fokus analisis adalah sub materi ajar dalam perkuliahan teori dasar musik tentang “melodi” dan membadingkan dalam materi “ritmik”. Hasil dalam penelitian ini menunjukan mahasiswa lebih cepat menerima materi teknik Kodály . Kesimpulannya mahasiswa mudah mempraktikan penggunaan teknik hand sign (Kodály) dalam ansambel daripada menggunakan metode penotasian not balok. Hal itu dikarenakan teknik hand sign dalam metode Kodály menekankan pada hafalan bentuk tangan dan menerapkannya dalam alat musik pianika atau rekorder.
Kata kunci: metode Kodály, bahasa musik, ansambel","M1, ML, MT",AKSARA,2019-04,"Kodály method, music language, ensembles
Abstrak. Dalam pembelajaran musik, alat komunikasi yang digunakan disebut dengan notasi. Notasi yang umumnya dikenal adalah notasi balok (the grand staff) dan notasi angka. Namun, dalam pembelajaran kelas ansambel musik metode yang banyak dipakai guru-guru musik adalah metode Kodály. Penelitian ini bertujuan untuk mengetahui seberapa besar mahasiswa mampu mempergunakan teknik hand sign milik Kodály dalam pembelajaran musik bagi mahasiswa Pendidikan Tari di Universitas Lampung. Metode dalam penelitian ini adalah deskriptif dengan paradigma kualitatif. Data yang menjadi fokus analisis adalah sub materi ajar dalam perkuliahan teori dasar musik tentang “melodi” dan membadingkan dalam materi “ritmik”. Hasil dalam penelitian ini menunjukan mahasiswa lebih cepat menerima materi teknik Kodály . Kesimpulannya mahasiswa mudah mempraktikan penggunaan teknik hand sign (Kodály) dalam ansambel daripada menggunakan metode penotasian not balok. Hal itu dikarenakan teknik hand sign dalam metode Kodály menekankan pada hafalan bentuk tangan dan menerapkannya dalam alat musik pianika atau rekorder.
Kata kunci: metode Kodály, bahasa musik, ansambel"
FKIP25,Blog Resmi Dosen,"Halaman ini berisi megenai segala materi perkuliahan, informasi akademik dan tugas mahasiswa untuk kebutuhan perkulihan","LB2300, LB2361, ML, MT",,,
,Capturing Resonance: Mapping Regional Music Research of Lampung for Culture-Based Educational Policy,"Music research in Lampung is expanding in a variety of ways. The abundance of local music data promotes basic notions regarding music research to be developed further. This page looks into research literature sources focusing on Lampung music and cultural research. Journal library sources and conference presentations are employed to develop research proposals carried out. The goal is to map out music research concerning cultural promotion and education strategies based on Lampung culture. Mapping regional music is a preliminary study used to select the next level of research. The literature study revealed several opportunities for regional music research, both within the frameworks of music education, musicology and ethnomusicology. Music research is a broad area that can be tackled from various perspectives. The more significant the impact on music literacy in Lampung, the broader academics' perspective identifies potential music study themes. Lampung is home to many social and musical phenomena that have yet to be thoroughly investigated.","JA, L1, M1, ML, MT, NX, Z665",Journal of Advance in Social Sciences and Policy,2022-10-28,
FKIP25,Dasar-dasar musik,"Buku ini terdiri atas 8 bab, yaitu (1) elemen dasar musik, (2) nada
dan notasi, (3) durasi dan ritme, (4) teknik aba-aba, (5) paranada, kunci
dan aksidental, (6) harmonisasi, (7) nada dasar (tonalitas), dan (8) akor.
Setiap bab dari buku ini terdiri dari (1) pendahuluan, (2) penyajian materi,
(3) rangkuman, (4) tugas dan pelatihan, dan (5) rujukan. Setiap bab dalam
buku ini bersifat teoritis dan operasional, para pengampu matakuliah
dasar-dasar musik dapat memberikan materi dan langsung memberikan
praktik untuk lebih mengoptimalkan pemahaman mahasiswa. Istilah
musik yang digunakan dalam buku ini mengacu pada istilah musik Barat
dan pengadaptasian dari gramatika musik Barat yang berbahasa Inggris.
Musik Barat sangat identik dengan gaya musik klasik yang dimulai dari Gregorian sampai pada musik modern saat ini. Pembelajaran musik lebih
dominant pada praktik dan pengaplikasian teori pada instrument musik.
Melalui pembelajaran musik menggunakan kaidah-kaidah yang benar dan
terstruktur diharapkan mampu menumbuhkan nilai-nilai karakter, misalnya
kedisiplinan dalam membaca notasi.","M1, ML, MT",,2016-08-08,
FKIP25,Diskursus Pendidikan Seni Hari Ini: Pendidikan Seni Di Era Digital,"Pendidikan seni sebagai sebuah disiplin ilmu,
meniscayakan posisinya dalam peta ilmu pengetahuan
sebagai bidang yang dapat dikaji dari aspek ontologis,
epistemolgis, dan aksiologis. Sebagai ilmu pengetahuan yang
berada pada rumpun ilmu-ilmu humaniora, secara ontologis,
pendidikan seni mempersoalkan hakikat keberadaan seni
sebagai media pendidikan dengan tujuan untuk membentuk
segi-segi manusia dan kemanusiaan yang memiliki kepekaan
estetik dan kemampuan artistik melalui kegiatan kreatif,
ekspresif, dan apresiatif. Dalam perspektif epistemologis,
pendidikan seni memerlukan suatu strategi dan/atau metode
yang bersifat paradigmatis untuk mewujudkan tujuan tersebut.
Sementara itu, secara aksiologis, tak dapat dinafikan bahwa
melalui pendidikan seni, dapat diperoleh manfaat berupa
nilai-nilai yang berorientasi pada upaya memanusiakan
manusia seutuhnya sebagai mahluk yang memiliki kapasitas
kreatif dan kesadaran budaya. Dengan demikian, pendidikan
seni sebagai ilmu pengetahuan, bukanlah sekadar urusan yang
hanya mengusung hal-hal teknis pembelajaran di kelas semata,
tetapi ia perlu dilihat dan dipahami secara holistik pada ranah
filosofis-ideologis, paradigmatis, dan aksiologisnya.
Dalam kerangka itulah, saya melihat dan memahami
buku yang berjudul “Diskursus Pendidikan Seni Hari Ini” yang
ditulis oleh para mahasiswa Program Doktor Pendidikan Seni
Pascasarjana Universitas Negeri Semarang angkatan tahun
2019. Tulisan dalam buku ini sesungguhnya hasil kreativitas
akademik mahasiswa yang bersumber dari tugas pembuatan
makalah dalam “Mata Kuliah Isu dan Paradigma dalam
Pendidikan Seni”. Judul dan uraian yang dipaparkan oleh
setiap penulis dalam buku ini, sekurang-kurangnya berisi
gagasan-gagasan yang berorientasi pada isu-isu yang bersifat
filosofis-ideologis, paradigmatis, dan aksiologis tentang
pendidikan seni. Hal ini, tentu, relevan dengan kapasitasnya
sebagai mahasiswa calon doktor pendidikan seni.","L1, M1, ML, MT, NX",,2020-08,
FKIP25,Gamolan Peking Musical Notation : Denoting Musical Sound in Local Style,"There has been little research conducted, particularly on the notation system used in Indonesian
traditional music. Music notation is a dying type of written tradition; most local musicians are unaware
of the critical nature of recording musical works, let alone interacting through music notation as a medium.
The purpose of this paper is to examine the history and styles of written notation as local musicians in
Lampung, Indonesia, have practiced them. With a focus on notation's functions and implications. While
the issue is essential in and of itself, it also touches on broader concerns such as acculturation, the social
organization of performing artists, and the interface between oral and written tradition. Most importantly,
we must consider to what extent the usage of notation indicates shifting values and altered circumstances
of music learning in Lampung. The data are from a personal 2016-2017 investigation in Bandar Lampung.
The results indicated that the gamolan pekhing notation system still has flaws, most notably the inability to
comprehend rhythmic values denoted by written symbols. While notation is still beneficial for some
artists, it is not frequently comprehended by students during the learning process. It necessitates handson
instruction in order to educate the students.

Keywords: Musical notation, local musician, Lampung tradition, gamolan pekhing","M1, ML, MT",,2021-12-14,"Musical notation, local musician, Lampung tradition, gamolan pekhing"
FKIP25,Gitar tunggal Lampung: Enculturation and ethnopedagogy in advancing formal music education,"Formal music education often uses systematic teaching methods, a planned curriculum, leveling, organization, and standardized learning stages. From a pedagogical perspective, learning music provides a more imaginative, improvisatory learning structure besides all these standard rules. By capturing the social practice of music in the community, music scholars can enrich their academic experience and ideas about designing informal music learning in the classroom. The gitar tunggal players from Lampung may serve as ideas for those learning music formally. While they lack musical and academic literacy, they also provide useful self-learning concepts. Over the past four years, data for this study were gathered using ethnomusicological methods. Online databases were used in addition to the primary data collected through fieldwork. When designing curricula, music scholars might include the ideas of enculturation and Ethno pedagogy. A useful suggestion for enhancing formal music education is to base instruction on local culture and learn it from vernacular musicians in Lampung.","L1, M1, ML, MT, NX, Q1, Z719",Jurnal Seni Musik,2023-06-30,
FKIP25,"INTEGRATED LEARNING OF 
LAMPUNGNESE TRADITION MUSIC","Abstract
In the world of performing arts, music, dance, and other theatrical elements are interlinked and supportive. For example, in the learning of Lampungnese tradition music, the elements of music are combined with other kinds of performing arts, such as dance. The position of music to accompany a dance performance is seriously important. Therefore, the learning outcome is emphasized on the needs of the accompaniment music for dance performances in Lampungnese culture. The method developed in the Arts Education Study Program FKIP Unila is through integrated learning. This method is a teaching package for connecting various disciplines; the goal is to stimulate the liveliness of the learners, early knowledge of students, and the extent to which the success of a learning and mutual affects each other. After implementing this method of learning, the results obtained over the past few years have been very good. Students are able to master more than one competence in one course, to understand the application of accompaniment music for live performance because the process of the learning is well combined. Next, it also has relevance of graduate competence after graduation. The analysis of the stakeholders’ needs for educators and scholars of arts has become the basic reference in the implementation of this method. In addition, the demands of highly-skilled art teachers always increase and they spread out the whole Lampung. A scholar of arts education is expected to have different areas of competences, such as music, dance, theatre, and drama. This can be accommodated through an integrated learning.
 
Keywords: Integrated Learning, Lampungnese Tradition Music, Arts Education Study Program the University of Lampung","ML, MT",,2016-11-02,"Integrated Learning, Lampungnese Tradition Music, Arts Education Study Program the University of Lampung"
