division,title,abstract,subjects,publication,date,keywords
FT8,"Peningkatan Profesionalitas Guru Dengan Pelatihan
Pembuatan Konten Video Pembelajaran","-Seiring kemajuan teknologi dimana saat ini telah
memasuki era 4.0, semua informasi bisa diakses dengan
menggunakan perangkat teknologi, Informasi apapun
hendaknya bisa diakses dimanapun dan kapanpun. Insan
Pembelajar dapat belajar dimana saja, kapan saja, dengan
siapa saja. Inilah dimana kita berada pada abad teknologi
canggih yang memiliki ciri pembelajaran pada abad ini yang
dikenal berbasis digital/daring.   
Dalam Pengabdian ini memiliki tujuan untuk menerapkan
hasil penelitian yang telah dilakukan oleh sivitas akademika,
selain itu sejak kebijakan dari kementerian pendidikan dan
kebudayaan mengamanatkan pembelajaran secara daring
karena wabah Covid-19, dewasa ini para guru di SMA Al
Husna membutuhkan keterampilan dalam menggunakan
media konten video sebagai media pembelajaran di sekolah
mereka, karena belum cukupnya Kemampuan SDM untuk
mengelola dan membuat konten berbasis video pembelajaran.
Oleh sebab itu dibuatnya pelatihan membuat konten video
pada guru diharapkan mampu memanfaatkan teknologi untuk
peningkatan kemampuan dalam mengelola media 
pembelajaran khususnya dalam membuat sebuah konten
video. 
Berdasarkan hasil laporan pengabdian yang telah
dilakukan, Sasaran pengabdian adalah guru-guru di SMA Al
Husna dalam bentuk kegiatan pelatihan telah diajarkan materi
beserta praktek perancangan konten, pembuatan konten
video, pengelolaan konten video pembelajaran, Permasalahan
diselesaikan dalam tiga tahapan kegiatan yaitu persiapan,
pelaksanaan, dan evaluasi. Hasil kegiatan pelatihan
menunjukkan tingkat keberhasilan dengan indikasi adanya
kesesuaian materi dengan kebutuhan guru, adanya respon
yang positif dari peserta, dan sebagian besar (75%) peserta
telah memahami konsep pengelolaan dan pembuatan video
pembelajaran. Target dan Luaran dari pengabdian
masyarakat ini adalah memberikan dampak positif pada
pembangunan masyarakat khususnya para guru dan peserta
didik agar memberikan wawasan pengetahuan tentang karya
pengembangan profesi pada guru di SMA Al Husna, Bandar
Lampung khususnya mampu menggunakan perangkat
teknologi sebagai media pembelajaran daring menggunakan
video. 
Kata Kunci—Pelatihan, Daring, Guru, Pembelajaran, Video","L1, LB2300, N1, Q1, T1",SENDIMAS,2020-09-17,
FKIP25,Estetika Seni,"Buku ini berisi tentang pemahaman estetika seni dari berbagai sudut pandang dan filsafat seni, nilai-nilai keindahan, konsep estetika, teori, perkembangan seni, unsur-unsur estetis dan orientasi seni di berbagai negara berdasarkan periodisasi. Substansi yang terdapat dalam buku ini diharapkan mampu menjawab persoalan akan kebutuhan referensi literatur, baik dalam bidang kajian perkuliahan, pengembangan keilmuwan maupun dalam penelitian seni dan pendidikan seni. Konten seni dalam buku ini juga dapat dikonsumsi secara luas oleh masyarakat umum, pembuat kebijakan dan praktisi seni sebagai landasan berpikir.
Orientasi estetika seni secara khusus dipaparkan dalam buku ini untuk mengetahui dan sekaligus memahami nilai-nilai estetis dalam sebuah karya seni. Pemahaman akan nilai-nilai estetis ini sangatlah penting, karena sebuah pemahaman estetis yang baik akan mampu menghasilkan produk seni yang baik. Kritik seni juga sangat berkaitan erat dengan pengalaman estetis seseorang dalam berkarya. Sebuah produk seni yang baik berasal dari sebuah pemahaman estetis dan nilai-nilai estetis yang terkandung dalam sebuah seni, baik itu seni musik, seni btari, seni rupa dan teater pertunjukan. Keseluruhan konsep pemahaman nilai tersebut harus dikaji secara mendalam sesuai dengan porsinya.
Dalam penulisan buku ini isi dikaji sesuai dengan rantai perkembangan seni secara periodik. Penulis menggunakan gaya pemaparan yang sistematis dimulai dari ruang lingkup, sampai kepada orientasi dan perkembangannya. Esensi dalam buku terlihat agak pragmatis, namun tetap mengedepankan aspek seni dalam kacamata tekstual maupun kontekstual.
Semoga buku ini dapat menjawab persoalan kebutuhan keilmuwan seni dan bermanfaat bagi seluruh mahasiswa pendidikan seni khususnya di wilayah Provinsi Lampung.","N1, NX",,2016-09-13,
FKIP25,Nusantara Art Studies: Pameran Data Penelitian,"Assalamualaikum warahmatullahi Wabarakaatuh.
Alhamdulillah puji syukur Kita panjatkan kehadirat Allah SWT, berkat rahmat dan petunjuk-Nya pameran data penelitian ini dapat terlaksana. Pameran bertema “Nusantara Art Studies” ini berbeda dengan pameran pada umumnya. Pameran ini secara khusus bertujuan memberikan pengetahuan tentang ragam kesenian yang ada di Nusantara.  Ini sekaligus mengonfirmasi bahwa kekayaan budaya Indonesia sangatlah banyak. 
Materi pameran adalah data-data penelitian 11 orang mahasiswa program doktor Pascasarjana Universitas Negeri Semarang angkatan 2019. Data-data yang didajikan diantaranya tentang kesenian gitar tunggal Lampung Pesisir, penyajian gamelan dalam liturgi ibadah Gereja, Musik Bia dari Kabupaten Minahasa Utara, nilai-nilai edukasi dalam lagu ‘Tegalan’ dan Lagu Anak Karya Djito Kasilo,  eksistensi musik gambus di Pekanbaru, Musik trunthung dalam kesenian lokal Lima Gunung, tembang bocah ‘Banyumasan’, Pertunjukan Tradisi Silat Perisai di Kampar Riau, Enkulturasi Batik Kasumedangan sebagai identitas budaya Sunda, dan tenun songket Suku Sasak.
Di bawah kurasi Prof. Dr. Tjetjep Rohendi Rohidi, M.A pameran ini berusaha untuk memberikan warna baru tentang ragam seni yang divusualisasikan secara virtual. Sajian data penelitian digambarkan dalam berbagai format sehingga menarik untuk dinikmati.
Selamat menikmati.","L1, ML, N1, NX",,2021-01-11,
FT9,Animasi Desain Penataan Bandar Lampung Agripark,"Agrowisata merupakan rangkaian kegiatan wisata yang memanfaatkan potensi pertanian sebagai obyek wisata, baik potensi berupa pemandangan alam kawasan pertaniannya, maupun kekhasan dan keanekaragaman aktivitas produksi dan teknologi pertanian serta budaya masyarakat petaninya. Kegiatan Agrowisata bertujuan untuk memperluas wawasan pengetahuan, pengalaman rekreasi dan hubungan usaha di bidang pertanian yang meliputi tanaman pangan, hortikultura, perkebunan, perikanan dan peternakan. Disamping itu yang termasuk dalamAgrowisata adalah perhutanan dan sumber daya pertanian.

Upaya pengembangan Agripark yang memanfaatkan potensi agronya, serta adanya pelibatan masyarakat setempat, tentu dapat berfungsi sebagai media pemberdayaan masyarakat berbasis pariwisata (community based tourism). Pemberdayaan masyarakat dimaksud adalah agrowisata yang dapat mengikutsertakan peran dan aspirasi masyarakat setempat selaras dengan pendayagunaan potensi sumber daya alam dan sumber daya manusia yang dimilikinya. Persoalannya adalah bagaimana konsep pengembangan Agripak yang akan di tawarkan, termasuk bagaimana konsep pemberdayaan masyarakat setempat agar potensi-potensi yang dimiliki di sekitar area dapat digali secara optimal, sehingga dapat memberikan hasil maksimal stakeholder terkait dan menjadi sumber pendapatan yang dapat diandalkan bagi Pemerintah Kota Bandar Lampung.

Sejalan dengan itu, maka Pemerintah Pemerintah Kota Bandar Lampung memandang perlu untuk melakukan kajian tentang bagaimana konsep Pengembangan Agripark Kota Bandar Lampung yang berada di Kelurahan Kemiling Raya, Kecamatan Kemiling ini sebagai salah satu penghasil pertumbuhan ekonomi pariwisata, yang pada gilirannya diharapkan dapat berpeluang untuk menjadi pendorong pertumbuhan sektor pembangunan lainnya.","N1, NA, NC, NX",,2019-10-16,
FT9,Animasi Erection Tower 500KV 4 Sirkit,"Kebutuhan akan presentasi sangat di butuhkan sebelum melaksanakan pekerjaan. Dalam hal rencana pembangunan Tower Listrik, setiap jajaran petugas, perencana hingga pekerja harus mengetahui secara detail runtutan pelaksanaan. Oleh sebab itu, penyajian visual melalui sebuah animasi atu gambar bergerak pada Pembangunan atau penegakan Tower Listrik ini digunakan dalam penyamaam persepsi dan teknis dari alur pekerjaan yang akan di lalui.","N1, NC",,2018-03-02,
FT9,Animasi LPPM UNILA,,"N1, NA, NC",,2017-12-13,
FT9,Animasi Masjid Murattal Haq Pondok Pesantren Al Hanif,,"N1, NA, NC",,2017-11-05,
FT9,Animasi Metode Pekerjaan Tunnel,,"N1, NA, NC",,2017-08-29,
FT9,Animasi Rencana Desain Rumah Tinggal Mr. AM,,"N1, NA, NC",,2021-03-09,
FT9,"Animasi Rencana Penataan Pasar Pandan Sari, Sukoharjo, Pringsewu",,"N1, NA, NC",,2017-10-18,
