division,title,abstract,subjects,publication,date,keywords
FT9,"Identification of Condition and Strategy of Village Arrangement toward Urban Creative Village, Case Study : Kampung Negeri Olok Gading Kota BANDAR LAMPUNG","Abstract. Urban village as a historic village has a high physical, social and cultural values that needs to be preserved. Efforts to preserve the area is always constrained by changing aspects caused by the development, which is also a serious threat to the sustainability of the cultural and historical area. Kampung Negeri Olok Gading which has been designated as a cultural and historical village by the Government of Bandar Lampung City also experienced a similar thing, where the village is among the urban areas that are developing. The purpose of this study are: (1) to know the pattern and variety of activities within the village as a creative village embryo; (2) to know the physical condition, functional condition and environmental condition of Kampung Negeri Olok Gading; (3) to formulate the physical arrangement strategy in transforming Kampung Negeri Olok Gading become Urban Creative Village. This research uses descriptive analysis methodology through empirical study to existing condition. Through empirical tracking of the physical elements of the area, it is known that there are significant changes to the condition of the urban village such as: the changing of land use and building, the changing of the building and the environment. This is due to the increasing accessibility of the area due to the growth of the surrounding area. From the analysis of the pattern of the area, it can be seen that the Kampung Negeri Olok Gading area covers the village area located in Kelurahan Negeri Olok Gading and Kuripan Village on the south side. The main strategy that can be applied to transform Kampung into the creative village is the conservation of the area, which includes preservation of existing traditional buildings, followed by the rehabilitation of buildings and the environment (street, sidewalk, green space and green, street furniture) and adaptive- use to the old building so as to provide the attraction for the urban village area. This effort can also be continued with the strategy of structuring the river area Way Kuripan as an integrated part of the strategy of transforming the Kampung Negeri Olok Gading into Urban Creative Village.
Key Words: conservation, kampung, creative, traditional, Negeri Olok Gading","HN, NA",ICETsAS 2018,,
FT9,"The Importance of Cultural Heritage Conservation in Society: A Review and Prospect for Future Cities, with Bandar Lampung as Cased Study","Abstract. This paper introduces the special feature of cultural heritage documentation; conservation and society entitled “The Importance of Cultural Heritage Conservation in Society”. Cultural heritage in Indonesia has been developed after the establishment of Bataviaasch Genootschapvan Kunsten en Wetenschappen (1778) and De Outdheidkundige Diest (1913 – 1928 for Lampung Region) by the Netherlands Indies Government. Cultural heritage draw from a theory based in living system, developing strategies both for adopting impact and mitigation those threats by sustaining building and natural environment. Cities like Bandar Lampung are high complex living organism and are subjects to continue transformation produced by the requirement that vary from multi-ethnic of community, the political, economical, cultural and above all changing climate factored. All of factors are able to maintain normative developmental task that occur at various stage of live in the future. However, the preliminary problem of developing future cities in Bandar Lampung is related to existing social condition of modern society, which threatens the existence of local social community. The loss of heritage has to be avoided; its purposeful destruction at the hand of terrorists has been recently declared a war crime and its conservation calls for coordinated actions. To overcome this shortage, we need understanding factors affecting issue, including neighbourhood characteristic such as socio economic factor, residential pattern, social value, and stressful life events and insufficient resources. This paper investigate paradigm the role of cultural heritage conservation in society and become an important approach in develop innovation in both architecture and urban design. With present paper we aim to increase the awareness of learning cultural diversity form cultural heritage conservation and re interpreting them in establishment of urban system strategies for future cities.
Keyword: Cultural, Heritage, Conservation, Future Cities, and Bandar Lampung","H1, NA",IOP Conference Series: Earth and Environmental Science,2020-01-01,
FT9,BANTUAN TEKNIS PENATAAN RUANG TERBUKA SEBAGAI UPAYA PENINGKATAN KUALITAS LINGKUNGAN KAMPUNG PESISIR PERKOTAAN LK I KELURAHAN KANGKUNG KOTA BANDAR LAMPUNG,"Pertumbuhan kota dan aktfitas perekonomian telah menimbulkan tekanan besar pada wilayah pesisir. Degradasi sumberdaya pesisir pada gilirannya juga menimbulkan dampak balik bagi perkembangan Kota Bandar Lampung, di antaranya berupa buruknya kualitas lingkungan, permukiman kumuh (slum area), ancaman banjir, abrasi pantai, dan lain-lain (Renstra Pesisir Kota Bandar Lampung, 2010). Kelurahan Kangkung yang saat ini (Tahun 2017) berada dalam wilayah Kecamatan Teluk Betung Selatan. Selain masalah persampahan, Lingkungan I (LK I) merupakan area rawan banjir yang memperburuk kondisi lingkungan, kondisi bangunan pemukiman di kelurahan Kangkung dengan kerapatan rendah, menyebabkan hampir tidak adanya batas jarak antara satu rumah dengan rumah lainnya, serta fasilitas sarana dan prasarana lingkungan yang kurang baik. Melalui kegiatan Bantuan Teknis Penataan Ruang Terbuka Kampung Perkotaan di LK I, Kelurahan Kangkung, Kota Bandar Lampung, diharapkan mampu memberikan solusi permasalahan tersebut dalam upaya peningkatan kualitas lingkungan hidup, pelestarian sumber daya alam, sekaligus pemberdayaan masyarakat kampung perkotaan, yang juga diharapkan oleh pengurus LK I dalam penataan ruang terbuka berupa lorong kampung pesisir menjadi lebih tertata.
Kata Kunci: Bantuan Teknis, Penataan Ruang Terbuka, Lorong Kampung, Kampung Pesisir,","H1, NA",PROSIDING SENAPATI SEMINAR NASIONAL PENGABDIAN KEPADA MASYARAKAT TEKNOLOGI DAN INOVASI Pengabdian Masyarakat di Era Revolusi Industri 4.0 dan Society 5.0,2019-06-29,
FT9,MUSEUM DENGAN PENDEKATAN KONSEPARSITEKTUR TROPIS MODERN,"Indonesia  memiliki  keanekaragaman  budaya,  tradisi  dan  adat  istiadat  yang  sudah  turun  termurun  ada  dan  harusdijaga dan dilestarikan oleh penerus bangsa. Karya seni dan budaya yang ada di Indonesia itu telah melekat padakehidupan sehari-hari masyarakat Indonesia. Seperti batik, songket, kain ulos, tenun sebagai kebutuhan sandang,ritual adat, makanan khas daerah, rumah-rumah adat, dan lainnya. Pentingnya keberadaan pengetahuan akan senidan budaya Indonesia kepada masyarakat ini sangat diperlukan. Untuk itu diperlukan wadah untuk melestarikan,menjaga  peninggalan  tersebut  yaitu  bangunan  Museum.  Seiring  berkembangnya  zaman  modern,  masyarakatkhususnya  pada  wilayah  perkotaan  mulai  melupakan  pentingnya  peran  dalam  hal  melestarikan  budaya.  Hal  inidisebabkan karena sebagian besar masyarakat kurang berminat atau tertarik akan budaya yang terlihat kuno atauketinggalan  zaman.Dari  sebanyak  328  museum  di  seluruh  Indonesia,  dalam  setahun  hanya  mampu  menarik  10juta  kunjungan.  Angka  tersebut  relatif  kecil  dibandingkan  dengan  museum  di  negara  lain  dimana  satu  museumbisa  menarik  hingga  6  juta  kunjungan.  Museum  sebagai  hasil  perancangan  dimaksudkan  untuk  memberikankenyamanan dan mendukung aktifitas manusia yang berada dalam bangunan tersebut. Kondisi ruangan yang baikadalah  ruangan  yang  dapat  memenuhi  persyaratan  kenyamanan  yang  meliputi  kenyamanan  terhadap  suara,pencahayaan,  kenyamanan.  Oleh  karena  itu  dalam  pendekatankonsep  yang  diterapkan  pada  bangunan  harusmemperhatikan  faktor  iklim  di  indonesia,  yaitu  iklim  tropis  sehingga  dapat  tercipta  lingkungan  dan  bangunanyang memberikan kenyamanan, kenikmatan, dan keselamatan terhadap pemakainya.Kata kunci:Arsitektur, Iklim, Modern, Museum, Tropis",NA,"JurnalArsitektur, Kota dan Permukiman (LOSARI)",2019-08-02,
FT9,PERANCANGAN KEMBALI MUSEUM LAMPUNG DI BANDAR LAMPUNG,"Museum Lampung yang terletak di Jalan Zainal Abidin Pagar Alam No. 64, Gedong Meneng, Kecamatan Kedaton, Kota Bandar Lampung yang merupakan museum pemerintah. Museum Lampung adalah bangunan yang berperan penting dalam sejarah dan kebudayaan Lampung, mengingat fungsinya sebagai sarana pendidikan bagi masyarakat dari generasi ke generasi. Namun sayangnya minat pengunujung Museum Lampung mengalami penurunan minat di beberapa tahun terakhir. Kurangnya penyajian pameran koleksi yang melibatkan interaksi pengunjung dan merasakan pengalaman berkunjung, penataan fungsi gedung dari luar tapak kurang efisien untuk menarik pengunjung datang dan sebagian besar pengunjung datang karena tugas atau penelitian bukan sebagai wisatawan yang berlibur ke Museum. Maka dari itu perlu adanya tinjauan kembali sehingga dibutuhkannya peracangan kembali museum. Museum Lampung adalah identitas dari Lampung yang memiliki berbagai macam koleksi kebudayaan Lampung, sejarah dan pra sejarah Lampung. Hal ini yang membuat benang merah bahwa museum Lampung yang mewakili kebudayan Lampung. Pendekatan dengan Arsitektur Neo Vernakular menjadi solusi untuk mengembangkan konsep desain Perancangan Kembali Museum Lampung oleh penulis.
Dalam penerapan ini menggunakan unsur modern yang berkembang namun tetap mewakilkan Arsitektur Lampung. Unsur Neo Vernakular yang terapkan dalam museum Lampung melalui elemen seperti motif-motif lampung (tapis, perahu, aksara) dan prinsip dari rumah tradisional tersebut yaitu rumah panggung dan atap, mengolah ulang tata ruang bangunan dan fungsi-fungsi ruangan yang berkaitan dengan sejarah dan budaya Lampung, menciptakan ruang-ruang baru sebagai wadah kegiatan-kegiatan yang dibutuhkan masyarakat berkaitan dengan museum Lampung yang dapat meningkatkan minat pengunjung serta menjadikan museum Lampung sebuah ikonik dari Lampung itu sendiri.
Kata Kunci : Museum, Kebudayaan Lampung, Perancangan Kembali, Arsitektur Neo- Vernakular, Arsitektur Lampung.",NA,Jurnal Teknologi dan Inovasi Industr,,
FT9,PERANCANGAN PERPUSTAKAAN UMUM DENGAN KONSEP LEARNING COMMONS DI BANDAR LAMPUNG,"Kualitas pendidikan di Indonesia saat ini sangat memprihatinkan, terbukti tentang peringkat indeks pengembangan manusia (Human Development Index), dimana Indonesia memiliki penurunan peringkat dalam hal pendidikan, dipengaruhi oleh berbagai macam faktor, salah satunya adalah kurangnya kesadaraan akan pendidikan dan kurangnya minat membaca masayarakat. Padahal pemerintah menyediakan fasilitas perpustakaan di setiap daerahnya. Penyebabnya bisa jadi adalah kurang nyamannya tempat yang disediakan, sulitnya pengunjung dalam menemukan buku, dan kurang menariknya perpustakaan tersebut. Perpustakaan yang ideal adalah perpustakaan yang dapat mewadahi dan mengikuti perkembangan pola aktivitas masyarakat. seperti pola belajar yang tidak perorangan lagi melainkan kelompok, perpustakaan sebagai tempat berdiskusi, perpustakaan sebagai tempat pertemuan dan perpustakaan yang menfasilitasi teknologi masa kini. Maka dari itu dengan adanya konsep Learning Commons ini diharapkan dapat membantu mewujudkan segala kebutuhan masyarakat generasi digital di zaman modern ini dengan membuat sesuatu yang fleksibel dan tidak monoton diharapakan mampu menjawab permasalahan perpustakaan masa kini dan dapat terwujud secara sepenuhnya.
Kata Kunci : Generasi Digital, Learning Commons, Perpustakaan",NA,SINTA Seminar Nasional Ilmu Teknik dan Aplikasi Industri 2019,2019-10-25,
FT9,PENGARUH KETAHANAN SOSIAL MASYARAKAT DESA WANA DALAM KETAHANAN IDENTITASNYA SEBAGAI DESA TRADISIONAL,"Ketahanan sosial merupakan suatu kondisi masyarakat yang terdiri dari usaha dan kemampuan secara terus menerus dalam menghadapi segala macam tantangan, ancaman, dan gangguan yang datang untuk identitas, integrasi serta kelangsungan hidup dari masyarakat tersebut. Ketahanan sosial juga dapat dipengaruhi oleh keterikatan nilai-nilai sosial masyarakatnya dengan nilai ekonomi, budaya, dan teknologi yang terus berkembang dari masa ke masa. Situasi ini pada akhirnya dapat menciptakan persepsi yang berbeda antar generasi, berkaitan dengan identitas suatu golongan masyarakat tersebut. Ketika membahas mengenai ketahanan identitas suatu golongan masyarakat yang dipengaruhi oleh nilai- nilai sosial, kami menjadikan Desa Wana sebagai objek penelitian dikarenakan memiliki keberagaman suku dan budaya didalamnya. Padahal identitas asli desa ini merupakan desa dengan adat dan budaya Melinting. Kondisi ini tentu saja menjadi tantangan tersendiri bagi masyarakatnya untuk mempertahankan identitas mereka sebagai desa tradisional Melinting, agar dapat mengikuti perkembangan zaman, tanpa kehilangan kebudayaannya. Serta agar terhindar dari kemungkinan terjadinya asimilasi. Oleh karena itu, melalui tulisan ini, kami mencoba untuk menggambarkan bagaimana keterkaitan antara kondisi sosial masyarakat Desa Wana saat ini dengan ketahanan identitasnya sebagai desa tradisional. Selain itu akan menunjukkan bahwa ketahanan sosial merupakan suatu hal yang penting dalam upaya mempertahankan identitas, integrasi serta kelangsungan hidup suatu masyarakat, di desa yang memiliki nilai-nilai sejarah dan budaya yang tinggi, seperti Desa Wana.
Kata kunci : Ketahanan, Sosial, Identitas, Desa Wana","H1, NA",PROSIDING_SINTA_2019.,2019-10-25,
FT9,Desain Kawasan Foodcourt di PKOR Way Halim Dengan Menggunakan Atap Tenda,"Perkembangan kawasan PKOR Way Halim saat ini jika dilihat dari lain sisi merupakan sebuah potensi bagi pemerintah untuk mengembangkan ruang publik yang berdaya hidup. Hal ini dikarenakan respon masyarakat terhadap perkembangan PKOR Way Halim yang terjadi saat ini mengindikasikan bahwa kawasan PKOR Way Halim ini sendiri telah menjadi ruang publik yang aktif karena telah ramai dikunjungi. Oleh karena itu, melalui penataan kawasan PKOR Way Halim sebagai ruang publik berdaya hidup (livable public space) akan menjadikan kawasan ini sebagai ruang public yang nyaman dan aman untuk dikunjungi setiap orang, dapat mendukung citra kawasan sekitarnya dan kota Bandar Lampung, dapat mendukung perkembangan ekonomi lokal serta dapat meningkatkan interaksi sosial masyarakatnya. Dengan begitu, kesejahteraan masyarakat dapat meningkat dan kawasan PKOR dapat berkembang secara berkelanjutan.
Dibangunnya sarana komersil yang merupakan salah satu cara untuk meningkatkan kesejahteraan dan memenuhi kebutuhan, masyarakat seperti Foodcourt. Foodcourt sebagai salah satu badan usaha yang bergerak di bidang usaha kuliner, berusaha untuk menawarkan sesuatu yang unik dan diharapkan dan dapat 
menjaring konsumen lebih banyak lagi. Peran food court pada kawasan PKOR Way Halim adalah sebagai fasilitas komersil yang mendukung kegiatan ekonomi, budaya dan rekreasi.",NA,,2018,
FT9,"KAJIAN SPATIAL ENCLOSURE PADA PENATAAN RUANG JALAN 
Studi Kasus : Penataan Koridor Perdagangan di Kawasan Teluk Betung Bandar Lampung","Dalam penataan kawasan perkotaan, khususnya penataan koridor jalan, survei visual menjadi salah satu metode yang signifikan yang dapat memberikan persepsi dan data empiris kawasan yang berguna dalam pemecahan masalah perancangan. Salah satu metode dalam melakukan survei dan sekaligus analisis ruang perkotaan adalah dengan pengamatan terhadap aspek spatial enclosure adalah tingkatan atau derajat ketertutupan ruang yang memberikan kesan dan persepsi psikologis terhadap pengamat. Persepsi psikologis ini berbeda-beda, tergantung pada proporsi dan skala ruang yang terbentuk berdasarkan perbandingan antara jarak elemen vertical dan ketinggian elemen vertikalnya. Melalui survei visual terhadap proporsi dan skala ruang jalan, maka dapat diketahui tingkat ketertutupan ruang suatu jalan yang menjadi dasar dalam analisis dan perencanaan ruang jalan. Proporsi diketahui dengan mengukur ketinggian pelingkup vertical (dinding/h) terhadap jarak datar (lantai/tanah/d) yang dibentuk oleh elemen keras (hardscape) maupun lunak (softscape). Penelitian ini bertujuan untuk mengetahui spatial enclosure pada koridor jalan di kawasan perdagangan Teluk Betung melalui analisis rancangan yang terbentuk. Hasil penelitian menunjukkan bahwa rancangan ruang jalan di area studi terdiri atas main enclosure dan secondary enclosure. Mein enclosure memberikan efek psikologis dalam konteks skala kawasan dan kota, sementara secondary enclosure memberikan efek psikologis pada tingkat kawasan dan mikro. Penataan lebih rinci pada area secondary enclosure dapat menjadi kunci dalam melunakkan efek psikologis ruang yang ditimbulkan dan menciptakan koridor yang berkarakter.
Kata Kunci : spatial enclosure, hardscape, softscape",NA,"Rekayasa, Jurnal Teknik Sipil dan Perencanaan",2015-04,
FT9,Laporan Perancangan Renovasi Gedung Serba Guna (GSG) Universitas Lampung,"Pencapaian visi dan sasaran RPJP Unila memerlukan dukungan 
sarana dan prasarana kegiatan yang memadai, agar dapat mengakomodasi perkembangan Unila. Salah satu sarana dan prasarana yang penting di lingkungan Kampus Unila adalah Gedung Serba Guna (GSG) Unila. Kondisi bangunan publik seperti GSG Unila tersebut menjadi cerminan suasana pelayanan pendidikan baik untuk civitas akademik maupun masyarakat umum. Ditinjau dari umur bangunan, bentuk, kondisi, dan
pelayanan bangunan tersebut sangat perlu diadakan ehabilitasi berat terhadap fisik gedung GSG Unila tersebut.",NA,,2017,
