division,title,abstract,subjects,publication,date,keywords
,ANIMASI METODE PEKERJAAN DAM,,"NA, NC, NX",,2017-08-29,
FT9,ANIMASI RENCANA PENATAAN MASTER PLAN GOR KAUR,,"NA, NC",,2018-11-18,
FT9,Animasi Backyard Private Residence Mr. Ridho Wiradinata,"Ini merupakan alternatif awal dari rumah BPk. Ridho yang fokus ke bagian belakang area rumah. Penggunaan elemen lansekap yang di padupadankan dengan rumah utama melalui konektifitas yang ""mengapung"" di atas air memberikan kesan lembut dan lebih santai sebagai penguat tema bagian belakang rumah yang memang di peruntukkan bagi kegiatan keluarga.

Design n build :
www.panjikurniawan.com","NA, NC",,2018-04-07,
FT9,Animasi Desain Penataan Bandar Lampung Agripark,"Agrowisata merupakan rangkaian kegiatan wisata yang memanfaatkan potensi pertanian sebagai obyek wisata, baik potensi berupa pemandangan alam kawasan pertaniannya, maupun kekhasan dan keanekaragaman aktivitas produksi dan teknologi pertanian serta budaya masyarakat petaninya. Kegiatan Agrowisata bertujuan untuk memperluas wawasan pengetahuan, pengalaman rekreasi dan hubungan usaha di bidang pertanian yang meliputi tanaman pangan, hortikultura, perkebunan, perikanan dan peternakan. Disamping itu yang termasuk dalamAgrowisata adalah perhutanan dan sumber daya pertanian.

Upaya pengembangan Agripark yang memanfaatkan potensi agronya, serta adanya pelibatan masyarakat setempat, tentu dapat berfungsi sebagai media pemberdayaan masyarakat berbasis pariwisata (community based tourism). Pemberdayaan masyarakat dimaksud adalah agrowisata yang dapat mengikutsertakan peran dan aspirasi masyarakat setempat selaras dengan pendayagunaan potensi sumber daya alam dan sumber daya manusia yang dimilikinya. Persoalannya adalah bagaimana konsep pengembangan Agripak yang akan di tawarkan, termasuk bagaimana konsep pemberdayaan masyarakat setempat agar potensi-potensi yang dimiliki di sekitar area dapat digali secara optimal, sehingga dapat memberikan hasil maksimal stakeholder terkait dan menjadi sumber pendapatan yang dapat diandalkan bagi Pemerintah Kota Bandar Lampung.

Sejalan dengan itu, maka Pemerintah Pemerintah Kota Bandar Lampung memandang perlu untuk melakukan kajian tentang bagaimana konsep Pengembangan Agripark Kota Bandar Lampung yang berada di Kelurahan Kemiling Raya, Kecamatan Kemiling ini sebagai salah satu penghasil pertumbuhan ekonomi pariwisata, yang pada gilirannya diharapkan dapat berpeluang untuk menjadi pendorong pertumbuhan sektor pembangunan lainnya.","N1, NA, NC, NX",,2019-10-16,
FT9,Animasi Erection Tower 500KV 4 Sirkit,"Kebutuhan akan presentasi sangat di butuhkan sebelum melaksanakan pekerjaan. Dalam hal rencana pembangunan Tower Listrik, setiap jajaran petugas, perencana hingga pekerja harus mengetahui secara detail runtutan pelaksanaan. Oleh sebab itu, penyajian visual melalui sebuah animasi atu gambar bergerak pada Pembangunan atau penegakan Tower Listrik ini digunakan dalam penyamaam persepsi dan teknis dari alur pekerjaan yang akan di lalui.","N1, NC",,2018-03-02,
FT9,Animasi LPPM UNILA,,"N1, NA, NC",,2017-12-13,
FT9,Animasi Masjid Murattal Haq Pondok Pesantren Al Hanif,,"N1, NA, NC",,2017-11-05,
FT9,Animasi Metode Pekerjaan Tunnel,,"N1, NA, NC",,2017-08-29,
FT9,Animasi Rencana Desain Rumah Tinggal Mr. AM,,"N1, NA, NC",,2021-03-09,
FT9,"Animasi Rencana Penataan Pasar Pandan Sari, Sukoharjo, Pringsewu",,"N1, NA, NC",,2017-10-18,
FT9,Animasi Ruang Terbuka Hijau (RTH) Sukoharjo,,"N1, NA, NC",,2017-10-18,
FT9,Animasi Rumah Sakit & Research Centre Unila,,"N1, NA, NC",,2018-02-11,
FT9,Animasi Tugu Gajah Mada Sukoharjo Pringsewu,,"N1, NA, NC",,2017-10-24,
FT9,"Bantuan Teknis Desain dan 3d Visual 
Renovasi Masjid Osman Hosen 
Pondok Pesantren Putra-Puteri Perkemas Dusun Sidorejo, Desa Branti Raya, Kecamatan Natar, Lampung Selatan","Pembangunan diberbagai bidang terus berkembang saat ini. Peningkatan terhadap kualitas hidup, tidak hanya tidak hanya di tandai dengan meningkatnya kesejahteraan, namun juga pada konteks hubungan dengan sang maha pencipta, Allah SWT. Hubungan komunikasi antara mahluk dan tuhannya di wadahi pada bentuk fisik tertentu. Misalnya yang dilakukan pada pengabdian kali ini yaitu Rencana Renovasi Masjid Osman Hosen yang berada di kompleks Pesantren Putra-Puteri Perkemas dusun Sidorejo, desa Branti Raya, Kecamatan Natar, Lampung Selatan. Dalam Rencana Renovasi dari Masjid ini membutuhkan pendanaan yang cukup besar mengingat luasannya yang terbilang besar. Oleh sebab itu diperlukan sebuah konsep pembangunan yang terencana dan membutuhkan urun saran dari berbagai pihak. Langkah awal yang dapat di lakukan adalah dengan menginformasikan tentang rencana tersebut dalam sebuah gambar simulasi yang akan di gunakan dalam Proposal Pembangunan. Dari sisi disiplin ilmu yang kami coba berikan bantuan adalah simulasi 3D bangunan Masjid Osman Hosen sebagai langkah awal yang akan menggambarkan bentuk fisik jika bangunan tersebut telah terbangun di kemudian hari.
Kata kunci: Renovasi, 3D Visual.","NA, NC",,2020-09,
FT9,LAPORAN KARYA LOGO DIES KE 56,"Unila merupakan perguruan tinggi di lingkungan Kementerian Riset, Teknologi, dan Pendidikan Tinggi yang berkedudukan di Kota Bandar Lampung, Provinsi Lampung. Unila didirikan pada tanggal 23 September 1965 berdasarkan Keputusan Menteri Perguruan Tinggi dan Ilmu Pengetahuan Nomor 195 Tahun 1965 yang selanjutnya dikukuhkan dengan Keputusan Presiden Republik Indonesia Nomor 73 Tahun 1966 tanggal 6 April 1966.
Hingga saat ini Unila melaksanakan peringatan hari jadi, yang saat ini telah mencapai hari jadi ke-56 pada tahun 2021. Dalam peringatan hari jadi tersebut Unila banyak mengadakan kegiatan yang bersifat perlombaan di berbagai bidang. Ini menjadi sangat penting terutama dalam membangun komunikasi antar civitas akademis terutama di lingkungan Universitas Lampung.
Berkenaan dengan hal tersebut biasanya kepanitiaan akan dikordinatori oleh 1 Fakultas dan 1 Fakultas lain sebagai pendamping. Untuk Fakultas lain akan memeriahkan sebagai peserta yang juga memiliki perwakilan dalam kepanitiaan Dies di tingkat Universitas.
Dalam pelaksanaan kepanitiaan ini akan membutuhkan sebuah identitas kegiatan yang terwujud dalam desain sebuah logo kegiatan. Akan berbeda-beda desain logo tersebut mengikuti tahun pelaksanaan Dies Natalis di lingkungan Unila.",NC,,2021-06-14,
FT9,LAPORAN KARYA LOGO DIES KE 57,"Unila merupakan perguruan tinggi di lingkungan Kementerian Riset, Teknologi, dan Pendidikan Tinggi yang berkedudukan di Kota Bandar Lampung, Provinsi Lampung. Unila didirikan pada tanggal 23 September 1965 berdasarkan Keputusan Menteri Perguruan Tinggi dan Ilmu Pengetahuan Nomor 195 Tahun 1965 yang selanjutnya dikukuhkan dengan Keputusan Presiden Republik Indonesia Nomor 73 Tahun 1966 tanggal 6 April 1966.
Hingga saat ini Unila melaksanakan peringatan hari jadi, yang saat ini telah mencapai hari jadi ke-57 pada tahun 2022 ini. Dalam peringatan hari jadi tersebut Unila banyak mengadakan kegiatan yang bersifat perlombaan di berbagai bidang. Ini menjadi sangat penting terutama dalam membangun komunikasi antar civitas akademis terutama di lingkungan Universitas Lampung.
Berkenaan dengan hal tersebut biasanya kepanitiaan akan dikordinatori oleh 1 Fakultas dan 1 Fakultas lain sebagai pendamping. Untuk Fakultas lain akan memeriahkan sebagai peserta yang juga memiliki perwakilan dalam kepanitiaan Dies di tingkat Universitas.
Dalam pelaksanaan kepanitiaan ini akan membutuhkan sebuah identitas kegiatan yang terwujud dalam desain sebuah logo kegiatan. Akan berbeda-beda desain logo tersebut mengikuti tahun pelaksanaan Dies Natalis di lingkungan Unila.",NC,,2022-08-01,
FT9,LOGO DIES 55 UNIVERSITAS LAMPUNG,"ARTI LOGO :

Bentuk Setengah Lingkaran Berwarna Kuning, memiliki arti Surya/Matahari yang bersinar dengan membawa kemakmuran, kegemilangan, berwarna kuning denan latar depan siluet orang dengan keceriaan, merupakan dominasi warna Universitas Lampung, sebagai wadah pendidikan yang mampu menghantarkan civitas akademisnya meraih kesuksesan.
Siluet Garis Horizon berwarna Biru, merupakan Fakultas Penyelenggara yang dalam Hal ini adalah FKIP dan Fakultas Teknik.
Riak Gelombang Ungu yang menyerupai tangan menengadah, merupakan refleksi keluasan ilmu pengetahuan, dan keleluasaan keilmuan (kurikulum merdeka) yang mampu mencapai ke seluruh ruang dan tempat dan mampu beradaptasi dengan kondisi apapun dan dimanapun, dengan tetap menjadikan kebesaran Tuhan YME, Allah SWT sebagai satu-satunya sumber dari segala Ilmu dalam Kehidupan.
Siluet Pohon, Orang sebagai Tunas, dengan Daun Berwarna-warni, merefleksikan Kemampuan & Komitmen Unila untuk mampu Menciptakan Generasi yang Unggul, melalui sejumlah Fakultas yang dimilikinya.","N1, NC, ND, NE, NK, NX",,2020-07,
FT9,Lighting decoration Planning Project Animation Kantor Satu Atap Pemkot Bandar lampung & Menara Masjid Al-Furqon Bandar Lampung,,"N1, NA, NC",,,
