division,title,abstract,subjects,publication,date,keywords
FKIP12,"PERAN MEDIA SOSIAL DALAM MENGEKSISTENSIKAN KARYA
SENI MUSIK DI MASA PANDEMI COVID-19","Pandemi Covid-19 membawa sejumlah dampak yang begitu signifikan dalam semua
sektor, termasuk sektor industri seni dan musik. Baik berupa seni musik, seni tari, ataupun
seni drama atau para pekerja seni sangat terdampak akan kondisi ini. Banyak agendaagenda karya seni yang sudah dijadwalkan oleh pihak terkait tetapi harus dibatalkan karena
kondisi yang tidak memungkinkan untuk diadaknya sebuah panggung atau senin
pertunjukan. Artikel ini bertujuan untuk melihat bagaimana peran dari media sosial dalam
mengeksistensikan karya seni musik dan seberapa efektifkah media sosial
mengeksistensikan karya seni musik dimasa Pandemi Covid-19 sekarang ini. Metode yang
digunakan oleh penulis dalam hal ini adalah pengamatan. Pengamatan yaitu peninjauan
secara cermat atas apa yang akan diamati oleh penulis.. Hasil dalam artikel ini akan
membahas mengenai peran, media sosial, eksistensi, dan seni musik dimasa Pandemi
Covid-19. Sementara rekomendasi dalam artikel ini berupa para seniman musik untuk
selalu berkarya dan memanfaatkan media sosial sebagai sarana selalu menghibur
masyarakat dan tetap berkarya melalui halangan dan rintangan yang ada, serta komunitas
musik dan pemerintah daerah setempat harus mendukung dengan adanya upaya dari pelaku
seniman musik.",NX,,2021-02,
FKIP25,PERSEPSI SISWA SMA DI BANDAR LAMPUNG TERHADAP PEMANFAATAN MEDIA SOSIAL SEBAGAI PLATFORM SENI PERTUNJUKAN VIRTUAL,"Penelitian ini bertujuan untuk mengetahui dan mendeskripsikan persepsi siswa SMA di Bandar Lampung terhadap pemanfaatan media sosial sebagai platform seni pertunjukan virtual. Metode penelitian yang digunakan adalah metode penelitian kuantitatif. Teknik pengumpulan data menggunakan teknik one shoot/pengukuran yang dilakukan satu kali. Instrumen pengumpulan data menggunakan angket/kuisioner dengan skala likert 1-5. Data dianalisis menggunakan statistik deskriptif. Hasil penelitian menunjukkan bahwa sebagian besar siswa SMA di Bandar Lampung memiliki persepsi yang cukup baik terhadap pemanfaatan media sosial sebagai platform seni pertunjukan virtual. Dari 372 responden, sebanyak 154 atau 41,40% responden memiliki persepsi yang baik, 192 atau 51,61% responden memiliki persepsi cukup baik, 19 atau 5,11% responden memiliki persepsi kurang baik, dan 7 atau 1,88% responden memiliki persepsi tidak baik. Persepsi siswa dalam penelitian ini dipengaruhi oleh beberapa faktor diantaranya adalah faktor minat, sikap, motivasi, apresiasi, dan harapan. Faktor minat, sikap, dan motivasi berada pada kategori “Cukup Baik”, dengan persentase 58,87%; 59,41%; dan 49,46%; sedangkan faktor apresiasi dan harapan berada pada kategori “Baik” dengan persentase 61,83%; dan 81,99%.

Kata Kunci: persepsi siswa, seni pertunjukan virtual, media sosial.","L1, NX",Jurnal Pendidikan dan Kajian Seni,2021-10,
FKIP25,Nyambai Sebuah Bentuk Seni Pertunjukan Masyarakat Adat Saibatin di Pesisir Lampung,,"L1, NX",,,
FKIP25,Education Dance Between Hope and Reality,"Interaction is key element in the formation of identity. Through the process of interaction, a person will be able to knows his character. Individuals in the gorup knowing the process will be easier than removing members from the group. In line with this arguments, the paper describes how it is applied to the process of learning, espeacially dance. Learning through dance is expected to bring together with integrated cognitive, motor, and afective. Efforts to integrate the three domains should be assisted with a concept, while the concept is ever emerging education dance. During this dance leasons emphasize on dance form that are sometime incompatible with the childs age. This can lead to selfisness and selfconfidance in children. Unlike the education dance that gives student to opportunity to be creative and get to know the environment. Through edocation dance, teachers and student are requared to be active and creative.",NX,,2013-04-27,
,Capturing Resonance: Mapping Regional Music Research of Lampung for Culture-Based Educational Policy,"Music research in Lampung is expanding in a variety of ways. The abundance of local music data promotes basic notions regarding music research to be developed further. This page looks into research literature sources focusing on Lampung music and cultural research. Journal library sources and conference presentations are employed to develop research proposals carried out. The goal is to map out music research concerning cultural promotion and education strategies based on Lampung culture. Mapping regional music is a preliminary study used to select the next level of research. The literature study revealed several opportunities for regional music research, both within the frameworks of music education, musicology and ethnomusicology. Music research is a broad area that can be tackled from various perspectives. The more significant the impact on music literacy in Lampung, the broader academics' perspective identifies potential music study themes. Lampung is home to many social and musical phenomena that have yet to be thoroughly investigated.","JA, L1, M1, ML, MT, NX, Z665",Journal of Advance in Social Sciences and Policy,2022-10-28,
FKIP25,Diskursus Pendidikan Seni Hari Ini: Pendidikan Seni Di Era Digital,"Pendidikan seni sebagai sebuah disiplin ilmu,
meniscayakan posisinya dalam peta ilmu pengetahuan
sebagai bidang yang dapat dikaji dari aspek ontologis,
epistemolgis, dan aksiologis. Sebagai ilmu pengetahuan yang
berada pada rumpun ilmu-ilmu humaniora, secara ontologis,
pendidikan seni mempersoalkan hakikat keberadaan seni
sebagai media pendidikan dengan tujuan untuk membentuk
segi-segi manusia dan kemanusiaan yang memiliki kepekaan
estetik dan kemampuan artistik melalui kegiatan kreatif,
ekspresif, dan apresiatif. Dalam perspektif epistemologis,
pendidikan seni memerlukan suatu strategi dan/atau metode
yang bersifat paradigmatis untuk mewujudkan tujuan tersebut.
Sementara itu, secara aksiologis, tak dapat dinafikan bahwa
melalui pendidikan seni, dapat diperoleh manfaat berupa
nilai-nilai yang berorientasi pada upaya memanusiakan
manusia seutuhnya sebagai mahluk yang memiliki kapasitas
kreatif dan kesadaran budaya. Dengan demikian, pendidikan
seni sebagai ilmu pengetahuan, bukanlah sekadar urusan yang
hanya mengusung hal-hal teknis pembelajaran di kelas semata,
tetapi ia perlu dilihat dan dipahami secara holistik pada ranah
filosofis-ideologis, paradigmatis, dan aksiologisnya.
Dalam kerangka itulah, saya melihat dan memahami
buku yang berjudul “Diskursus Pendidikan Seni Hari Ini” yang
ditulis oleh para mahasiswa Program Doktor Pendidikan Seni
Pascasarjana Universitas Negeri Semarang angkatan tahun
2019. Tulisan dalam buku ini sesungguhnya hasil kreativitas
akademik mahasiswa yang bersumber dari tugas pembuatan
makalah dalam “Mata Kuliah Isu dan Paradigma dalam
Pendidikan Seni”. Judul dan uraian yang dipaparkan oleh
setiap penulis dalam buku ini, sekurang-kurangnya berisi
gagasan-gagasan yang berorientasi pada isu-isu yang bersifat
filosofis-ideologis, paradigmatis, dan aksiologis tentang
pendidikan seni. Hal ini, tentu, relevan dengan kapasitasnya
sebagai mahasiswa calon doktor pendidikan seni.","L1, M1, ML, MT, NX",,2020-08,
FKIP25,Estetika Seni,"Buku ini berisi tentang pemahaman estetika seni dari berbagai sudut pandang dan filsafat seni, nilai-nilai keindahan, konsep estetika, teori, perkembangan seni, unsur-unsur estetis dan orientasi seni di berbagai negara berdasarkan periodisasi. Substansi yang terdapat dalam buku ini diharapkan mampu menjawab persoalan akan kebutuhan referensi literatur, baik dalam bidang kajian perkuliahan, pengembangan keilmuwan maupun dalam penelitian seni dan pendidikan seni. Konten seni dalam buku ini juga dapat dikonsumsi secara luas oleh masyarakat umum, pembuat kebijakan dan praktisi seni sebagai landasan berpikir.
Orientasi estetika seni secara khusus dipaparkan dalam buku ini untuk mengetahui dan sekaligus memahami nilai-nilai estetis dalam sebuah karya seni. Pemahaman akan nilai-nilai estetis ini sangatlah penting, karena sebuah pemahaman estetis yang baik akan mampu menghasilkan produk seni yang baik. Kritik seni juga sangat berkaitan erat dengan pengalaman estetis seseorang dalam berkarya. Sebuah produk seni yang baik berasal dari sebuah pemahaman estetis dan nilai-nilai estetis yang terkandung dalam sebuah seni, baik itu seni musik, seni btari, seni rupa dan teater pertunjukan. Keseluruhan konsep pemahaman nilai tersebut harus dikaji secara mendalam sesuai dengan porsinya.
Dalam penulisan buku ini isi dikaji sesuai dengan rantai perkembangan seni secara periodik. Penulis menggunakan gaya pemaparan yang sistematis dimulai dari ruang lingkup, sampai kepada orientasi dan perkembangannya. Esensi dalam buku terlihat agak pragmatis, namun tetap mengedepankan aspek seni dalam kacamata tekstual maupun kontekstual.
Semoga buku ini dapat menjawab persoalan kebutuhan keilmuwan seni dan bermanfaat bagi seluruh mahasiswa pendidikan seni khususnya di wilayah Provinsi Lampung.","N1, NX",,2016-09-13,
FKIP25,Gitar tunggal Lampung: Enculturation and ethnopedagogy in advancing formal music education,"Formal music education often uses systematic teaching methods, a planned curriculum, leveling, organization, and standardized learning stages. From a pedagogical perspective, learning music provides a more imaginative, improvisatory learning structure besides all these standard rules. By capturing the social practice of music in the community, music scholars can enrich their academic experience and ideas about designing informal music learning in the classroom. The gitar tunggal players from Lampung may serve as ideas for those learning music formally. While they lack musical and academic literacy, they also provide useful self-learning concepts. Over the past four years, data for this study were gathered using ethnomusicological methods. Online databases were used in addition to the primary data collected through fieldwork. When designing curricula, music scholars might include the ideas of enculturation and Ethno pedagogy. A useful suggestion for enhancing formal music education is to base instruction on local culture and learn it from vernacular musicians in Lampung.","L1, M1, ML, MT, NX, Q1, Z719",Jurnal Seni Musik,2023-06-30,
FKIP25,Merefleksikan netnografi untuk penelitian seni (resensi buku),"Judul Buku: NetnographyPenulis: Robert V. KozinetsPenerbit: SAGE Publications LtdTahun Terbit: 2015 (edisi ke-2)Jumlah Halaman: 320ISBN: 978-1-4462-8574-9 Artikel ini merupakan resensi buku yang direfleksikan untuk penelitian seni. Di tengah berbagai metodologi yang ditawarkan, pendekatan penelitian berbasis virtual menjadi pilihan bagi peneliti agar tetap produktif. Bagian awal resensi buku ini akan dipaparkan secara umum. Pada bagian selanjutnya berisi diskusi tentang implikasi pendekatan netnografi dalam penelitian seni. Buku yang berjudul Netnography ini menawarkan pemikiran baru tentang cara melakukan peneltian secara daring (online). Informasi yang tersedia dalam bentuk mahadata (big data) saat ini memungkinkan akses luas terhadap data-data yang bersifat terbuka. Kozinets melihat keberadaan ruang digital saat ini sebagai peluang untuk melakukan transformasi besar-besaran dalam mengumpulkan data untuk kebutuhan penelitian. Penelitian tidak selalu dikerjakan di lapangan, tetapi juga mampu diselesaikan di atas meja kerja. Melalui penelusuran secara virtual banyak hal yang bisa dipelajari tentang komunitas dan budaya daring.","ML, NX, Z665, ZA4050",Pelataran Seni,2022-03-30,
FKIP25,Nusantara Art Studies: Pameran Data Penelitian,"Assalamualaikum warahmatullahi Wabarakaatuh.
Alhamdulillah puji syukur Kita panjatkan kehadirat Allah SWT, berkat rahmat dan petunjuk-Nya pameran data penelitian ini dapat terlaksana. Pameran bertema “Nusantara Art Studies” ini berbeda dengan pameran pada umumnya. Pameran ini secara khusus bertujuan memberikan pengetahuan tentang ragam kesenian yang ada di Nusantara.  Ini sekaligus mengonfirmasi bahwa kekayaan budaya Indonesia sangatlah banyak. 
Materi pameran adalah data-data penelitian 11 orang mahasiswa program doktor Pascasarjana Universitas Negeri Semarang angkatan 2019. Data-data yang didajikan diantaranya tentang kesenian gitar tunggal Lampung Pesisir, penyajian gamelan dalam liturgi ibadah Gereja, Musik Bia dari Kabupaten Minahasa Utara, nilai-nilai edukasi dalam lagu ‘Tegalan’ dan Lagu Anak Karya Djito Kasilo,  eksistensi musik gambus di Pekanbaru, Musik trunthung dalam kesenian lokal Lima Gunung, tembang bocah ‘Banyumasan’, Pertunjukan Tradisi Silat Perisai di Kampar Riau, Enkulturasi Batik Kasumedangan sebagai identitas budaya Sunda, dan tenun songket Suku Sasak.
Di bawah kurasi Prof. Dr. Tjetjep Rohendi Rohidi, M.A pameran ini berusaha untuk memberikan warna baru tentang ragam seni yang divusualisasikan secara virtual. Sajian data penelitian digambarkan dalam berbagai format sehingga menarik untuk dinikmati.
Selamat menikmati.","L1, ML, N1, NX",,2021-01-11,
