division,title,abstract,subjects,publication,date,keywords
FKIP7,LAMPUNG CLAUSE COMPLEXES: A PARATACTIC CONFIGURATION STUDY,"This research aims at capturing and characterizing clause complexes in Lampung language by considering the structure and conjunction in the perspective of Systemic Functional Linguistics and focusing on paratactic configuration. Lampung paratactic configuration consists of two or more independent clauses and is also recognized by the presence of conjunction and punctuation. The conjunction bridges two or more clauses in clause complexes and signs a relation between and among those clauses. There are six conjunctions found; those are ghik, kidang, tapi, sedengko, jadi, and bahko. Regarding how those conjunctions relate clauses, this research found four types of relation; those are additional relation realized by ghik and bahko, comparative and contrastive relation performed by kidang, tapi, sedengko and then consequential relation shown by jadi. Other than conjunction, the punctuation is also found to connect clauses; it is comma. It is noteworthy that comma connects two independent clauses and semantically construes additional relation since comma is found in configuration
of two clauses in which a clause adds more detail information or more explanation for another one. Besides, comma is also found in a paratactic configuration consisting of three clauses, here it is configured with a conjunction such as ‘ghik’. Furthermore, this research also found four variants of paratactic configuration; those are Independent
clause - conjunction - Independent clause; Independent clause - conjunction - Independent clause + dependent clause; Independent clause + Dependent cause - conjunction - Independent clause; Independent clause + Dependent clause - conjunction - Independent clause + Dependent clause.",P1,LITERA,2021-11,
FKIP7,Clause and predicative constituents in an Austronesian language: Lampung language,"This research is conducted qualitatively and aimed at patterning and describing clause and sentence structure in Lampung language through the configuration of its constituents. Regarding the constituents, Lampung has two types of clause: minor and major clauses. A minor clause is indicated by only one constituent, which is commonly a subject, predicate or adjunct. Regarding its function, it can be classified as vocative, shown by exclamation (Wuy!, Huy!); a greeting, as shown by an expression (tabikpun ngalam pukha); and an Arabic greeting (assalamualaikum). On the other hand, a major clause minimally consists of a subject and predicate, and apart from these there can also be an object, complement and adverbial. Furthermore, this research finds various categories that can act as predicative constituents: they are a verb/verbal phrase, adjective/adjective phrase, and noun/nominal phrase. Additionally, a copular verb(iyulah) and existential marker (wat) can also be the predicate. This research also reveals that in a sentence two or more clauses are connected by a conjunction, and then this conjunction becomes an indicator of dependent clauses. Also, a dependent clause can be found after the subject or the object of the independent clause.

Key words Clause, dependent, independent, Lampung, predicative constituent",P1,Sciendo,0020-12,
FKIP7,"Tradisi Upacara Adat Lampung sebagai Strategi Pelestarian Nilai Hidup di Kampung Tua Tiyuh Negara Bantin, Kabupaten Way Kanan(Kajian Interaksi Simbolik: Bentuk, Fungsi, dan Makna)","Penelitian ini dilakukan bertujuan untuk memetakan upacara tradissi adat Lampung yang masih ada dan terus dikembangkan dari generasi ke generasi di Kampung Tua Negara Batin dengan menggunakan kajian interaksi simbolik. Penelitian kualitatif dipilih sebagai payung dalam rangka peneliti turun lapang dari proses pengambilan data sampai dengan analisis data, tentu saja didekati dengan beberapa model analisis budaya. Hasil penelitian tentang pemetaan upacara tradisi adat di kampung Tua Negara Batin terdiri atas (1) nambak; (2)  mandi pagi;  (3)  bubetik;  dan  (4)  gawi  adat.  Peneliti  memetakan tahapan  prosesi upacara adat  yang dilakukan untuk penghormatan anak laki-laki yaitu dimulai dengan (1) nambak; (2) mandi pagi; (3) balin adok; (4) mancor jaman; dan (5) cakak pepaddun.  Kelima tahapan itu diberikan untuk anak laki-laki.   Sedangkan anak perempuan terdiri atas (1) aqiqah; (2) suluh belunyuh; (3) serak sepih; (4) saat bebetik. Bentuk upacara tradisi adat di Kampung Tua Negara Batin yang dianalisis terdiri atas penahapan prosesi tiap upacara yang dilaksanakan dan  ditinjau dari struktur upacara yang dipertunjukkan. Dalam seluruh jenis upacara tradisi adat yang ada di Kampung Tua Negara Batin kesemuanya tidak ada yang berdiri sendiri yaitu prosesi upacara tradisi adatnya dilaksanakan berawal dari penahapan sebelumnya baru berlanjut ke penahapan berikutnya. Fungsi yang dikaji dari upacara tradisi adat yang tetap dilaksanakan di Kampung Tua Negara Batin secara umum adalah fungsi individu dan fungsi sosial dalam kedudukannya pada ranah prosesi keadatan. Makna simbolik yang diterangkan melalui upacara-upacara tradisi adat di Kampung Adat Negara Batin dapat dilihat dari dua hal  yaitu  secara  tekstual  dan  kontekstual. Secara  tekstual  makna  dari  upacara  tradisi  adat  yang  ada  di Kampung  Tua  Negara  Batin  adalah  menyampaikan kepada  masyarakat  secara  umum  bagaimana  sebuah masyarakat adat Lampung hidup dengan sangat menjunjung nilai-nilai piil pesenggiri.   Sedangkan makna kontekstual adalah dengan melihat semua rangkaian atau penahapan prosesi upacara tradisi adat beserta properti yang juga memiliki represntasi nilai-nilai hidup secara simbolik.

Kata Kunci: pemetaan, upacara adat di Kampung Tua, interaksi simbolik",P1,,2018-02-21,
FKIP7,Lampung Language Online Learning during the Covid-19 Outbreak: How are the Teacher’s TPACK Skills?,"The implementation of online learning at the beginning of the covid-19 outbreak brought up some interference for most teachers and students. Technological Pedagogical Content Knowledge (TPACK) is thought to be the answer for teachers in dealing with current online learning problems. This study aims to explore the TPACK skills of Lampung language teachers and the advantages and problems of online Lampung language classes. A survey method was employed to conduct this study in which a questionnaire consisting of 33 statements and 5 open-ended questions was administrated to 138 Lampung language teachers in Lampung, Indonesia. The data were analyzed quantitatively and qualitatively by using factor analysis and the descriptions of teacher explanations. The results showed that Lampung language teachers, in general, have mastered TPACK in their online classes such as the use of various learning media and educational platforms. Giving assignments in creative forms such as making videos of folk songs during the learning process amid the pandemic using local languages can be used by Lampung language teachers to create non-boring learning. This study provides an overview of Lampung language teachers’ TPACK skills and some information related to the problems and advantages faced in online Lampung language learning during the covid-19 pandemic. As a consequence, it can be the reference for policymakers to make the best Lampung language learning system.","L1, P1",International Journal of Instruction (IJI),2023-01,
FKIP7,Technology and minority language: an Android-based dictionary development for the Lampung language maintenance in Indonesia,"Although a considerable amount of research on the Lampung language has been done, little attention has been paid to the use of technology-based Lampung language maintenance. Therefore, academic and practical efforts should be made to contribute to the local language maintenance and one of the possible solutions is through technology. The aim of the present study was to develop an Android-based bilingual dictionary application for smartphones for language maintenance. This study adopted developmental research with three phases (analysis, product design and development, and product try-out and evaluation). The data was collected through instruments including literature reviews, interviews, expert judgments, and questionnaires followed by descriptive analyses. The results indicate that the development of an Android-based Lampung language dictionary application for smartphones has successfully contributed to Lampung language maintenance and preservation. The Android-based application is positively perceived as a form of minority language maintenance and preservation in the Fourth Industrial Revolution (4IR) era. The study’s implications and recommendations are also discussed for future research.","H1, L1, P1","Tapuya: Latin American Science, Technology and Society",2022-03-15,
FKIP7,Examining the Forms and Variations of the Lampung Script in Ancient Manuscripts,"The study of the Lampung script's forms and variations in ancient manuscripts is a branch of linguistics concerned with the script's evolution. We made observations on the Lampung script on two ancient manuscripts, the NLP97N69 and the Hahiwang. Both manuscripts are housed separately. The NLP97N69 manuscript was found in Indonesia, whereas the Hahiwang in Germany. A philological and paleographic approach was adopted to investigate the Lampung script's forms and variations in the ancient manuscripts. Both manuscripts were examined in conjunction with a presentation of the scriptwriter's Lampung script. After raising the Lampung script, it was compared to the current script and Van der Tuuk's script table. Discrepancies were found out between the characters in the two manuscripts, the contemporary script, and Van der Tuuk's table. Furthermore, the gha script was found out to be unique to the NLP97N69 manuscript. It was created in an attempt to meet the needs of Lampung language users who desired a unique script that incorporated the gha sound. This study demonstrates that the Lampung script has evolved and changed over time in response to its users' needs. Additionally, the article discusses the implications and future directions for research.","L1, P1",WSEAS Transactions on Environment and Development,2022-01-15,
FKIP7,ANALISIS KESALAHAN GRAMATIKAL BAHASA LAMPUNG DALAM BERITA TELEVISI LOKAL BERBAHASA LAMPUNG: KAJIAN SINTAKSIS DAN SEMANTIS,Penelitian ini menggali kesalahan-kesalahan gramatikal bahasa Lampung yang terjadi dalam berita televisi lokal berbahasa Lampung dengan menggunakan kajian sintaksis dan semantis. Tujuan penelitian ini ialah mendeskripsikan kesalahan-kesalahan gramatikal bahasa Lampung dan memberikan solusi berupa kebijakan untuk menanggulangi masalah tersebut. Metode yang digunakan dalam penelitian ini ialah metode deskriptif kualitatif dengan menggunakan beberapa teknik dalam pengambilan datanya melalui observasi dan studi dokumentasi. Data penelitian merupakan hasil sadap rekam terhadap berita-berita berbahasa Lampung dari televisi lokal yang berada di provinsi Lampung.,P1,Griya Cendikia,2021-02-03,
FKIP7,Code Switching and Code Mixing in Hitam Putih Talkshow,"Indonesian society is a multilingual society. A multilingual society means that a society has
several languages. The diversity of languages that exist in Indonesian society makes each individual potentially
use more and one language in a speech event. The bilingualism can be resulting in code switching and code
mixing. Code switching is a transition and code from one code to another (Suwito in Rokhman, 2011: 37). In
contrast to code switching, code mixing is between two or more languages with incorporate the elements of one
language into the other consistently (Kachru in Goldman, 2011: 38). Talkshow is one of interactive
communication. One of the pupular talkshow in Indonesia is Hitam Putih Talkshow. The speakers in Hitam
Putih Talkshow are given time to describe experiences and things that actually happened. This is very positive
and it can motivate the audience or listeners to do better things. Hitam Putih Talkshow does not only bring in
speakers from the upper class or celebrities but also from the middle or lower classes who have potential,
achievements, and things that can be emulated. The guest stars or resource persons who have various social
status and have various language skills can result in the emergence of language phenomena, namely code
switching and code mixing. It is important for researchers to research code switching and code mixing on
Hitam Putih Talkshow because it is a linguistic phenomenon that is very closely related in daily life. Moreover,
Hitam Putih Talkshow involves speakers and speech partners from various backgrounds, social background,
and language skills and it can make the speakers can using their various languages but can be understood by
partners.
Materials and Methods: Bilingualism is the use of two languages or two language codes (Chaer and Agustina
(2010: 84). The bilingualism can be resulting in code switching and code mixing. Code switching is a transition
and code from one code to another (Suwito in Rokhman, 2011: 37). Then, code mixing is between two or more
languages with incorporate the elements of one language into the other consistently (Kachru in Goldman, 2011:
38). The design in this study used a qualitative approach with the descriptive method to describes the
characteristics of the data accurately according to the nature itself. The data source in this study is the code
switching and code mixing used in the speech in Hitam Putih Talkshow. There are three episode to collecting
data and they are Syiar Penyair, Survivor, and Save Children Song. Collecting data in this study using nonparticipatory observation data collection techniques (no involvement). The speech in video in Hitam Putih
Talkshow will be recorded and then analisys.
Results: The results showed that there were speeches that contained code switching and code mixing, as well as
the contributing factors. The form of code switching used in the speech in Hitam Putih Talkshow are internal
and external code switching. The code switching forms used in speech in Hitam Putih Talkshow like code
mixing in the form of words, phrases, baster, repetition words, phrases, and clauses.
Conclusion: Code switching tends to be used in the speech in Hitam Putih Talkshow is external code switching.
Then, code mixing that tends to be used in speech in Hitam Putih Talkshow is code mixing in the form of
words.In addition to the form of code switching and code mixing, the factors causing the occurrence of the code
were also found. The factors causing the occurrence of intern code switching are interlocutors factor and the
change in the topic of conversation while the factors causing the occurrence of extern code switching are
speaker, interlocutors, had a third person, and changes in the topic of discussion. Then, the factors that cause
code mixing are the background factors of attitudes and linguistics of speaker.
Keywords: Code Switching; Code Mixing; Talkshow; Sosiolinguistics.",P1,IOSR Journal of Research & Method in Education (IOSR-JRME),,Code Switching; Code Mixing; Talkshow; Sosiolinguistics.
,Penggunaan Media Youtube dalam Meningkatkan Kosakata Bahasa Prancis bagi Siswa Kelas X SMAN 1 Terusan Nunyai,"Penelitian ini bertujuan untuk mengetahui peningkatan kosakata bahasa Prancis siswa kelas X SMAN 1 Terusan Nunyai yang diajar dengan menggunakan media youtube dan siswa yang diajar menggunakan media konvensional. Penelitian ini merupakan penelitian kuantitaif, dengan desain penelitian Pretest- Posttest Control Group Design. Subjek penelitian ini adalah siswa kelas X SMAN 1 Terusan Nunyai. 30 siswa pada kelompok eksperimen yaitu X MIA 4 dan 30 siswa pada kelompok kontrol yaitu X MIA 6. Variabel independen adalah penggunaan media youtube, sedangkan variabel dependen adalah peningkatan kosakata bahasa Prancis. Untuk menentukan sampel, teknik yang digunakan Simple Random Sampling. Teknik analisis data menggunakan uji-t sebelum dilakukan  uji-t diberikan uji normalitas dan uji homogenitas. Hasil penelitian pada kelompok eksperimen dan kelompok kontrol diperoleh nilai uji-t dengan taraf signifikasi yang sama yaitu (0,000<0,05). Namun, dari hasil perhitungan efektifitas (N-Gain score), kelompok eksperimen mempunyai rata-rata sebesar 60,0287 (efektif) dan kelompok kontrol sebesar 23,5723 9 (tidak efektif). Hasil tersebut diartikan penggunaan media youtube dapat meningkatkan kosakata bahasa Prancis siswa kelas X SMAN 1 Terusan Nunyai.

Kata kunci: media youtube, kosakata, bahasa Prancis","L1, P1, PL",PRANALA,2020-06,
FKIP8,Ketercapaian SK/KD Mata Pelajaran Bahasa Indonesia dalam Ujian Nasional Oleh Siswa SMA di Kabupaten Tulang Bawang,"Rendahnya ketercapaian SK/KD mata pelajaran bahasa Indonesia oleh siswa merupakan permasalahan dalam penelitian ini, termasuk bagaimana mengidentifikasi faktor-faktor penyebab dan alternatif pemecahannya. Oleh karena itu, penelitian ini bertujuan untuk (1) mendeskripsikan ketercapaian SK/KD bahasa Indonesia, (2) mengungkap faktor penyebab siswa SMA tidak menguasai pokok bahasan bahasa Indonesia, dan (3) merumuskan alternatif pemecahan yang harus dilakukan untuk meningkatkan kompetensi bahasa Indonesia yang di-UN-kan oleh siswa SMA di Kabupaten Tulang Bawang untuk tahun pelajaran yang akan datang.
Metode yang digunakan dalam penelitian ini adalah qualitative-descriptive re¬se¬arch. Seko¬lah yang dijadikan sampel terdiri dua SMA negeri (SMA Negeri 1 Menggala dan SMA Negeri 2 Menggala) dan satu SMA swasta (SMA Pembina Menggala) yang ada di Kabupaten Tulang Bawang. Teknik pengumpulan data dilakukan melalui teknik FGD (Focus Group Discusion, studi doku¬men¬ta¬si, tes kompetensi guru, observasi kelas, dan wa¬¬wan¬cara mendalam.
Berdasarkan hasil analisis dan pembahasan dalam penelitian ini dapat disimpulkan seperti berikut ini. 
1)	Rerata ketercapaian kompetensi bahasa Indonesia antara Kelompok IPA dan IPS bersifat fluktuatif. Rerata ketercapaian SK/KD oleh siswa T.P. 2008/2009 (26,50%), 2009/2010 (31,04%), dan 2010/2011 (26,07%). 
2)	Beberapa faktor penyebab belum dikuasainya SK/KD bahasa Indonesia, antara lain (1) rendahnya kompetensi akademik dan pedagogik guru, (2) minimnya sarana penunjang, dan (2) rendahnya kualitas pelayanan dan pembiayaan.
3)	Beberapa alternatif yang dapat digunakan untuk mengatasi permasalahan rendahnya ketercapaian SK/KD oleh siswa, antara lain (1) peningkatan kualitas layanan kepada guru dan siswa, (2) pengadaan sarana dan prasarana yang memadai, dan (3) terprogramnya semua kegiatan sekolah secara operasioal sehingga dapat dilaksanakan secara sinergis.

Kata Kunci: Ketercapaian SK/KD, Bahasa Indonesia, UN",P1,"Prosiding ""Seminar Kebahasaan dan Kesastraan Indonesia 2015: Bahasa Sebagai Alat Transformasi Nilai-Nilai Karakter Berbangsa dan Bernegara"".",2015-06-11,
