division,title,abstract,subjects,publication,date,keywords
FKIP1,Pembelajaran Menulis Teks Deskripsi Bahasa Prancis Siswa Kelas XI IPS 3 SMA Negeri 9 Bandarlampung Tahun Pelajaran 2017/2018,"Tujuan penelitian ini adalah untuk mendeskripsikan pembelajaran menulis teks deskripsi bahasa Prancis pada siswa kelas XI IPS 3 SMA Negeri 9 Bandarlampung Tahun Pelajaran 2017/2018. Metode penelitian yang digunakan adalah deksriptif kualitatif. Sumber data pada penelitian ini ialah kegiatan pembelajaran menulis teks deskripsi bahasa Prancis. Teknik pengumpulan data pada penelitian ini dilakukan dengan caraobservasi, dokumentasi, dan wawancara. Hasil penelitian menunjukkan guru melakukan tiga tahap kegiatan dalam pembelajaran. Ketiga kegiatan tersebut mencakup (1)  perencanaan, yaitu guru membuat RPP sesuai dengan Permendikbud, (2) pelaksanaan, yang melibatkan keaktifan siswa dan guru, (3) penilaian pembelajaran, guru menggunakan teknik tes dengan bentuk soal essai. Pada perencanaan guru telah menyusun RPP dengan lengkap berdasarkan KD dan indikator. Pelaksanaan pembelajaran yang dilakukan guru meliputikegiatan pendahuluan, inti, dan penutup  yang melibatkan kegiatan guru dan siswa sesuai dengan APKG. Untuk penilaian pembelajaran menulis teks deskripsi, guru menggunakan jenis tes tertulis dalam bentuk tes uraian/essai.

Kata kunci: menulis, pembelajaran bahasa Prancis, teks deskripsi","L1, PC",Pranala,2019-01,
FKIP1,Nilai Moral dalam Dongeng Bertrand Solet dan Michel Cosem dan Implikasinya terhadap Pembelajaran,"Penelitian ini bertujuan untuk mendeskripsikan nilai-nilai moral dalam dongeng karya Bertrand Solet dan Michel Cosem dan implikasinya terhadap pembelajaran bahasa Prancis di SMA. Penelitian menggunakan metode deskriptif kualitatif. Sumber data penelitiannya kumpulan dongeng karya Bertrand Solet dan Michel Cosem. Hasil penelitian menunjukkan bahwa nilai moral hubungan manusia dan Tuhan, meliputi taat beribadah dan berdoa kepada Tuhan; nilai moral hubungan manusia dan diri sendiri, meliputi tidak mudah putus asa, rela berkorban, kesabaran, teguh pendirian, pemberani, kejujuran, rasa dendam, penyesalan, dan rasa takut; nilai moral hubungan manusia dan manusia lain dalam lingkup sosial dan alam, meliputi tolong menolong, kasih sayang orang tua kepada anak, kasih sayang anak kepada orang tua, kasih sayang sesama teman, gotong royong, saling menghargai, saling percaya, dan kasih sayang suami kepada istri. Bentuk penyampaian nilai moral, meliputi langsung dan tidak langsung. Hasil penelitian ini dapat diimplikasikan terhadap pembelajaran bahasa Prancis di SMA kelas XII pada KD 3.8 : mencirikan  cerita fabel (fable) Prancis yang sederhana dengan memperhatikan fungsi sosial, struktur teks, dan unsur kebahasaan yang benar dan sesuai konteks.

Kata kunci: bentuk penyampaian nilai moral, dongeng, nilai moral","L1, PC",Pranala,2019,
FKIP1,Learning Abbreviation Style of French Language  Conversation on Twitter,"Learning Abbreviation Style of French  Language  Conversation on Twitter. Objectives: This study aims to identify the process of formation of abbreviation, the causes of its use and its implication in French  instruction. Method: This study used qualitative descriptive method, by taking utterances containing forms of abbreviation in French conversations conducted by several native speakers on Twitter from June to October 2018 as data sources. Findings: No elliptical data  was found. The form of troncation  which is divided into several  forms  of beheading, namely the beheading of one or two syllables at the end of a word, decapitation of one or two syllables at the beginning of the word, combined between troncasi  and condensation and the most is decapitation  by consonant or vowel disappearance.  Results: The results of the study showed that the abbreviation  is mainly formed by troncation,  sigle, and shortening by using
letters having the same sound as the real  word(s).

Kata kunci:  Abbreviation, french  language  conversation, troncation.","L1, PC",Jurnal Pendidikan Progresif,2019-04-30,
FKIP1,Learning Abbreviation Style of French Language Conversation on Twitter,"Abstract: Learning Abbreviation Style of French Language Conversation on Twitter. Objectives: This study aims to identify the process of formation of abbreviation, the causes of its use and its implication in French instruction. Method: This study used qualitative descriptive method, by taking utterances containing forms of abbreviation in French conversations conducted by several native speakers on Twitter from June to October 2018 as data sources. Findings: No elliptical data was found. The form of troncation which is divided into several forms of beheading, namely the beheading of one or two syllables at the end of a word, decapitation of one or two syllables at the beginning of the word, combined between troncasi and condensation and the most is decapitation by consonant or vowel disappearance. Conclusions: The results of the study showed that the abbreviation is mainly formed by troncation, sigle, and shortening by using letters having the same sound as the real word(s). 

Keywords: Abbreviation, french language conversation, troncation .",PC,Jurnal Pendidikan Progresif,2019-04,"Abbreviation, french language conversation, troncation ."
FKIP1,Analisis Gaya Bahasa Dalam Album À Bout De Rêve Karya Slimané Nibchi,"Penelitian ini memiliki dua tujuan yaitu mendeskripsikan jenis-jenis gaya bahasa dalam album À bout de rêve karya Slimane Nibchi dan mendeskripsikan fungsi bahasanya. Peneliti ini menggunakan metode penelitian deskriptif kualitatif. Pengumpulan data data menggunakan metode simak dengan teknik dasar sadap dan teknik lanjutan SBLC (Simak Bebas Libat Cakap) dan teknik catat menggunakan tabel data. Kemudian untuk menganalisis gaya bahasa digunakan metode analisis agih dan untuk  menganalisis fungsi bahasa menggunakan metode analisis padan referensial. Pada penelitian ini ditemukan 171 data yang mengandung gaya bahasa, dengan rincian : 34 anafora, 17 epifora, 63 aliterasi dan 57 asonansi. Kemudian, ditemukan dari data tersebut 63 memiliki fungsi ekspresif dan 171 fungsi puitis. Penelitian ini berimplikasi pada pembelajaran bahasa Prancis khususnya pada pembelajaran hal tersebut untuk sastra atau linguistik karena dapat menambah wawasan pembelajar bahasa Prancis khususnya  dalam pemahaman mengenai gaya bahasa dalam bahasa Prancis.

Kata Kunci : gaya bahasa, fungsi bahasa, Slimane Nibchi",PC,PRANALA,2021-06-30,
FKIP23,Nararean,"Takdir menuntun Nararean dan Ranyu bertemu dengan cara yang unik. Menikah dengan orang ajaib seperti Ranyu membuat Nararean memiliki pandangan baru tentang hidup dan belajar dua kata yang sulit dalam kehidupan. Sabar dan ikhlas.

“Saya menyadari bahwa Tuhan sedang memberikan saya waktu untuk memperbaiki diri dan memantaskan diri saya. Sementara diwaktu bersamaan, pasti jodoh saya pun sedang memantaskan dirinya.” Ranyu mengangkat tangan kanannya menunjuk ke arahku ketika dia berkata jodoh saya.

Dengan menikah, bukan berarti kita terbebas dari masalah. Justru kita akan mendapatkan masalah yang lebih besar lagi. Karena menikah bukan hanya melibatkan dua hati dan dua kepala, tapi juga dua keluarga.","PC, PQ",,2019,
FKIP8,Majas dalam Anak Ini Mau Mengencingi Jakarta? dan Kelayakannya Sebagai Bahan Ajar,"The problem discussed in this research was how the figure of speech in the collection of short stories Anak Ini Mau Mengencingi Jakarta? and its feasibility as a teaching material in high school. The purpose of this study to describe figure of speech in the collection of short stories and its feasibility as a literary material in high school. The method used was qualitative descriptive method. Sources of research data was short stories in a collection of short stories Anak Ini Mau Mengencingi Jakarta. Data analysis technique in this research was text analysis. The results showed that the figure of speech contained in a collection of Anak Ini Mau Mengencingi Jakarta? short stories was the figure of speech of simile, metaphor, personification, depersonification, hyperbole, lytotes, irony, allusion, sinekdoke, and metonimia. A collection of short stories Anak Ini Mau Mengencingi Jakarta? deserves to be a teaching material because it meets the criteria in the selection of teaching materials based on curriculum aspects, character building, and literature.",PC,Majas dalam Anak Ini Mau Mengencingi Jakarta? dan Kelayakannya Sebagai Bahan Ajar,2017-11-04,
FKIP1,Alih Kode dan Campur Kode pada Komunikasi Guru dan Peserta Didik dalam Pembelajaran Bahasa Prancis Kelas XI di SMA Negeri 9 Bandar Lampung,"Masalah yang dibahas dalam penelitian ini yaitu alih kode dan campur kode pada komunikasi guru dan siswa dalam pembelajaran bahasa Prancis di SMA Negeri 9 Bandar Lampung.   Metode   yang   digunakan   adalah   deskriptif   kualitatif. Tuturan diperoleh pada saat kegiatan belajar mengajar berlangsung di dalam kelas XI SMA Negeri 9 Bandar Lampung.   Hasil   penelitian menunjukkan  terdapat  alih  kode  internal  berupa  peralihan  dari  bahasa  Indonesia  ke bahasa Jawa dan Lampung dan alih kode eksternal berupa peralihan dari bahasa Indonesia ke bahasa Prancis atau sebaliknya. Faktor penyebab alih kode yang paling dominan adalah faktor penutur. Bentuk campur kode meliputi campur kode kata, frasa, dan klausa. Faktor penyebab campur kode yang paling dominan adalah faktor akademik.

Kata kunci: alih kode, campur kode, komunikasi guru dan siswa","L1, PC",Pranala,2018-12,
FKIP1,Pergeseran Makna Adjektiva pada Terjemahan Komik Les Schtroumpfs dan Implikasinya pada Pembelajaran Bahasa Prancis di SMA,"Penelitian ini bertujuan untuk menjelaskan pergeseran makna adjektiva dalam penerjemahan komik Les Schtroumpfs, serta untuk mendeskripsikan implikasinya terhadap pembelajaran bahasa Prancis di SMA. Metode penelitian yang digunakan dalam penelitian ini yaitu deskriptif kualitatif. Sumber data dalam penelitian ini ialah komik Les P’tits Schtroumpfs et Le Schtroumpf Robot dan Les Schtroumpfs et L’arbre d’Or karya Alain Jost, Thierry Culliford dan Pascal Garray serta komik terjemahannya oleh Widya T. Soerojo dan Nies Koestiyah. Hasil penelitian menunjukkan terdapat 84 data yang mengalami pergeseran makna. Hasil penelitian ini berimplikasi pada pembelajaran bahasa Prancis di SMA berdasarkan pada kurikulum 2013 terutama pada Kompetensi Dasar (KD) 3.8 mencirikan cerita fabel Prancis dengan memperhatikan fungsi sosial, struktur teks, dan unsur kebahasaan dan 4.8 menyatakan kembali cerita fabel Prancis dengan memperhatikan fungsi sosial, struktur teks, dan unsur kebahasaan. Implikasi terjadi saat siswa melakukan proses memaknai dan menyatakan kembali cerita fabel Prancis dan menemukan pergeseran saat menerjemahkan.

 

Kata kunci: les schtroumpfs, pembelajaran bahasa Prancis di SMA, pergeseran makna","L1, PC",Pranala,2018-12,
FKIP1,Unsur Intrinsik dalam Dongeng Bertrand Solet dan Michel Cosem dan Implikasinya terhadap Pembelajaran,"Penelitian ini bertujuan mendeskripsikan unsur intrinsik yang meliputi: tema, alur, penokohan, latar, amanat, dan implikasinya terhadap pembelajaran. Penelitian ini menggunakan metode deskriptif kualitatif. Sumber data penelitian ini ialah kumpulan dongeng karya Bertrand Solet dan Michel Cosem. Hasil penelitian menunjukkan bahwa terdapat empat tema yaitu sosial, egois, jasmani, dan divine. Alur pada setiap dongeng terbagi atas eksposisi, komplikasi dan resolusi. Penokohan meliputi tokoh, watak dan cara penyampaian watak. Sebagian besar latar dongeng terjadi di hutan, latar satu dongeng yang terjadi di sebuah Gereja. Setiap dongeng mengandung amanat yang disampaikan baik secara eksplisit maupun implisit.  Hasil penelitian ini juga dapat diimplikaskan pada KD 3.8 : mencirikan  cerita fabel (fable) Prancis yang sederhana dengan memperhatikan fungsi sosial, struktur teks, dan unsur kebahasaan yang benar dan sesuai konteks”, dan hasil penelitian ini bisa menjadi sumber belajar bahasa prancis di SMA.

 

Kata kunci: dongeng, unsur intrinsik, implikasi pembelajaran","L1, PC",Pranala,2019,
