division,title,abstract,subjects,publication,date,keywords
FKIP1,Exploring motivational orientations of English as foreign language (EFL) learners: A case study in Indonesia,"Motivation, which refers to students’ reasons for acting, has been well explored in language learning. However, studies on motivation in language learning in many countries have been predominantly inspired by theories of motivation in learning English developed in western countries. The current study serves to: i) identify the motivational orientations of EFL university students in Indonesia; and ii) to investigate whether the west-inspired theories of motivation are still relevant to the Indonesian EFL students. The subjects of the current study were 886 university students. With alphas .70, .53, and .77 for three motivational orientations, the data were then analysed by running Exploratory Factor Analysis with the varimax rotation. The results showed the existence of three reasonable motivational orientations of the EFL students in Indonesia and they are labelled as extrinsic, international and intrinsic orientation.","L1, PE",South African Journal of Education,2019-02-01,
FT6,English: Writing Skills - Paragraph Development,,PE,,2018-12,
FKIP1,The Comparison Of Collaborative Learning Techniques: Think-Pair-Share And Co Op – Co Op In Improving Students’ Descriptive Writing,"The objectives of this research were to find out whether there is any improvement of students’ descriptive writing after being taught through collaborative learning techniques: Think-Pair-Share and Co Op - Co Op and to find out what the students’ perceptions on both techniques are. This research was conducted at SMPN 11 Kotabumi, North Lampung at the first semester of 2016/2017 academic year. The researcher used quantitative and qualitative approaches. In order to see the students’ descriptive writing improvement, the writing tests were administered. Then, to find out the students’ perceptions, the researcher used observation and interview. Based on the data analysis, the two collaborative learning techniques were helpful to improve the students’ descriptive writing. Then, based on the observation and interview the students showed positive attitude. They felt enjoyable and more confident to do the task in pairs and groups.

Keywords: collaborative, co op – co op, think-pair-share.","LB1603, PE",U-Jet,2017,"collaborative, co op – co op, think-pair-share."
FKIP1,The Effectiveness of Explicit-Implicit Vocabulary Learning Using Subtitled-Video on Vocabulary Mastery of Students of MTs. Darul A’mal,"Penelitian ini bertujuan untuk mengamati efektifitas pembelajaran kosakata dengan pendekatan eksplisit-implisit menggunakan video yang diberikan subtitle L1 (Bahasa Indonesia) atau L2 (Bahasa Inggris) terhadap penguasaan 30 kosakata target. Desain penelitian ini adalah quasi-experimental dengan 2x2 desain faktorial. Tiga puluh (30) siswa di setiap kelas dimasukan kedalam salah satu dari empat perlakuan berikut; eksplisit-L1, explisit-L2, implisit-L1, dan implisit-L2. ANOVA dua jalur menunjukan adanya interaksi yang signifikan antara pembelajaran explisit-implisit dengan jenis subtitle yang digunakan dalam video terhadap hasil immediate post-test (p = 0.004 < α = 0.05). Pembelajaran kosakata dengan pendekatan explisit terbukti lebih unggul dibandingkan dengan pembelajaran implisit; dan video dengan subtitle berbahasa Indonesia (L1) terbukti lebih unggul dibanding video dengan subtitle berbahasa Inggris (L2). Hasil ini menunjukan bahwa video yang diberikan subtitle berbahasa Indonesia (L1) dapat menjadi sarana pembelajaran kosakata yang baik terutama ketika dibarengi dengan penggunaan pendekatan eksplisit.

The aim of this study is to investigate the effectiveness of explicit and implicit vocabulary learning using video with L1 or L2 subtitle to students’ vocabulary mastery of 30 target words. The design is quasi-experimental with 2x2 factorial designs. Thirty (30) students in each classroom were assigned to one of these four conditions; explicit-L1 subtitle, explicit-L2 subtitle; implicit-L1 subtitle, and implicit-L2 subtitle. Two-way factorial ANOVA reveals that there is a statistically significant interaction between explicit-implicit learning and types of subtitled video on the students’ immediate post-test results (p = 0.004 < α = 0.05). Explicit learning was proved to be superior to implicit learning, and L1 subtitle is superior to L2 subtitle in four learning conditions. This result suggests that L1 (Indonesian) subtitled-authentic-video has proved to be a valuable resource to learn new vocabularies in the classroom, especially when presented using explicit instructions.
Keywords : Explicit, implicit, subtitle, video, vocabulary learning.","LB1603, PE",U-Jet,2017,
FKIP1,Modifying PPP in Promoting Communicative Language Teaching to Improve the Students’ English Communicative Competence (Similarity Check),"This study was going to find out the significant difference of the English communicative competence between the students who were taught by using original PPP method and the students who were taught by using modified PPP by using CLT. Moreover, the more effective method between original PPP method and the modified one in improving the students’ communicative competence was investigated. This is a quasi-experimental research using both control and experimental class comparing the original and modified PPP. The subject was forty junior EFL students whose English were still at the lower level. The result showed that there is a significant difference between students’ English communicative competence after being taught by using original PPP method and the modified one. In addition, both original and modified PPP are good to facilitate the learners in having good grammatical competence; however, only PPP that has been modified by using CLT that can facilitate them in having a good communicative competence.",PE,,2022-10-29,
FKIP1,THE EFFECT OF BLENDED LEARNING ACTIVITY IN IMPROVING THE STUDENTS' ENGLISH SPEAKING SKILL IN THE CONTEXT OF ENGLISH AS A FOREIGN LANGUAGE,"This study is an attempt to elucidate the problem of msny Indonesian students who get failure in speaking English fluently and accurately. On behalf of that reason, this research is done to investigate the patterns of the students' discourse in blended learning activity of the advanced EFL (English as a Foreign Language) learners. The analysis of the students' discourse showed that the online classroom activity gives more benefits for the students in performing their English speaking skills. Furthermore, the students predominantly tend to avoid speaking because they get nervous of which it leads some of them to produce code-mixing in their verbal performances. Thus, it suggests that blended learning activity gives the students a greater chance to improve their speaking skills so that the frequency of code-mixing can be diminished.","PE, PL",,2018-12,
FKIP1,A Modified Student Teams Achievement Divisions (MSTAD) to Enhance Students’ Vocabulary Achievement,"The research was implemented to find out i) the significant difference in vocabulary achievement between students who are taught with the STAD technique and the MSTAD technique and ii) to investigate the students’ perceptions towards MSTAD technique. This study applied the true experimental design. There were 32 experimental students and 30 control students as the sample chosen randomly at SMAN 3 Bandar Lampung. The instruments used were the vocabulary test, questionnaire and interview. The result showed that there was a statistically significant difference in vocabulary achievement between students who were taught with the STAD technique and MSTAD technique. It indicates that the vocabulary teaching technique is one of the factors which affects the students’ vocabulary achievement. Furthermore, the use of MSTAD technique in teaching vocabulary is regarded as being more effective to enhance the students’ vocabulary achievement.

Keywords: MSTAD, STAD, vocabulary achievement.","LB1603, PE",U-Jet,2019,"MSTAD, STAD, vocabulary achievement."
FKIP1,"Teaching the Simple Past Tense through Explicit Instruction 
and Implicit Instruction","This  study investigated whether  there  is a  statistically  significant difference  between  the  effect  of  explicit  instruction  and  implicit instruction on the students’ mastery in the simple past tense. The researcher  also tried 
to  find  out  the  constraints  of  teaching  and  learning  the  simple  past  tense through  explicit  and  implicit  instruction. Sixty  students from  two  classes in the  second  grade  of SMPN  6  Metro participated  in  this study. This  study is quantitative and qualitative research. 
The result showed that there was a statistically significant difference between the effect of explicit instruction and  implicit  instruction  on  the  students’ mastery in the simple past tense (p=0.006  <  0.05). 
The  constraints were revealed  such  as,  being  difficult to understand  the  questions  or material,  not  knowing  the  meaning  of  the language,  changing  the  present  to  the  past  form,  etc.  The  researchers suggest that explicit instruction is needed to improve the students’ grammar ability.

Keywords: simple past tense, explicit, implicit","LB1603, PE",U-Jet,2017,"simple past tense, explicit, implicit"
FKIP1,"MODIFIED DICTOGLOSS TECHNIQUE TO IMPROVE STUDENTS’
WRITING SKILL AT SMA AL-KAUTSAR BANDAR LAMPUNG","Abstrak. Penelitian ini bertujuan untuk mengetahui apakah ada peningkatan signifikan pada kemampuan menulis siswa setelah siswa diajar dengan menggunakan modified dictogloss technique, dan aspek apa yang mendapat nilai paling tinggi setelah siswa diajar menggunakan modified dictogloss technique. Penelitian ini menggunakan one group pretest and posttest design adalah desain yang digunakan dalam penelitian ini. Subjek penelitian adalah X MIA 3 SMA Al-Kautsar Bandar Lampung. Hasil penelitian menunjukan bahwa ada peningkatan yang signifikan pada kemampuan menulis siswa setelah diajar menggunakan modified dictogloss technique dilihat dari significant level lebih kecil dari 0.05 (0.00 < 0.05). Dari masing-masing aspek menulis, konten mendapat nilai paling tinggi (16.07 to 21.27) yang artinya ada peningkatan nilai berjumlah 5.19 atau 34%. Hal ini menandakan bahwa teknik modified dictogloss dapat diterapkan untuk meningkatkan keterampilan menulis siswa khususnya dalam aspek konten.

Abstract. This research was aimed to find out whether there was a significant improvement on the students’ writing skill, and what aspect got the highest score after the students were taught by using modified dictogloss technique. This research used one group pretest and posttest design. The subject was X MIA 3 of SMA Al-Kautsar Bandar Lampung. The result showed that there was a significant improvement of thestudents’ writing after being taught through modified dictogloss technique since the significant level is lower than 0.05 ( 0.00 < 0.05 ). From each aspect of writing, contentgot the highest score (16.07 to 21.27) which meant the score improved 5.19 or 34%.This suggests that modified dictogloss technique facilitates the students to improve their ability in writing skill especially in the term of content aspect.
Keywords: writing, writing ability, modified dictogloss technique","L1, PE",U-JET,2019-04,"writing, writing ability, modified dictogloss technique"
FKIP1,EFL Students' Needs of Digital Literacy to Meet the Demands of 21st Century Skills,"This study was a survey study which was aimed at looking at EFL students’ current knowledge and skills of ICT. The research questions of this study were(1) What levels of digital literacy are the EFL students?, (2) What are the factors affecting EFL students in using ICT in language learning?, and (3) What are the students' needs to improve their digital literacy skills to meet the demands of the 21st century skills?  Two groups of EFL students from two state-owned universities in the southern part of Sumatra were involved in this study. A set of questionnaires adapted from Ravitz (2014) was used. The findings showed that EFL students’ current level of digital literacy was categorized low. Factors affecting them from using ICT in language learning properly were limited use of ICT applications as a tool for language learning and limited access to computers and internet applications on campus. What the EFL students needed to improve their digital literacy skills was the availability of computers with internet applications to be used anytime on campus, ICT training for both teachers and students, and continuous integration of ICT in language learning. 
 
Keywords Digital technology, ICT, digital native, digitally literate","L1, PE",IRJE,2019-12,
