division,title,abstract,subjects,publication,date,keywords
FISIP8,Lampung Character as Culture Preservation in Digital Era,"Ancient lampungnese used Lampung character to write. Nowadays, although lampungnese still use lampung languange to communicate, lampung character role became smaller, used only as a cultural ornament. Development of Lampung character font (Meizano & Martinus, 2015) were meant to rejuvenate people interest, specially lampungnese, in using lampung character as a way to communicate using computer based media. The font were tested in against expert, and received favorable review. But, to make the font available conveniently for public, it must be put on computer based system such as desktop pc, smartphone and tablet from the get go. One way to provide this convenient is by proposing the font to the Unicode standard. If the Lampung character included in Unicode standard, the font can be used directly without having to install a separate font file. Character included in Unicode standard should be the best version because once it's included, it is hard to revise. To create the best version of Lampung character, user experience (UX) must be measured, to make sure there are no liability in Lampung character that will be proposed to Unicode standard. Method in designing UX used to create a better UX for lampung character. There are four step in designing UX, first: Requirement Gathering, second: Alternative Design, third: Prototyping, and, last: Evaluation. After the evaluation, if the targeted UX still not achieved, the process iterate. The evaluation shows there are room for improvement. Based on data, there are some refinement need to be done to achieve a better UX. A larger default character and some refinement on typography. The font itself manage to achieve a favorable review on usable and useful aspect of UX. On it's own, user mostly agreed this lampung character have to be spread out more, in order to support the local value and uniqueness of Lampung.","PI, TK",,2018-09-09,
FKIP14,LAMPUNG LANGUAGE TEACHING IN MULTIETHNIC AREAS (The Study of Contextual Learning),"Lampung language teaching in multiethnic areas becomes ab important issue in achieving the goal of Lampung language learning maximally. Contextual learning strategies provide a space for teachers to be able to determine the steps of Lampung language learning that is closer to the students' real life. The learning steps starts from the teaching materials that have been specified in the recent curriculum. With seven components in contextual learning that is inquiry, constructivism, asking, modeling, leaning community, reflection, and assesment which are actually the appropriate ways in delivering a Lampung language materila in the classroom situations which is characterized as multiethnic (native Lampung, mixed Lampung, and non-Lampung). From the seven components of the contextual learning, the most dominating in achievement of its implementation is a learning society. Formulation of contextual learning strategies in Lampung language subjects becomes the main point.

Keywords: Lampung language teaching, multiethnic, contextual learning.",PI,,2014-05-16,"Lampung language teaching, multiethnic, contextual learning."
FKIP14,Bebandung pada Tradisi Musok dalam Masyarakat Adat Lampung Tulang Bawang,"Masyarakat asli Lampung  terdiri atas dua kelompok masyarakat adat yaitu Jurai Pepadun dan Jurai Saibatin.  Orang Lampung  jurai Pepadun pada umumnya bermukim di sepanjang aliran sungai yang bermuara ke Laut Jawa dan orang Lampung jurai Saibatin bermukim di pesisir pantai dan di sepanjang aliran sungai yang bermuara  ke Samudera Indonesia.  Dalam bertutur orang Saibatin berdialek A, sedangkan orang Pepadun berdialek O, akan tetapi tidak semua orang Pepadun yang berdialek O.  Dalam pelaksanaan berkehidupan sosial, masyarakat adat Lampung sangat menjujung tinggi falsafah Piil Pesenggiri, yang terdiri atas,  bejuluk beadek, nemui nyimah, nengah nyappur, dan sakai sambayan.  PemaknaanPiil pesenggiri dikaji berdasarkan pemilahan kata piil dan pesenggiri.Piil artinya “rasa malu” atau “rasa harga diri”, sedangkan, Pesenggiri berarti “pantang mundur”.

Representasi penyetiaan pada falsafah yang dipegang teguh dalam rangkaian acara adatLampung diberi nama musok.  Kegiatan musok bagi masyarakat Lampung Tulang Bawang ini  merupakan salah satu bagian dari acara pernikahan secara adat.  Acara suapan alias musok lazimnya pada masyarakat Lampung Tulang Bawang dinamakan acara tendih selou.Makna dari keseluruhan rangkaian adat ini adalah perkawinan secara adat yaitu mempelai wanita duduk bersila dan ujung lutut sebelah kanannya harus ditidih oleh ujung lutut sebelah kiri mempelai pria.Dalam melakukan musoktersebut diiringi dengan bebandungyang merupakan salah satu bentuk sastra lisan yang ada di Lampung.Bebandungberisi syair-syair yang penuh nasihat yang disampaikan kepada mempelai dengan tujuan untuk menghilangkan rasa canggung atau asing dalam keluarga.


Kata Kunci: Bebandung, tardisi musok, adat Lampung.",PI,,2016,
FKIP14,Pengembangan Nilai Karakter Berbasis Kelokalan (Piil Pesenggiri) pada Ranah Pendidikan untuk Multi Jenjang di Provinsi Lampung,"Kajian ini bertujuan untuk mengidentifikasi, menguraikan, dan menganalisis bagaimanakah masyarakat adat Lampung mengartikan makna Piil Pesenggiri baik secara filosofis maupun secara contoh nyata dalam kehidupan sehari-hari. Penelitian ini bersifat kualitatif dengan pendekatan etnolinguistik yaitu untuk mencari dan menggali pemikiran masyarakat adat Lampung terhadap konsepsi Piil Pesengggiri yang terdiri atas ajaran tentang Piil Pesenggiri, Nemui Nyimah, Nengah Nyappur, Buadek Bejuluk, dan Sakai Sembayan yang hasilnya menjadi dasar kajian etnopedagogik. Hasil Penelitian menunjukkan bahwa Piil pesenggiri bagi masyarakat adat Lampung merupakan potensi sosial budaya daerah yang memiliki makna sebagai sumber mativasi agar setiap orang dinamis dalam usaha memperjuangkan nilai-nilai positif, hidup terhormat, dan dihargai di tengah-tengah kehidupan masyarakat. Bentuk tindakan nyata dari empat pilar tersebut menurut masyarakat adat Lampung dapat dicermati dalam perilaku masyarakat berikut ini. (1) Bejuluk Buadek didefinisikan sebagai  pemberian gelar (Bejuluk Beadek) bagi masyarakat adat Lampung yang memuat  karakter bertanggung-jawab, berkeadilan, kepemimpinan, dan kedisiplinan; (2) Nemui Nyimah diterjemahkan sebagai sikap terbuka, pemurah, suka memberi dalam arti materi sesuai dengan kemampuan, kejujuran, rendah hati, silaturahmi, dan empati; (3) Nengah Nyappur, didefinisikan dengan perilaku konkret menunjukkan masayarakat adat Lampung itu bertoleransi, bermasyrakat, bermusyawarah, dan menghargai; (4) Sakai Sambayan, menampakkan karakter bahwa masyarakat adat Lampung menjunjung tinggi nilai keikhlasan, kesetiakawanan, kebersamaan, dan gotong royong


 
Kata Kunci:  Nilai karakter, nilai kelokalan, Piil Pesenggiri",PI,,2015-10-26,
FKIP14,Representasi Kearifan Ekologis Orang Lampung dalam Lagu Tanah Lado dan Kontribusinya sebagai Bahan Pembelajaran Bahasa Lampung Di Sekolah,"Puyang Bangsa Lampung pertama kali bermukim menempati dataran tinggiSekala Brak di lereng Gunung Pesagi.Generasi awal Ulun Lampung berasal dari Sekala Brak, di kaki Gunung Pesagi, Lampung Barat.Secara geografis, Lampung kaya akan pulau-pulau, gunung, sungai, danau, dan kali-kali besar.  Hasilbumi Lampung terkenal dengan kopi, lada, coklat, cengkeh, danbuah-buahan. Kehidupan sosial masyarakat Lampung berpedoman pada falsafah Piil Pesenggiri yang dibangun berdasarkan pilar bejuluk beadek, nemuinyimah, nengah nyappur, dan sakai sambayan. Kegembiraan orang Lampung terhadap alam dan hasil bumi Lampung yang melimpah dimanifestasikan kedalam lagu-lagu Lampung. Permasalahan dalam tulisan ini adalah bagaimana representasi kearifan ekologis orang Lampung melalui lagu-lagu lokal? Dengan tujuan untuk mendeskrikpsikan representasi kearifan ekologis orang Lampung melalui lagu-lagu lokal. Pendekatan kualitatif dengan teknik analisis deskriptif digunakan dalam menganalisis data. Lagu-lagu lokal Lampung yang berhasil diinvetarisasi sebanyak 12 lagu berdasarkan kriteria seringnya lagu tersebut didengar dan dilantunkan oleh masyarakat Lampung baik secara langsung, TV lokal, dan media youtube.  Lagu tersebut yaitu Cangget Agung, Lipang-Lipandang, Tanah Lado, Sang Bumi Ghuwai Jughai, Bumi Lampung, Pakai Sambayan, Seminung, Muloh Tunggo, Penyandangan, Anak Tupai, Adi-Adi Laun Lambar, Eghamku di Lampung.Setelah dilakukan analisis terdata 8 lagu yang merepresentasikan kearifan ekologis orang Lampung yaitu ana ktupai, penyandangan, mulok tungga, seminung, Bumi Lampung, Sang Bumi Jughai, Tanah Lado, dan Cangget Agung dengan mengkarakteristikkan lagu dengan lingkungan bumi Lampung.



Kata Kunci: representasi, kearifan ekologis, lagu lokal Lampung",PI,,2016-10,
FKIP14,The Ecology of Oral Literature in Betimbang Tradition of Indigenous People in Kampung Tua Way Kanan Lampung,"Kampung Tua Negara Batin is one of the areas in Lampung province that still upholds the noble values of the cultural traditions of its ancestors and keeps the oral tradition passed down from generation to generation. The focus of this research study is the oral tradition in Betimbang tradition. This study aims to describe the oral traditions contained in the Betimbang traditional procession in indigenous peoples in Kampung Tua Negara Batin, Way Kanan Regency, and benefits in documenting the oral traditions of the ancestors and adding references in cultural studies and oral literature in Lampung. This qualitative research implemented a data collection process to data analysis and it was approached by several cultural analysis models. The results indicate that the Betimbang tradition begins with the form of the Betimbang traditional ceremony, the function of the Betimbang traditional ceremony, and the symbolic meaning of the Betimbang traditional ceremony. This Betimbang tradition represents the sustainability of the ecological culture of the indigenous people in Kampung Tua Negara Batin, Way Kanan Regency in spite of the fact that all the ritual processes followed the health protocol in the new normal. All of these stages are inseparable from the ecology of oral literature and have the meaning that the newborn baby (grandson) is a legitimate heir in kepunyimbangan and as a bind of the next ritual procession.",PI,,,
FKIP14,ETIKA LINGKUNGAN DALAM TRADISI ‘NGEMBANG’ DI SAJIRA LEBAK BANTEN: UPAYA PENGUATAN PENDIDIKAN KARAKTER (KAJIAN FOLKLOR),"This research raises issues related to environmental ethics in the tradition of developing in Sajira 
Lebak District, Banten. This study aims to describe the meaning of ritual discourse in the 
ngembang tradition and to describe the environmental ethics contained in the ngembang tradition 
as an effort to strengthen character education in society. The method and approach in this 
research is qualitative-descriptive. There are four activities in the series of traditional 
development rituals described in this study. The activities, namely the face of leuweung, melak 
pare, nyandak seed, noong pare .. The results of this study describe that the activity that contains 
the principle of activity that contains the principle of the life centered theory is the activity of the 
face leuweung. Activities that contain the land ethic principle are advance leuweung and 
noongpare activities. Next, the activity that contains the principle of equal treatment is face 
leuweung. Finally, the activities that contain the principles of theocentrism theory are the activities 
of nyandak seeds and melak pare.
Keywords: environmental ethics, folklore, development tradition","L1, PI",JURNAL KATA,2022,"environmental ethics, folklore, development tradition"
,ETIKA LINGKUNGAN DALAM TRADISI ‘NGEMBANG’ DI SAJIRA LEBAK BANTEN: UPAYA PENGUATAN PENDIDIKAN KARAKTER (KAJIAN FOLKLOR),"Penelitian ini mengangkat permasalahan yang berkenaan dengan etika lingkungan dalam  tradisi ngembang di Kecamatan Sajira Lebak Banten. Penelitian ini bertujuan untuk mendeskripsikan bagaimana makna wacana ritual dalam tradisi ngembang dan mendeskripsikan etika lingkungan yang terdapat dalam tradisi ngembang sebagai upaya penguatan pendidikan karakter dalam masyarakat. Metode dan pendekatan dalam penelitian ini adalah kualitatif-deskriptif . Ada empat kegiatan dalam rangkaian praritual tradisi ngembang  yang dideskripsikan dalam penelitian ini.  Adapun kegiatan tersebut, yaitu muka leuweung, melak pare, nyandak bibit, noong pare.. Hasil dari penelitian ini mendeskripsikan bahwa kegiatan yang mengandung prinsip Kegiatan yang mengandung prinsip the life centered theory adalah kegiatan muka leuweung. Kegiatan yang mengandung prinsip the land ethic adalah kegiatan muka leuweung dan noong pare . Berikutnya, kegiatan yang mengandung prinsip equal treatment adalah muka leuweung. Terakhir, kegiatan yang mengandung  prinsip dari teori teosentrisme  adalah kegiatan nyandak bibit dan melak pare.","P1, PI",,2022-04,
FT8,Hak Cipta Program Komputer Kamus Aksara Lampung,Program komputer yang langsung menterjemahkan pada saat pengguna memberikan masukan dari bahasa Indonesia menjadi aksara Lampung dengan transliterasinya dan sebaliknya.,PI,,2016-12-16,
FT8,Hak Cipta Program Komputer Transliterasi Aksara Lampung,"Aksara Lampung adalah warisan budaya Indonesia yang harus dilestarikan. Demi mendorong penggunaan aksara Lampung di masyarakat modern, dibuat aplikasi Transliterasi Aksara Lampung. Transliterasi Aksara Lampung adalah aplikasi yang berfungsi untuk melakukan transliterasi kata lampung yang ditulis dalam huruf alfabet menjadi aksara Lampung. Fungsi lainnya adalah melakukan pengetikan aksara Lampung menggunakan keyboard, baik virtual atau pun fisik. Dengan mengetahui bentuk aksara Lampung dari kata Lampung yang digunakan, diharapkan aksara Lampung dapat dipakai dalam komunikasi di masyarakat.","PI, T1, T201",,2018-11-16,
