division,title,abstract,subjects,publication,date,keywords
,An Empirical Study on the Effects of Using Kahoot as a Game-Based Learning Tool on EFL Learners’ Vocabulary Recall and Retention,"Incorporating games into learning a foreign language is an effective strategy that can lower students’ stress and improve their learning. Thus, this study tried to examine the impacts of Kahoot as a game-based learning tool on Iranian EFL learners’ vocabulary recall and retention. To this end, 50 Iranian intermediate learners were chosen for the participants of the study. After that, the participants were randomly assigned to two equal groups, one experimental and one control. Then, the participants’ English vocabulary knowledge was measured by administering a vocabulary pretest. After pretesting process, the participants in both groups received the treatment in two different ways. In the EG, the new vocabulary items were taught using the Kahoot game, while in the CG, the new ones were taught using traditional instruction. After finishing the treatment course, which lasted ten sessions, the two groups took the immediate vocabulary posttest. After three weeks, a delayed vocabulary posttest was administered to both groups to determine the effects of Kahoot on their vocabulary retention. The results of paired samples and independent samples t-tests depicted that there were significant differences between the immediate and delayed posttests of the EG and the CG in favor of the EG. The implications of this study can tell the teachers that teaching through game-based learning tools may produce better results than teaching through traditional methods. Also, the implications of this study can encourage students to practice and learn English even outside of the class context.",PL,Education Research International,2022,
,"Assessing the Effects of Gamification on Developing EFL Learners’
Idiomatic Knowledge: Do Attitudinal Factors Contribute to the
Learning of the Idioms with the Game?","Regarding the attractiveness of educational games for EFL learners, the present research intended to investigate the effects of gamification on improving Iranian EFL learners’ idiomatic knowledge. In addition, the current research examined the attitudes of Iranian EFL learners towards using gamification in English learning in the Iranian EFL context. Firstly, to carry out this research, the researchers administered the Oxford Quick Placement Test (OQPT) to 84 Iranian EFL learners and selected 50 upper-intermediate participants. Secondly, they divided the selected participants into an experimental group (EG) and a control group (CG). Thirdly, the researchers gave an idiom pretest to the participants of both groups to assess their idiomatic knowledge before starting the treatment. Fourthly, the EG was taught the new idioms using game-based instruction, while the CG received traditional idiom instruction. Following the instruction of 70 idioms to both groups, the participants received an idiom posttest to determine the influence of the treatment on their idiomatic knowledge. The EG was then provided an attitude questionnaire, and 15 members of the EG were interviewed as a result of the questionnaire. In the idiom posttest, the data were evaluated using paired samples and independent samples -tests, and the findings revealed that the EG performed significantly better than the CG on the posttest of idioms. In fact, gamification helped EFL learners develop their idiomatic knowledge. The results indicated that Iranian EFL learners presented positive attitudes toward gamification in learning English idioms. In addition, the results revealed that enjoyment, fun, reducing anxiety, involvement, and immediate feedback were the factors that the students mentioned for the instructional games. The implications of this research can encourage English teachers to implement different educational games in their teaching.",PL,Education Research International,2022,
FKIP8,ALUR DALAM NOVEL CATCHING STAR FIRA BASUKI DAN RANCANGAN PEMBELAJARANNYA UNTUK SMA,"This research was aimed to investigate the plot in the Catching Star novel written by Fira Basuki and the lesson plan for the SMA. The purposes of this research were to describe the fabula and sjuzet, to describe the isolation procedure in the Fira Basuki’s novel, and to make the lesson plan for SMA. The method used in this research was descriptive qualitative method. The source of the data was part of the text in the Fira Basuki’s novel, Catching Star. The result of the data were the fabula, sjuzet, and the isolation effect are using defamiliarization concept in the Fira Basuki’s novel, Catching Star and the lesson plan for SMA.

Penelitian ini meneliti alur dalam novel Catching Star karya Fira Basuki dan rancangan pembelajarannya untuk SMA. Tujuan dari penelitian ini mendeskripsikan fabula dan sjuzet , mendeskripsikan prosedur pengasingan novel Catching Star, dan membuat rencana pelaksanaan pembelajaranya untuk SMA. Metode yang digunakan adalah metode deskriptif  kualitatif. Sumber data penelitian ini adalah bagian teks novel Catching Star Fira Basuki. Hasil penelitian ini adalah fabula, sjuzet,efek pengasingan menggunakan konsep defamiliarisasi dalam novel Catching Star Fira Basuki dan rancangan pembelajarannya untuk SMA.

Kata kunci: fabula, sjuzet, konsep defamiliarisasi, rancangan pembelajaran",PL,JURNAL KATA,2016-04,
,Kontribusi Kebiasaan Membaca dan Penguasaan Makna Kata terhadap Kemampuan Menulis Teks Eksposisi,"This study aims to find out some of the contributions: reading habits to the ability to write exposition, mastery of the meaning of words to the ability to write exposition, and as well as reading habits and mastery of the meaning of words to the ability to write exposition text. This research uses quantitative approach with ex post facto method. The result of research indicate that there is contribution of reading habits to ability of writing exposition text equal to 21,8% with correlation coefficient 0,467; the contribution of mastery of word meaning to the ability of writing exposition text of 24,6% with correlation coefficient 0,496; the contribution of reading habits and mastery of the meaning of the word together to the ability to write exposition text of 35,4% with a correlation coefficient of 0,595. This study has important implications for improving the ability to write exposition text by improving reading habits and mastery of word meaning.

Penelitian ini bertujuan untuk mengetahui beberapa kontribusi: kebiasaan membaca terhadap kemampuan menulis teks eksposisi, penguasaan makna kata terhadap kemampuan menulis teks eksposisi, serta kebiasaan membaca dan penguasaan makna kata terhadap kemampuan menulis teks eksposisi. Penelitian ini menggunakan pendekatan kuantitatif dengan metode ex post facto. Hasil penelitian menunjukkan bahwa terdapat kontribusi kebiasaan membaca terhadap kemampuan menulis teks eksposisi sebesar 21,8% dengan koefisien korelasi 0,467; kontribusi penguasaan makna kata terhadap kemampuan menulis teks eksposisi sebesar 24,6% dengan koefisien korelasi 0,496; kontribusi kebiasaan membaca dan penguasaan makna kata secara bersama-sama terhadap kemampuan menulis teks eksposisi sebesar 35,40% dengan koefisien korelasi 0,595. Penelitian ini memiliki implikasi penting terhadap upaya peningkatan kemampuan menulis teks eksposisi dengan cara meningkatkan kebiasaan membaca dan penguasaan makna kata.

Kata kunci: kebiasaan membaca, makna kata, menulis teks eksposisi",PL,J-Simbol,,
FKIP25,Translating the Lampung Oral Literature into Music for Educational Purpose: A Case Study of Pisaan on the Indonesian Island of Sumatra,"A large body of data concerning oral literature around the globe have been reported. Moreover, in Indonesia, a country with multilingual and multicultural contexts, the study of oral literature has become an important aspect of investigation. One of the oral pieces of literature that exists in Indonesia is Pisaan, an oral tradition that can be found in Lampung, a province located on the southern tip of the island of Sumatra. Although a considerable amount of oral literature research has been conducted in the Indonesian context; however, to our best knowledge, little research has been paid to Pisaan oral literature, which plays an essential role in the Lampung community. Therefore, this study aimed to examine the oral literature by translating and transforming the Pisaan oral literature into lyrics and musical elements to educate future generations. This study adopted a qualitative approach using several instruments, i.e., semistructured interviews and recording tools, for data collection. A total of four women who were cultural activists in the age range of 37–76 years of age took part in the current study. The collected data were analyzed using a content analysis and a melody structure analysis. The results show that Pisaan has simple syllabification, which dominantly consists of consonant–vowel (CV) and consonant–vowel–consonant (CVC). The rhythm of Pisaan is categorized into syllabic time syllables, emphasizing the stress word based on its syllables. From a musical perspective, the Pisaan oral literature has been successfully translated and written into musical notation with the aim of preservation, which, as far as we are aware, has never before been done. However, we realize that the Western music notation in this study only serves as the initial stage of analysis and does not aim to replace the distinctive native-cultural values of Pisaan, offering an alternative instructional path for improving Lampung oral literature teaching methods and a valuable strategy to diversify undergraduate courses through comparable interdisciplinary inquiries. Therefore, limitations and suggestions for future research are also discussed.","M1, ML, MT, PL",Education Research International,2023,
FKIP1,THE EFFECT OF BLENDED LEARNING ACTIVITY IN IMPROVING THE STUDENTS' ENGLISH SPEAKING SKILL IN THE CONTEXT OF ENGLISH AS A FOREIGN LANGUAGE,"This study is an attempt to elucidate the problem of msny Indonesian students who get failure in speaking English fluently and accurately. On behalf of that reason, this research is done to investigate the patterns of the students' discourse in blended learning activity of the advanced EFL (English as a Foreign Language) learners. The analysis of the students' discourse showed that the online classroom activity gives more benefits for the students in performing their English speaking skills. Furthermore, the students predominantly tend to avoid speaking because they get nervous of which it leads some of them to produce code-mixing in their verbal performances. Thus, it suggests that blended learning activity gives the students a greater chance to improve their speaking skills so that the frequency of code-mixing can be diminished.","PE, PL",,2018-12,
,Penggunaan Media Youtube dalam Meningkatkan Kosakata Bahasa Prancis bagi Siswa Kelas X SMAN 1 Terusan Nunyai,"Penelitian ini bertujuan untuk mengetahui peningkatan kosakata bahasa Prancis siswa kelas X SMAN 1 Terusan Nunyai yang diajar dengan menggunakan media youtube dan siswa yang diajar menggunakan media konvensional. Penelitian ini merupakan penelitian kuantitaif, dengan desain penelitian Pretest- Posttest Control Group Design. Subjek penelitian ini adalah siswa kelas X SMAN 1 Terusan Nunyai. 30 siswa pada kelompok eksperimen yaitu X MIA 4 dan 30 siswa pada kelompok kontrol yaitu X MIA 6. Variabel independen adalah penggunaan media youtube, sedangkan variabel dependen adalah peningkatan kosakata bahasa Prancis. Untuk menentukan sampel, teknik yang digunakan Simple Random Sampling. Teknik analisis data menggunakan uji-t sebelum dilakukan  uji-t diberikan uji normalitas dan uji homogenitas. Hasil penelitian pada kelompok eksperimen dan kelompok kontrol diperoleh nilai uji-t dengan taraf signifikasi yang sama yaitu (0,000<0,05). Namun, dari hasil perhitungan efektifitas (N-Gain score), kelompok eksperimen mempunyai rata-rata sebesar 60,0287 (efektif) dan kelompok kontrol sebesar 23,5723 9 (tidak efektif). Hasil tersebut diartikan penggunaan media youtube dapat meningkatkan kosakata bahasa Prancis siswa kelas X SMAN 1 Terusan Nunyai.

Kata kunci: media youtube, kosakata, bahasa Prancis","L1, P1, PL",PRANALA,2020-06,
,Mitos dalam Lirik Lagu Album Serenade Karya Ebiet G. Ade dan Rancangannya,"The aim of this research was to describe the myths contained in the song lyrics of Serenade album by Ebiet G. Ade and to design it as a literary learning material in junior high school. Qualitative method was used in this research. The results show that the lyrics of the songs in the Serenade album carry three common myths that contain the value of love, divinity, and social. The myth that contains the value of love describes love should be expressed in the right time and romantic attitude and commitment will make love awake. The myth of divine value represents the peace that a man will have after repenting sincerely. The myth that brings social value illustrates that disaster is a warning for humankind and togetherness fraternity. The results of this research could be designed as a literary learning material in junior high on fantasy story material.

Penelitian ini bertujuan untuk mendeskripsikan mitos yang terdapat dalam lirik lagu album Serenade karya Ebiet G. Ade dan merancangnya sebagai bahan pembelajaran sastra di SMP.Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Hasil penelitian menunjukkan bahwa lirik lagu dalam album Serenade membawa tiga mitos umum yang berisi nilai cinta, ketuhanan, dan sosial. Mitos yang berisi nilai cinta menggambarkan bahwa cinta harus diungkapkan dalam waktu yang tepat dan sikap romantis dan komitmen akan membuat cinta terjaga. Mitos yang berisi nilai ketuhanan menggambarkan kedamaian yang akan didapat manusia setelah bertaubat dengan sungguh. Mitos yang membawa nilai sosial menggambarkan bahwa bencana merupakan sebuah peringatan bagi manusia dan kebersamaan menjalin persaudaraan.Hasil penelitian dapat dirancang sebagai bahan pembelajaran sastra di SMP pada materi cerita fantasi.

Kata kunci: lirik lagu album serenade, mitos, pembelajaran",PL,JURNAL KATA,2017-11,
,Mitos dalam Lirik Lagu Album Serenade Karya Ebiet G. Ade dan Rancangannya,"The aim of this research was to describe the myths contained in the song lyrics of Serenade album by Ebiet G. Ade and to design it as a literary learning material in junior high school. Qualitative method was used in this research. The results show that the lyrics of the songs in the Serenade album carry three common myths that contain the value of love, divinity, and social. The myth that contains the value of love describes love should be expressed in the right time and romantic attitude and commitment will make love awake. The myth of divine value represents the peace that a man will have after repenting sincerely. The myth that brings social value illustrates that disaster is a warning for humankind and togetherness fraternity. The results of this research could be designed as a literary learning material in junior high on fantasy story material.

Penelitian ini bertujuan untuk mendeskripsikan mitos yang terdapat dalam lirik lagu album Serenade karya Ebiet G. Ade dan merancangnya sebagai bahan pembelajaran sastra di SMP.Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Hasil penelitian menunjukkan bahwa lirik lagu dalam album Serenade membawa tiga mitos umum yang berisi nilai cinta, ketuhanan, dan sosial. Mitos yang berisi nilai cinta menggambarkan bahwa cinta harus diungkapkan dalam waktu yang tepat dan sikap romantis dan komitmen akan membuat cinta terjaga. Mitos yang berisi nilai ketuhanan menggambarkan kedamaian yang akan didapat manusia setelah bertaubat dengan sungguh. Mitos yang membawa nilai sosial menggambarkan bahwa bencana merupakan sebuah peringatan bagi manusia dan kebersamaan menjalin persaudaraan.Hasil penelitian dapat dirancang sebagai bahan pembelajaran sastra di SMP pada materi cerita fantasi.

Kata kunci: lirik lagu album serenade, mitos, pembelajaran",PL,JURNAL KATA,,
,Local Wisdoms in Bengkulu Play Script “Sayembara Putri Gading Cempaka” by Agus Setiyanto,"The purpose of this research is to describe the local wisdom in the Bengkulu play script ""Sayembara Putri Gading Cempaka"" by Agus Setiyanto. This study used a descriptive qualitative method with a sociological approach. The data of this research are words, sentences, and discourses in the local wisdom of the Bengkulu play script Sayembara Putri Gading Cempaka written by Agus Setiyanto. The data were collected by the read-note technique. The data collection and analysis were conducted simultaneously so that the data could be triangularly validated with the data source. The data analysis was done by the content analysis technique method. The results showed that Agus Setiyanto's Bengkulu play Sayembara Putri Gading Cempaka had various local wisdoms. The local wisdom covered tangible local wisdom; (1) taboos and obligations of a leader, (2) traditions, (3) values, (4) advice, (5) way of life, and (6) local languages.",PL,"LITE: Jurnal Bahasa, Sastra, dan Budaya",2021,
