division,title,abstract,subjects,publication,date,keywords
FKIP14,INFOGRAFIS BAGI GURU MATA PELAJARAN BAHASA INDONESIA DI BANDAR LAMPUNG,"Tujuan pengabdian kepada masyarakat ini adalah meningkatkan kemampuan guru mata pelajaran Bahasaa Indonesia dalam membuat media pembelajaran khususnya media pembelajaran infografis sebagai alternatif pemilihan media pembelajaran. Metode yang digunakan pada pengabdian kepada masyarakat yaitu bentuk kegiatan pelatihan. Adapun teknik pelaksanaan pelatihan yakni sebelum pelatihan ini dilaksanakan, kami informasikan terlebih dahulu kepada guru yang akan menjadi sasaran peserta dalam kegiatan pengabdian bahwa LPPM Universitas Lampung akan mengadakan pelatihan tentang pembuatan media pembelajaran infografis. Untuk itu, anggota tim diharapkan dapat mendata guru-guru khususnya mata pelajaran Bahasa Indonesia yang akan mengikuti pelatihan ini. Adapun target peserta dalam pelatihan ini adalah 35 peserta. Kegiatan ini akan dilaksanakan di SMA Negeri 2 Gadingrejo dalam waktu tiga hari pada bulan Juni 2021. Selanjutnya, pelatihan pembuatan media pembelajaran infografis ini akan menerapkan pelathan aktif, yakni seluruh peserta turut belajar melalui pengalamannya sehingga tujuan yang telah dirancang dapat diperoleh secara optimal. Pelatihan ini akan menggunakan pendekatan praktik melalui pelatihan terbimbing yaitu dengan cara tanya jawab, diskusi, demontrasi, dan praktik pembuatan media pembelajaran infografis.",PN,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">GRIYA CENDIKIA</font></font>",2021-07-31,
FKIP25,"TRANSFORMASI SASTRA LISAN SYAER                               
 DALAM PERTUNJUKAN TARI","Penelitian Transformasi Sastra Lisan Syaer dalam Pertunjukan Tari dilatarbelakangi oleh kurangnya minat masyarakat terutama generasi muda terhadap sastra lisan syaer. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kualitatif. Metode deskriptif kualitatif adalah metode penelitian yang berusaha menggambarkan dan menginterpretasi objek sesuai dengan apa adanya. Teknik analisis data yang digunakan pada penelitian adalah teknik observasi, wawancara, dan dokumentasi. Terdapat empat tahapan dalam transformasi sastra lisan Syaer dalam pertunjukan tari, yaitu tahap transformasi (perubahan bentuk yang menghasilkan unsur-unsur kebaruan dari aspek gaya), mengembangkan konsep pertunjukan tari (berpijak pada media teks pertunjukan untuk mengenali konteks sebuah sastra lisan yakni Ittar Terang), improvisasi dan eksplorasi Syaer dalam rangkaian gerak tari (terarah atau terpimpin), dan berakhir pada pertunjukan tari Ittar Terang (menggabungkan antara gerak dengan Syaer, properti, pola lantai, rias dan busana serta iringan musik).","HM, ML, PN",GRIYA CENDIKIA,2021-09-01,
FKIP8,The Theory of Roland Barthes Suatu Siang Di Teras Masjid Works of Gola Gong,"This study aims to determine the meaning of short stories Suatu Siang di Teras Masjid by Gola Gong through the semiotics approach. Roland Barthers's theory of semiotics was chosen to find out the meaning of the short story. The source used in this study is the meaning contained in the short story Suatu Siang di Teras Masjid by Gola Gong. The research method used in this research is descriptive qualitative. The technique used in this research is observation technique, which is to read critically and thoroughly all discourse and dialogue in literary texts. The results of the research that will be presented are data obtained from observation techniques. The data is in the form of meaning contained in the short story which is based on Roland Barthes's five semiotic codes, namely hermeneutic code, semic code, symbolic code, proaretic code, and gromic code.",PN,International Journal of Multicultural and Multireligious Understanding (IJMMU),2022-08,
FKIP14,"Cerita Rakyat Lampung Di Kampung Tua Negara Batin
Kecamatan Negara Batin Kabupaten Way Kanan
Provinsi Lampung","Segala hal yang berkaitan dengan asal mula kehidupan sebuah wilayah tidak bisa lepas dari kehidupan para Leluhurnya yang terceritakan dari “mulut ke mulut” dan dari generasi ke generasi. Sayangnya, tidak semua wilayah di provinsi Lampung terkait dengan cerita lisan para leluhur sebuah wilayah terdokumentasikan secara tertulis sehingga bisa dijadikan dokumen dan sumber belajar dari generasi ke generasi. Terkait dengan hal itu, peneliti merasa penting untuk memfokuskan pada cerita rakyat Lampung di Kampung Tua Negara Batin Kecamatan Negara Batin Kabupaten Way Kanan. Penelitian ini menghasilkan cerita rakyat Lampung di Kampung Tua Negara Batin yang menampilkan tokoh Pangiran Menang Jagat dan Minak Kemala sebagai Nini Puyang yang mempengaruhi krakteristik kehidupan mata pencaharian, sosial, dan budaya,
Kata Kunci: cerita rakyat Lampung; folklor.",PN,Lokabasa,,
FKIP7,NGEJUK-NGAKUK DALAM BINGKAI ADAT PERKAWINAN (LAMPUNG-JAWA),"Penelitian ini bertujuan mendeskripsikan prosesi perkawinan adat Lampung dalam perkawinan campuran Lampung-Jawa. Desain penelitian yang digunakan ialah deskriptif kualitatif. Teknik pengumpulan data yang digunakan ialah teknik dokumentasi sebagai penggalian korpus data. Hasil penelitian menunjukkan bahwa prosesi perkawinan Lampung-Jawa dimulai dari prosesi muwarei. Prosesi muwarei ialah prosesi pengantin wanita Jawa menjadi masyarakat adat Lampung. Orang Lampung menikah dimulai dari menikah secara agama dan negara kemudian perkawinan secara adat. Perkawinan secara adat merupakan prosesi wajib yang harus dilakukan agar mempelai diakui sebagai masyarakat adat Lampung. Penelitian ini menemukan sebuah pasal yang mengatur muwarei, yakni Pasal 140 dalam Kitab Kuntara Raja Niti. Pasal 140, prosesi muwarei diacu untuk menghindari cepala, hukuman yang diberikan tokoh adat kepada pengantin. Setelah pengantin diakui sebagai masyarakat adat Lampung, kegiatan selanjutnya ialah mesol kibau; canggot muda-mudi; dan nuik kasih.
Tahapan setelah muwarei ialah Begawi meliputi pergantian nama (Farida Ariyani menjadi Pujian (Ini Pujian), Ngakuk Muli. Tahapan Ngakuk Muli menunjukkan bahwa wanita resmi
menjadi Muli Lampung Tiyuh Telu, Gawi Adat Pepadun. Kegiatan terakhir ialah pengambilan gelar (Pengiran Susunan Ratu) yang mengesahkan pernikahan secara agama dan adat.","HN, PN",Kejawen,2021,
FKIP7,TRADISI GAWI ADAT DAN IMPLIKASINYA DALAM MKU PENDIDIKAN ETIKA DAN KEARIFAN LOKAL,"Tradisi upacara adat merupakan salah satu wujud peninggalan kebudayaan dari kehidupan suatu kelompok masyarakat yang masih dianggap memiliki nilai-nilai budaya luhur. Kampung Tua Negara Batin Kabupaten Way Kanan sampai saat ini meski di tengah Pandemi Covid-19 masih mempertahankan keaslian potensi kearifan lokal, salah satunya adalah upacara tradisi Gawi Adat. Fokus kajian penelitian ini adalah tradisi Gawi Adat dengan tujuan penelitian mendeskripsikan tradisi Gawi Adat di Kampung Tua Negara Batin Kabupaten Way Kanan dan implikasinya dalam Mata Kuliah Umum Pendidikan Etika dan Kearifan Lokal. Manfaat penelitian ini adalah sebagai bentuk pendokumentasian kajian interaksi simbolik tradisi Gawi Adat sebagai penambah referensi materi perkuliahan. Penelitian kualitatif digunakan sebagai desain dari proses pengambilan data sampai analisis data. Hasil penelitian ini menunjukkan bahwa tradisi Gawi Adat diawali dengan bentuk upacara tradisi Gawi Adat, fungsi upacara Gawi Adat, dan makna tradisi Gawi Adat. Implementasi tradisi Gawi Adat di Kampung Tua Negara Batin Kabupaten Way Kanan sebagai refernsi/materi pembelajaran tambahan pada CPMK3 (Budaya Lampung dan Sejarah Perkembangannya) dengan salah satu indikator mahasiswa mampu memamhami tentang sistem perkawinan adat Lampung dan merupakan inovasi baru dalam MKU Pendidikan Etika dan Kearifan Lokal, khususnya di Kampus Hijau Universitas Lampung. Sebagai produk inovasi pembelajaran, pada tahap implementasi dapat dijadikan sebagai modal dasar untuk dosen dan mahasiswa dalam pembentukan karakter serta mendongkrak keberadaan tradisi lokal Lampung untuk lebih membumi dan membantu mahasiswa untuk dapat mengerti sekaligus menerapkan dalam kehidupan mendatang sebagai pewaris kebudayaan Lampung.","HT, LB, PN",,2020-10-05,
FKIP14,POLA PENYAJIAN KEGIATAN PEMBELAJARAN BERBASIS PENDEKATAN ILMIAH,"Proses pembelajaran secara formal bergerak dinamis mengikuti perkembangan dan perubahan sistem pendidikan yang senantiasa mengalami penyempurnaan.  Reaktualisasi dari penyempurnaan sebuah sistem pendidikan adalahdiberlakukannya kurikulumbaru.  Tercatat  Indonesia telah mengalami penyempurnaan kurikulum sebanyak 12 kali. Kurikulum yang sekarang digunakan adalah Kurikulum 2013 dengan unjuk karakter pendekatan pembelajaran melalui pendekatan ilmiah (saintific approach). Penjelasan tentang teoretis pendekatan ilmiah (saintific approach) dalam pembelajaran pada buku teks terjelaskan dengan bahasa yang operasional dengan dibantu oleh penjelasan perumusan indikator pada tiap bahasannya.

Buku ini memberikan informasi secara teoretis dan praktis tentang bagaimana sebuah pendekatan ilmiah berada pada ruang buku teks pelajaran Bahasa Indonesia. Sejatinya, buku ini tersusun berdasarkan hasil penelitian terhadap salah satu buku tekspelajaran Bahasa Indonesia untuk jenjang SMP/MTs. Penulis mencoba menyajikan tiap informasi dengan merumuskan kata kunci yang diharapkan dapat mudah dipahami pembaca. Teknik penyajian dalam buku ini diawali dengan pemberian konsep dasar tentang keberadaan sebuah buku teks dalam konteks pembelajaran, yang selanjutnya diberikan contoh praktis bagaimana menelaah sebuah buku teks dalam sajian pendekatan ilmiah.

Pembahasan materi dalam buku ini memadukan konsep hakikat buku teks, buku teks dengan komponen pembelajaran, buku teks dengan perkembangan sistem pendidikan yang di dalamnya penyesuaian dengan kurikulum yang berlaku, buku teks dengan salah satu pendekatan yang digunakan dalam penerapan Kurikulum 2013. Penyajian bab dalam buku ini terdiri atas empat bab. Bab 1 sampai dengan bab 3 menyampaikan materi secara teoretis tetapi juga ditunjang oleh penjelasan yang operasional melalui tabel indikator pada setiap sajiannya.  Penulis batasi sampai dengan Bab 4 yang merupakan materi telaah langsung kedalam buku teks pelajaran Bahasa  Indonesia disertai dengan contoh dan ilustrasi data hasil telaahan.

Ucapan terimakasih penulis tujukan kepada semua pihak yang telah mendukung tersusunnya buku “Pola Penyajian Kegiatan Pembelajaran Berbasis Pendekatan Ilmiah (saintific approach) dalam Buku Teks (sebuah Kajian Telaah Buku Teks Bahasa Indonesia), ruang ini ditujukan kepada pihak fakultas (FKIP Universitas Lampung) dan tim penerbit.  Selanjutnya, tiadalah gading  yang tiada retak, penulis membuka ruang seluas-luasnya bagi pembaca untuk memberikan saran dan kritik yang bersifat konstruktif demi penyempurnaan ilmu yang terdapat dalam buku ini.  Salam.",PN,,2016,
,The Use of Pepaccur Local Wisdom for Indonesian Literary Teaching Materials,"The cultural diversity that exists in various regions in Indonesia produces a lot of potential for local wisdom and tradition. Various Indonesian local wisdom has been used as teaching material in the classroom. However, pepaccur local wisdom is still rarely known and used as teaching material. Therefore it is a novelty to turn pepaccur local wisdom into Indonesian literary teaching materials. This study aims to investigate the properness of pepaccur local wisdom for Indonesian literary teaching materials. The qualitative approach used in this study is characterized by collecting data through interviews, observation, recording and book review, and other sources related to pepaccur local wisdom. Content analyses were also used in analyzing the collected data. The results of this study are in the form of pepaccur presentations that are appropriate to be used as teaching materials for Indonesia language and literature based on the characteristics of the functions and values of local wisdom contained in them. Values contained in pepaccur such as religion, simplicity, cooperation, and politeness can be a reference in behaving in the community and this integration can be an effort to preserve local wisdom that has begun to be abandoned by the Lampung community. Implications from this study, through pepaccur-based teaching materials, students can learn to live a simple life, have a community with mutual help and respect, and learn poetic arts to provide entertainment and advice.",PN,Jurnal Pendidikan Indonesia (JPI),2020-06,
FKIP25,Wawancara Kias Lampung bersama Hasan Mata Raja,Wawancara ini dilakukan dengan perekaman dan dokumentasi audiovisual,"ML, PN, PN0441",,2021-06-17,
FKIP25,TRANSFORMASI TRADISI LISAN LAMPUNG DALAM SENI PERTUNJUKAN: PERSPEKTIF PENDIDIKAN DAN PEWARISAN BUDAYA,"ABSTRACT
Oral tradition is part of the life of the people of Lampung. The existence of oral tradition is now experiencing a decline. Only some people still maintain this tradition, especially in the villages. Oral traders are less and less because many young people do not want to learn it. This condition certainly can not be left. An attempt is needed to attract the young generations to use their oral traditions. One of the efforts that can be done is to transform oral traditions into the form of performing arts. This has been done by several art communities in Lampung and local governments. However, the quality and strengthening still need to be improved so that the oral tradition still exists and is not extinct.
In terms of education, the transformation of oral tradition into the performing arts contains cultural cultural education, education to understand local wisdom, and creativity education. In terms of cultural inheritance, this transformation has a positive influence on cultural inheritance on future generations. The younger generation is expected to be interested and growing, as well as maintaining the oral tradition as the cultural heritage of the ancestors.

Keywords: Transformation, Oral Tradition, Performing Arts.",PN,Prosiding kegiatan ilmiah tinglkat nasional,2017,"Transformation, Oral Tradition, Performing Arts."
