division,title,abstract,subjects,publication,date,keywords
FP24,SERANGGA BERGUNA,"Buku ""Serangga Berguna"" merupakan sumbangan ilmu dan pengetahuan dari para anggota Perhimpunan Entomologi Indonesia. Buku ini berisi deskripsi biologi dan manfaat dari berbagai serangga yang bermanfaat bagi manusia, pertanian, dan lingkungan secara umum.",Q1,,2022-07,
FMIPA2,Analisis kualitas limbah cair pada kolam anaerob IV di Instalasi Pengolahan Air Limbah (IPAL) PT. Perkebunan Nusantara VII (Persero) Unit Usaha Bekri,"Among the industries in Lampung, PT. Perkebunan Nusantara VII (Persero) Bekri Business Unit is one of the Palm Oil Processing Plant (POPP) industry who spend a lot of waste water in the form of residual organic liquid materials. The rest of the liquid material can cause problems such as
pollution so it needed special treatment before the waste water is discharged into the environment. This study was conducted to determine the quality of liquid waste in an anaerobic pool IV on Wastewater Treatment Plant (WWTP) PT. Plantation Nusantara VII (Persero) Business Unit Bekri
so it can be determined whether the waste water treatment process can improve the quality of waste water for the better. Waste water quality measurement is done using the parameters of physics, chemistry, and heavy metals, namely pH, COD, BOD5, TSS, Cd, Cu, Pb, and Zn. The results showed
that the quality of the wastewater in an anaerobic pool IV was good and meets the quality standards of palm oil mill effluent by the State Minister of Environment Resolution No. 03 / MENKLH /11/1991 and the Indonesian Government Regulation No. 20 of 1990 on Water Pollution Control. It
also indicates that the effluent treatment system at the Wastewater Treatment Plant (WWTP) PT. Perkebunan Nusantara VII (Persero) Bekri Business Unit is very effective","Q1, QK",Biogenesis,2013-12-21,
,PENERAPAN METODE 4Rp DALAM MENDUKUNG PENGELOLAAN DAN PENGOLAHAN SAMPAH BERBASIS PARTISIPASI MASYARAKAT DI KABUPATEN WAY KANAN,"Desa Way Tuba dan Tiuh Balak memiliki luas perkebunan yang besar dengan potensi biomassa yang bisa diolah menjadi kompos sebesar 200 juta ton/tahun yang diperoleh dari sampah yang dihasilkan. Permasalahan yang ada adalah belum berkembangnya sistem pengelolaan  sampah berbasis partisipasi masyarakat;terjadinya kelangkaan pupuk;jumlah limbah/sampah perkebunan/pertanian yang berlimpah, dan kurangnya pengetahuan masyarakat terhadap teknologi pembuatan kompos. Untuk itu solusi yang ditawarkan adalah pembentukan sistem pengelolaan sampah berbasis partisipasi masyarakat dan menjadi Desa Mandiri Pupuk dengan menerapkan metode 4RP.",Q1,,2017-11-10,
,Pengolahan Limbah Pertanian Berbasis Partisipasi Aktif dari Masyarakat Melalui Penerapan Metode 4RP untuk Meningkatkan Pengadaan Pupuk Secara Mandiri,"Program pengelolaan dan pengolahan sampah sudah dirintis di pemerintah kabupaten (Pemkab) Way Kanan, yaitu melalui program  Bank Sampah,  akan tetapi  karena program  ini baru diluncurkan, maka partisipasi masyarakat masih rendah. Sehingga diperlukan upaya sosialisasi dan peningkatan kesadaran dan pemahaman masyarakat akan pentingnya pengelolaan sampah bagi kesehatan dan lingkungan hidup serta pemanfaatannya untuk menambah penghasilan. Masih belum berkembangnya sistem pengelolaan sampah berbasis partisipasi masyarakat, kebutuhan pupuk dalam jumlah yang besar, sering terjadi kelangkaan pupuk, jumlah sampah/limbah perkebunan dan pertanian yang berlimpah, dan kurangnya pengetahuan masyarakat terhadap teknologi pembuatan kompos merupakan permasalahan yang sering dijumpai di masyarakat. Hal-hal tersebut menjadi titik tolak upaya strategis yang telah dilakukan dalam mengatasi persoalan sampah/limbah pertanian. Upaya tersebut dilakukan dengan meningkatkan partisipasi masyarakat dalam pengelolaan sampah dengan melakukan reduksi sampah di sumbernya (rumah tangga) serta  limbah perkebunan dan pertanian. Dalam rangka mengimplementasikan kegiatan tersebut, Universitas Lampung, Pemkab Way Kanan, dan perguruan tinggi mitra yaitu Politeknik Negeri Lampung membentuk pilot project pengelolaan sampah berbasis masyarakat melalui Program Kemitraan Wilayah (PKW) dari Kemenristekdikti. Pengelolaan sampah berbasis masyarakat bertujuan untuk menerapkan konsep 4Rp (Reduce, Reuse, Recycle, Replace, Participation) melalui Program Kemitraaan Wilayah (PKW) Kemeristekdikti, sehingga sampah/limbah pertanian dapat dikelola secara mandiri oleh masyarakat di tingkat sumber, dan dapat mengurangi jumlah timbulan sampah yang harus dikelola di TPS atau TPA, serta dapat memberikan nilai tambah secara ekonomi.",Q1,,2017-09-07,
FMIPA4,PENGOLAHAN SAMPAH RUMAH TANGGA BERBASIS PARTISIPASI AKTIF DARI MASYARAKAT MELALUI PENERAPAN METODE 4Rp UNTUK MENGHASILKAN KOMPOS,"Dalam rangka mengimplementasikan kegiatan pengelolaan dan pengolahan sampah berbasis partisipasi masyarakat, Universitas Lampung, Pemkab Way Kanan, dan perguruan tinggi mitra yaitu Politeknik Negeri Lampung membentuk pilot project pengelolaan sampah berbasis masyarakat. Pengelolaan sampah berbasis masyarakat bertujuan untuk menerapkan konsep 4Rp (Reduce, Reuse, Recycle, Replace, Participation) melalui Program Kemitraaan Wilayah (PKW) Kemeristekdikti, sehingga sampah/limbah pertanian dapat dikelola secara mandiri oleh masyarakat di tingkat sumbernya langsung, dan dapat mengurangi jumlah timbulan sampah yang harus dikelola di TPS atau TPA, serta dapat memberikan nilai tambah secara ekonomi. Kegiatan ini telah dilaksanakan di desa yang memiliki potensi sampah/limbah perkebunan dan pertanian di Desa Way-Tuba kecamatan Gunung Labuhan Kabupaten Way Kanan. Secara umum, hasil kegiatan tersebut telah meningkatkan partisipasi dan pengetahuan masyarakat terhadap paradigma tentang sampah dan pengelolaan sampah dengan konsep 4Rp, pengadaan pupuk/kompos secara mandiri, serta menjadi pelopor pengelolaan sampah berbasis partisipasi aktif dari masyarakat dengan persentase rata-rata peningkatan dari 38,6 menjadi 86%.",Q1,SAKAI SAMBAYAN — Jurnal Pengabdian kepada Masyarakat,2018-03,
FMIPA4,Modiﬁcation of Gambier extracs as green inhibitor of calcium carbonate (CaCO3) scale formation,"The addition of the Gambier extract (Uncaria gambier Roxb leaves) modiﬁcation (Gambier:benzoic acid:citric acid/2:1:2) as a green inhibitor on the formation of CaCO3 scale at various concentrations was carried out using a seeded experiment method. The experiments were performed with observing the precipitation change of the CaCO3 crystals growth obtained. In order to prove the eﬃciency of the inhibitor in inhibiting the formation of the CaCO3 crystals, the changes of the crystal morphology were investigated by scanning electron microscopy (SEM)and the changes of thecrystal size distribution were analyzed by particle size analyzer(PSA.The research results showed that the Gambier extract modiﬁcation was able to inhibit the formation of the CaCO3 scale indicated with the morphology change of the CaCO3 crytals and smaller crystal size distribution after the addition of this inhibitor.","Q1, TD",Journal of Water Process Engineering,2017-08,
FMIPA2,Similarity Check Inhibition of calcium carbonate (CaCO3) scale formation by calix [4] resorcinarene compounds,"Inhibition effect of tetrakis{(dimethylamino)methyl}C-methyl calix [4] resorcinarene (TDMACMKR) compound on calcium carbonate (CaCO3) scale formation has been studied using seeded experiment and bottle roller bath method. The effect of the addition TDMACMKR as inhibitor on CaCO3 scale formation was analyzed by measuring the weight of precipitation of CaCO3
formed. The morphology and particle size distribution of obtained CaCO3 crystals caused by the addition of TDMACMKR
were analyzed by scanning electron microscopy (SEM), and particle size analyzer. The data obtained show that the TDMACMKR inhibits formation of CaCO3 scale at various inhibitor concentrations added.",Q1,,,
,Similarity Check Influence of gambier extract modification as inhibitor of calcium sulfate scale formation,"Scale formation is a serious problem in many industries, especially in oil and gas industries. Therefore,
in order to control the problems, this research studied the effect of the addition of gambier extract modified with kemenyan extract on the growth of calcium sulfate (CaSO4) scale formation as a green inhibitor. The crystallization experiments were carried out by using unseeded experiment method at
temperature of 90°C. The CaSO4 crystals obtained with and without the addition of inhibitor were analyzed by scanning electron microscopy (SEM), particle size analyzer (PSA), and X-ray diffraction (XRD). The results of this experiment show that the addition of the combination of gambier and kemenyan extract with ratio of 5:9 can inhibit the growth of CaSO4 crystals with the inhibition effectivity of 39.88%. These results were supported from the SEM and PSA data showing that the
crystal size and particle size distribution of the CaSO4 in the addition of the inhibitor are smaller than without the addition of inhibitor. In addition, analysis using XRD showed that CaSO4
crystals undergo a change in crystalline phase with the addition of inhibitors.",Q1,,,
FMIPA2,Similarity Check Kemenyan (Styrax benzoin Dryand) extract as green inhibitor of calcium carbonate (CaCO3) crystallization,"To study the effect of kemenyan extract from Styrax benzoin Dryand resin as green inhibitor on calcium
carbonate (CaCO3) scale formation, experiment has been carried out using a bottle roller bath method at temperature of 80°C and at various growth solutions from 0.050 to 0.100 M. The extraction result of the kemenyan was characterized using Fourier transform infrared spectroscopy to identify functional
groups found in the kemenyan extract. The morphology of CaCO3
crystal obtained was analyzed using SEM and the particle size distributions of the CaCO3 crystals produced were measured by a particle size analyzer. The result of the experiment showed that kemenyan extract can be used as a green inhib-
itor of calcium carbonate scale formation. The presence of kemenyan extracts in the various growth solutions of CaCO3
0.050, 0.075, and 0.100 M gives percentage of inhibition ability from 12% to 77% in inhibiting the formation of the CaCO3 scale. The ability of the kemenyan extract to inhibit the growth rate of CaCO3 crystallization depends on amount of the inhibitor concentration added and the growth solution concentration as a crystal growth media under these experiment conditions.",Q1,,,
FKIP12,"Character Building Since Early Childhood Through
Story Telling About Folklore","The Indonesian nation must be built by prioritizing character development because this character building
will make Indonesia a great, advanced, and glorious, dignified nation. Today the rapid progress and
sophistication of technology makes habits begin to be abandoned. Children now prefer to play gadgets and
play stations rather than traditional children's games, whereas traditional children's games are not just games
but also teaches about many lessons such as practicing patience, cooperation, responsibility, tolerance, and
caring among others. Therefore, it is necessary to plant good character traits early on in early childhood, with
the hope that good character can be well embedded early on. Character is not formed by learning in class, but
it requires habituation. Through storytelling it is hoped that children will recognize, understand and be able to
feel the values contained in the story, so good character values will be embedded in the child. The habit of
telling stories or storytelling about folklore needs to be done at school, especially at home, so that
communication between teachers, parents, and children can be established in instilling the children’s
character.
Keywords: Early childhood, character building, story telling, floklore","H1, HN, L1, Q1",Proceedings of the International Conference on Early Childhood Education and Parenting 2019 (ECEP 2019),2020,"Early childhood, character building, story telling, floklore"
FKIP12,"Global Citizen Preparation: Enhancing Early Childhood
Education through Indonesian Local Wisdom","In a globalized world, young people are
expected to have critical thinking and communication
abilities, such as collaboration and technological skills.
Both skills are imperative to equip them to participate in an
international environment. However, due to a lack of early
childhood education, youths in Indonesia also have less
innovativeness and competency. This study aims to
discover an ethical culture that enhances early childhood
education by using the concept of local wisdom. This
research was conducted in one of the Indigenous
communities in Indonesia which were the Sundanese
Community in Cireundeu, West Java. The qualitative
approach used the descriptive method and revealed the
consciousness of the Indigenous people in Cireundeu to
engage in traditional Sundanese cultural practices by
preparing their children to become ethical human beings,
as well as being productive and informed global citizens.
The results show that the community has implemented
decent early childhood education, which is designed to
prepare youths who actively engage as global citizens. The
implementation of this study can be applied not only to
children in Cireundeu but also to children all over the
world.
Keywords Early Childhood Education, Global
Citizens, Indonesian Local Wisdom, Globalization","H1, HN, HQ, L1, Q1",Universal Journal of Educational Research,,
,"Mitochondrial Targeting in an Anti-Austerity Approach Involving Bioactive Metabolites Isolated from the 
Marine-Derived Fungus Aspergillus sp",,Q1,Marine Drugs,,
