division,title,abstract,subjects,publication,date,keywords
FMIPA9,DIAGONALISASI SECARA UNITER MATRIKS HERMITE DAN APLIKASINYA PADA PENGAMANAN PESAN RAHASIA,"Matriks Hermite adalah matriks yang hasil dari transpos konjugatnya sama dengan matriks itu sendiri. Diagonalisasi
matriks Hermite secara uniter merupakan proses untuk mendekomposisikan matriks Hermite menjadi matriks diagonal
dimana unsur-unsur dari diagonal utamanya merupakan nilai eigen dari matriks Hermite. Dalam artikel ini dikaji
penerapan diagonalisasi matriks Hermite secara uniter sebagai landasan membuat matriks kunci untuk proses enskripsi dan
deskripsi pesan rahasia melalui algoritma kriptografi Hill Cipher. Beberapa hasil enskripsi dan deskripsi dengan ukuran
matriks berbeda disajikan dalam artikel ini.",QA,DIAGONALISASI SECARA UNITER MATRIKS HERMITE DAN APLIKASINYA PADA PENGAMANAN PESAN RAHASIA,2017-12,
FMIPA9,"PARAMETER  SENSITIVITY  ANALYSIS  ON  MATHEMATICAL  MODEL OF METHANE  OXIDATION  USING  REVERSE  FLOW  REACTOR  WITH PERIODICALLY  PERTURBED  FEED GASANuryaman*, L Zakaria  and S Suharsono","Abstract. In this paper, we investigate the effect of operation parameters to dynamic of dependent variables for catalytic oxidation reaction using reverse flow reactor (RFR). Here, we consider a 1-D pseudo-homogeneous model for RFR with cooling through the wall and periodically perturbed feed gas. By using finite difference method to the model, we construct numerical schemes.The simulations are conducted for various value of period of gas feeding, switching time, cooling capacity and superficial velocity.","QA, QA75",,2019-09-23,
,PARAMETER SENSITIVITY ANALYSIS ON MATHEMATICAL MODEL OF METHANE OXIDATION USING REVERSE FLOW REACTOR WITH PERIODICALLY PERTURBED FEED GAS,"In this paper, we investigate the effect of operation parameters to dynamic of dependent variables for catalytic oxidation reaction using reverse flow reactor (RFR). Here, we consider a 1-D pseudo-homogeneous model for RFR with cooling through the wall and periodically perturbed feed gas. By using finite difference method to the model, we construct numerical schemes. The simulations are conducted for various values of period of gas feeding, switching time, cooling capacity and superficial velocity.",QA,JP Journal of Heat and Mass Transfer,2020-02,
,"PARAMETER SENSITIVITY ANALYSIS
ON MATHEMATICAL MODEL OF METHANE
OXIDATION USING REVERSE FLOW REACTOR
WITH PERIODICALLY PERTURBED FEED GAS","In this paper, we investigate the effect of operation parameters to dynamic of dependent variables for catalytic oxidation reaction using reverse flow reactor (RFR). Here, we consider a 1-D pseudohomogeneous model for RFR with cooling through the wall and periodically perturbed feed gas. By using finite difference method to the model, we construct numerical schemes. The simulations are conducted for various values of period of gas feeding, switching time,cooling capacity and superficial velocity.",QA,JP Journal of Heat and Mass Transfer,,
,"ISBN No. 978-623-90150-0-8 
KAJIAN BEST-FIT DISTRIBUSI PROBABILITAS UNTUK CURAH
HUJAN HARIAN DAN APLIKASINYA DALAM MITIGASI HUJAN
EKSTRIM DI PULAU SUMATERA","Kejadian hujan ekstrim, sebagai salah satu dari kejadian cuaca ekstrim dalam
hidrometeorologi yang paling sering terjadi, sehingga mendapatkan perhatian yang lebih
karena dampaknya yang besar pada perekonimian dan kehidupan manusia. Kajian distribusi
probabilitas menjadi penting dalam menentukan model yang paling sesuai dalam
mengantisipasi kejadian ekstrim dari fenomena alam, seperti hujan ekstrim dan banjir. Tujuan
dari penelitian ini adalah untuk menentukan best-fit distribusi probabilitas pada kasus hujan
harian maximum selama 5 tahun dari tahun 2013-2017 di Sumatera dengan menggunakan
data curah hujan harian yang didapatkan dari 8 stasiun pengamatan cuaca. Distribusi yang
digunakan adalah distribusi normal, gamma, weibull, generalized extreme value, dan
generalized pareto. Pendugaan parameter dilakukan dengan metode maximum likelihood dan
distribusi terbaik ditentukan dengan menggunakan tes Kolmogrov-Smirnof dan AndersenDarling.

Distribusi terbaik berdasarkan tes statistik tersebut adalah distribusi generalized
pareto, yang menunjukkan kecocokan yang baik dalam memodelkan curah hujan di Pulau
Sumatera. Aplikasi penggunakan distribusi Pareto menunjukkan potensi hujan ekstrim di
Pesisir Barat Lampung 1.1%, Bengkulu 1.1%, Padang 1.5%, Sibolga 1.7%, Kerinci 0.3%,
Medan 0.5%, Palembang 0.7%, dan Bandar Lampung 0.4%.",QA,Prosiding Seminar Nasional METODE KUANTITATIF 2018,2018-11-19,
FMIPA9,Hasil cek similaritas artikel 'The Implementation of Rough Set on A Group Structure',,QA,,2022,
FMIPA9,The Implementation of Rough Set on a Group Structure,"Let U be a non-empty set and R an equivalence relation on U. Then, (U,R) is an approximation space. The equivalence relation on U forms disjoint equivalence classes. If X⊆U, we can form a lower approximation and an upper approximation of X. If X⊆U, then we can form a lower approximation and an upper approximation of X. In this research, rough group and rough subgroups are constructed in the approximation space (U,R) for commutative and non-commutative binary operations.",QA,Jurnal Matematika MANTIK,2022-06-28,
FMIPA9,Bukti Korespondensi Artikel The Implementation of Rough Set on A Group Structure,,QA,,,
FMIPA3,Genetic Algorithm Dan Optimasi,"Research on optimization problems have taken great interest of researchers because of its great impact on engineering and economics. For real world applications, the optimization problems are usually associated with various constraints. Thus it becomes difficult to solve it exactly. Genetic Algorithm (GA) is known as one of powerful heuristic methods for solving various optimization problems. In this several years, we have applied GA on many variants of optimization problems such as Transportation Problem (TP), Traveling Salesman Problem (TSP), Vehicle Routing Problems (VRP), Production Distribution and Inventory Problem (PDI), Supply Chain Management (SCM), Scheduling and so on. We have shown that GA, in general, would give good solution for those problems. Keywords: Genetic Algorithm, Network and Engineering design, Heuristic, Optimization","Q1, QA, QA75",,2010-08-07,"Genetic Algorithm, Network and Engineering design, Heuristic, Optimization"
FMIPA9,"Comparing Various Genetic Algorithm Approaches for 
Multiple-choice Multi-dimensional Knapsack Problem","One of the essential and well-known classes of combinatorial optimization problems commonly studies by
researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced
for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mmKP)
is
the
most
complex
model
with
an
NP-hard
problem.
Several
authors
have
reported
the
robustness
of
heuristics

for
mm-KP;
irrespective
of
its
advantages,
no
method
currently
has
the
ability
to
solve
the
problem
optimally
all
time.

This
paper
aims
to
determine
the
best
GA
strategy
and
evaluate
the
performance
of
several
heuristic
algorithms
to

solve
mm-KP.
We
investigate
the
use
of
two
techniques
that
are
included
in
the
GA
approach.
The
first,
two
different

strategies
are
adopted
to
handle
infeasible
chromosomes,
namely
penalty
and
repairing
procedure.

Second,
we
develop

a

new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen)
Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the
number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal
solutions.
Furthermore,
the
results
from
studies
on
heuristic
algorithms
also
show
that
hr-GA is a promising approach, with local search used to immensely improve the quality.",QA,international Journal of Intelligent Engineering & System,2020,
