division,title,abstract,subjects,publication,date,keywords
FMIPA3,Clustering K-Means Jenis Kata Pada Laporan Kegiatan Kuliah Kerja Nyata (KKN) Universitas Lampung Menggunakan Word2vec,"Kuliah Kerja Nyata (KKN) is a form of student service activities for the community, requesting and developing science and technology carried out off-campus within a period, linking work, and special requirements managed by the Badan Pelaksana Kuliah Kerja Nyata (BP-KKN). While carrying out KKN activities, each group of students is required to upload a report of the activities carried out in the village. In uploading the report file, there are several categories in each activity, including socialization, training, and character development. To classify the results of uploading activities one of which can be done using clustering techniques. In this research, a clustering of discussion on KKN student activities will be conducted at the University of Lampung. The text mining method is used to process KKN student activities to be more structured. Information on the KKN student activities was obtained as a feature with the Word2Vec weighting technique. The algorithm used is the K-Mean algorithm which has a high accuracy of the size of the object, so this algorithm is relatively more measurable and efficient for processing large numbers of objects. From the results of research conducted, it has been found that apply the text mining process algorithm for clustering with the K-means method on the Unila KKN Student activity data produces a value of k = 2, a lot of filtered data in the preprocess is 6284 data, using this method has not yet gotten a good association analysis because the results of the second cluster do not show the general types of words, typos and reporting activities by students who are not specifically can affect the results of clustering that is not good",QA76,Pepadun,2021-08-01,
FMIPA3,Implementation of Fuzzy Expert System on Skin Diseases,"Abstract: Skin diseases are a group of diseases affecting people of all ages, commonly caused by fungi, bacteria, parasites, viruses, and infections. The disease's main symptoms are usually itching all over the skin. Many patients are often underestimated and embarrassed to consult directly with doctors, which in the end, ignores the symptoms of skin diseases. Since they usually have imprecision symptoms, examining skin diseases is complex and challenging. Recently, many efforts have been made to utilize artificial intelligence approaches for diagnosing various diseases based on the patient's condition. This paper aims to develop a novel fuzzy-based medical expert system based on unprecise existing symptoms. The system uses the specialist Doctor's knowledge (dermatologist) to diagnose and provide the patient's severity level for the disease. We have done numerical experiments using 100 (one hundred) test problems to evaluate the performance of the developed system by comparing the result with the recommendations of doctors (dermatologists). It shows that this system succeeds in all tests with an accuracy value of 95.6%. Thus, this system is very beneficial to support doctors in the assessment of skin diseases.",QA76,International Journal of Advanced Computer Science and Applications,2022-12-31,
FMIPA9,IMPLEMENTATION OF ARTIFICIAL NEURAL NETWORK WITH BACKPROPAGATION ALGORITHM FOR RATING CLASSIFICATION ON SALES OF BLACKMORES IN TOKOPEDIA,"The rating assessment classification contains feedback from consumers, which is given in the form of stars which aims to assess a product. However, the amount of data in the classification process often have differences in each class or is called an imbalanced dataset. These problems can affect the classification results. An imbalanced dataset can be overcome by applying random oversampling. To classify the rating assessment, this study proposes the Neural network method, which has a good accuracy level with the backpropagation algorithm and applies random oversampling to overcome the unbalanced amount of data. The results indicate that the neural network method with the backpropagation algorithm can classify the available data with an accuracy level of 85%. The application of resampling data using random oversampling and determining the amount of distribution of training data, testing data, number of epochs and the correct number of batch sizes affect the results obtained.",QA76,Jurnal Teknik Informatika (JUTIF),2023-04-01,
FMIPA3,"Apiikasi Virtual Guide Gedung A Dan E Fakultas Ekonomi Dan
Bisnis Universitas Lampung Menggunakan Unity 3D",,QA76,,2022-01-31,
FMIPA3,"Aplikasi Virtual Guide Gedung Dekanat Fakultas Ilmu Sosial Dan
Ilmu Politik Universitas Lampung",,QA76,,2022-01-31,
FMIPA3,Aplikasi Virtual Guide Gedung F Pascasarjana Fakultas Ilmu Sosial Dan Ilmu Politik Universitas Lampung,,QA76,,2022-01-31,
FMIPA3,Aplikasi Virtual Guide Gedung C Fakultas Kedokteran Universitas Lampung Menggunakan Unity 3D,,QA76,,2022-01-31,
FMIPA3,"Aplikasi Virtual Guide Gedung D Dan Student Center Fakultas
Ekonomi Dan Bisnis Universitas Lampung",,QA76,,2022-01-31,
FMIPA9,Prediction of COVID-19 Using the Artificial Neural Network (ANN) with K-Fold Cross-Validation,"Background: COVID-19 is a disease that attacks the respiratory system and is highly contagious, so cases of the spread of COVID-19 are increasing every day. The increase in COVID-19 cases cannot be predicted accurately, resulting in a shortage of services, facilities and medical personnel. This number will always increase if the community is not vigilant and actively reduces the rate of adding confirmed cases. Therefore, public awareness and vigilance need to be increased by presenting information on predictions of confirmed cases, recovered cases, and cases of death of COVID-19 so that it can be used as a reference for the government in taking and establishing a policy to overcome the spread of COVID-19.Objective: This research predicts COVID-19 in confirmed cases, recovered cases, and death cases in Lampung ProvinceMethod: This study uses the ANN method to determine the best network architecture for predicting confirmed cases, recovered cases, and deaths from COVID-19 using the k-fold cross-validation method to measure predictive model performance.Results: The method used has a good predictive ability with an accuracy value of 98.22% for confirmed cases, 98.08% for cured cases, and 99.05% for death cases.Conclusion: The ANN method with k-fold cross-validation to predict confirmed cases, recovered cases, and COVID-19 deaths in Lampung Province decreased from October 27,2021,to January 24,2022.",QA76,Journal ofInformation Systems Engineeringand Business Intelligence,2023-04-28,
FMIPA9,Prediksi Covid-19 di Provinsi Lampung Menggunakan Metode Artificial Neural Network dengan K-Fold Cross Validation,,QA76,,2022-08-01,
FMIPA3,"Hasil peer review Hak Cipta Program Komputer dengan judul ""Sistem Informasi Inventari Barang Menggunakan QR Code""",,QA76,,,
FMIPA3,"Hasil peer review Hak Cipta Program Komputer dengan judul ""Solusi Akuntasi Keuangan (SAKU)""",,QA76,,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional (Sinta 4) dengan judul “PENGEMBANGAN SISTEM INFORMASI TERPADU FMIPA UNIVERSITAS LAMPUNG (SIMIPA) MENGGUNAKAN METODE SCRUM”,,QA76,,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional (Sinta 4) dengan judul “Web Service Sistem Informasi Terpadu (SIMIPA) Menggunakan REST API”,,"QA75, QA76",,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional dengan judul “Cawa Lampung: Kamus Bahasa Indonesia-Lampung Dialek A Berbasis Android”,,"QA75, QA76",,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional dengan judul “PENGEMBANGAN SIMIPA BERBASIS ANDROID MENGGUNAKAN METODE SCRUMPADA MODUL MAHASISWA”,,QA76,,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional dengan judul “Pengembangan Sistem Grader di Jurusan Ilmu Komputer Fakultas Matematika dan Ilmu Pengetahuan Alam Unila”,,QA76,,,
FMIPA3,Hasil peer review Jurnal Ilmiah Nasional dengan judul “SIMIPA Modul Orang Tua Sebagai Media Pemantauan Perkuliahan Mahasiswa oleh Orang Tua/Wali”,,QA76,,,
FMIPA3,Hasil peer review Prosiding Internasional (Scopus) dengan judul “eDonation Android Application for Used Goods Donation using Location-based Service”,,"QA75, QA76",,,
FMIPA3,Hasil peer review Prosiding Nasional dengan judul “Pengembangan Aplikasi Marketplace Berbasis Android dengan Metode Scrum (Studi kasus: Marketplace pakan ternak dan produk peternak epakan.id modul penjual)”,,QA76,,,
FMIPA3,Similarity check result of paper: Abstract Classification Using Support Vector Machine Algorithm (Case Study: Abstract in a Computer Science Journal),,"QA75, QA76",,,
FMIPA3,Similarity check result of paper: Cawa Lampung: Kamus Bahasa Indonesia-Lampung Dialek A Berbasis Android,,QA76,,,
FMIPA3,Similarity check result of paper: KLASIFIKASI ABSTRAK JURNAL KOMPUTASI MENGGUNAKAN METODE TEXT MINING DAN ALGORITMA SUPPORT VECTOR MACHINE,,QA76,,,
FMIPA3,Similarity check result of paper: PENGEMBANGAN SIMIPA BERBASIS ANDROID MENGGUNAKAN METODE SCRUMPADA MODUL MAHASISWA,,QA76,,,
FMIPA3,Similarity check result of paper: PENGEMBANGAN SISTEM GRADER DI JURUSAN ILMU KOMPUTER FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM UNILA,,QA76,,,
FMIPA3,Similarity check result of paper: PENGEMBANGAN SISTEM INFORMASI TERPADU FMIPA UNIVERSITAS LAMPUNG (SIMIPA) MENGGUNAKAN METODE SCRUM,,QA76,,,
FMIPA3,Similarity check result of paper: Pemanfaatan Aplikasi Quiver-3D Coloring Berbasis Augmented Reality dalam Pengembangan Kognitif Anak Usia Dini,,QA76,,,
FMIPA3,Similarity check result of paper: Pengembangan Aplikasi Marketplace Berbasis Android dengan Metode Scrum (Studi kasus: Marketplace pakan ternak dan produk peternak epakan.id modul penjual),,QA76,,,
FMIPA3,Similarity check result of paper: SIMIPA MODUL ORANG TUA SEBAGAI MEDIA PEMANTAUAN PERKULIAHAN MAHASISWA OLEH ORANG TUA/WALI,,QA76,,,
FMIPA3,Similarity check result of paper: Web Service Sistem Informasi Terpadu (SIMIPA) Menggunakan REST API,,QA76,,,
FMIPA3,Similarity check result of paper: eDonation Android Application for Used Goods Donation using Location-based Service,,"QA75, QA76",,,
FMIPA3,PENGEMBANGAN SIMIPA BERBASIS ANDROID MENGGUNAKAN METODE SCRUM PADA MODUL MAHASISWA,Academic activities are a learning process that is carried out based on the curriculum in university to produce quality graduate students. Good academic activities can be supported by having a system that helps academic activities at a university. FMIPA University of Lampung currently has a web-based MIPA information system (SIMIPA) which is used as a system that can support the administrative service process for FMIPA University Lampung students. Information technology that is currently developing rapidly shows that there is a need for development to be done on the SIMIPA as an effort to increase the benefits of SIMIPA. Development of an android-based student module SIMIPA application is one of the systems developed to improve services for FMIPA students at the University of Lampung. This application development will use the Scrum method. The scrum method is a software development framework from implementing Agile Development method for software projects. Development of this application is based on the product backlog which is divided into 8  sprints. The result of this research is the successful development of the SIMIPA application module for academic students using Scrum method. This is evidenced by testing using black box testing which shows the overall functional needs of the student module SIMIPA application as expected.,QA76,Jurnal Pepadun,2021-04-15,
