division,title,abstract,subjects,publication,date,keywords
FT11,PENDEFINISIAN KOORDINAT ULP2 TERHADAP ITRF 2014 MENGGUNAKAN KOMBINASI SATELIT GPS DAN GLONASS,"Sistem satelit navigasi dalam perkembangannya saat ini tergabung dalam satu sistem, yaitu sistem GNNS.
Sistem GNSS ini terdiri dari beberapa sistem satelit, yaitu GPS, Glonass, Galileo, Compass/Beidou, IRNSS,
dan QZSS. Dengan semakin banyaknya sistem satelit GNSS yang beroperasi, maka jumlah satelit yang teramati akan lebih banyak, sehingga geometri satelit akan menjadi lebih baik dan lebih kuat, dan ketelitian serta parameter yang akan diestimasi juga akan semakin baik. Universitas Lampung memiliki satu titik ikat yaitu ULP1 akan tetapi kondisi lingkungan yang berada disekitar titik dapat menyebabkan menurunnya kualitas data yang didapatkan menggunakan pengamatan GNSS, sehingga perlu dilakukan pendefinisian koordinat definitif titik baru bernama titik ULP2 menggunakan sistem satelit GPS, GLONASS, dan kombinasinya.Penelitian ini berfokus pada pendefinisian titik ULP2 serta perbandingan ketelitian koordinat yang dihasilkan dari sistem satelit GPS, GLONASS, dan kombinasinya. Data yang digunakan dalam penelitian ini meliputi data pengamatan GNSS doy 303 dan 304, serta data pendukung seperti: data pengamatan titik ikat, data final orbit, dan data broadcast ephemeris. Pengolahan menggunakan perangkat ilmiah GAMIT. Penelitian ini menghasilkan nilai koordinat definitif titik ULP2 yaitu-1669327,667(X), 6127212,686(Y), -592068,038(Z), koordinat geodetik ialah -5,3620393069⸰ (lintang), 105,2400573554⸰ (bujur) dan 130,56824 meter (tinggi elipsoid) dan untuk koordinat UTM zona 48S ialah 526596,3370 meter (Timur) dan 9407310,9970 meter (Utara). Berdasarkan analisa yang telah dilakukan, nilai koordinat yang dihasilkan dari sistem satelit GLONASS secara statistik tidak memiliki perbedaaan dengan nilai koordinat yang dihasilkan dari sistem satelit GNSS ataupun sistem satelit GPS.

Kata Kunci: GNSS, definitif, ULP2, GAMIT","Q1, QB, T1",Journal of Geodesy and Geomatics (DATUM),2021-04,
FMIPA8,Pengaruh Konsentrasi Katalis dalam Sintesis Senyawa Analog Kurkumin dengan Metode Ultrasound,"The aim of this research was to study about the effect of base catalyst concentration in synthesis curcumin analogs under ultrasound irradiation. Moreover, to determined concentrationof base catalyst KOH which obtained highest yield.  Synthesis of curcumin analog between benzaldehyde derivatives and ketones in ethanol at room temperature using KOH catalyst with variation concentrasion of 2.5%; 5%; 7.5% and 10%. The synthesized of curcumin analog under ultrasound irradiation for 15 minute. Products were identified using UV, IR and NMR. The synthesized of curcumin analogs with various KOH catalyst concentration were obtained in 55.99%; 59.63%; 81.11%; and 54.53%, respectively. In this study indicated the variation in the concentration of base catalyst has an effect on the synthesized of curcumin analogs. That is indicated by the yield quantity of curcumin analogs which increases at a KOH catalyst concentration of 2.5% to 7.5%, but decreases at concentration of 10%. The concentration of KOH catalyst 7.5% was obtained highest yield.",QB,,,
FT11,Review Jurnal: NALISIS DEFORMASI GUNUNG SINABUNG BERDASARKAN DATA PENGAMATAN GPS PERIODE 2017-2018,"Gunung Sinabung merupakan salah satu gunung api aktif yang ada di Indonesia yang terletak di provinsi Sumatera Utara. Gunung Sinabung tercatat tidak pernah meletus sejak tahun 1600an, tetapi pada Agustus 2010 Gunung Sinabung mengalami erupsi untuk pertama kali setelah sekian lama tidak ada aktivitas di Gunung Sinabung. Potensi bahaya yang dihasilkan oleh hasil erupsi Gunung Sinabung mampu menghasilkan material berukuran abu sampai awan panas. Oleh karena itu, perlu dilakukan pengamatan yang signifikan dan kontinyu terhadap aktivitas Gunung Sinabung ini. Penelitian ini bertujuan untuk mengetahui besar pergeseran Gunung Sinabung. Metode yang digunakan untuk pemantauan aktivitas Gunung Sinabung dengan metode geodetik yaitu metode pengamatan GPS secara kontinyu. Dengan dilakukannya pemantauan dan analisis pergeseran titik pengamatan pada Gunung Sinabung, diharapkan dapat memberikan gambaran kecenderungan aktivitas Gunung Sinabung, sehingga dapat membantu bagaimana pergeseran yang terjadi pada titik pengamatan Gunung Sinabung. Berdasarkan analisis yang dilakukan, terdapat 2 periode pengamatan yaitu periode 1 deformasi pada stasiun pengamatan Gunung Sinabung bergerak ke segala arah dan mengalami pergeseran yang signifikan dan inflasi yang besar pada semua stasiun pengamatan Gunung Sinabung. Periode 2 deformasi pada stasiun pengamatan Gunung Sinabung bergerak ke segala arah. Namun terdapat perbedaan pada stasiun pengamatan dimana MRDG mengalami deflasi sedangkan KBYK, LKWR dan SNBG terjadi inflasi. Kata kunci: gunung sinabung, deformasi, pergeseran, gps.","Q1, QB, T1",,2021-11-02,
FT11,ANALISIS PERBANDINGAN PARAMETER TRANSFORMASI ANTAR ITRF HASIL HITUNGAN KUADRAT TERKECIL MODEL HELMERT 14-PARAMETER DENGAN PARAMETER STANDAR IERS,"Penelitian ini bertujuan membandingkan 14 parameter transformasi antar kerangka acuan global ITRF hasil hitungan menggunakan model Helmert 14-parameter dengan parameter standar IERS. Parameter transformasi dihitung dari koordinat ITRF05 ke ITRF00 epok 2000.00, dan dari ITRF08 ke ITRF05 epok 2005.00. Parameter transformasi hasil hitungan dibandingkan dengan parameter standar  IERS  kemudian  dilakukan  uji  signifikansi  perbedaannya.  Parameter  hitungan  yang diperoleh digunakan untuk transformasi balik guna mendapatkan koordinat titik sekutu ITRF00 dan ITRF05. Empatbelas parameter digunakan juga untuk mentransformasi koordinat titik uji guna mendapatkan koordinat ITRF00 dan ITRF05. Hasil analisisi menunjukkan ada perbedaan nilai
RMSe koordinat hasil transformasi balik titik sekutu model Helmert 14-parameter menggunakan parameter hitungan dan parameter standar IERS sebesar 0,1 mm untuk ITRF00 dan 0,8 mm untuk ITRF05.  Hasil  uji  signifikansi  14  parameter  transformasi  hasil  hitungan  menggunakan  model Helmert 14-parameter terhadap parameter standar IERS hanya faktor skala (ds) hasil transformasi dari ITRF05 ke ITRF00 yang berbeda signifikan secara statistik. Tetapi nilai RMSe koordinat hasil transformasi  titik uji model Helmert 14-parameter menggunakan parameter hasil hitungan dan parameter standar IERS tidak terdapat perbedaan nilai RMSe-nya. Dapat disimpulkan bahwa hasil hitungan  parameter  transformasi  model  Helmert  14-parameter  dengan  hitung  kuadrat  terkecil metode kombinasi tidak berbeda jauh dengan parameter standar IERS.

Kata kunci: Parameter transformasi, Helmert 14-parameter, ITRF.","Q1, QB","Rekayasa, Jurnal Teknik Sipil dan Perencanaan",2014-04,
FT11,KAJIAN PENGARUH PANJANG BASELINE TERHADAP PENGOLAHAN DATA GPS METODE STATIC RADIAL MENGGUNAKAN PERANGKAT LUNAK NET DIFF,"Panjang baseline dan perangkat lunak adalah dua faktor yang dapat mempengaruhi hasil pengolahan data GPS. Panjang baseline dapat mempengaruhi ketelitian posisi yang dihasilkan. Faktor yang lainnya adalah perangkat lunak, Net Diff adalah perangkat lunak yang belum banyak digunakan oleh praktisi terkait untuk pengolahan data GPS. Oleh karena itu dilakukan kajian terkait faktor-faktor tersebut.Metode pengamatan menggunakan metode static radial, sedanglan pengolahan data secara post processing. Data diambil dengan 6 jam pengamatan, dan panjang baseline berbeda-beda, yaitu ±2 km, ±5 km, ±10 km, ±20 km, ±50 km dari base station. Kemudian dilakukan pengolahan data menggunakan perangkat lunak Net Diff, hasilnya akan di analisis menggunakan hasil dari pengolahan menggunakan GAMIT.Hasil dari penelitian pengolahan data GPS menggunakan perangkat lunak Net Diff, adalah selisih panjang baseline Net Diff terhadap GAMIT paling kecil dengan nilai 0.013 m terjadi di baseline pendek, yaitu titik HJMN, dengan panjang baseline 1595.35 m. Ketelitian koordinat Net Diff terhadap GAMIT paling kecil terjadi di baseline pendek, yaitu titik HJMN dengan nilai parameter X 0.003, dan parameter Z 0.003m. Kemudian titik PKOR dengan nilai parameter X0.002m. Pada penelitian ini, panjang baseline sampai dengan ±50 km, masih memberikan hasil yang baik. Dibuktikan oleh hasil uji t, dengan tingkat kepercayaan 95%.


Kata kunci : gamit, net diff, panjang baseline","G1, GA, QB",Journal of Geodesy and Geomatics,2021-12-25,
FT11,PENDEFINISIAN KOORDINAT ULP2 UNIVERSITAS LAMPUNG TERHADAP ITRF 2014 SERTA ANALISA PENGGUNAAN TIGA MACAM RECEIVER YANG BERBEDA,"Survei Global Navigation Satellite System (GNSS) merupakan suatu metode penentuan posisi yang dapat digunakan untuk menentukan Titik Kontrol Geodetik, baik untuk skala nasional, regional, atau global. Universitas Lampung telah memiliki titik kontrol BM (BenchMark) bernama ULP1. Pada saat ini, kondisi di sekitar titik ULP1 telah ditumbuhi banyak pohon tinggi. Hal tersebut dapat menjadi objek penghalang sinyal satelit dan menyebabkan kesalahan yang
serius pada hasil ketelitian posisi jika dilakukan pengukuran. Berdasarkan permasalahan tersebut, maka dilakukan penelitian pengamatan GNSS untuk mendefinisikan titik kontrol baru yaitu titik ULP2. Titik ULP2 berada di Universitas Lampung tepatnya dijalan depan Perpustakaan Unila. Periode penelitian dimulai tanggal 30 Oktober 2018 hingga 28 Januari 2019. Jenis metode pengamatan yang digunakan adalah metode statik dan menggunakan tiga macam receiver GNSS yang berbeda. Data hasil pengamatan diolah menggunakan software TEQC dan GAMIT/GLOBK untuk mendapatkan koordinat. Uji statistik digunakan untuk melihat signifikansi koordinat antara tiga macam receiver GNSS yang berbeda.  Hasil pengolahan menggunakan GAMIT/GLOBK adalah koordinat definitif titik ULP2 Universitas Lampung. Koordinat geodetis, 5.3620393436° LS dan 105.2400574228° BT, koordinat kartesian, X= -1669327.667 m ± 0.012 m, Y = 6127212.656 m ± 0.039 m,
dan Z = -592068.0398 m ± 0.007 m, koordinat UTM 48S, E= 526596.344 m, N=9407310.993 m, h= 130.539 m. Hasil uji statistik menggunakan uji t tidak menunjukan adanya
perbedaan yang signifikan pada semua skenario, yang artinya penggunaan receiver yang berbeda tidak berpengaruh besar terhadap koordinat yang dihasilkan. 

Kata kunci: pendefinisian titik koordinat, GAMIT/GLOBK, receiver GNSS","G1, Q1, QB, QE",Journal of Geodesy and Geomatics,2021-03,
FT11,ANALISIS DEFORMASI GUNUNG SINABUNG BERDASARKAN DATA PENGAMATAN GPS PERIODE 2017-2018,"Gunung Sinabung merupakan salah satu gunung api aktif yang ada di Indonesia yang terletak di provinsi Sumatera Utara.  Gunung Sinabung tercatat tidak pernah meletus sejak tahun 1600an, tetapi pada Agustus 2010 Gunung Sinabung mengalami erupsi untuk pertama kali setelah sekian lama tidak ada aktivitas di Gunung Sinabung.  Potensi bahaya yang dihasilkan oleh hasil erupsi Gunung Sinabung mampu menghasilkan material berukuran abu sampai awan panas.  Oleh karena itu, perlu dilakukan pengamatan yang signifikan dan kontinyu terhadap aktivitas Gunung Sinabung ini.  Penelitian ini bertujuan untuk mengetahui besar pergeseran Gunung Sinabung. Metode yang digunakan untuk pemantauan aktivitas Gunung Sinabung dengan metode geodetik yaitu metode pengamatan GPS secara kontinyu.  Dengan dilakukannya pemantauan dan analisis pergeseran titik pengamatan pada Gunung Sinabung, diharapkan dapat memberikan gambaran kecenderungan aktivitas Gunung Sinabung, sehingga dapat membantu bagaimana pergeseran yang terjadi pada titik pengamatan Gunung Sinabung. Berdasarkan analisis yang dilakukan, terdapat 2 periode pengamatan yaitu periode
1 deformasi pada stasiun pengamatan Gunung Sinabung bergerak ke segala arah dan mengalami pergeseran yang signifikan dan inflasi yang besar pada semua stasiun pengamatan Gunung Sinabung.  Periode 2 deformasi pada stasiun pengamatan Gunung Sinabung bergerak ke segala arah.  Namun terdapat perbedaan pada stasiun pengamatan dimana MRDG mengalami deflasi sedangkan KBYK, LKWR dan SNBG terjadi inflasi. 


Kata kunci: gunung sinabung, deformasi, pergeseran,  gps.","GA, GB, Q1, QB",Journal of Geodesy and Geomatics,2021-12-01,
FMIPA9,"KORESPONDENSI LINTASAN MATAHARI DAN BULAN SEBAGAI DASAR UNTUK MEMBANGUN MODEL DAN DATABASE EKTREM
KALEDERISASI BULAN PURNAMA DAN BULAN MATI","Karya Ilmiah ini bertujuan membangun korespondensi lintasan Matahari dan Bulan dalam bentuk matematis pada koordinat kartesius bidang datar untuk merancang database kecerahan sinar Bulan 100% (Bulan Purnama) dan 0% (Bulan Mati). Momen Bulan Purnama dan Bulan Mati merupakan saat potensial terjadi gerhana bulan dan gerhana matahari dengan demikian disetsakan bahwa matahari, bumi dan bulan berada pada posisi segaris. Pendekatan matematis yang diajukan adalah menggunakan fungsi linier. Pendekatan matematis Lintasan matahari yang diajukan y = x dan pendekatan matematis lintasan bulan yang diajukan y = 1.0310022 x. Data korespondensi lintasan matahari dan momen bulan purnama berikut bulan mati disusun dalam bentuk tabel sebagai informasi untuk waspada dini terhadap kemungkinan fenomena ektrem yang dapat ditimbulkan. 
	
Keywords:  Korespondensi, kecerahan, fungsi linier, database",QB,,2019-11-12,"Korespondensi, kecerahan, fungsi linier, database"
FMIPA9,"MODEL RANCANG BANGUN ALAT BUSUR LINTASAN BULAN SEBAGAI ILMU DASAR YUNUS-5 UNTUK MEMBUAT TABEL KALENDERISASI 
TERNAK KURBAN 10 DZULHIJAH","Karya ilmiah ini atas dasar teori surat yunus-5 “matahari sebagai sumber sinar dan bulan sebagai pemantul sinar, dan beredar pada orbitnya masing-masing” maka dari permukaan bumi dapat dirancang busur lintasan keduanya. Busur lintasan matahari dan busur lintasan bulan setengah lingkaran (terbit-terbenam) dari hasil pengamatan memiliki perbedaan perioda durasi waktu, busur lintasan matahari terbit-terbenam durasi waktu selama 12 jam dan busur lintasan bulan terbit-terbenam durasi waktu selama 12 jam dan 24,5 menit. 
Selisih 24,5 menit terakumulasi dalam setahun dibulatkan 11 hari, perioda waktu  satu tahun kalender  lintasan matahari 365 hari dan perioda waktu satu tahun kalender lintasan bulan 354 hari. Tujuan karya ilmiah ini menerapkan teori matematika sehingga tersusun tabel korespondensi momen kurban pada kalender hijriyah dan kalender masehi. Pendekatan momen ternak kurban yang diajukan adalah tanggal 10 dhulhijah, kecerahan bulan dengan persamaan trigonometri  y = sin (0.5 x), (0 < x ≤ 2π)  dan usaha penggemukan ternak kurban persamaan eksponensial  y = y0 ekt dengan koefisien pertumbuhan sapi k1 = 0.058 dan kambing k2 = 0.1155",QB,,,
,"MODEL RANCANG BANGUN ALAT BUSUR LINTASAN BULAN SEBAGAI ILMU DASAR YUNUS-5 UNTUK MEMBUAT TABEL KALENDERISASI 
TERNAK KURBAN 10 DZULHIJAH","Karya ilmiah ini atas dasar teori surat yunus-5 “matahari sebagai sumber sinar dan bulan sebagai pemantul sinar, dan beredar pada orbitnya masing-masing” maka dari permukaan bumi dapat dirancang busur lintasan keduanya. Busur lintasan matahari dan busur lintasan bulan setengah lingkaran (terbit-terbenam) dari hasil pengamatan memiliki perbedaan perioda durasi waktu, busur lintasan matahari terbit-terbenam durasi waktu selama 12 jam dan busur lintasan bulan terbit-terbenam durasi waktu selama 12 jam dan 24,5 menit. 
Selisih 24,5 menit terakumulasi dalam setahun dibulatkan 11 hari, perioda waktu  satu tahun kalender  lintasan matahari 365 hari dan perioda waktu satu tahun kalender lintasan bulan 354 hari. Tujuan karya ilmiah ini menerapkan teori matematika sehingga tersusun tabel korespondensi momen kurban pada kalender hijriyah dan kalender masehi. Pendekatan momen ternak kurban yang diajukan adalah tanggal 10 dhulhijah, kecerahan bulan dengan persamaan trigonometri  y = sin (0.5 x), (0 < x ≤ 2π)  dan usaha penggemukan ternak kurban persamaan eksponensial  y = y0 ekt dengan koefisien pertumbuhan sapi k1 = 0.058 dan kambing k2 = 0.1155","QB, QC",,,
