division,title,abstract,subjects,publication,date,keywords
FMIPA6,A Control System on the Syringe Pump Based on Arduino for Electrospinning Application,"In this research, a control system in the form of a syringe pump has been developed to control the volume and flow rate of a liquid or a solution. The syringe pump is fabricated by controlling the speed and pulse width modulation (PWM) of stepper motors based on the Arduino Uno microcontroller board. The tools used are a stepper motor as a syringe driver, the Arduino Uno as a controller, a four-digit seven-segment display and a keypad matrix as an input interface. The syringe pump works by pushing the injection pump whose speed has been adjusted to the flow rate. The speed of the flow rate and volume are obtained by setting the delay time of the stepper motor using PWM pins from the Arduino Uno. The syringe pump is observed to work in the flow rate range of 0.10–12.00 ml h–1. The system can be applied to medical settings as the control of volume and flow rate of drug fluids as well as with nanofibres using electrospinning technique.",QC,"Journal of Physical Science,",2021,
FMIPA1,"Sensitivity Improvement of Ammonia Gas Sensor Based on
Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate) by
Employing Doping of Bromocresol Green","The aim of this research is to improve the sensitivity of ammonia gas sensor (hereafter referred to as sensor) based on poly(3,4ethylenedioxythiophene):poly(styrenesulfonate)
(PEDOT:PSS) by employing the doping dye of bromocresol green (BCG). The
doping process was carried out by mixing the BCG and the PEDOT:PSS in a solution with an optimum ratio of 1 : 1 in volume.
The sensor was fabricated by using spin-coating technique followed by annealing process. For comparison, the BCG thin film and
the PEDOT:PSS thin film were also deposited with the same method on glass substrates. For optical characterization, a red-light
laser diode with a 650 nm wavelength was used as light source. Under illumination with the laser diode, the bare glass substrate
and BCG film showed no absorption. The sensor exhibited linear response to ammonia gas for the range of 200 ppm to 800 ppm. It increased the sensitivity of sensor based on PEDOT:PSS with BCG doping being about twofold higher compared to that of without BCG doping. Furthermore, the response time and the recovery time of the sensor were found very fast. It suggests that the optical sensor based on BCG-doped PEDOT:PSS is promising for application as ammonia gas sensor.",QC,Journal of Nanotechnology,2014-01,
FT1,"Metode Polynomial Untuk Memisahakan Anomaly Residual dan Regional Pada Data Gayaberat Daerah Pasaman Barat, Sumatera Barat","Dalam proses pengolahan data gayaberat data yang telah dilakukan proses koreksi akan menghasilkan nilai bouguer anomali. Dimana nilai anomali bouguer ini dihasilkan dari superposisi anomali regional (respons gravitasi dalam) dan anomali residual (respons gravitasi dangkal). Penelitian ini merupakan aplikasi dalam ilmu komputasi dengan fokus penelitian ini adalah pemisahan anomali regional-residual dalam penelitian metode gravitasi.Ini akan dibuat program komputer menggunakan MATLAB versi 7.5. Program ini adalah program yang bertujuan untuk memisahkan anomali regional dari anomali. residual yang merupakan pengembangan dari metode pemisahan anomali yang sudah ada sebelumnya. Program ini menggunakan pendekatan polinomial di dalamnya, yang akan dikembangkan menjadi program berbasis komputasi sehingga dapat memudahkan proses pemisahan anomali regional-residual.
Hasil dari penelitian ini adalah pemisahan anomali regional-residual menghasilkan pola anomali regional yang polanya berubah secara signifikan dengan meningkatnya orde, semakin rendah orde nya maka anomali akan semakin dipengaruhi oleh efek regional dan semakin tinggi orde nya maka efek dari anomaly nya akan terdistorsi, dalam penelitian ini pemisahan orde kedua adalah urutan terbaik karena anomaly residual yang dihasilkan tidak terlalu dipengaruhi oleh regional dan tidak terlalu terpengaruh oleh noise.","QC, QE",Jurnal Geocelebes,,
FT1,"IDENTIFIKASI DAN ESTIMASI SUMBER DAYA BATUBARA MENGGUNAKAN METODE POLIGON BERDASARKAN INTEPRETASI DATA LOGGING PADA LAPANGAN ”ADA”, SUMATERA SELATAN","Seiring semakin menipisnya cadangan minyak bumi, tentu mendorong pemerintah untuk melakukan pencarian sumber energi baru. Ekplorasi batubara merupakan pilihan yang tepat karena potensinya yang begitu besar di Indonesia khususnya di Provinsi Sumatera Selatan diketahui memiliki kandungan 37,80% dari total sumber daya di Indonesia. Metode well loggging adalah salah satu metode geofisika yang digunakan guna menemukan dan mengestimasi sumber daya barubara. Keunggulan dari metode well logging adalah mampu menggambarkan keadaan bawah permukaan secara lateral. Tujuan penelitian ini adalah menampilkan gambaran mengenai lapisan batuan bawah permukaan, menentukan arah sebaran dengan mengkorelasikan seam batubara antar sumur bor berdasarkan data logging, dan mengestimasi sumber daya batubara pada daerah penelitian. Luas daerah penelitian penulis sebesar 442.056 m2 memiliki 10 sumur bor. Data log yang digunakan dalam penelitian ini adalah log gamma ray dan log density, dimana lapisan batubara ditandai dengan respon log gamma ray dan respon log density yang rendah. Pada lapangan ”ADA” ditemukan empat lapisan seam batubara, yaitu seam A1 dengan tebal 8,28 m, seam A2 dengan tebal 13,62 m, seam B dengan tebal 18,50, dan seam C dengan tebal 8,84. Arah sebaran batubara dari Selatan ke Utara dengan sudut kemiringan 5-30º dan arah kemenerusan dari Timur ke Barat. Penulis melakukan estimasi sumber daya batubara menggunakan metode poligon (area of influence) karena metode perhitungan ini dapat dilakukan dengan waktu yang singkat dan hasilnya tepat. Total batubara dengan metode poligon sebesar 18.322.653 m3 dalam tonase sebesar 21.987.184–27.483.980 ton sedangkan perhitungan dengan software rock works 15 sebesar 18.786.254 m3 dalam tonase sebesar 22.543.505–28.179.381 ton.","QC, QE",Jurnal Geofisika Eksplorasi,2018-10,
FT1,"Identifikasi dan Estimasi Sumber Daya Batubara Menggunakan Metode Poligon Berdasarkan Intepretasi Data Logging Pada Lapangan ”ADA”, Sumatera Selatan","As petroleum reserves depleted, certainly encourage the government to search for new energy sources. Eksploration of coal is the right choice because  its potential is so great in Indonesian especially in South Sumatera Province is known have content 37,80% from total resources in Indonesian. Well loggging method is one of geophysics method used to find and estimate coal resources. Advantages of well logging method is able to describe subsurface laterally. The purpose of this study is displaying an overview of subsurface rock layers, determine the direction of distribution by correlating coal seam between wells based on data logging, and to estimate coal resources in the research area. The total area of the author's research is 442.056 m2 has 10 wells. Log data used in this study is gamma ray log dan density log, where coal seams are characterized by gamma ray log response and low log density responses. On the field ”ADA” found four coal seam, that is seam A1 with thickness 8,28 m, seam A2 with thickness 13,62 m, seam B with thickness 18,50, and seam C with thickness 8,84. Direction of coal distribution from South to North with slope angle 5-30º and direction of sincerity from East to West. The author calculates the estimated coal resource using polygon method because this calculates method can be done with a short time and the results are right. Total coal by polygon method of 18.322.653 m3 in tons of 21.987.184–27.483.980 ton while calculations with software rock works 15 amount 18.786.254 m3 in tons of 22.543.505–28.179.381 ton.","QC, QE",Jurnal Geofisika Eksplorasi,2017-09,
FT1,"PEMODELAN ZONA PROSPEK RESERVOAR BERDASARKAN DATA SEISMIK DAN ANALISIS PETROFISIKA UNTUK MENENTUKAN CADANGAN HIDROKARBON AREA OUTSTEP LAPANGAN GEO, CEKUNGAN SUMATERA SELATAN","Geo field already known accumulate the hydrocarbon that identified by gas on carbonate reservoir of Baturaja formation. According to recovery factor data, gas production in South Sumatera basin already increase into 80% of production. By modeling the reservoir prospect zone and analyzing the petrophysical data, the new able reservoir prospect can be identified, also, the hydrocarbon reserve can be calculated in Geo field. Based on a Direct Hydrocarbon Index analysis, the flat spot and gas chimney are visible on seismic section data in outstep area of Geo field.This indication are developed by doing acoustic impedance inversion as a function of seismic data processing. The main output of this inversion is porous zone map as a result of two map interpretation which is acoustic impedance map and density map as an attribute function on this inversion. Based on that map, with cutoff acoustic impedance value 10000 m/s*gr/cc and density cutoff 2,34 gr/cc, identified there is a prospect area in outstep zone indicated by low acoustic impedance with 6492,2m/s*gr/cc – 7772,4m/s*gr/cc value, also, density value range in 1,98gr/cc – 2,34gr/cc. Isopach map, Porosity map and water saturation map are generated by spreading the value on lateral function using guide the density map and petrophysical analysis result. By the value of reservoir property based on the map, hydrocarbon reserve can be calculated. Bgi input value is 0.0089 SCF/cutf, volume bulk value 19898,1977 acre.ft, porosity value 0,156543565% and water saturation average value 0,382105%, gas reserve volume on outstep area predicted about 9,42023537 BSCF.","QC, QE",Jurnal Geofisika Eksplorasi,2017-09,
FT11,"Analisis Potensi Batu Kapur Menggunakan Penginderaan Jauh Di Kecamatan Muaradua, Oku Selatan","Kecamatan Muaradua, Kabupaten OKU Selatan termasuk dalam Formasi Baturaja yang salah satu batuan pembentuknya yaitu batu kapur. Wilayah ini dijadikan sebagai salah satu rencana lokasi tambang batu kapur oleh PT. Semen Baturaja (Persero) Tbk guna memenuhi kebutuhan bahan baku untuk proses produksi semen. Dalam penentuan rencana lokasi tambang, perlu dilakukan kajian awal untuk menentukan daerah yang memiliki potensi batu kapur. Penelitian ini memanfaatkan data citra Landsat 8 yang diolah dengan menggunakan algoritma NDVI dan LST untuk mendapatkan indeks vegetasi dan suhu permukaan tanah, serta dilakukan interpretasi dan klasifikasi citra untuk mendapatkan tutupan lahan pada wilayah penelitian. Seluruh parameter dilakukan overlay, kemudian skoring dan pembobotan melalui dua tahapan. Uji akurasi untuk hasil klasifikasi citra menggunakan matriks konfusi. Hasil dari penelitian ini menunjukkan bahwa potensi batu kapur di Kecamatan Muaradua didominasi oleh kelas potensi sedang, namun terdapat pula daerah- daerah yang memiliki kelas potensi tinggi dan sangat tinggi. Daerah- daerah ini berada sebagian besar terletak di Desa Gunung Tiga, serta tersebar di sekitar Desa Pendagan, Datar, dan Gunung Terang. Dari hasil penelitian ini, daerah-daerah yang memiliki kelas potensi tinggi dan sangat tinggi dapat dijadikan sebagai lokasi untuk melakukan kajian awal penentuan rencana lokasi tambang baru bagi perusahaan.","G1, QC, QE, TR",Jurnal Geofisika Eksplorasi,2022-03-31,
FMIPA1,Analisis Transisi Fasa dan Sifat Dielektrik Pada Li2CoSiO4 yang Dipreparasi dari Silika Sekam Padi dan Produk Daur Ulang Katoda Baterai Ion Litium Bekas,"Studi ini mendeskripsikan analisis transisi fasa dan sifat dielektrik pada bahan litium kobalt silikat (Li2CoSiO4) yang dipreparasi dari silika sekam padi dan produk daur ulang katoda baterai ion litium bekas dengan perbandingan massa 1:1. Transisi fasa pada sampel Li2CoSiO4 dipelajari menggunakan teknik termogravimetry/differential thermal analysis (TG/DTA). Sedangkan, nilai konstanta dielektrik pada sampel yang telah disinter pada suhu 600 – 900 oC dikarakterisasi menggunakan inductance, capacitance, dan resistance (LCR) meter. Hasilnya, pada rentang suhu 410 – 850 oC terjadi transisi polimorfik fasa  menjadi fasa . Suhu 850 oC juga merupakan titik transisi dimana fasa  berubah menjadi fasa . Transisi fasa yang terjadi pada sampel  Li2CoSiO4 diikuti dengan peningkatan nilai konstanta dielektrik dalam rentang frekuensi 450 – 100.000 Hz.",QC,Jurnal Fisika,2019,
,"DEUNIASI I.APISAN TANAH PENYEMB AMBIESAN BADAN
JALAN KM-79/80 DESA HATTA, KEC. BATGUHENI
DENGAN GEOUSTRIK DIPOLE-DIPOLE","Amblesan dan longsoran badan jalan di Km-79/80 Dusun Panegolan, Desa Hatta, Kec. Bakauheni Lampung Selatan telah terjadi. Mekanisme amblesan dan tanah longsor yang umum terjadi diakibatkan terdapatnya tanah pelapukan hasil letusan gunung api diguyur oleh air hujan, sehingga air meresap dan merembes masuk ke dalam pori dan retakan.
Resapan air yang sampai pada lapisan bnah kedap air, dapat mempercepat terjadinya gerakan tanah (tanah longsor). Deleniasi lapisan tanah daerah ini menunjukan perlapisan bnah didominasi lempung pasiran. Lapisan ini ditunjukan dengan resistivitas rendah (< 10 Ohm.m) yang berada pada kedalaman 15-20 m, membentang dari Utara-Selatan. Zona konduKif ini diperkiran menjadi penyebab amblesan dan longsoran di Desa Hatta, Bakauheni, Lampung Selatan",QC,Prosiding Seminar Nasional Sain MIPA dan Aplikasinya,2010-12-08,
FT1,Koreksi Gayaberat akibat Curah Hujan pada Pengukuran Gayaberatmikro antar-waktu Lapangan Panasbumi Kamojang 2006-2007,"Perubahan muka airtanah dangkal penyebab anomali gayaberat musiman. Perubahan muka airtanah berhubungan langsung dengan curah hujan, ketika curah hujan tinggi, muka airtanah naik pesat dan kemudian menurun secara gradual. Anomali gayaberat akibat musim merupakan noise yang penting untuk diperhitungkan. Perubahan muka airtanah akibat curuh hujan dihitung menggunakan persamaan empiris, dan respon gayaberatnya dihitung menggunakan pendekatan koreksi slab Bouguer tak hingga dengan memasukan faktor porositas. 
Musim penghujan di Lapangan Panasbumi Kamojang terjadi antara November-Juni dan kemarau antara Juli-Oktober. Curah hujan tinggi dalam 24 jam terjadi pada 8 Desember sebesar 75 mm. Dari perhitungan persamaan empiris didapatkan bahwa perubahan muka airtanah akibat curah hujan periode November 2006-Juni 2006 sebesar -1,502 m dan Juli 2007-Juni 2006 sebesar _0,396 m. Berdasarkan pendekatan koreksi slab Bouguer tak hingga menyebabkan anomali gayaberat antar-waktu masing-masing sebesar -18,89 mikrogal dan +5,98 mikrogal untuk porositas 30%. Perubahan muka airtanah negatif (pengurangan airtanah) menyebabkan anomali gayaberat antar-waktu negatif, dan sebaliknya. koreksi anomali gayaberat antar-waktu akibat curah hujan ini tidak boleh diabaikan karena anomali gayaberat antar-waktu pada lapangan panasbumi biasanya kecil.",QC,Berkala Fisika,2010-04,
