division,title,abstract,subjects,publication,date,keywords
FMIPA4,Adsorption competition of Cu(II) ion in ionic pair and multi-metal solution by ionic imprinted amino-silica hybrid adsorbent,"It was carried out the synthesis of the Cu(II) ionic imprinted polymer (Cu(II)-IIP) material of amino-silica hybrid via sol-gel process using a tetraethyl-orthosilicate precursor and an active compound 3-aminopropyltrimetoxyslane. Adsorption process of Cu(II) ion on nonimprinted ionic (NIP) material and Cu(II)-IIP follows pseudo-ﬁrst-order kinetics model with the value of adsorption rate constants (k1) 0.030 and 0.058L/min and Langmuir adsorption isotherm with the value of adsorption capacity 29.556 and 71.400mg/g, respectively. Adsorption competition data in ion pair solution of Cu(II)/Ag(I), Cu(II)/Zn(II), Cu(II)/Ni (II), and Cu(II)/Cd(II) showed that the Cu(II)-IIP adsorbent was more selective than NIP with value of selectivity coefﬁcient (α)>1. A tendency of metal ion adsorbed in multi-metal solution follows this order: Ca(II) <Cd(II) <Ni(II)<Zn(II)<Ag(I)<Cu(II). The Cu(II)-IIP is stable chemically and it can be reused for adsorption of Cu(II) ion in solution without reduction of its capacity.",QD,Desalination and Water Treatment,2015,
FMIPA4,ADSORBEN SELEKTIF LOGAM Pb DARI HIBRIDA AMINO-SILIKA TERCETAK ION DAN METODE PEMBUATANNYA,"Invensi ini berhubungan dengan komposisi dan metode pembuatan adsorben selektif logam Pb dari senyawa aktif 3-APTMS dengan silika sebagai matriks dan dilanjutkan dengan proses pencetakan ion Pb(II) untuk menghasilkan adsorben yang selektif terhadap Pb. Kemampuan material hibrida amino-silika tercetak ion Pb(II) (Pb(II)-IIP) sebagai adsorben pada invensi ini telah diuji selektivitas adsorpsinya dengan serangkaian eksperimen menggunakan metoda bacth. Pada penggunaan adsorben sebanyak 50 mg terhadap 20 mL larutan yang mengandung pasangan ion: Pb(II)/Zn(II); Pb(II)/Ni(II); Pb(II)/Cd(II) dengan perbandingan konsentrasi masing-masing ion logam sebesar 0,5 mmol/L, waktu interaksi selama 60 menit, pH interaksi 5, dan temperatur 27οC. Hasil koefisien selektivitas adsorpsi (α) masing-masing pasangan ion Pb(II)/Zn(II); Pb(II)/Ni(II); Pb(II)/Cd(II) adalah: 1,23; 3,00; 2,75 yang menunjukkan bahwa adsorben Pb(II)-IIP sangat selektif terhadap ion Pb(II) jika dikompetisikan dengan ion Zn(II), Ni(II), dan Cd(II) dalam larutan.",QD,,2018-01-08,
FMIPA4,"ADSORBEN ZAT PEWARNA KRISTAL VIOLET DARI
HIBRIDA ALGA BIOMASSA Spirulina sp.-SILIKA-MAGNETIT","Invensi ini berhubungan dengan adsorben zat pewarna organik yang bersifat toksik seperti kristal violet dalam larutan. Adsorben tersebut berasal dari biomassa alga yang berfungsi sebagai gugus aktif (gugus organik) dan diiimobilsasi dengan silika sebagai matriks serta dilapisi dengan partikel magnetit yang berfungsi menghasilkan sifat magnet adsorben. Adsorben ini mengandung gugus fungsi organik dari biomassa alga Spirulina sp., silanol, dan siloksan dari matriks silika serta sifat magnet dari partikel magnetit. Kemampuan adsorpsi material biomassa alga Spirulina sp.-silika-magnetit terhadap zat pewarna kristal violet sebesar 98,071% dengan berat adsorben 50 mg, konsentrasi kristal violet 100 mg/L, volume 20 mL, waktu interaksi 60 menit, pH 6, dan temperatur 27oC.",QD,,2020-01-21,
FMIPA4,Metode pembuatan hibrida alga-silika-Fe3O4 dari biomassa Nannochloropsis sp. sebagai penyerap zat pewarna metilen biru,"Invensi ini berhubungan dengan metode pembuatan material biomassa alga
Nannochloropsis sp. dengan pelapisan silika-magnetit (Fe3O4) sebagai adsorben zat
pewarna metilen biru (MB) dalam larutan. Metode sintesis dilakukan melalui proses sol-gel
dengan tetraetil ortosilikat (TEOS) sebagai prekursor dan bahan aktif dari biomassa alga
Nannochloropsis sp. serta partikel Fe3O4. Material ini mengandung gugus fungsi organik
dari biomassa alga Nannochloropsis sp., silanol, dan siloksan dari matriks silika serta sifat
magnet dari partikel Fe3O4. Kemampuan adsorpsi material adsorben dari biomassa alga
Nannochloropsis sp. dengan pelapisan silika- Fe3O4 terhadap zat pewarna MB sebesar
99,81% dengan berat adsorben 100 mg, konsentrasi metilen biru 100 mg/L, volume 25
mL, waktu interaksi 120 menit, pH 6, dan temperatur 27oC.",QD,,2019-12-11,
,Modifikasi Silika Sebagai Penyerap Logam Berat,,QD,,2016-12-01,
FMIPA4,TEKNIK PELAPISAN Fe3O4 DALAM SINTESIS HIBRIDA ALGA-SILIKA SEBAGAI PENYERAP LOGAM BERAT,"Mikro alga merupakan salah satu material alam yang memiliki kemampuan sebagai adsorben logam berat dan kelimpahannya cukup banyak di perairan laut Indonesia. Akan tetapi pemanfaatannya sebagai adsorben masih belum optimal karena kemampuan mikro alga dalam mengikat logam berat sangat dibatasi oleh beberapa kendala seperti ukurannya kecil, berat jenis yang rendah, dan mudah rusak karena degradasi oleh mikroorganisme lain. Selain itu juga mikro alga tidak dapat digunakan secara langsung dalam kolom adsorpsi, karena sangat lunak dan tidak berbentuk granular. Oleh karena itu perlu dilakukan peningkatan kualitas fisik dan kimia biomassa alga dengan cara memodifikasinya, sehingga dapat digunakan untuk menyerap logam berat secara efektif dan selektif serta dapat diaplikasikan sebagai material reaktor adsorpsi kontinyu yang ramah lingkungan. Pada penelitian ini telah dilakukan modifikasi biomassa alga melalui proses simultan sol-gel dan pelapisan silika  dengan partikel magnetit (Fe3O4). Modifikasi tersebut bertujuan meningkatkan kapasitas adsorpsi, stabilitas kimia, kemampuan memisahkan logam dengan cepat karena sifat magnet adsorben, dan mencegah adanya produk samping proses adsorpsi sehingga bersifat ramah lingkungan. Adsorben hasil modifikasi dari biomassa alga Nitzschia sp-silika-magnetit (HASN-M) dan Porphyridium sp-silika-magnetit (HASP-M) dikarakterisasi meliputi: identifikasi gugus fungsional dengan spektrofotometer inframerah (IR), morfologi permukaan dengan scanning electron microscopy (SEM), komposisi unsur dengan X-ray energy dispersion spectroscopy (EDX), dan analisis tingkat kekristalan dengan difraksi sinar-X (XRD). Analis kadar logam berat yang digunakan dalam proses adsorpsi dilakukan dengan mengunakan spektrofotometer serapan atom (SSA). Adsorben hasil modifikasi HASN-M dan HASP-M telah diuji stabilitas kimianya dalam media asam, netral, dan basa serta kemampuan penggunaan ulang sebagai adsorben. Laju dan kapasitas adsorpsi ion Cu(II), Cd(II), Ni(II), Zn(II), dan Pb(II) pada adsorben HASN-M dan HASP-M lebih besar dibandingkan dengan hibrida alga-silika (HAS) tanpa Fe3O4. Adsorben HASN-M dan HASP-M  stabil lebih dari 4 hari dalam media asam dan netral dan dapat digunakan sebanyak 5 kali siklus adsorpsi.",QD,,2017-09-11,
FMIPA4,"METODE PEMBUATAN ADSORBEN LOGAM BERAT DARI BIOMASSA ALGA Chetoceros sp DENGAN PELAPISAN SILIKA-Fe3O4, MELALUI PROSES SOL-GEL","Invensi ini berhubungan dengan metode sintesis material biomassa alga Chetoceros sp dengan pelapisan silika-Fe3O4 sebagai adsorben logam berat dalam larutan. Metode sintesis dilakukan melalui teknik sol-gel dengan TEOS sebagai prekursor dan bahan aktif dari biomassa alga Chetoceros sp serta partikel Fe304. Material ini mengandung gugus fungsi organik dari biomassa alga Chetoceros sp, silanol dan siloksan dari matriks silika serta sifat magnet dari partikel Fe304. Kemampuan adsorpsi material komposit biomassa alga Chetoceros sp dengan pelapisan silika-Fe3O4 terhadap ion Ni(II), Cu(II), dan Zn(II) masing-masing sebesar 89; 97; 84 % dengan konsentrasi ion logam sebesar 100 mg/L, volume 20 mL, waktu interaksi 60 menit, pH 6, dan temperatur 27°C.",QD,,2020-01-10,
FMIPA4,ADSORBEN SELEKTIF LOGAM Cu DARI HIBRIDA BIOMASSA ALGA NANNOCHLOROPSIS sp-SILIKA DAN METODE PEMBUATANNYA,"Invensi ini berhubungan dengan metode pembuatan adsorben selektif terhadap logam Cu dalam campuran multilogam dari biomassa alga Nannochloropsis sp. yang diimmobilisasi dengan silika sebagai matriks dan dilanjutkan dengan proses pencetakan ion Cu(II) sebagai ion target untuk menghasilkan adsorben yang selektif terhadap ion Cu(II) yang akan dipisahkan dari campuran multilogam. Pembuatan material adsorben hibrida Nannochloropsis sp-silika pada invensi ini secara khusus dilakukan melalui immobilsasi biomassa alga dengan matriks silika menggunakan TEOS sebagai prekursor dan bahan aktif dari gugus organik yang berasal dari biomassa alga Nannochloropsis sp. serta dilanjutkan dengan proses pencetakan ion target Cu(II). Kemampuan material hibrida Nannochloropsis sp-silika tercetak ion Cu(II) (Cu(II)-IIP) sebagai adsorben pada invensi ini telah diuji dengan serangkaian eksperimen menggunakan metoda kontinyu. Pada penggunaan adsorben sebanyak 1 g terhadap pengaliran 100 mL larutan multilogam yang terdiri dari ion Cd(II), Cu(II), Zn(II), Ni(II), Ca(II), dan Mg(II) dengan konsentrasi 300 mgL-1 yang dialirkan ke dalam kolom dengan laju alir 1,75 mL menit-1 dan temperatur 27oC, serta pada pH 5 diperoleh jumlah logam Cu teradsorpsi sebanyak  86,50%.",QD,,2016-12-16,
FMIPA7,"Adsorption kinetics and isotherm of Cd(II) ion on Nannochloropsis sp biomass
imprinted ionic polymer","Adsorption kinetics and isotherm of Cd(II) ion on Cd(II) ion imprinted adsorbent — Nannochloropsis sp (Cd
(II)–IIP) biomass have been studied at pH of 5 and temperature of 27 °C. Two kinetic models, i.e pseudo-first
order and pseudo-second order are applied to fit the experimental kinetic data. The results indicate the best
fit obtained with pseudo-first order model, with the value of k1 in the range of 0.0417–0.1097 min−1.
Equilibrium data showed that adsorption of Cd(II) ion on the Cd(II)–IIP following Langmuir adsorption
isotherm model with adsorption capacities of 32.114–40.725 mg/g adsorbent which is higher than
adsorption capacity of non imprinted ionic polymer (NIP) namely 16.902 mg/g adsorbent. Cd(II)–IIP
adsorbent can be used effectively for treatment of cadmium containing wastewaters as an alternative.",QD,DESALINATION,2010-09-15,
FMIPA4,METODA PEMBUATAN ADSORBEN SELEKTIF LOGAM Cu DARI HIBRIDA BIOMASSA ALGA NANNOCHLOROPSIS sp-SILIKA,"Invensi ini berhubungan dengan metode pembuatan adsorben selektif terhadap logam Cu dalam campuran multilogam dari biomassa alga Nannochloropsis sp. yang diimmobilisasi dengan silika sebagai matriks dan dilanjutkan dengan proses pencetakan ion Cu(II) sebagai ion target untuk menghasilkan adsorben yang selektif terhadap ion Cu(II) yang akan dipisahkan dari campuran multilogam. Pembuatan material adsorben hibrida Nannochloropsis sp-silika pada invensi ini secara khusus dilakukan melalui immobilsasi biomassa alga dengan matriks silika menggunakan TEOS sebagai prekursor dan bahan aktif dari gugus organik yang berasal dari biomassa alga Nannochloropsis sp. serta dilanjutkan dengan proses pencetakan ion target Cu(II). Kemampuan material hibrida Nannochloropsis sp-silika tercetak ion Cu(II) (Cu(II)-IIP) sebagai adsorben pada invensi ini telah diuji dengan serangkaian eksperimen menggunakan metoda kontinyu. Pada penggunaan adsorben sebanyak 1 g terhadap pengaliran 100 mL larutan multilogam yang terdiri dari ion Cd(II), Cu(II), Zn(II), Ni(II), Ca(II), dan Mg(II) dengan konsentrasi 300 mgL-1 yang dialirkan ke dalam kolom dengan laju alir 1,75 mL menit-1 dan temperatur 27oC, serta pada pH 5 diperoleh jumlah logam Cu teradsorpsi sebanyak  86,50",QD,,2019-12-31,
